adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
14.79,29.84,212.69,210.6,07-AUG-19,31-JUL-19,,,,,,,,,,,1.4,213.55,26-NOV-19,16-MAY-19,5871.61,Adani Enterprises Limited,Listed,0,0,0,215.2,208.5,503006.0,12.42,29-JUL-19,5.0,1.0,217.7,,False,INE423A01024,212.0,113.0,N,,,209.9,0.66,210.6,No Band,189.55,231.65,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE,4051404.0,,27-Nov-2019 00:00:00,10.05,213.55,,,,,23867.0,,,,,EQ,,ADANIENT,,23867.0,8616.93,4051404.0,10.05
14.79,29.84,212.69,210.6,07-AUG-19,31-JUL-19,,,,,,,,,,,1.4,213.55,26-NOV-19,16-MAY-19,5871.61,Adani Enterprises Limited,Listed,0,0,0,215.2,208.5,503006.0,12.42,29-JUL-19,5.0,1.0,217.7,,False,INE423A01024,212.0,113.0,N,,,209.9,0.66,210.6,No Band,192.2,234.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE,4051404.0,,27-Nov-2019 00:00:00,10.05,213.55,,,,,23867.0,,,,,EQ,,ADANIENT,,23867.0,8616.93,4051404.0,10.05
14.79,29.84,212.69,210.6,07-AUG-19,31-JUL-19,,,,,,,,,,,1.4,213.55,26-NOV-19,16-MAY-19,5871.61,Adani Enterprises Limited,Listed,0,0,0,215.2,208.5,503006.0,12.42,29-JUL-19,5.0,1.0,217.7,,False,INE423A01024,212.0,113.0,N,,,209.9,0.66,210.6,No Band,192.2,234.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE,4051404.0,,27-Nov-2019 00:00:00,10.05,213.55,,,,,23867.0,,,,,EQ,,ADANIENT,,23867.0,8616.93,4051404.0,10.05
14.79,29.84,212.69,210.6,07-AUG-19,31-JUL-19,,,,,,,,,,,1.4,213.55,26-NOV-19,16-MAY-19,5871.61,Adani Enterprises Limited,Listed,0,0,0,215.2,208.5,503006.0,12.42,29-JUL-19,5.0,1.0,217.7,,False,INE423A01024,212.0,113.0,N,,,209.9,0.66,210.6,No Band,192.2,234.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE,4051404.0,,27-Nov-2019 00:00:00,10.05,213.55,,,,,23867.0,,,,,EQ,,ADANIENT,,23867.0,8616.93,4051404.0,10.05
14.79,29.84,212.69,210.6,07-AUG-19,31-JUL-19,,,,,,,,,,,1.4,213.55,26-NOV-19,16-MAY-19,5871.61,Adani Enterprises Limited,Listed,0,0,0,215.2,208.5,503006.0,12.42,29-JUL-19,5.0,1.0,217.7,,False,INE423A01024,212.0,113.0,N,,,209.9,0.66,210.6,No Band,192.2,234.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE,4051404.0,,27-Nov-2019 00:00:00,10.05,213.55,,,,,23867.0,,,,,EQ,,ADANIENT,,23867.0,8616.93,4051404.0,10.05
14.79,29.84,212.69,210.6,07-AUG-19,31-JUL-19,,,,,,,,,,,1.4,213.55,26-NOV-19,16-MAY-19,5871.61,Adani Enterprises Limited,Listed,0,0,0,215.2,208.5,503006.0,12.42,29-JUL-19,5.0,1.0,217.7,,False,INE423A01024,212.0,113.0,N,,,209.9,0.66,210.6,No Band,192.2,234.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE,4051404.0,,27-Nov-2019 00:00:00,10.05,213.55,,,,,23867.0,,,,,EQ,,ADANIENT,,23867.0,8616.93,4051404.0,10.05
14.79,29.84,212.69,213.55,07-AUG-19,31-JUL-19,,,,,,,,,,,-1.55,213.55,26-NOV-19,16-MAY-19,5871.61,Adani Enterprises Limited,Listed,0,0,0,215.2,208.5,503006.0,12.42,29-JUL-19,5.0,1.0,217.7,,False,INE423A01024,212.0,113.0,N,,,209.9,-0.73,210.6,No Band,192.2,234.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE,4051404.0,,27-Nov-2019 00:00:00,10.05,213.55,,,,,23867.0,,,,,EQ,,ADANIENT,,23867.0,8616.93,4051404.0,10.05
14.79,29.84,212.6,213.55,07-AUG-19,31-JUL-19,212.1,212.05,212.0,211.9,211.8,200.0,1000.0,2206.0,21.0,500.0,-1.35,0.0,26-NOV-19,16-MAY-19,5871.61,Adani Enterprises Limited,Listed,0,0,0,212.8,212.2,503006.0,12.42,29-JUL-19,5.0,1.0,217.7,,False,INE423A01024,212.2,113.0,N,,,212.8,-0.63,213.55,No Band,192.2,234.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE,4051404.0,,27-Nov-2019 00:00:00,10.05,212.2,212.3,212.35,212.4,212.45,2104.0,235.0,336.0,336.0,3102.0,EQ,,ADANIENT,237270.0,248806.0,30.3,14251.0,10.05
14.79,29.84,212.18,213.55,07-AUG-19,31-JUL-19,211.65,211.6,211.55,211.5,211.45,2500.0,988.0,1341.0,5087.0,1830.0,-1.80,0.0,26-NOV-19,16-MAY-19,5871.61,Adani Enterprises Limited,Listed,0,0,0,212.8,211.55,503006.0,12.42,29-JUL-19,5.0,1.0,217.7,,False,INE423A01024,211.75,113.0,N,,,212.8,-0.84,213.55,No Band,192.2,234.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE,4051404.0,,27-Nov-2019 00:00:00,10.05,211.8,211.85,211.9,211.95,212.0,1504.0,2365.0,1957.0,2216.0,3179.0,EQ,,ADANIENT,347391.0,352212.0,171.92,81026.0,10.05
14.79,29.84,212.15,213.55,07-AUG-19,31-JUL-19,212.2,212.15,212.1,212.05,212.0,3799.0,1032.0,3940.0,4174.0,5592.0,-1.35,0.0,26-NOV-19,16-MAY-19,5871.61,Adani Enterprises Limited,Listed,0,0,0,212.8,211.5,503006.0,12.42,29-JUL-19,5.0,1.0,217.7,,False,INE423A01024,212.2,113.0,N,,,212.8,-0.63,213.55,No Band,192.2,234.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.40 PER SHARE,4051404.0,,27-Nov-2019 00:00:00,10.05,212.4,212.45,212.5,212.55,212.6,1518.0,1012.0,1671.0,4682.0,7051.0,EQ,,ADANIENT,377151.0,363032.0,353.1,166439.0,10.05
