adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,13.37,768.44,769.55,,,,,,,,,,,,,-8.95,763.3,06-FEB-19,20-JUN-19,6258.3,Amara Raja Batteries Limited,Listed,0,0,0,784.95,753.0,310057.0,21.17,21-NOV-19,5.0,1.0,798.1,,False,INE885A01032,760.6,572.85,N,,,770.0,-1.16,769.55,No Band,692.6,846.5,INTERIM DIVIDEND - RS 6 PER SHARE,1464321.0,22-NOV-19,27-Nov-2019 00:00:00,8.37,763.3,,,,,1594.0,,,,,EQ,,AMARAJABAT,,1594.0,11252.43,1464321.0,8.37
,13.37,768.44,769.55,,,,,,,,,,,,,-8.95,763.3,06-FEB-19,20-JUN-19,6258.3,Amara Raja Batteries Limited,Listed,0,0,0,784.95,753.0,310057.0,21.17,21-NOV-19,5.0,1.0,798.1,,False,INE885A01032,760.6,572.85,N,,,770.0,-1.16,769.55,No Band,687.0,839.6,INTERIM DIVIDEND - RS 6 PER SHARE,1464321.0,22-NOV-19,27-Nov-2019 00:00:00,8.37,763.3,,,,,1594.0,,,,,EQ,,AMARAJABAT,,1594.0,11252.43,1464321.0,8.37
,13.37,768.44,769.55,,,,,,,,,,,,,-8.95,763.3,06-FEB-19,20-JUN-19,6258.3,Amara Raja Batteries Limited,Listed,0,0,0,784.95,753.0,310057.0,21.17,21-NOV-19,5.0,1.0,798.1,,False,INE885A01032,760.6,572.85,N,,,770.0,-1.16,769.55,No Band,687.0,839.6,INTERIM DIVIDEND - RS 6 PER SHARE,1464321.0,22-NOV-19,27-Nov-2019 00:00:00,8.37,763.3,,,,,1594.0,,,,,EQ,,AMARAJABAT,,1594.0,11252.43,1464321.0,8.37
,13.37,768.44,769.55,,,,,,,,,,,,,-8.95,763.3,06-FEB-19,20-JUN-19,6258.3,Amara Raja Batteries Limited,Listed,0,0,0,784.95,753.0,310057.0,21.17,21-NOV-19,5.0,1.0,798.1,,False,INE885A01032,760.6,572.85,N,,,770.0,-1.16,769.55,No Band,687.0,839.6,INTERIM DIVIDEND - RS 6 PER SHARE,1464321.0,22-NOV-19,27-Nov-2019 00:00:00,8.37,763.3,,,,,1594.0,,,,,EQ,,AMARAJABAT,,1594.0,11252.43,1464321.0,8.37
,13.37,768.44,769.55,,,,,,,,,,,,,-8.95,763.3,06-FEB-19,20-JUN-19,6258.3,Amara Raja Batteries Limited,Listed,0,0,0,784.95,753.0,310057.0,21.17,21-NOV-19,5.0,1.0,798.1,,False,INE885A01032,760.6,572.85,N,,,770.0,-1.16,769.55,No Band,687.0,839.6,INTERIM DIVIDEND - RS 6 PER SHARE,1464321.0,22-NOV-19,27-Nov-2019 00:00:00,8.37,763.3,,,,,1594.0,,,,,EQ,,AMARAJABAT,,1594.0,11252.43,1464321.0,8.37
,13.37,768.44,769.55,,,,,,,,,,,,,-8.95,763.3,06-FEB-19,20-JUN-19,6258.3,Amara Raja Batteries Limited,Listed,0,0,0,784.95,753.0,310057.0,21.17,21-NOV-19,5.0,1.0,798.1,,False,INE885A01032,760.6,572.85,N,,,770.0,-1.16,769.55,No Band,687.0,839.6,INTERIM DIVIDEND - RS 6 PER SHARE,1464321.0,22-NOV-19,27-Nov-2019 00:00:00,8.37,763.3,,,,,1594.0,,,,,EQ,,AMARAJABAT,,1594.0,11252.43,1464321.0,8.37
,13.37,768.44,763.3,,,,,,,,,,,,,-2.70,763.3,06-FEB-19,20-JUN-19,6258.3,Amara Raja Batteries Limited,Listed,0,0,0,784.95,753.0,310057.0,21.17,21-NOV-19,5.0,1.0,798.1,,False,INE885A01032,760.6,572.85,N,,,770.0,-0.35,769.55,No Band,687.0,839.6,INTERIM DIVIDEND - RS 6 PER SHARE,1464321.0,22-NOV-19,27-Nov-2019 00:00:00,8.37,763.3,,,,,1594.0,,,,,EQ,,AMARAJABAT,,1594.0,11252.43,1464321.0,8.37
,13.37,764.55,763.3,,,767.3,767.25,767.2,767.15,767.05,65.0,53.0,20.0,67.0,64.0,4.5,0.0,06-FEB-19,20-JUN-19,6258.3,Amara Raja Batteries Limited,Listed,0,0,0,767.8,761.1,310057.0,21.17,21-NOV-19,5.0,1.0,798.1,,False,INE885A01032,767.8,572.85,N,,,761.1,0.59,763.3,No Band,687.0,839.6,INTERIM DIVIDEND - RS 6 PER SHARE,1464321.0,22-NOV-19,27-Nov-2019 00:00:00,8.37,767.85,768.0,768.1,768.15,768.2,20.0,127.0,65.0,160.0,7.0,EQ,,AMARAJABAT,70391.0,73927.0,184.44,24124.0,8.37
,13.37,764.55,763.3,,,767.3,767.25,767.2,767.15,767.05,65.0,53.0,20.0,67.0,64.0,4.5,0.0,06-FEB-19,20-JUN-19,6258.3,Amara Raja Batteries Limited,Listed,0,0,0,767.8,761.1,310057.0,21.17,21-NOV-19,5.0,1.0,798.1,,False,INE885A01032,767.8,572.85,N,,,761.1,0.59,763.3,No Band,687.0,839.6,INTERIM DIVIDEND - RS 6 PER SHARE,1464321.0,22-NOV-19,27-Nov-2019 00:00:00,8.37,767.85,768.0,768.1,768.15,768.2,20.0,127.0,65.0,160.0,7.0,EQ,,AMARAJABAT,70391.0,73927.0,184.44,24124.0,8.37
,13.37,765.35,763.3,,,764.0,763.8,763.75,763.65,763.6,106.0,40.0,73.0,10.0,73.0,0.7,0.0,06-FEB-19,20-JUN-19,6258.3,Amara Raja Batteries Limited,Listed,0,0,0,768.95,761.1,310057.0,21.17,21-NOV-19,5.0,1.0,798.1,,False,INE885A01032,764.0,572.85,N,,,761.1,0.09,763.3,No Band,687.0,839.6,INTERIM DIVIDEND - RS 6 PER SHARE,1464321.0,22-NOV-19,27-Nov-2019 00:00:00,8.37,764.25,764.55,764.6,764.65,764.7,5.0,32.0,73.0,64.0,750.0,EQ,,AMARAJABAT,67852.0,89576.0,304.26,39755.0,8.37
