adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1467.94,1458.4,27-SEP-19,14-SEP-19,1463.95,,,,,357.0,,,,,5.65,1463.95,12-SEP-19,18-FEB-19,13442.37,Apollo Hospitals Enterprise Limited,Listed,0,0,0,1480.0,1460.0,159123.0,39.75,12-SEP-19,5.0,5.0,1579.7,,False,INE437A01024,1464.05,1083.1,N,,,1467.5,0.39,1458.4,No Band,1312.6,1604.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share,400326.0,,27-Nov-2019 00:00:00,6.27,,,,,,,,,,,EQ,,APOLLOHOSP,357.0,,5876.55,400326.0,7.5
,12.5,1467.94,1458.4,27-SEP-19,14-SEP-19,1463.95,,,,,357.0,,,,,5.65,1463.95,12-SEP-19,18-FEB-19,13442.37,Apollo Hospitals Enterprise Limited,Listed,0,0,0,1480.0,1460.0,159123.0,39.75,12-SEP-19,5.0,5.0,1579.7,,False,INE437A01024,1464.05,1083.1,N,,,1467.5,0.39,1458.4,No Band,1317.6,1610.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share,400326.0,,27-Nov-2019 00:00:00,6.27,,,,,,,,,,,EQ,,APOLLOHOSP,357.0,,5876.55,400326.0,7.5
,12.5,1467.94,1458.4,27-SEP-19,14-SEP-19,1463.95,,,,,357.0,,,,,5.65,1463.95,12-SEP-19,18-FEB-19,13442.37,Apollo Hospitals Enterprise Limited,Listed,0,0,0,1480.0,1460.0,159123.0,39.75,12-SEP-19,5.0,5.0,1579.7,,False,INE437A01024,1464.05,1083.1,N,,,1467.5,0.39,1458.4,No Band,1317.6,1610.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share,400326.0,,27-Nov-2019 00:00:00,6.27,,,,,,,,,,,EQ,,APOLLOHOSP,357.0,,5876.55,400326.0,7.5
,12.5,1467.94,1458.4,27-SEP-19,14-SEP-19,1463.95,,,,,357.0,,,,,5.65,1463.95,12-SEP-19,18-FEB-19,13442.37,Apollo Hospitals Enterprise Limited,Listed,0,0,0,1480.0,1460.0,159123.0,39.75,12-SEP-19,5.0,5.0,1579.7,,False,INE437A01024,1464.05,1083.1,N,,,1467.5,0.39,1458.4,No Band,1317.6,1610.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share,400326.0,,27-Nov-2019 00:00:00,6.27,,,,,,,,,,,EQ,,APOLLOHOSP,357.0,,5876.55,400326.0,7.5
,12.5,1467.94,1458.4,27-SEP-19,14-SEP-19,1463.95,,,,,357.0,,,,,5.65,1463.95,12-SEP-19,18-FEB-19,13442.37,Apollo Hospitals Enterprise Limited,Listed,0,0,0,1480.0,1460.0,159123.0,39.75,12-SEP-19,5.0,5.0,1579.7,,False,INE437A01024,1464.05,1083.1,N,,,1467.5,0.39,1458.4,No Band,1317.6,1610.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share,400326.0,,27-Nov-2019 00:00:00,6.27,,,,,,,,,,,EQ,,APOLLOHOSP,357.0,,5876.55,400326.0,7.5
,12.5,1467.94,1458.4,27-SEP-19,14-SEP-19,1463.95,,,,,357.0,,,,,5.65,1463.95,12-SEP-19,18-FEB-19,13442.37,Apollo Hospitals Enterprise Limited,Listed,0,0,0,1480.0,1460.0,159123.0,39.75,12-SEP-19,5.0,5.0,1579.7,,False,INE437A01024,1464.05,1083.1,N,,,1467.5,0.39,1458.4,No Band,1317.6,1610.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share,400326.0,,27-Nov-2019 00:00:00,6.27,,,,,,,,,,,EQ,,APOLLOHOSP,357.0,,5876.55,400326.0,7.5
,12.5,1467.94,1463.95,27-SEP-19,14-SEP-19,1463.95,,,,,357.0,,,,,0.1,1463.95,12-SEP-19,18-FEB-19,13442.37,Apollo Hospitals Enterprise Limited,Listed,0,0,0,1480.0,1460.0,159123.0,39.75,12-SEP-19,5.0,5.0,1579.7,,False,INE437A01024,1464.05,1083.1,N,,,1467.5,0.01,1458.4,No Band,1317.6,1610.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share,400326.0,,27-Nov-2019 00:00:00,6.27,,,,,,,,,,,EQ,,APOLLOHOSP,357.0,,5876.55,400326.0,7.5
,12.5,1468.49,1463.95,27-SEP-19,14-SEP-19,1468.85,1468.8,1467.15,1467.1,1466.9,155.0,34.0,42.0,500.0,1.0,6.05,0.0,12-SEP-19,18-FEB-19,13442.37,Apollo Hospitals Enterprise Limited,Listed,0,0,0,1470.0,1465.35,159123.0,39.75,12-SEP-19,5.0,5.0,1579.7,,False,INE437A01024,1470.0,1083.1,N,,,1465.35,0.41,1463.95,No Band,1317.6,1610.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share,400326.0,,27-Nov-2019 00:00:00,6.27,1470.0,1471.0,1472.0,1472.35,1472.7,58.0,1.0,1.0,93.0,200.0,EQ,,APOLLOHOSP,35907.0,37637.0,19.5,1328.0,7.5
,12.5,1465.4,1463.95,27-SEP-19,14-SEP-19,1460.6,1460.55,1460.5,1460.45,1460.35,24.0,8.0,47.0,31.0,30.0,-2.00,0.0,12-SEP-19,18-FEB-19,13442.37,Apollo Hospitals Enterprise Limited,Listed,0,0,0,1476.4,1458.0,159123.0,39.75,12-SEP-19,5.0,5.0,1579.7,,False,INE437A01024,1461.95,1083.1,N,,,1465.35,-0.14,1463.95,No Band,1317.6,1610.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share,400326.0,,27-Nov-2019 00:00:00,6.27,1461.95,1462.0,1462.35,1462.4,1462.45,10.0,47.0,26.0,8.0,47.0,EQ,,APOLLOHOSP,44517.0,56503.0,184.01,12557.0,7.5
,12.5,1464.92,1463.95,27-SEP-19,14-SEP-19,1461.0,1460.75,1460.5,1460.25,1460.05,3.0,1.0,1.0,1.0,8.0,-2.55,0.0,12-SEP-19,18-FEB-19,13442.37,Apollo Hospitals Enterprise Limited,Listed,0,0,0,1476.4,1458.0,159123.0,39.75,12-SEP-19,5.0,5.0,1579.7,,False,INE437A01024,1461.4,1083.1,N,,,1465.35,-0.17,1463.95,No Band,1317.6,1610.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 6 per share,400326.0,,27-Nov-2019 00:00:00,6.27,1461.4,1461.45,1461.5,1461.7,1461.9,100.0,20.0,47.0,34.0,8.0,EQ,,APOLLOHOSP,46843.0,60728.0,219.17,14961.0,7.5
