adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,170.32,168.4,31-JUL-19,25-JUL-19,,,,,,,,,,,3.0,171.75,20-DEC-18,02-AUG-19,5796.73,Apollo Tyres Limited,Listed,0,0,0,172.5,168.0,771293.0,28.7,23-JUL-19,5.0,1.0,244.85,,False,INE438A01022,171.4,144.05,N,,,169.4,1.78,168.4,No Band,151.6,185.2,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE,2687302.0,,27-Nov-2019 00:00:00,7.1,171.75,,,,,670.0,,,,,EQ,,APOLLOTYRE,,670.0,4577.01,2687302.0,7.5
,12.5,170.32,168.4,31-JUL-19,25-JUL-19,,,,,,,,,,,3.0,171.75,20-DEC-18,02-AUG-19,5796.73,Apollo Tyres Limited,Listed,0,0,0,172.5,168.0,771293.0,28.7,23-JUL-19,5.0,1.0,244.85,,False,INE438A01022,171.4,144.05,N,,,169.4,1.78,168.4,No Band,154.6,188.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE,2687302.0,,27-Nov-2019 00:00:00,7.1,171.75,,,,,670.0,,,,,EQ,,APOLLOTYRE,,670.0,4577.01,2687302.0,7.5
,12.5,170.32,168.4,31-JUL-19,25-JUL-19,,,,,,,,,,,3.0,171.75,20-DEC-18,02-AUG-19,5796.73,Apollo Tyres Limited,Listed,0,0,0,172.5,168.0,771293.0,28.7,23-JUL-19,5.0,1.0,244.85,,False,INE438A01022,171.4,144.05,N,,,169.4,1.78,168.4,No Band,154.6,188.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE,2687302.0,,27-Nov-2019 00:00:00,7.1,171.75,,,,,670.0,,,,,EQ,,APOLLOTYRE,,670.0,4577.01,2687302.0,7.5
,12.5,170.32,168.4,31-JUL-19,25-JUL-19,,,,,,,,,,,3.0,171.75,20-DEC-18,02-AUG-19,5796.73,Apollo Tyres Limited,Listed,0,0,0,172.5,168.0,771293.0,28.7,23-JUL-19,5.0,1.0,244.85,,False,INE438A01022,171.4,144.05,N,,,169.4,1.78,168.4,No Band,154.6,188.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE,2687302.0,,27-Nov-2019 00:00:00,7.1,171.75,,,,,670.0,,,,,EQ,,APOLLOTYRE,,670.0,4577.01,2687302.0,7.5
,12.5,170.32,168.4,31-JUL-19,25-JUL-19,,,,,,,,,,,3.0,171.75,20-DEC-18,02-AUG-19,5796.73,Apollo Tyres Limited,Listed,0,0,0,172.5,168.0,771293.0,28.7,23-JUL-19,5.0,1.0,244.85,,False,INE438A01022,171.4,144.05,N,,,169.4,1.78,168.4,No Band,154.6,188.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE,2687302.0,,27-Nov-2019 00:00:00,7.1,171.75,,,,,670.0,,,,,EQ,,APOLLOTYRE,,670.0,4577.01,2687302.0,7.5
,12.5,170.32,168.4,31-JUL-19,25-JUL-19,,,,,,,,,,,3.0,171.75,20-DEC-18,02-AUG-19,5796.73,Apollo Tyres Limited,Listed,0,0,0,172.5,168.0,771293.0,28.7,23-JUL-19,5.0,1.0,244.85,,False,INE438A01022,171.4,144.05,N,,,169.4,1.78,168.4,No Band,154.6,188.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE,2687302.0,,27-Nov-2019 00:00:00,7.1,171.75,,,,,670.0,,,,,EQ,,APOLLOTYRE,,670.0,4577.01,2687302.0,7.5
,12.5,170.32,171.75,31-JUL-19,25-JUL-19,,,,,,,,,,,-0.35,171.75,20-DEC-18,02-AUG-19,5796.73,Apollo Tyres Limited,Listed,0,0,0,172.5,168.0,771293.0,28.7,23-JUL-19,5.0,1.0,244.85,,False,INE438A01022,171.4,144.05,N,,,169.4,-0.20,168.4,No Band,154.6,188.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE,2687302.0,,27-Nov-2019 00:00:00,7.1,171.75,,,,,670.0,,,,,EQ,,APOLLOTYRE,,670.0,4577.01,2687302.0,7.5
,12.5,171.54,171.75,31-JUL-19,25-JUL-19,171.4,171.35,171.3,171.25,171.2,1200.0,56.0,438.0,3653.0,1131.0,-0.20,0.0,20-DEC-18,02-AUG-19,5796.73,Apollo Tyres Limited,Listed,0,0,0,172.0,171.1,771293.0,28.7,23-JUL-19,5.0,1.0,244.85,,False,INE438A01022,171.55,144.05,N,,,171.75,-0.12,171.75,No Band,154.6,188.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE,2687302.0,,27-Nov-2019 00:00:00,7.1,171.55,171.6,171.65,171.7,171.75,696.0,946.0,632.0,174.0,708.0,EQ,,APOLLOTYRE,269038.0,287269.0,126.01,73459.0,7.5
,12.5,171.74,171.75,31-JUL-19,25-JUL-19,172.3,172.25,172.2,172.15,172.1,20.0,1199.0,1062.0,2135.0,2367.0,0.6,0.0,20-DEC-18,02-AUG-19,5796.73,Apollo Tyres Limited,Listed,0,0,0,172.5,171.1,771293.0,28.7,23-JUL-19,5.0,1.0,244.85,,False,INE438A01022,172.35,144.05,N,,,171.75,0.35,171.75,No Band,154.6,188.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE,2687302.0,,27-Nov-2019 00:00:00,7.1,172.35,172.4,172.45,172.5,172.55,874.0,812.0,2326.0,9599.0,4430.0,EQ,,APOLLOTYRE,310705.0,320007.0,223.14,129928.0,7.5
,12.5,171.84,171.75,31-JUL-19,25-JUL-19,171.65,171.6,171.55,171.5,171.45,104.0,30.0,340.0,1545.0,3264.0,-0.10,0.0,20-DEC-18,02-AUG-19,5796.73,Apollo Tyres Limited,Listed,0,0,0,172.5,171.1,771293.0,28.7,23-JUL-19,5.0,1.0,244.85,,False,INE438A01022,171.65,144.05,N,,,171.75,-0.06,171.75,No Band,154.6,188.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 3.25 PER SHARE,2687302.0,,27-Nov-2019 00:00:00,7.1,171.7,171.75,171.8,171.85,171.9,365.0,2331.0,3986.0,4368.0,3489.0,EQ,,APOLLOTYRE,298614.0,340192.0,292.97,170491.0,7.5
