adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,242.6,243.5,30-SEP-19,24-SEP-19,,,,,,,,,,,-2.00,242.45,17-JUN-19,15-JAN-19,372.03,Asian Granito India Limited,Listed,0,0,0,245.75,240.3,9602.0,32.53,20-SEP-19,5.0,10.0,274.85,,False,INE022I01019,241.5,130.05,N,,,242.3,-0.82,243.5,20.0,194.8,292.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.60 PER SHARE,29518.0,,27-Nov-2019 00:00:00,7.21,242.45,,,,,18.0,,,,,EQ,,ASIANTILES,,18.0,71.61,29518.0,7.5
,12.5,242.6,243.5,30-SEP-19,24-SEP-19,,,,,,,,,,,-2.00,242.45,17-JUN-19,15-JAN-19,372.03,Asian Granito India Limited,Listed,0,0,0,245.75,240.3,9602.0,32.53,20-SEP-19,5.0,10.0,274.85,,False,INE022I01019,241.5,130.05,N,,,242.3,-0.82,243.5,20.0,194.8,292.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.60 PER SHARE,29518.0,,27-Nov-2019 00:00:00,7.21,242.45,,,,,18.0,,,,,EQ,,ASIANTILES,,18.0,71.61,29518.0,7.5
,12.5,242.6,243.5,30-SEP-19,24-SEP-19,,,,,,,,,,,-2.00,242.45,17-JUN-19,15-JAN-19,372.03,Asian Granito India Limited,Listed,0,0,0,245.75,240.3,9602.0,32.53,20-SEP-19,5.0,10.0,274.85,,False,INE022I01019,241.5,130.05,N,,,242.3,-0.82,243.5,20.0,194.0,290.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.60 PER SHARE,29518.0,,27-Nov-2019 00:00:00,7.21,242.45,,,,,18.0,,,,,EQ,,ASIANTILES,,18.0,71.61,29518.0,7.5
,12.5,242.6,243.5,30-SEP-19,24-SEP-19,,,,,,,,,,,-2.00,242.45,17-JUN-19,15-JAN-19,372.03,Asian Granito India Limited,Listed,0,0,0,245.75,240.3,9602.0,32.53,20-SEP-19,5.0,10.0,274.85,,False,INE022I01019,241.5,130.05,N,,,242.3,-0.82,243.5,20.0,194.0,290.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.60 PER SHARE,29518.0,,27-Nov-2019 00:00:00,7.21,242.45,,,,,18.0,,,,,EQ,,ASIANTILES,,18.0,71.61,29518.0,7.5
,12.5,242.6,243.5,30-SEP-19,24-SEP-19,,,,,,,,,,,-2.00,242.45,17-JUN-19,15-JAN-19,372.03,Asian Granito India Limited,Listed,0,0,0,245.75,240.3,9602.0,32.53,20-SEP-19,5.0,10.0,274.85,,False,INE022I01019,241.5,130.05,N,,,242.3,-0.82,243.5,20.0,194.0,290.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.60 PER SHARE,29518.0,,27-Nov-2019 00:00:00,7.21,242.45,,,,,18.0,,,,,EQ,,ASIANTILES,,18.0,71.61,29518.0,7.5
,12.5,242.6,243.5,30-SEP-19,24-SEP-19,,,,,,,,,,,-2.00,242.45,17-JUN-19,15-JAN-19,372.03,Asian Granito India Limited,Listed,0,0,0,245.75,240.3,9602.0,32.53,20-SEP-19,5.0,10.0,274.85,,False,INE022I01019,241.5,130.05,N,,,242.3,-0.82,243.5,20.0,194.0,290.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.60 PER SHARE,29518.0,,27-Nov-2019 00:00:00,7.21,242.45,,,,,18.0,,,,,EQ,,ASIANTILES,,18.0,71.61,29518.0,7.5
,12.5,242.6,243.5,30-SEP-19,24-SEP-19,,,,,,,,,,,-2.00,242.45,17-JUN-19,15-JAN-19,372.03,Asian Granito India Limited,Listed,0,0,0,245.75,240.3,9602.0,32.53,20-SEP-19,5.0,10.0,274.85,,False,INE022I01019,241.5,130.05,N,,,242.3,-0.82,243.5,20.0,194.0,290.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.60 PER SHARE,29518.0,,27-Nov-2019 00:00:00,7.21,242.45,,,,,18.0,,,,,EQ,,ASIANTILES,,18.0,71.61,29518.0,7.5
,12.5,242.6,242.45,30-SEP-19,24-SEP-19,,,,,,,,,,,-0.95,242.45,17-JUN-19,15-JAN-19,372.03,Asian Granito India Limited,Listed,0,0,0,245.75,240.3,9602.0,32.53,20-SEP-19,5.0,10.0,274.85,,False,INE022I01019,241.5,130.05,N,,,242.3,-0.39,243.5,20.0,194.0,290.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.60 PER SHARE,29518.0,,27-Nov-2019 00:00:00,7.21,242.45,,,,,18.0,,,,,EQ,,ASIANTILES,,18.0,71.61,29518.0,7.5
,12.5,242.84,242.45,30-SEP-19,24-SEP-19,242.6,242.55,242.45,241.55,240.0,74.0,3.0,1.0,1.0,2.0,0.15,0.0,17-JUN-19,15-JAN-19,372.03,Asian Granito India Limited,Listed,0,0,0,243.0,242.6,9602.0,32.53,20-SEP-19,5.0,10.0,274.85,,False,INE022I01019,242.6,130.05,N,,,243.0,0.06,242.45,20.0,194.0,290.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.60 PER SHARE,29518.0,,27-Nov-2019 00:00:00,7.21,245.0,246.25,247.2,247.35,248.4,1000.0,2.0,10.0,2000.0,50.0,EQ,,ASIANTILES,11962.0,15949.0,0.29,119.0,7.5
,12.5,242.95,242.45,30-SEP-19,24-SEP-19,243.95,243.9,243.85,243.8,243.75,1.0,1.0,1.0,1.0,1.0,1.55,0.0,17-JUN-19,15-JAN-19,372.03,Asian Granito India Limited,Listed,0,0,0,244.25,242.6,9602.0,32.53,20-SEP-19,5.0,10.0,274.85,,False,INE022I01019,244.0,130.05,N,,,243.0,0.64,242.45,20.0,194.0,290.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.60 PER SHARE,29518.0,,27-Nov-2019 00:00:00,7.21,244.0,244.1,244.15,244.2,244.25,4.0,1.0,1.0,1.0,1.0,EQ,,ASIANTILES,16868.0,21712.0,0.5,205.0,7.5
