adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,17.08,452.83,445.45,,,,,,,,,,,,,7.6,453.4,30-APR-19,14-NOV-19,12751.9,Aurobindo Pharma Limited,Listed,0,0,0,457.0,445.35,856299.0,22.56,21-NOV-19,5.0,1.0,838.0,,False,INE406A01037,453.05,389.35,N,,,446.6,1.71,445.45,No Band,400.95,489.95,INTERIM DIVIDEND - RS 1.25 PER SHARE,3795893.0,23-NOV-19,27-Nov-2019 00:00:00,12.08,,,,,,,,,,,EQ,,AUROPHARMA,,,17188.94,3795893.0,12.08
,17.08,452.83,445.45,,,,,,,,,,,,,7.6,453.4,30-APR-19,14-NOV-19,12751.9,Aurobindo Pharma Limited,Listed,0,0,0,457.0,445.35,856299.0,22.56,21-NOV-19,5.0,1.0,838.0,,False,INE406A01037,453.05,389.35,N,,,446.6,1.71,445.45,No Band,400.95,489.95,INTERIM DIVIDEND - RS 1.25 PER SHARE,3795893.0,23-NOV-19,27-Nov-2019 00:00:00,12.08,,,,,,,,,,,EQ,,AUROPHARMA,,,17188.94,3795893.0,12.08
,17.08,452.83,445.45,,,,,,,,,,,,,7.6,453.4,30-APR-19,14-NOV-19,12751.9,Aurobindo Pharma Limited,Listed,0,0,0,457.0,445.35,856299.0,22.56,21-NOV-19,5.0,1.0,838.0,,False,INE406A01037,453.05,389.35,N,,,446.6,1.71,445.45,No Band,408.1,498.7,INTERIM DIVIDEND - RS 1.25 PER SHARE,3795893.0,23-NOV-19,27-Nov-2019 00:00:00,12.08,,,,,,,,,,,EQ,,AUROPHARMA,,,17188.94,3795893.0,12.08
,17.08,452.83,445.45,,,,,,,,,,,,,7.6,453.4,30-APR-19,14-NOV-19,12751.9,Aurobindo Pharma Limited,Listed,0,0,0,457.0,445.35,856299.0,22.56,21-NOV-19,5.0,1.0,838.0,,False,INE406A01037,453.05,389.35,N,,,446.6,1.71,445.45,No Band,408.1,498.7,INTERIM DIVIDEND - RS 1.25 PER SHARE,3795893.0,23-NOV-19,27-Nov-2019 00:00:00,12.08,,,,,,,,,,,EQ,,AUROPHARMA,,,17188.94,3795893.0,12.08
,17.08,452.83,445.45,,,,,,,,,,,,,7.6,453.4,30-APR-19,14-NOV-19,12751.9,Aurobindo Pharma Limited,Listed,0,0,0,457.0,445.35,856299.0,22.56,21-NOV-19,5.0,1.0,838.0,,False,INE406A01037,453.05,389.35,N,,,446.6,1.71,445.45,No Band,408.1,498.7,INTERIM DIVIDEND - RS 1.25 PER SHARE,3795893.0,23-NOV-19,27-Nov-2019 00:00:00,12.08,,,,,,,,,,,EQ,,AUROPHARMA,,,17188.94,3795893.0,12.08
,17.08,452.83,445.45,,,,,,,,,,,,,7.6,453.4,30-APR-19,14-NOV-19,12751.9,Aurobindo Pharma Limited,Listed,0,0,0,457.0,445.35,856299.0,22.56,21-NOV-19,5.0,1.0,838.0,,False,INE406A01037,453.05,389.35,N,,,446.6,1.71,445.45,No Band,408.1,498.7,INTERIM DIVIDEND - RS 1.25 PER SHARE,3795893.0,23-NOV-19,27-Nov-2019 00:00:00,12.08,,,,,,,,,,,EQ,,AUROPHARMA,,,17188.94,3795893.0,12.08
,17.08,452.83,445.45,,,,,,,,,,,,,7.6,453.4,30-APR-19,14-NOV-19,12751.9,Aurobindo Pharma Limited,Listed,0,0,0,457.0,445.35,856299.0,22.56,21-NOV-19,5.0,1.0,838.0,,False,INE406A01037,453.05,389.35,N,,,446.6,1.71,445.45,No Band,408.1,498.7,INTERIM DIVIDEND - RS 1.25 PER SHARE,3795893.0,23-NOV-19,27-Nov-2019 00:00:00,12.08,,,,,,,,,,,EQ,,AUROPHARMA,,,17188.94,3795893.0,12.08
,17.08,452.83,445.45,,,,,,,,,,,,,7.6,453.4,30-APR-19,14-NOV-19,12751.9,Aurobindo Pharma Limited,Listed,0,0,0,457.0,445.35,856299.0,22.56,21-NOV-19,5.0,1.0,838.0,,False,INE406A01037,453.05,389.35,N,,,446.6,1.71,445.45,No Band,408.1,498.7,INTERIM DIVIDEND - RS 1.25 PER SHARE,3795893.0,23-NOV-19,27-Nov-2019 00:00:00,12.08,,,,,,,,,,,EQ,,AUROPHARMA,,,17188.94,3795893.0,12.08
,17.08,457.36,453.4,,,458.0,457.9,457.85,457.8,457.75,75.0,6825.0,43.0,150.0,300.0,4.8,0.0,30-APR-19,14-NOV-19,12751.9,Aurobindo Pharma Limited,Listed,0,0,0,458.3,455.0,856299.0,22.56,21-NOV-19,5.0,1.0,838.0,,False,INE406A01037,458.2,389.35,N,,,455.0,1.06,453.4,No Band,408.1,498.7,INTERIM DIVIDEND - RS 1.25 PER SHARE,3795893.0,23-NOV-19,27-Nov-2019 00:00:00,12.08,458.2,458.25,458.3,458.35,458.4,278.0,1184.0,1308.0,27.0,1056.0,EQ,,AUROPHARMA,190909.0,208157.0,826.66,180747.0,12.08
,17.08,457.34,453.4,,,456.0,455.95,455.9,455.85,455.8,341.0,65.0,697.0,466.0,335.0,2.6,0.0,30-APR-19,14-NOV-19,12751.9,Aurobindo Pharma Limited,Listed,0,0,0,458.3,455.0,856299.0,22.56,21-NOV-19,5.0,1.0,838.0,,False,INE406A01037,456.0,389.35,N,,,455.0,0.57,453.4,No Band,408.1,498.7,INTERIM DIVIDEND - RS 1.25 PER SHARE,3795893.0,23-NOV-19,27-Nov-2019 00:00:00,12.08,456.25,456.3,456.35,456.4,456.5,92.0,100.0,316.0,477.0,64.0,EQ,,AUROPHARMA,177484.0,278695.0,1154.35,252405.0,12.08
