adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,3201.99,3178.15,26-JUL-19,13-JUL-19,,,,,,,,,,,33.9,3212.05,01-NOV-19,31-JUL-19,41825.76,Bajaj Auto Limited,Listed,0,0,0,3217.25,3180.0,143447.0,46.53,11-JUL-19,5.0,10.0,3289.0,,False,INE917I01010,3212.05,2442.2,N,,,3188.15,1.07,3178.15,No Band,2860.35,3495.95,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE,308282.0,,27-Nov-2019 00:00:00,3.99,3212.05,,,,,90.0,,,,,EQ,,BAJAJ-AUTO,,90.0,9871.16,308282.0,7.5
,12.5,3201.99,3178.15,26-JUL-19,13-JUL-19,,,,,,,,,,,33.9,3212.05,01-NOV-19,31-JUL-19,41825.76,Bajaj Auto Limited,Listed,0,0,0,3217.25,3180.0,143447.0,46.53,11-JUL-19,5.0,10.0,3289.0,,False,INE917I01010,3212.05,2442.2,N,,,3188.15,1.07,3178.15,No Band,2890.85,3533.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE,308282.0,,27-Nov-2019 00:00:00,3.99,3212.05,,,,,90.0,,,,,EQ,,BAJAJ-AUTO,,90.0,9871.16,308282.0,7.5
,12.5,3201.99,3178.15,26-JUL-19,13-JUL-19,,,,,,,,,,,33.9,3212.05,01-NOV-19,31-JUL-19,41825.76,Bajaj Auto Limited,Listed,0,0,0,3217.25,3180.0,143447.0,46.53,11-JUL-19,5.0,10.0,3289.0,,False,INE917I01010,3212.05,2442.2,N,,,3188.15,1.07,3178.15,No Band,2890.85,3533.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE,308282.0,,27-Nov-2019 00:00:00,3.99,3212.05,,,,,90.0,,,,,EQ,,BAJAJ-AUTO,,90.0,9871.16,308282.0,7.5
,12.5,3201.99,3178.15,26-JUL-19,13-JUL-19,,,,,,,,,,,33.9,3212.05,01-NOV-19,31-JUL-19,41825.76,Bajaj Auto Limited,Listed,0,0,0,3217.25,3180.0,143447.0,46.53,11-JUL-19,5.0,10.0,3289.0,,False,INE917I01010,3212.05,2442.2,N,,,3188.15,1.07,3178.15,No Band,2890.85,3533.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE,308282.0,,27-Nov-2019 00:00:00,3.99,3212.05,,,,,90.0,,,,,EQ,,BAJAJ-AUTO,,90.0,9871.16,308282.0,7.5
,12.5,3201.99,3178.15,26-JUL-19,13-JUL-19,,,,,,,,,,,33.9,3212.05,01-NOV-19,31-JUL-19,41825.76,Bajaj Auto Limited,Listed,0,0,0,3217.25,3180.0,143447.0,46.53,11-JUL-19,5.0,10.0,3289.0,,False,INE917I01010,3212.05,2442.2,N,,,3188.15,1.07,3178.15,No Band,2890.85,3533.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE,308282.0,,27-Nov-2019 00:00:00,3.99,3212.05,,,,,90.0,,,,,EQ,,BAJAJ-AUTO,,90.0,9871.16,308282.0,7.5
,12.5,3201.99,3178.15,26-JUL-19,13-JUL-19,,,,,,,,,,,33.9,3212.05,01-NOV-19,31-JUL-19,41825.76,Bajaj Auto Limited,Listed,0,0,0,3217.25,3180.0,143447.0,46.53,11-JUL-19,5.0,10.0,3289.0,,False,INE917I01010,3212.05,2442.2,N,,,3188.15,1.07,3178.15,No Band,2890.85,3533.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE,308282.0,,27-Nov-2019 00:00:00,3.99,3212.05,,,,,90.0,,,,,EQ,,BAJAJ-AUTO,,90.0,9871.16,308282.0,7.5
,12.5,3201.99,3212.05,26-JUL-19,13-JUL-19,,,,,,,,,,,,3212.05,01-NOV-19,31-JUL-19,41825.76,Bajaj Auto Limited,Listed,0,0,0,3217.25,3180.0,143447.0,46.53,11-JUL-19,5.0,10.0,3289.0,,False,INE917I01010,3212.05,2442.2,N,,,3188.15,0.0,3178.15,No Band,2890.85,3533.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE,308282.0,,27-Nov-2019 00:00:00,3.99,3212.05,,,,,90.0,,,,,EQ,,BAJAJ-AUTO,,90.0,9871.16,308282.0,7.5
,12.5,3208.84,3212.05,26-JUL-19,13-JUL-19,3205.55,3205.5,3205.4,3205.05,3205.0,2.0,1.0,30.0,2.0,106.0,-6.50,0.0,01-NOV-19,31-JUL-19,41825.76,Bajaj Auto Limited,Listed,0,0,0,3211.85,3205.5,143447.0,46.53,11-JUL-19,5.0,10.0,3289.0,,False,INE917I01010,3205.55,2442.2,N,,,3210.0,-0.20,3212.05,No Band,2890.85,3533.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE,308282.0,,27-Nov-2019 00:00:00,3.99,3206.35,3209.9,3209.95,3210.0,3210.95,2.0,9.0,46.0,18.0,102.0,EQ,,BAJAJ-AUTO,9612.0,12203.0,33.12,1032.0,7.5
,12.5,3206.42,3212.05,26-JUL-19,13-JUL-19,3205.0,3204.0,3203.4,3203.1,3203.0,51.0,3.0,1.0,3.0,5.0,-7.05,0.0,01-NOV-19,31-JUL-19,41825.76,Bajaj Auto Limited,Listed,0,0,0,3211.85,3200.0,143447.0,46.53,11-JUL-19,5.0,10.0,3289.0,,False,INE917I01010,3205.0,2442.2,N,,,3210.0,-0.22,3212.05,No Band,2890.85,3533.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE,308282.0,,27-Nov-2019 00:00:00,3.99,3205.8,3205.85,3205.9,3206.0,3207.0,7.0,1.0,40.0,1110.0,28.0,EQ,,BAJAJ-AUTO,29506.0,30866.0,79.07,2466.0,7.5
,12.5,3209.98,3212.05,26-JUL-19,13-JUL-19,3209.25,3208.9,3208.7,3208.0,3207.75,8.0,100.0,1.0,10.0,27.0,-3.05,0.0,01-NOV-19,31-JUL-19,41825.76,Bajaj Auto Limited,Listed,0,0,0,3216.75,3200.0,143447.0,46.53,11-JUL-19,5.0,10.0,3289.0,,False,INE917I01010,3209.0,2442.2,N,,,3210.0,-0.09,3212.05,No Band,2890.85,3533.25,ANNUAL GENERAL MEETING/ DIVIDEND - RS 60 PER SHARE,308282.0,,27-Nov-2019 00:00:00,3.99,3209.9,3210.5,3210.55,3210.8,3211.0,1.0,19.0,30.0,27.0,15.0,EQ,,BAJAJ-AUTO,38854.0,38309.0,255.67,7965.0,7.5
