adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,4112.84,4098.35,25-JUL-19,13-JUL-19,4118.35,,,,,240.0,,,,,25.65,4118.35,06-NOV-19,11-DEC-18,97916.5,Bajaj Finance Limited,Listed,0,0,0,4124.9,4095.0,98784.0,20.37,11-JUL-19,5.0,2.0,4280.0,,False,INE296A01024,4124.0,2332.1,N,,,4121.0,0.63,4098.35,No Band,3688.55,4508.15,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE,485064.0,,27-Nov-2019 00:00:00,5.45,,,,,,,,,,,EQ,,BAJFINANCE,240.0,,19949.91,485064.0,7.5
,12.5,4112.84,4098.35,25-JUL-19,13-JUL-19,4118.35,,,,,240.0,,,,,25.65,4118.35,06-NOV-19,11-DEC-18,97916.5,Bajaj Finance Limited,Listed,0,0,0,4124.9,4095.0,98784.0,20.37,11-JUL-19,5.0,2.0,4280.0,,False,INE296A01024,4124.0,2332.1,N,,,4121.0,0.63,4098.35,No Band,3706.55,4530.15,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE,485064.0,,27-Nov-2019 00:00:00,5.45,,,,,,,,,,,EQ,,BAJFINANCE,240.0,,19949.91,485064.0,7.5
,12.5,4112.84,4098.35,25-JUL-19,13-JUL-19,4118.35,,,,,240.0,,,,,25.65,4118.35,06-NOV-19,11-DEC-18,97916.5,Bajaj Finance Limited,Listed,0,0,0,4124.9,4095.0,98784.0,20.37,11-JUL-19,5.0,2.0,4280.0,,False,INE296A01024,4124.0,2332.1,N,,,4121.0,0.63,4098.35,No Band,3706.55,4530.15,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE,485064.0,,27-Nov-2019 00:00:00,5.45,,,,,,,,,,,EQ,,BAJFINANCE,240.0,,19949.91,485064.0,7.5
,12.5,4112.84,4098.35,25-JUL-19,13-JUL-19,4118.35,,,,,240.0,,,,,25.65,4118.35,06-NOV-19,11-DEC-18,97916.5,Bajaj Finance Limited,Listed,0,0,0,4124.9,4095.0,98784.0,20.37,11-JUL-19,5.0,2.0,4280.0,,False,INE296A01024,4124.0,2332.1,N,,,4121.0,0.63,4098.35,No Band,3706.55,4530.15,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE,485064.0,,27-Nov-2019 00:00:00,5.45,,,,,,,,,,,EQ,,BAJFINANCE,240.0,,19949.91,485064.0,7.5
,12.5,4112.84,4098.35,25-JUL-19,13-JUL-19,4118.35,,,,,240.0,,,,,25.65,4118.35,06-NOV-19,11-DEC-18,97916.5,Bajaj Finance Limited,Listed,0,0,0,4124.9,4095.0,98784.0,20.37,11-JUL-19,5.0,2.0,4280.0,,False,INE296A01024,4124.0,2332.1,N,,,4121.0,0.63,4098.35,No Band,3706.55,4530.15,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE,485064.0,,27-Nov-2019 00:00:00,5.45,,,,,,,,,,,EQ,,BAJFINANCE,240.0,,19949.91,485064.0,7.5
,12.5,4112.84,4098.35,25-JUL-19,13-JUL-19,4118.35,,,,,240.0,,,,,25.65,4118.35,06-NOV-19,11-DEC-18,97916.5,Bajaj Finance Limited,Listed,0,0,0,4124.9,4095.0,98784.0,20.37,11-JUL-19,5.0,2.0,4280.0,,False,INE296A01024,4124.0,2332.1,N,,,4121.0,0.63,4098.35,No Band,3706.55,4530.15,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE,485064.0,,27-Nov-2019 00:00:00,5.45,,,,,,,,,,,EQ,,BAJFINANCE,240.0,,19949.91,485064.0,7.5
,12.5,4112.84,4118.35,25-JUL-19,13-JUL-19,4118.35,,,,,240.0,,,,,5.65,4118.35,06-NOV-19,11-DEC-18,97916.5,Bajaj Finance Limited,Listed,0,0,0,4124.9,4095.0,98784.0,20.37,11-JUL-19,5.0,2.0,4280.0,,False,INE296A01024,4124.0,2332.1,N,,,4121.0,0.14,4098.35,No Band,3706.55,4530.15,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE,485064.0,,27-Nov-2019 00:00:00,5.45,,,,,,,,,,,EQ,,BAJFINANCE,240.0,,19949.91,485064.0,7.5
,12.5,4117.17,4118.35,25-JUL-19,13-JUL-19,4111.75,4111.7,4110.5,4110.45,4110.4,9.0,27.0,12.0,110.0,98.0,-6.35,0.0,06-NOV-19,11-DEC-18,97916.5,Bajaj Finance Limited,Listed,0,0,0,4122.2,4110.0,98784.0,20.37,11-JUL-19,5.0,2.0,4280.0,,False,INE296A01024,4112.0,2332.1,N,,,4120.0,-0.15,4118.35,No Band,3706.55,4530.15,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE,485064.0,,27-Nov-2019 00:00:00,5.45,4113.75,4113.8,4113.85,4113.9,4113.95,1.0,1.0,4.0,20.0,1.0,EQ,,BAJFINANCE,37388.0,47199.0,430.37,10453.0,7.5
,12.5,4113.04,4118.35,25-JUL-19,13-JUL-19,4108.85,4108.5,4108.35,4108.25,4108.0,12.0,209.0,6.0,141.0,124.0,-7.70,0.0,06-NOV-19,11-DEC-18,97916.5,Bajaj Finance Limited,Listed,0,0,0,4122.2,4105.5,98784.0,20.37,11-JUL-19,5.0,2.0,4280.0,,False,INE296A01024,4110.65,2332.1,N,,,4120.0,-0.19,4118.35,No Band,3706.55,4530.15,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE,485064.0,,27-Nov-2019 00:00:00,5.45,4109.6,4110.5,4110.55,4110.6,4110.65,4.0,33.0,1.0,51.0,154.0,EQ,,BAJFINANCE,54323.0,60327.0,1267.89,30826.0,7.5
,12.5,4109.81,4118.35,25-JUL-19,13-JUL-19,4100.9,4100.0,4099.05,4099.0,4098.8,137.0,264.0,9.0,74.0,12.0,-17.45,0.0,06-NOV-19,11-DEC-18,97916.5,Bajaj Finance Limited,Listed,0,0,0,4122.2,4100.0,98784.0,20.37,11-JUL-19,5.0,2.0,4280.0,,False,INE296A01024,4100.9,2332.1,N,,,4120.0,-0.42,4118.35,No Band,3706.55,4530.15,ANNUAL GENERAL MEETING/ DIVIDEND - RS 6 PER SHARE,485064.0,,27-Nov-2019 00:00:00,5.45,4100.95,4101.0,4101.65,4101.7,4101.75,4.0,744.0,3.0,11.0,10.0,EQ,,BAJFINANCE,61429.0,72081.0,2071.96,50415.0,7.5
