adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,873.25,857.3,,,883.1,,,,,608.0,,,,,28.7,883.1,29-MAR-19,04-SEP-19,7170.17,Balkrishna Industries Limited,Listed,0,0,0,889.4,857.3,348362.0,35.17,21-NOV-19,5.0,2.0,1024.0,,False,INE787D01026,886.0,682.0,N,,,862.65,3.35,857.3,No Band,771.6,943.0,INTERIM DIVIDEND- RS 2 PER SHARE,990579.0,22-NOV-19,27-Nov-2019 00:00:00,6.88,,,,,,,,,,,EQ,,BALKRISIND,608.0,,8650.23,990579.0,7.5
,12.5,873.25,857.3,,,883.1,,,,,608.0,,,,,28.7,883.1,29-MAR-19,04-SEP-19,7170.17,Balkrishna Industries Limited,Listed,0,0,0,889.4,857.3,348362.0,35.17,21-NOV-19,5.0,2.0,1024.0,,False,INE787D01026,886.0,682.0,N,,,862.65,3.35,857.3,No Band,794.8,971.4,INTERIM DIVIDEND- RS 2 PER SHARE,990579.0,22-NOV-19,27-Nov-2019 00:00:00,6.88,,,,,,,,,,,EQ,,BALKRISIND,608.0,,8650.23,990579.0,7.5
,12.5,873.25,857.3,,,883.1,,,,,608.0,,,,,28.7,883.1,29-MAR-19,04-SEP-19,7170.17,Balkrishna Industries Limited,Listed,0,0,0,889.4,857.3,348362.0,35.17,21-NOV-19,5.0,2.0,1024.0,,False,INE787D01026,886.0,682.0,N,,,862.65,3.35,857.3,No Band,794.8,971.4,INTERIM DIVIDEND- RS 2 PER SHARE,990579.0,22-NOV-19,27-Nov-2019 00:00:00,6.88,,,,,,,,,,,EQ,,BALKRISIND,608.0,,8650.23,990579.0,7.5
,12.5,873.25,857.3,,,883.1,,,,,608.0,,,,,28.7,883.1,29-MAR-19,04-SEP-19,7170.17,Balkrishna Industries Limited,Listed,0,0,0,889.4,857.3,348362.0,35.17,21-NOV-19,5.0,2.0,1024.0,,False,INE787D01026,886.0,682.0,N,,,862.65,3.35,857.3,No Band,794.8,971.4,INTERIM DIVIDEND- RS 2 PER SHARE,990579.0,22-NOV-19,27-Nov-2019 00:00:00,6.88,,,,,,,,,,,EQ,,BALKRISIND,608.0,,8650.23,990579.0,7.5
,12.5,873.25,857.3,,,883.1,,,,,608.0,,,,,28.7,883.1,29-MAR-19,04-SEP-19,7170.17,Balkrishna Industries Limited,Listed,0,0,0,889.4,857.3,348362.0,35.17,21-NOV-19,5.0,2.0,1024.0,,False,INE787D01026,886.0,682.0,N,,,862.65,3.35,857.3,No Band,794.8,971.4,INTERIM DIVIDEND- RS 2 PER SHARE,990579.0,22-NOV-19,27-Nov-2019 00:00:00,6.88,,,,,,,,,,,EQ,,BALKRISIND,608.0,,8650.23,990579.0,7.5
,12.5,873.25,857.3,,,883.1,,,,,608.0,,,,,28.7,883.1,29-MAR-19,04-SEP-19,7170.17,Balkrishna Industries Limited,Listed,0,0,0,889.4,857.3,348362.0,35.17,21-NOV-19,5.0,2.0,1024.0,,False,INE787D01026,886.0,682.0,N,,,862.65,3.35,857.3,No Band,794.8,971.4,INTERIM DIVIDEND- RS 2 PER SHARE,990579.0,22-NOV-19,27-Nov-2019 00:00:00,6.88,,,,,,,,,,,EQ,,BALKRISIND,608.0,,8650.23,990579.0,7.5
,12.5,873.25,883.1,,,883.1,,,,,608.0,,,,,2.9,883.1,29-MAR-19,04-SEP-19,7170.17,Balkrishna Industries Limited,Listed,0,0,0,889.4,857.3,348362.0,35.17,21-NOV-19,5.0,2.0,1024.0,,False,INE787D01026,886.0,682.0,N,,,862.65,0.33,857.3,No Band,794.8,971.4,INTERIM DIVIDEND- RS 2 PER SHARE,990579.0,22-NOV-19,27-Nov-2019 00:00:00,6.88,,,,,,,,,,,EQ,,BALKRISIND,608.0,,8650.23,990579.0,7.5
,12.5,889.52,883.1,,,892.2,892.1,892.0,891.9,891.8,50.0,20.0,432.0,58.0,46.0,9.2,0.0,29-MAR-19,04-SEP-19,7170.17,Balkrishna Industries Limited,Listed,0,0,0,894.45,883.25,348362.0,35.17,21-NOV-19,5.0,2.0,1024.0,,False,INE787D01026,892.3,682.0,N,,,888.0,1.04,883.1,No Band,794.8,971.4,INTERIM DIVIDEND- RS 2 PER SHARE,990579.0,22-NOV-19,27-Nov-2019 00:00:00,6.88,892.8,892.85,892.9,893.0,893.1,40.0,55.0,34.0,1065.0,51.0,EQ,,BALKRISIND,67727.0,76600.0,460.58,51779.0,7.5
,12.5,888.77,883.1,,,892.6,892.45,892.3,892.2,892.15,92.0,58.0,99.0,30.0,53.0,9.4,0.0,29-MAR-19,04-SEP-19,7170.17,Balkrishna Industries Limited,Listed,0,0,0,893.8,883.25,348362.0,35.17,21-NOV-19,5.0,2.0,1024.0,,False,INE787D01026,892.5,682.0,N,,,888.0,1.06,883.1,No Band,794.8,971.4,INTERIM DIVIDEND- RS 2 PER SHARE,990579.0,22-NOV-19,27-Nov-2019 00:00:00,6.88,893.1,893.2,893.25,893.55,893.6,22.0,40.0,160.0,51.0,93.0,EQ,,BALKRISIND,66894.0,72039.0,391.83,44087.0,7.5
,12.5,893.19,883.1,,,897.55,897.5,897.45,897.4,897.2,55.0,35.0,120.0,20.0,51.0,14.9,0.0,29-MAR-19,04-SEP-19,7170.17,Balkrishna Industries Limited,Listed,0,0,0,898.4,883.25,348362.0,35.17,21-NOV-19,5.0,2.0,1024.0,,False,INE787D01026,898.0,682.0,N,,,888.0,1.69,883.1,No Band,794.8,971.4,INTERIM DIVIDEND- RS 2 PER SHARE,990579.0,22-NOV-19,27-Nov-2019 00:00:00,6.88,898.0,898.05,898.1,898.2,898.3,51.0,299.0,106.0,53.0,250.0,EQ,,BALKRISIND,81117.0,83746.0,1343.38,150402.0,7.5
