adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,100.75,99.9,27-JUN-19,20-JUN-19,102.15,,,,,17637.0,,,,,2.45,102.15,23-MAY-19,01-OCT-19,12181.24,Bank of Baroda,Listed,0,0,0,102.7,99.4,3366764.0,15.53,18-JUN-19,5.0,2.0,144.0,,False,INE028A01039,102.35,85.65,N,,,100.3,2.45,99.9,No Band,89.95,109.85,ANNUAL GENERAL MEETING,21675598.0,,27-Nov-2019 00:00:00,7.45,,,,,,,,,,,EQ,,BANKBARODA,17637.0,,21838.16,21675598.0,7.5
,12.5,100.75,99.9,27-JUN-19,20-JUN-19,102.15,,,,,17637.0,,,,,2.45,102.15,23-MAY-19,01-OCT-19,12181.24,Bank of Baroda,Listed,0,0,0,102.7,99.4,3366764.0,15.53,18-JUN-19,5.0,2.0,144.0,,False,INE028A01039,102.35,85.65,N,,,100.3,2.45,99.9,No Band,91.95,112.35,ANNUAL GENERAL MEETING,21675598.0,,27-Nov-2019 00:00:00,7.45,,,,,,,,,,,EQ,,BANKBARODA,17637.0,,21838.16,21675598.0,7.5
,12.5,100.75,99.9,27-JUN-19,20-JUN-19,102.15,,,,,17637.0,,,,,2.45,102.15,23-MAY-19,01-OCT-19,12181.24,Bank of Baroda,Listed,0,0,0,102.7,99.4,3366764.0,15.53,18-JUN-19,5.0,2.0,144.0,,False,INE028A01039,102.35,85.65,N,,,100.3,2.45,99.9,No Band,91.95,112.35,ANNUAL GENERAL MEETING,21675598.0,,27-Nov-2019 00:00:00,7.45,,,,,,,,,,,EQ,,BANKBARODA,17637.0,,21838.16,21675598.0,7.5
,12.5,100.75,99.9,27-JUN-19,20-JUN-19,102.15,,,,,17637.0,,,,,2.45,102.15,23-MAY-19,01-OCT-19,12181.24,Bank of Baroda,Listed,0,0,0,102.7,99.4,3366764.0,15.53,18-JUN-19,5.0,2.0,144.0,,False,INE028A01039,102.35,85.65,N,,,100.3,2.45,99.9,No Band,91.95,112.35,ANNUAL GENERAL MEETING,21675598.0,,27-Nov-2019 00:00:00,7.45,,,,,,,,,,,EQ,,BANKBARODA,17637.0,,21838.16,21675598.0,7.5
,12.5,100.75,99.9,27-JUN-19,20-JUN-19,102.15,,,,,17637.0,,,,,2.45,102.15,23-MAY-19,01-OCT-19,12181.24,Bank of Baroda,Listed,0,0,0,102.7,99.4,3366764.0,15.53,18-JUN-19,5.0,2.0,144.0,,False,INE028A01039,102.35,85.65,N,,,100.3,2.45,99.9,No Band,91.95,112.35,ANNUAL GENERAL MEETING,21675598.0,,27-Nov-2019 00:00:00,7.45,,,,,,,,,,,EQ,,BANKBARODA,17637.0,,21838.16,21675598.0,7.5
,12.5,100.75,99.9,27-JUN-19,20-JUN-19,102.15,,,,,17637.0,,,,,2.45,102.15,23-MAY-19,01-OCT-19,12181.24,Bank of Baroda,Listed,0,0,0,102.7,99.4,3366764.0,15.53,18-JUN-19,5.0,2.0,144.0,,False,INE028A01039,102.35,85.65,N,,,100.3,2.45,99.9,No Band,91.95,112.35,ANNUAL GENERAL MEETING,21675598.0,,27-Nov-2019 00:00:00,7.45,,,,,,,,,,,EQ,,BANKBARODA,17637.0,,21838.16,21675598.0,7.5
,12.5,100.75,102.15,27-JUN-19,20-JUN-19,102.15,,,,,17637.0,,,,,0.2,102.15,23-MAY-19,01-OCT-19,12181.24,Bank of Baroda,Listed,0,0,0,102.7,99.4,3366764.0,15.53,18-JUN-19,5.0,2.0,144.0,,False,INE028A01039,102.35,85.65,N,,,100.3,0.2,99.9,No Band,91.95,112.35,ANNUAL GENERAL MEETING,21675598.0,,27-Nov-2019 00:00:00,7.45,,,,,,,,,,,EQ,,BANKBARODA,17637.0,,21838.16,21675598.0,7.5
,12.5,103.05,102.15,27-JUN-19,20-JUN-19,102.85,102.8,102.75,102.7,102.65,1000.0,9659.0,21894.0,30337.0,15838.0,0.8,0.0,23-MAY-19,01-OCT-19,12181.24,Bank of Baroda,Listed,0,0,0,103.4,102.6,3366764.0,15.53,18-JUN-19,5.0,2.0,144.0,,False,INE028A01039,102.95,85.65,N,,,102.85,0.78,102.15,No Band,91.95,112.35,ANNUAL GENERAL MEETING,21675598.0,,27-Nov-2019 00:00:00,7.45,102.95,103.0,103.05,103.1,103.15,10519.0,77316.0,26519.0,25543.0,22936.0,EQ,,BANKBARODA,1014564.0,1675412.0,1163.57,1129131.0,7.5
,12.5,102.95,102.15,27-JUN-19,20-JUN-19,102.65,102.6,102.55,102.5,102.45,5739.0,36104.0,46648.0,87218.0,17657.0,0.5,0.0,23-MAY-19,01-OCT-19,12181.24,Bank of Baroda,Listed,0,0,0,103.4,102.6,3366764.0,15.53,18-JUN-19,5.0,2.0,144.0,,False,INE028A01039,102.65,85.65,N,,,102.85,0.49,102.15,No Band,91.95,112.35,ANNUAL GENERAL MEETING,21675598.0,,27-Nov-2019 00:00:00,7.45,102.75,102.8,102.85,102.9,102.95,8118.0,35084.0,25927.0,24382.0,28307.0,EQ,,BANKBARODA,1240583.0,2112112.0,1958.11,1902000.0,7.5
,12.5,102.95,102.15,27-JUN-19,20-JUN-19,103.2,103.15,103.1,103.05,103.0,15793.0,25651.0,22656.0,16728.0,45345.0,1.1,0.0,23-MAY-19,01-OCT-19,12181.24,Bank of Baroda,Listed,0,0,0,103.4,102.6,3366764.0,15.53,18-JUN-19,5.0,2.0,144.0,,False,INE028A01039,103.25,85.65,N,,,102.85,1.08,102.15,No Band,91.95,112.35,ANNUAL GENERAL MEETING,21675598.0,,27-Nov-2019 00:00:00,7.45,103.25,103.3,103.35,103.4,103.45,661.0,36438.0,43780.0,52576.0,19641.0,EQ,,BANKBARODA,1573424.0,2147171.0,2696.78,2619507.0,7.5
,12.5,102.96,102.15,27-JUN-19,20-JUN-19,102.8,102.75,102.7,102.65,102.6,7974.0,26556.0,41643.0,36216.0,181003.0,0.65,0.0,23-MAY-19,01-OCT-19,12181.24,Bank of Baroda,Listed,0,0,0,103.4,102.6,3366764.0,15.53,18-JUN-19,5.0,2.0,144.0,,False,INE028A01039,102.8,85.65,N,,,102.85,0.64,102.15,No Band,91.95,112.35,ANNUAL GENERAL MEETING,21675598.0,,27-Nov-2019 00:00:00,7.45,102.85,102.9,102.95,103.0,103.05,4669.0,45113.0,20460.0,49073.0,21965.0,EQ,,BANKBARODA,1591400.0,2484141.0,3197.32,3105396.0,7.5
,12.5,102.92,102.15,27-JUN-19,20-JUN-19,102.9,102.85,102.8,102.75,102.7,1915.0,4824.0,33661.0,31990.0,61520.0,0.75,0.0,23-MAY-19,01-OCT-19,12181.24,Bank of Baroda,Listed,0,0,0,103.4,102.6,3366764.0,15.53,18-JUN-19,5.0,2.0,144.0,,False,INE028A01039,102.9,85.65,N,,,102.85,0.73,102.15,No Band,91.95,112.35,ANNUAL GENERAL MEETING,21675598.0,,27-Nov-2019 00:00:00,7.45,102.95,103.0,103.05,103.1,103.15,15330.0,64082.0,32471.0,45811.0,35894.0,EQ,,BANKBARODA,1893556.0,2989637.0,4162.62,4044517.0,7.5
