adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,13.93,75.81,74.55,27-JUN-19,24-JUN-19,,,,,,,,,,,1.95,76.85,07-JAN-19,09-OCT-19,2266.48,Bank of India,Listed,0,0,0,77.4,74.8,1219430.0,13.25,20-JUN-19,5.0,10.0,110.15,,False,INE084A01016,76.5,57.45,N,,,75.25,2.62,74.55,No Band,67.1,82.0,ANNUAL GENERAL MEETING,9202396.0,,27-Nov-2019 00:00:00,8.93,76.85,,,,,77229.0,,,,,EQ,,BANKINDIA,,77229.0,6976.34,9202396.0,8.93
,13.93,75.81,74.55,27-JUN-19,24-JUN-19,,,,,,,,,,,1.95,76.85,07-JAN-19,09-OCT-19,2266.48,Bank of India,Listed,0,0,0,77.4,74.8,1219430.0,13.25,20-JUN-19,5.0,10.0,110.15,,False,INE084A01016,76.5,57.45,N,,,75.25,2.62,74.55,No Band,69.2,84.5,ANNUAL GENERAL MEETING,9202396.0,,27-Nov-2019 00:00:00,8.93,76.85,,,,,77229.0,,,,,EQ,,BANKINDIA,,77229.0,6976.34,9202396.0,8.93
,13.93,75.81,74.55,27-JUN-19,24-JUN-19,,,,,,,,,,,1.95,76.85,07-JAN-19,09-OCT-19,2266.48,Bank of India,Listed,0,0,0,77.4,74.8,1219430.0,13.25,20-JUN-19,5.0,10.0,110.15,,False,INE084A01016,76.5,57.45,N,,,75.25,2.62,74.55,No Band,69.2,84.5,ANNUAL GENERAL MEETING,9202396.0,,27-Nov-2019 00:00:00,8.93,76.85,,,,,77229.0,,,,,EQ,,BANKINDIA,,77229.0,6976.34,9202396.0,8.93
,13.93,75.81,74.55,27-JUN-19,24-JUN-19,,,,,,,,,,,1.95,76.85,07-JAN-19,09-OCT-19,2266.48,Bank of India,Listed,0,0,0,77.4,74.8,1219430.0,13.25,20-JUN-19,5.0,10.0,110.15,,False,INE084A01016,76.5,57.45,N,,,75.25,2.62,74.55,No Band,69.2,84.5,ANNUAL GENERAL MEETING,9202396.0,,27-Nov-2019 00:00:00,8.93,76.85,,,,,77229.0,,,,,EQ,,BANKINDIA,,77229.0,6976.34,9202396.0,8.93
,13.93,75.81,74.55,27-JUN-19,24-JUN-19,,,,,,,,,,,1.95,76.85,07-JAN-19,09-OCT-19,2266.48,Bank of India,Listed,0,0,0,77.4,74.8,1219430.0,13.25,20-JUN-19,5.0,10.0,110.15,,False,INE084A01016,76.5,57.45,N,,,75.25,2.62,74.55,No Band,69.2,84.5,ANNUAL GENERAL MEETING,9202396.0,,27-Nov-2019 00:00:00,8.93,76.85,,,,,77229.0,,,,,EQ,,BANKINDIA,,77229.0,6976.34,9202396.0,8.93
,13.93,75.81,74.55,27-JUN-19,24-JUN-19,,,,,,,,,,,1.95,76.85,07-JAN-19,09-OCT-19,2266.48,Bank of India,Listed,0,0,0,77.4,74.8,1219430.0,13.25,20-JUN-19,5.0,10.0,110.15,,False,INE084A01016,76.5,57.45,N,,,75.25,2.62,74.55,No Band,69.2,84.5,ANNUAL GENERAL MEETING,9202396.0,,27-Nov-2019 00:00:00,8.93,76.85,,,,,77229.0,,,,,EQ,,BANKINDIA,,77229.0,6976.34,9202396.0,8.93
,13.93,75.81,76.85,27-JUN-19,24-JUN-19,,,,,,,,,,,-0.35,76.85,07-JAN-19,09-OCT-19,2266.48,Bank of India,Listed,0,0,0,77.4,74.8,1219430.0,13.25,20-JUN-19,5.0,10.0,110.15,,False,INE084A01016,76.5,57.45,N,,,75.25,-0.46,74.55,No Band,69.2,84.5,ANNUAL GENERAL MEETING,9202396.0,,27-Nov-2019 00:00:00,8.93,76.85,,,,,77229.0,,,,,EQ,,BANKINDIA,,77229.0,6976.34,9202396.0,8.93
,13.93,75.81,76.85,27-JUN-19,24-JUN-19,,,,,,,,,,,-0.35,76.85,07-JAN-19,09-OCT-19,2266.48,Bank of India,Listed,0,0,0,77.4,74.8,1219430.0,13.25,20-JUN-19,5.0,10.0,110.15,,False,INE084A01016,76.5,57.45,N,,,75.25,-0.46,74.55,No Band,69.2,84.5,ANNUAL GENERAL MEETING,9202396.0,,27-Nov-2019 00:00:00,8.93,76.85,,,,,77229.0,,,,,EQ,,BANKINDIA,,77229.0,6976.34,9202396.0,8.93
,13.93,77.06,76.85,27-JUN-19,24-JUN-19,76.95,76.9,76.85,76.8,76.75,2955.0,2844.0,10869.0,21670.0,9605.0,0.15,0.0,07-JAN-19,09-OCT-19,2266.48,Bank of India,Listed,0,0,0,77.4,76.8,1219430.0,13.25,20-JUN-19,5.0,10.0,110.15,,False,INE084A01016,77.0,57.45,N,,,77.15,0.2,76.85,No Band,69.2,84.5,ANNUAL GENERAL MEETING,9202396.0,,27-Nov-2019 00:00:00,8.93,77.0,77.05,77.1,77.15,77.2,62551.0,7700.0,4471.0,9921.0,10531.0,EQ,,BANKINDIA,727373.0,774541.0,379.51,492491.0,8.93
,13.93,76.86,76.85,27-JUN-19,24-JUN-19,76.3,76.25,76.2,76.15,76.1,4627.0,9572.0,12500.0,13297.0,17256.0,-0.55,0.0,07-JAN-19,09-OCT-19,2266.48,Bank of India,Listed,0,0,0,77.4,76.3,1219430.0,13.25,20-JUN-19,5.0,10.0,110.15,,False,INE084A01016,76.3,57.45,N,,,77.15,-0.72,76.85,No Band,69.2,84.5,ANNUAL GENERAL MEETING,9202396.0,,27-Nov-2019 00:00:00,8.93,76.35,76.4,76.45,76.5,76.55,1189.0,3131.0,11647.0,18745.0,10677.0,EQ,,BANKINDIA,766648.0,909282.0,694.84,904031.0,8.93
