adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1616.1,1623.85,02-AUG-19,24-JUL-19,,,,,,,,,,,-5.85,1620.9,31-OCT-19,26-NOV-18,9791.52,Bata India Limited,Listed,0,0,0,1633.65,1600.0,331957.0,48.28,22-JUL-19,5.0,5.0,1814.0,,False,INE176A01028,1618.0,943.65,N,,,1624.0,-0.36,1623.85,No Band,1461.5,1786.2,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE,687636.0,,27-Nov-2019 00:00:00,5.05,1620.9,,,,,368.0,,,,,EQ,,BATAINDIA,,368.0,11112.89,687636.0,7.5
,12.5,1616.1,1623.85,02-AUG-19,24-JUL-19,,,,,,,,,,,-5.85,1620.9,31-OCT-19,26-NOV-18,9791.52,Bata India Limited,Listed,0,0,0,1633.65,1600.0,331957.0,48.28,22-JUL-19,5.0,5.0,1814.0,,False,INE176A01028,1618.0,943.65,N,,,1624.0,-0.36,1623.85,No Band,1458.85,1782.95,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE,687636.0,,27-Nov-2019 00:00:00,5.05,1620.9,,,,,368.0,,,,,EQ,,BATAINDIA,,368.0,11112.89,687636.0,7.5
,12.5,1616.1,1623.85,02-AUG-19,24-JUL-19,,,,,,,,,,,-5.85,1620.9,31-OCT-19,27-NOV-18,9791.52,Bata India Limited,Listed,0,0,0,1633.65,1600.0,331957.0,48.28,22-JUL-19,5.0,5.0,1814.0,,False,INE176A01028,1618.0,967.0,N,,,1624.0,-0.36,1623.85,No Band,1458.85,1782.95,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE,687636.0,,27-Nov-2019 00:00:00,5.05,1620.9,,,,,368.0,,,,,EQ,,BATAINDIA,,368.0,11112.89,687636.0,7.5
,12.5,1616.1,1623.85,02-AUG-19,24-JUL-19,,,,,,,,,,,-5.85,1620.9,31-OCT-19,27-NOV-18,9791.52,Bata India Limited,Listed,0,0,0,1633.65,1600.0,331957.0,48.28,22-JUL-19,5.0,5.0,1814.0,,False,INE176A01028,1618.0,967.0,N,,,1624.0,-0.36,1623.85,No Band,1458.85,1782.95,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE,687636.0,,27-Nov-2019 00:00:00,5.05,1620.9,,,,,368.0,,,,,EQ,,BATAINDIA,,368.0,11112.89,687636.0,7.5
,12.5,1616.1,1623.85,02-AUG-19,24-JUL-19,,,,,,,,,,,-5.85,1620.9,31-OCT-19,27-NOV-18,9791.52,Bata India Limited,Listed,0,0,0,1633.65,1600.0,331957.0,48.28,22-JUL-19,5.0,5.0,1814.0,,False,INE176A01028,1618.0,967.0,N,,,1624.0,-0.36,1623.85,No Band,1458.85,1782.95,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE,687636.0,,27-Nov-2019 00:00:00,5.05,1620.9,,,,,368.0,,,,,EQ,,BATAINDIA,,368.0,11112.89,687636.0,7.5
,12.5,1616.1,1623.85,02-AUG-19,24-JUL-19,,,,,,,,,,,-5.85,1620.9,31-OCT-19,27-NOV-18,9791.52,Bata India Limited,Listed,0,0,0,1633.65,1600.0,331957.0,48.28,22-JUL-19,5.0,5.0,1814.0,,False,INE176A01028,1618.0,967.0,N,,,1624.0,-0.36,1623.85,No Band,1458.85,1782.95,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE,687636.0,,27-Nov-2019 00:00:00,5.05,1620.9,,,,,368.0,,,,,EQ,,BATAINDIA,,368.0,11112.89,687636.0,7.5
,12.5,1616.1,1620.9,02-AUG-19,24-JUL-19,,,,,,,,,,,-2.90,1620.9,31-OCT-19,27-NOV-18,9791.52,Bata India Limited,Listed,0,0,0,1633.65,1600.0,331957.0,48.28,22-JUL-19,5.0,5.0,1814.0,,False,INE176A01028,1618.0,967.0,N,,,1624.0,-0.18,1623.85,No Band,1458.85,1782.95,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE,687636.0,,27-Nov-2019 00:00:00,5.05,1620.9,,,,,368.0,,,,,EQ,,BATAINDIA,,368.0,11112.89,687636.0,7.5
,12.5,1616.17,1620.9,02-AUG-19,24-JUL-19,1613.35,1613.1,1613.0,1612.85,1612.6,83.0,62.0,1.0,18.0,57.0,-6.90,0.0,31-OCT-19,27-NOV-18,9791.52,Bata India Limited,Listed,0,0,0,1619.75,1614.0,331957.0,48.28,22-JUL-19,5.0,5.0,1814.0,,False,INE176A01028,1614.0,967.0,N,,,1616.25,-0.43,1620.9,No Band,1458.85,1782.95,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE,687636.0,,27-Nov-2019 00:00:00,5.05,1613.95,1614.1,1614.15,1614.3,1614.4,12.0,30.0,18.0,117.0,37.0,EQ,,BATAINDIA,58914.0,63505.0,157.32,9734.0,7.5
,12.5,1615.89,1620.9,02-AUG-19,24-JUL-19,1616.0,1615.9,1615.85,1615.8,1615.65,76.0,18.0,25.0,75.0,60.0,-4.90,0.0,31-OCT-19,27-NOV-18,9791.52,Bata India Limited,Listed,0,0,0,1619.75,1612.85,331957.0,48.28,22-JUL-19,5.0,5.0,1814.0,,False,INE176A01028,1616.0,967.0,N,,,1616.25,-0.30,1620.9,No Band,1458.85,1782.95,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE,687636.0,,27-Nov-2019 00:00:00,5.05,1616.85,1616.9,1617.0,1617.35,1617.4,94.0,66.0,244.0,18.0,16.0,EQ,,BATAINDIA,68022.0,67249.0,279.57,17301.0,7.5
,12.5,1615.89,1620.9,02-AUG-19,24-JUL-19,1616.0,1615.9,1615.85,1615.8,1615.65,76.0,18.0,25.0,75.0,60.0,-4.90,0.0,31-OCT-19,27-NOV-18,9791.52,Bata India Limited,Listed,0,0,0,1619.75,1612.85,331957.0,48.28,22-JUL-19,5.0,5.0,1814.0,,False,INE176A01028,1616.0,967.0,N,,,1616.25,-0.30,1620.9,No Band,1458.85,1782.95,ANNUAL GENERAL MEETING/DIVIDEND RS 6.25 PER SHARE,687636.0,,27-Nov-2019 00:00:00,5.05,1616.85,1616.9,1617.0,1617.35,1617.4,94.0,66.0,244.0,18.0,16.0,EQ,,BATAINDIA,68022.0,67249.0,279.57,17301.0,7.5
