adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,103.27,103.15,24-AUG-19,22-AUG-19,103.05,,,,,900.0,,,,,-0.10,103.05,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,104.5,102.6,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.05,72.5,N,,,103.5,-0.10,103.15,No Band,92.85,113.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,,,,,,,,,,,EQ,,BEL,900.0,,4405.08,4265594.0,7.5
,12.5,103.27,103.15,24-AUG-19,22-AUG-19,103.05,,,,,900.0,,,,,-0.10,103.05,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,104.5,102.6,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.05,72.5,N,,,103.5,-0.10,103.15,No Band,92.85,113.45,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,,,,,,,,,,,EQ,,BEL,900.0,,4405.08,4265594.0,7.5
,12.5,103.27,103.15,24-AUG-19,22-AUG-19,103.05,,,,,900.0,,,,,-0.10,103.05,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,104.5,102.6,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.05,72.5,N,,,103.5,-0.10,103.15,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,,,,,,,,,,,EQ,,BEL,900.0,,4405.08,4265594.0,7.5
,12.5,103.27,103.15,24-AUG-19,22-AUG-19,103.05,,,,,900.0,,,,,-0.10,103.05,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,104.5,102.6,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.05,72.5,N,,,103.5,-0.10,103.15,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,,,,,,,,,,,EQ,,BEL,900.0,,4405.08,4265594.0,7.5
,12.5,103.27,103.15,24-AUG-19,22-AUG-19,103.05,,,,,900.0,,,,,-0.10,103.05,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,104.5,102.6,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.05,72.5,N,,,103.5,-0.10,103.15,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,,,,,,,,,,,EQ,,BEL,900.0,,4405.08,4265594.0,7.5
,12.5,103.27,103.15,24-AUG-19,22-AUG-19,103.05,,,,,900.0,,,,,-0.10,103.05,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,104.5,102.6,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.05,72.5,N,,,103.5,-0.10,103.15,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,,,,,,,,,,,EQ,,BEL,900.0,,4405.08,4265594.0,7.5
,12.5,103.27,103.15,24-AUG-19,22-AUG-19,103.05,,,,,900.0,,,,,-0.10,103.05,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,104.5,102.6,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.05,72.5,N,,,103.5,-0.10,103.15,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,,,,,,,,,,,EQ,,BEL,900.0,,4405.08,4265594.0,7.5
,12.5,103.27,103.15,24-AUG-19,22-AUG-19,103.05,,,,,900.0,,,,,-0.10,103.05,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,104.5,102.6,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.05,72.5,N,,,103.5,-0.10,103.15,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,,,,,,,,,,,EQ,,BEL,900.0,,4405.08,4265594.0,7.5
,12.5,103.27,103.05,24-AUG-19,22-AUG-19,103.05,,,,,900.0,,,,,,103.05,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,104.5,102.6,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.05,72.5,N,,,103.5,0.0,103.15,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,,,,,,,,,,,EQ,,BEL,900.0,,4405.08,4265594.0,7.5
,12.5,103.35,103.05,24-AUG-19,22-AUG-19,103.15,103.1,103.05,103.0,102.95,949.0,11509.0,3037.0,21582.0,11012.0,0.2,0.0,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,103.7,103.0,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.25,72.5,N,,,103.05,0.19,103.05,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,103.25,103.3,103.35,103.4,103.45,3603.0,9819.0,8240.0,14198.0,10301.0,EQ,,BEL,603843.0,701083.0,118.89,115035.0,7.5
,12.5,103.22,103.05,24-AUG-19,22-AUG-19,103.3,103.25,103.2,103.15,103.1,1512.0,3718.0,5542.0,6287.0,3247.0,0.25,0.0,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,103.7,102.8,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.3,72.5,N,,,103.05,0.24,103.05,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,103.4,103.45,103.5,103.55,103.6,999.0,2729.0,7532.0,4422.0,11404.0,EQ,,BEL,604437.0,737766.0,289.19,280169.0,7.5
,12.5,103.26,103.05,24-AUG-19,22-AUG-19,103.25,103.2,103.15,103.1,103.05,675.0,4408.0,6366.0,7012.0,4002.0,0.2,0.0,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,103.7,102.8,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.25,72.5,N,,,103.05,0.19,103.05,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,103.3,103.35,103.4,103.45,103.5,2333.0,11894.0,5785.0,7664.0,34364.0,EQ,,BEL,623575.0,784867.0,395.09,382612.0,7.5
,12.5,103.25,103.05,24-AUG-19,22-AUG-19,103.15,103.1,103.05,103.0,102.95,300.0,3665.0,7920.0,12263.0,5691.0,0.1,0.0,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,103.7,102.8,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,103.15,72.5,N,,,103.05,0.1,103.05,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,103.2,103.25,103.3,103.35,103.4,5006.0,9398.0,15785.0,18280.0,11802.0,EQ,,BEL,655629.0,817763.0,439.77,425923.0,7.5
,12.5,103.22,103.05,24-AUG-19,22-AUG-19,102.9,102.85,102.8,102.75,102.7,1147.0,3167.0,15428.0,13627.0,5888.0,-0.10,0.0,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,103.7,102.8,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,102.95,72.5,N,,,103.05,-0.10,103.05,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,103.0,103.05,103.1,103.15,103.2,7936.0,7633.0,7642.0,11463.0,18653.0,EQ,,BEL,687935.0,882428.0,487.0,471807.0,7.5
,12.5,103.05,103.05,24-AUG-19,22-AUG-19,102.55,102.5,102.45,102.4,102.35,3932.0,3911.0,8999.0,17630.0,21133.0,-0.50,0.0,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,103.7,102.4,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,102.55,72.5,N,,,103.05,-0.49,103.05,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,102.6,102.65,102.7,102.75,102.8,3693.0,7849.0,10876.0,21080.0,17219.0,EQ,,BEL,908562.0,1140962.0,737.58,715748.0,7.5
,12.5,103.03,103.05,24-AUG-19,22-AUG-19,102.6,102.55,102.5,102.45,102.4,2806.0,9017.0,18733.0,8997.0,16778.0,-0.40,0.0,04-NOV-19,14-FEB-19,10294.73,Bharat Electronics Limited,Listed,0,0,0,103.7,102.4,890992.0,20.89,20-AUG-19,5.0,1.0,122.1,,False,INE263A01024,102.65,72.5,N,,,103.05,-0.39,103.05,No Band,92.75,113.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.70 PER SHARE,4265594.0,,27-Nov-2019 00:00:00,6.81,102.65,102.7,102.75,102.8,102.85,232.0,912.0,12583.0,23808.0,17225.0,EQ,,BEL,938710.0,1162401.0,777.35,754493.0,7.5
