adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,16729.08,16596.45,23-AUG-19,17-AUG-19,16615.2,,,,,497.0,,,,,3.55,16615.2,19-DEC-18,14-AUG-19,14211.24,Bosch Limited,Listed,0,0,0,17260.3,16451.05,10689.0,29.79,14-AUG-19,5.0,10.0,20000.0,,False,INE323A01026,16600.0,12700.0,N,,,16600.0,0.02,16596.45,No Band,14936.85,18256.05,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE,35879.0,,27-Nov-2019 00:00:00,7.35,,,,,,,,,,,EQ,,BOSCHLTD,497.0,,6002.23,35879.0,7.5
,12.5,16729.08,16596.45,23-AUG-19,17-AUG-19,16615.2,,,,,497.0,,,,,3.55,16615.2,19-DEC-18,14-AUG-19,14211.24,Bosch Limited,Listed,0,0,0,17260.3,16451.05,10689.0,29.79,14-AUG-19,5.0,10.0,20000.0,,False,INE323A01026,16600.0,12700.0,N,,,16600.0,0.02,16596.45,No Band,14953.7,18276.7,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE,35879.0,,27-Nov-2019 00:00:00,7.35,,,,,,,,,,,EQ,,BOSCHLTD,497.0,,6002.23,35879.0,7.5
,12.5,16729.08,16596.45,23-AUG-19,17-AUG-19,16615.2,,,,,497.0,,,,,3.55,16615.2,19-DEC-18,14-AUG-19,14211.24,Bosch Limited,Listed,0,0,0,17260.3,16451.05,10689.0,29.79,14-AUG-19,5.0,10.0,20000.0,,False,INE323A01026,16600.0,12700.0,N,,,16600.0,0.02,16596.45,No Band,14953.7,18276.7,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE,35879.0,,27-Nov-2019 00:00:00,7.35,,,,,,,,,,,EQ,,BOSCHLTD,497.0,,6002.23,35879.0,7.5
,12.5,16729.08,16596.45,23-AUG-19,17-AUG-19,16615.2,,,,,497.0,,,,,3.55,16615.2,19-DEC-18,14-AUG-19,14211.24,Bosch Limited,Listed,0,0,0,17260.3,16451.05,10689.0,29.79,14-AUG-19,5.0,10.0,20000.0,,False,INE323A01026,16600.0,12700.0,N,,,16600.0,0.02,16596.45,No Band,14953.7,18276.7,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE,35879.0,,27-Nov-2019 00:00:00,7.35,,,,,,,,,,,EQ,,BOSCHLTD,497.0,,6002.23,35879.0,7.5
,12.5,16729.08,16596.45,23-AUG-19,17-AUG-19,16615.2,,,,,497.0,,,,,3.55,16615.2,19-DEC-18,14-AUG-19,14211.24,Bosch Limited,Listed,0,0,0,17260.3,16451.05,10689.0,29.79,14-AUG-19,5.0,10.0,20000.0,,False,INE323A01026,16600.0,12700.0,N,,,16600.0,0.02,16596.45,No Band,14953.7,18276.7,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE,35879.0,,27-Nov-2019 00:00:00,7.35,,,,,,,,,,,EQ,,BOSCHLTD,497.0,,6002.23,35879.0,7.5
,12.5,16729.08,16596.45,23-AUG-19,17-AUG-19,16615.2,,,,,497.0,,,,,3.55,16615.2,19-DEC-18,14-AUG-19,14211.24,Bosch Limited,Listed,0,0,0,17260.3,16451.05,10689.0,29.79,14-AUG-19,5.0,10.0,20000.0,,False,INE323A01026,16600.0,12700.0,N,,,16600.0,0.02,16596.45,No Band,14953.7,18276.7,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE,35879.0,,27-Nov-2019 00:00:00,7.35,,,,,,,,,,,EQ,,BOSCHLTD,497.0,,6002.23,35879.0,7.5
,12.5,16729.08,16596.45,23-AUG-19,17-AUG-19,16615.2,,,,,497.0,,,,,3.55,16615.2,19-DEC-18,14-AUG-19,14211.24,Bosch Limited,Listed,0,0,0,17260.3,16451.05,10689.0,29.79,14-AUG-19,5.0,10.0,20000.0,,False,INE323A01026,16600.0,12700.0,N,,,16600.0,0.02,16596.45,No Band,14953.7,18276.7,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE,35879.0,,27-Nov-2019 00:00:00,7.35,,,,,,,,,,,EQ,,BOSCHLTD,497.0,,6002.23,35879.0,7.5
,12.5,16753.3,16615.2,23-AUG-19,17-AUG-19,16750.0,16744.15,16744.1,16741.0,16735.75,33.0,5.0,2.0,1.0,2.0,134.85,0.0,19-DEC-18,14-AUG-19,14211.24,Bosch Limited,Listed,0,0,0,16903.1,16618.0,10689.0,29.79,14-AUG-19,5.0,10.0,20000.0,,False,INE323A01026,16750.05,12700.0,N,,,16618.0,0.81,16615.2,No Band,14953.7,18276.7,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE,35879.0,,27-Nov-2019 00:00:00,7.35,16762.75,16762.8,16763.0,16768.75,16768.8,2.0,1.0,3.0,5.0,3.0,EQ,,BOSCHLTD,5197.0,5495.0,289.66,1729.0,7.5
,12.5,16753.3,16615.2,23-AUG-19,17-AUG-19,16750.0,16744.15,16744.1,16741.0,16735.75,33.0,5.0,2.0,1.0,2.0,134.85,0.0,19-DEC-18,14-AUG-19,14211.24,Bosch Limited,Listed,0,0,0,16903.1,16618.0,10689.0,29.79,14-AUG-19,5.0,10.0,20000.0,,False,INE323A01026,16750.05,12700.0,N,,,16618.0,0.81,16615.2,No Band,14953.7,18276.7,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE,35879.0,,27-Nov-2019 00:00:00,7.35,16762.75,16762.8,16763.0,16768.75,16768.8,2.0,1.0,3.0,5.0,3.0,EQ,,BOSCHLTD,5197.0,5495.0,289.66,1729.0,7.5
,12.5,16736.63,16615.2,23-AUG-19,17-AUG-19,16714.0,16713.95,16713.0,16707.4,16702.25,2.0,1.0,3.0,2.0,2.0,105.15,0.0,19-DEC-18,14-AUG-19,14211.24,Bosch Limited,Listed,0,0,0,16903.1,16618.0,10689.0,29.79,14-AUG-19,5.0,10.0,20000.0,,False,INE323A01026,16720.35,12700.0,N,,,16618.0,0.63,16615.2,No Band,14953.7,18276.7,ANNUAL GENERAL MEETING/DIVIDEND RS 105 PER SHARE,35879.0,,27-Nov-2019 00:00:00,7.35,16726.95,16727.0,16727.95,16728.0,16728.45,1.0,3.0,1.0,3.0,2.0,EQ,,BOSCHLTD,5699.0,5998.0,467.12,2791.0,7.5
