adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,3085.1,3055.25,,,3091.1,,,,,320.0,,,,,44.75,3091.1,23-SEP-19,21-AUG-19,36399.55,Britannia Industries Limited,Listed,0,0,0,3100.0,3060.0,80754.0,34.27,22-AUG-19,5.0,1.0,3583.75,,False,INE216A01030,3100.0,2300.0,N,,,3060.0,1.46,3055.25,No Band,2749.75,3360.75,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,235618.0,23-AUG-19,27-Nov-2019 00:00:00,6.1,,,,,,,,,,,EQ,,BRITANNIA,320.0,,7269.05,235618.0,7.5
,12.5,3085.1,3055.25,,,3091.1,,,,,320.0,,,,,44.75,3091.1,23-SEP-19,21-AUG-19,36399.55,Britannia Industries Limited,Listed,0,0,0,3100.0,3060.0,80754.0,34.27,22-AUG-19,5.0,1.0,3583.75,,False,INE216A01030,3100.0,2300.0,N,,,3060.0,1.46,3055.25,No Band,2749.75,3360.75,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,235618.0,23-AUG-19,27-Nov-2019 00:00:00,6.1,,,,,,,,,,,EQ,,BRITANNIA,320.0,,7269.05,235618.0,7.5
,12.5,3085.1,3055.25,,,3091.1,,,,,320.0,,,,,44.75,3091.1,23-SEP-19,21-AUG-19,36399.55,Britannia Industries Limited,Listed,0,0,0,3100.0,3060.0,80754.0,34.27,22-AUG-19,5.0,1.0,3583.75,,False,INE216A01030,3100.0,2300.0,N,,,3060.0,1.46,3055.25,No Band,2782.0,3400.2,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,235618.0,23-AUG-19,27-Nov-2019 00:00:00,6.1,,,,,,,,,,,EQ,,BRITANNIA,320.0,,7269.05,235618.0,7.5
,12.5,3085.1,3055.25,,,3091.1,,,,,320.0,,,,,44.75,3091.1,23-SEP-19,21-AUG-19,36399.55,Britannia Industries Limited,Listed,0,0,0,3100.0,3060.0,80754.0,34.27,22-AUG-19,5.0,1.0,3583.75,,False,INE216A01030,3100.0,2300.0,N,,,3060.0,1.46,3055.25,No Band,2782.0,3400.2,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,235618.0,23-AUG-19,27-Nov-2019 00:00:00,6.1,,,,,,,,,,,EQ,,BRITANNIA,320.0,,7269.05,235618.0,7.5
,12.5,3085.1,3055.25,,,3091.1,,,,,320.0,,,,,44.75,3091.1,23-SEP-19,21-AUG-19,36399.55,Britannia Industries Limited,Listed,0,0,0,3100.0,3060.0,80754.0,34.27,22-AUG-19,5.0,1.0,3583.75,,False,INE216A01030,3100.0,2300.0,N,,,3060.0,1.46,3055.25,No Band,2782.0,3400.2,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,235618.0,23-AUG-19,27-Nov-2019 00:00:00,6.1,,,,,,,,,,,EQ,,BRITANNIA,320.0,,7269.05,235618.0,7.5
,12.5,3085.1,3055.25,,,3091.1,,,,,320.0,,,,,44.75,3091.1,23-SEP-19,21-AUG-19,36399.55,Britannia Industries Limited,Listed,0,0,0,3100.0,3060.0,80754.0,34.27,22-AUG-19,5.0,1.0,3583.75,,False,INE216A01030,3100.0,2300.0,N,,,3060.0,1.46,3055.25,No Band,2782.0,3400.2,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,235618.0,23-AUG-19,27-Nov-2019 00:00:00,6.1,,,,,,,,,,,EQ,,BRITANNIA,320.0,,7269.05,235618.0,7.5
,12.5,3085.1,3055.25,,,3091.1,,,,,320.0,,,,,44.75,3091.1,23-SEP-19,21-AUG-19,36399.55,Britannia Industries Limited,Listed,0,0,0,3100.0,3060.0,80754.0,34.27,22-AUG-19,5.0,1.0,3583.75,,False,INE216A01030,3100.0,2300.0,N,,,3060.0,1.46,3055.25,No Band,2782.0,3400.2,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,235618.0,23-AUG-19,27-Nov-2019 00:00:00,6.1,,,,,,,,,,,EQ,,BRITANNIA,320.0,,7269.05,235618.0,7.5
,12.5,3085.1,3091.1,,,3091.1,,,,,320.0,,,,,8.9,3091.1,23-SEP-19,21-AUG-19,36399.55,Britannia Industries Limited,Listed,0,0,0,3100.0,3060.0,80754.0,34.27,22-AUG-19,5.0,1.0,3583.75,,False,INE216A01030,3100.0,2300.0,N,,,3060.0,0.29,3055.25,No Band,2782.0,3400.2,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,235618.0,23-AUG-19,27-Nov-2019 00:00:00,6.1,,,,,,,,,,,EQ,,BRITANNIA,320.0,,7269.05,235618.0,7.5
,12.5,3107.78,3091.1,,,3103.0,3102.9,3101.1,3101.0,3100.1,5.0,20.0,37.0,91.0,65.0,11.9,0.0,23-SEP-19,21-AUG-19,36399.55,Britannia Industries Limited,Listed,0,0,0,3110.4,3100.0,80754.0,34.27,22-AUG-19,5.0,1.0,3583.75,,False,INE216A01030,3103.0,2300.0,N,,,3110.4,0.38,3091.1,No Band,2782.0,3400.2,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,235618.0,23-AUG-19,27-Nov-2019 00:00:00,6.1,3104.9,3104.95,3105.0,3105.55,3106.5,16.0,56.0,10.0,200.0,200.0,EQ,,BRITANNIA,16027.0,23094.0,43.42,1397.0,7.5
,12.5,3098.24,3091.1,,,3095.25,3095.2,3095.0,3094.85,3094.5,15.0,9.0,453.0,9.0,40.0,4.15,0.0,23-SEP-19,21-AUG-19,36399.55,Britannia Industries Limited,Listed,0,0,0,3110.4,3093.05,80754.0,34.27,22-AUG-19,5.0,1.0,3583.75,,False,INE216A01030,3095.25,2300.0,N,,,3110.4,0.13,3091.1,No Band,2782.0,3400.2,SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,235618.0,23-AUG-19,27-Nov-2019 00:00:00,6.1,3096.85,3097.0,3097.05,3097.3,3097.4,2.0,100.0,68.0,20.0,30.0,EQ,,BRITANNIA,28837.0,35669.0,275.53,8893.0,7.5
