adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,255.75,255.8,09-AUG-19,29-JUL-19,254.95,,,,,2551.0,,,,,-0.20,254.95,03-DEC-18,22-AUG-19,6525.08,Cadila Healthcare Limited,Listed,0,0,0,258.95,252.6,1483147.0,70.32,25-JUL-19,5.0,1.0,369.0,,False,INE010B01027,255.6,206.5,N,,,255.8,-0.08,255.8,No Band,230.25,281.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 per share,2109146.0,,27-Nov-2019 00:00:00,6.85,,,,,,,,,,,EQ,,CADILAHC,2551.0,,5394.14,2109146.0,7.5
,12.5,255.75,255.8,09-AUG-19,29-JUL-19,254.95,,,,,2551.0,,,,,-0.20,254.95,03-DEC-18,22-AUG-19,6525.08,Cadila Healthcare Limited,Listed,0,0,0,258.95,252.6,1483147.0,70.32,25-JUL-19,5.0,1.0,369.0,,False,INE010B01027,255.6,206.5,N,,,255.8,-0.08,255.8,No Band,229.5,280.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 per share,2109146.0,,27-Nov-2019 00:00:00,6.85,,,,,,,,,,,EQ,,CADILAHC,2551.0,,5394.14,2109146.0,7.5
,12.5,255.75,255.8,09-AUG-19,29-JUL-19,254.95,,,,,2551.0,,,,,-0.20,254.95,03-DEC-18,22-AUG-19,6525.08,Cadila Healthcare Limited,Listed,0,0,0,258.95,252.6,1483147.0,70.32,25-JUL-19,5.0,1.0,369.0,,False,INE010B01027,255.6,206.5,N,,,255.8,-0.08,255.8,No Band,229.5,280.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 per share,2109146.0,,27-Nov-2019 00:00:00,6.85,,,,,,,,,,,EQ,,CADILAHC,2551.0,,5394.14,2109146.0,7.5
,12.5,255.75,255.8,09-AUG-19,29-JUL-19,254.95,,,,,2551.0,,,,,-0.20,254.95,03-DEC-18,22-AUG-19,6525.08,Cadila Healthcare Limited,Listed,0,0,0,258.95,252.6,1483147.0,70.32,25-JUL-19,5.0,1.0,369.0,,False,INE010B01027,255.6,206.5,N,,,255.8,-0.08,255.8,No Band,229.5,280.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 per share,2109146.0,,27-Nov-2019 00:00:00,6.85,,,,,,,,,,,EQ,,CADILAHC,2551.0,,5394.14,2109146.0,7.5
,12.5,255.75,255.8,09-AUG-19,29-JUL-19,254.95,,,,,2551.0,,,,,-0.20,254.95,03-DEC-18,22-AUG-19,6525.08,Cadila Healthcare Limited,Listed,0,0,0,258.95,252.6,1483147.0,70.32,25-JUL-19,5.0,1.0,369.0,,False,INE010B01027,255.6,206.5,N,,,255.8,-0.08,255.8,No Band,229.5,280.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 per share,2109146.0,,27-Nov-2019 00:00:00,6.85,,,,,,,,,,,EQ,,CADILAHC,2551.0,,5394.14,2109146.0,7.5
,12.5,255.75,255.8,09-AUG-19,29-JUL-19,254.95,,,,,2551.0,,,,,-0.20,254.95,03-DEC-18,22-AUG-19,6525.08,Cadila Healthcare Limited,Listed,0,0,0,258.95,252.6,1483147.0,70.32,25-JUL-19,5.0,1.0,369.0,,False,INE010B01027,255.6,206.5,N,,,255.8,-0.08,255.8,No Band,229.5,280.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 per share,2109146.0,,27-Nov-2019 00:00:00,6.85,,,,,,,,,,,EQ,,CADILAHC,2551.0,,5394.14,2109146.0,7.5
,12.5,255.75,254.95,09-AUG-19,29-JUL-19,254.95,,,,,2551.0,,,,,0.65,254.95,03-DEC-18,22-AUG-19,6525.08,Cadila Healthcare Limited,Listed,0,0,0,258.95,252.6,1483147.0,70.32,25-JUL-19,5.0,1.0,369.0,,False,INE010B01027,255.6,206.5,N,,,255.8,0.25,255.8,No Band,229.5,280.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 per share,2109146.0,,27-Nov-2019 00:00:00,6.85,,,,,,,,,,,EQ,,CADILAHC,2551.0,,5394.14,2109146.0,7.5
,12.5,254.26,254.95,09-AUG-19,29-JUL-19,254.75,254.7,254.65,254.6,254.55,235.0,75.0,403.0,75.0,2147.0,,0.0,03-DEC-18,22-AUG-19,6525.08,Cadila Healthcare Limited,Listed,0,0,0,254.95,253.6,1483147.0,70.32,25-JUL-19,5.0,1.0,369.0,,False,INE010B01027,254.95,206.5,N,,,254.95,0.0,254.95,No Band,229.5,280.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 per share,2109146.0,,27-Nov-2019 00:00:00,6.85,254.95,255.0,255.05,255.1,255.15,295.0,101.0,132.0,966.0,664.0,EQ,,CADILAHC,165751.0,139976.0,47.72,18768.0,7.5
,12.5,254.26,254.95,09-AUG-19,29-JUL-19,254.75,254.7,254.65,254.6,254.55,235.0,75.0,403.0,75.0,2147.0,,0.0,03-DEC-18,22-AUG-19,6525.08,Cadila Healthcare Limited,Listed,0,0,0,254.95,253.6,1483147.0,70.32,25-JUL-19,5.0,1.0,369.0,,False,INE010B01027,254.95,206.5,N,,,254.95,0.0,254.95,No Band,229.5,280.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 per share,2109146.0,,27-Nov-2019 00:00:00,6.85,254.95,255.0,255.05,255.1,255.15,295.0,101.0,132.0,966.0,664.0,EQ,,CADILAHC,165751.0,139976.0,47.72,18768.0,7.5
,12.5,254.93,254.95,09-AUG-19,29-JUL-19,255.05,255.0,254.9,254.85,254.8,40.0,136.0,234.0,20.0,1720.0,0.1,0.0,03-DEC-18,22-AUG-19,6525.08,Cadila Healthcare Limited,Listed,0,0,0,255.8,253.6,1483147.0,70.32,25-JUL-19,5.0,1.0,369.0,,False,INE010B01027,255.05,206.5,N,,,254.95,0.04,254.95,No Band,229.5,280.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 3.50 per share,2109146.0,,27-Nov-2019 00:00:00,6.85,255.1,255.15,255.2,255.25,255.3,110.0,317.0,78.0,350.0,770.0,EQ,,CADILAHC,173924.0,150351.0,123.62,48490.0,7.5
