adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,13.31,224.84,222.7,25-JUL-19,19-JUL-19,,,,,,,,,,,5.0,227.15,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,228.0,222.7,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,227.7,170.6,N,,,223.0,2.25,222.7,No Band,200.45,244.95,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,227.15,,,,,14.0,,,,,EQ,,CANBK,,14.0,13407.11,5962956.0,8.31
,13.31,224.84,222.7,25-JUL-19,19-JUL-19,,,,,,,,,,,5.0,227.15,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,228.0,222.7,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,227.7,170.6,N,,,223.0,2.25,222.7,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,227.15,,,,,14.0,,,,,EQ,,CANBK,,14.0,13407.11,5962956.0,8.31
,13.31,224.84,222.7,25-JUL-19,19-JUL-19,,,,,,,,,,,5.0,227.15,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,228.0,222.7,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,227.7,170.6,N,,,223.0,2.25,222.7,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,227.15,,,,,14.0,,,,,EQ,,CANBK,,14.0,13407.11,5962956.0,8.31
,13.31,224.84,222.7,25-JUL-19,19-JUL-19,,,,,,,,,,,5.0,227.15,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,228.0,222.7,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,227.7,170.6,N,,,223.0,2.25,222.7,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,227.15,,,,,14.0,,,,,EQ,,CANBK,,14.0,13407.11,5962956.0,8.31
,13.31,224.84,222.7,25-JUL-19,19-JUL-19,,,,,,,,,,,5.0,227.15,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,228.0,222.7,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,227.7,170.6,N,,,223.0,2.25,222.7,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,227.15,,,,,14.0,,,,,EQ,,CANBK,,14.0,13407.11,5962956.0,8.31
,13.31,224.84,222.7,25-JUL-19,19-JUL-19,,,,,,,,,,,5.0,227.15,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,228.0,222.7,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,227.7,170.6,N,,,223.0,2.25,222.7,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,227.15,,,,,14.0,,,,,EQ,,CANBK,,14.0,13407.11,5962956.0,8.31
,13.31,224.84,227.15,25-JUL-19,19-JUL-19,,,,,,,,,,,0.55,227.15,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,228.0,222.7,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,227.7,170.6,N,,,223.0,0.24,222.7,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,227.15,,,,,14.0,,,,,EQ,,CANBK,,14.0,13407.11,5962956.0,8.31
,13.31,229.13,227.15,25-JUL-19,19-JUL-19,229.15,229.1,229.05,229.0,228.95,833.0,105.0,518.0,6174.0,1855.0,2.05,0.0,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,229.65,228.5,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,229.2,170.6,N,,,228.55,0.9,227.15,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,229.25,229.3,229.35,229.4,229.45,397.0,2100.0,340.0,875.0,2000.0,EQ,,CANBK,351452.0,269947.0,587.36,256344.0,8.31
,13.31,229.04,227.15,25-JUL-19,19-JUL-19,228.7,228.65,228.6,228.55,228.5,883.0,2120.0,1994.0,3515.0,6140.0,1.75,0.0,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,229.65,228.5,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,228.9,170.6,N,,,228.55,0.77,227.15,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,228.85,228.9,228.95,229.0,229.05,7.0,1000.0,2968.0,19986.0,992.0,EQ,,CANBK,378691.0,357278.0,868.53,379206.0,8.31
,13.31,228.99,227.15,25-JUL-19,19-JUL-19,228.9,228.85,228.8,228.75,228.7,428.0,960.0,3797.0,6604.0,6782.0,1.85,0.0,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,229.65,228.4,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,229.0,170.6,N,,,228.55,0.81,227.15,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,229.0,229.1,229.15,229.2,229.25,60.0,1351.0,3769.0,8453.0,1819.0,EQ,,CANBK,402698.0,354642.0,1038.34,453444.0,8.31
,13.31,229.35,227.15,25-JUL-19,19-JUL-19,229.25,229.2,229.15,229.1,229.05,904.0,2291.0,2590.0,3555.0,1801.0,2.1,0.0,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,230.5,228.4,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,229.25,170.6,N,,,228.55,0.92,227.15,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,229.4,229.45,229.5,229.55,229.6,798.0,1543.0,4999.0,3710.0,3243.0,EQ,,CANBK,462015.0,449533.0,2200.98,959659.0,8.31
,13.31,229.34,227.15,25-JUL-19,19-JUL-19,229.35,229.3,229.25,229.2,229.15,970.0,677.0,4071.0,4411.0,2839.0,2.35,0.0,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,230.5,228.4,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,229.5,170.6,N,,,228.55,1.03,227.15,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,229.45,229.5,229.55,229.6,229.65,300.0,4518.0,2592.0,5224.0,3156.0,EQ,,CANBK,499502.0,469269.0,2535.22,1105441.0,8.31
,13.31,229.33,227.15,25-JUL-19,19-JUL-19,229.2,229.15,229.1,229.05,229.0,1775.0,2401.0,1713.0,3618.0,5168.0,2.05,0.0,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,230.5,228.4,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,229.2,170.6,N,,,228.55,0.9,227.15,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,229.35,229.4,229.45,229.5,229.55,8120.0,1844.0,679.0,7918.0,3212.0,EQ,,CANBK,524007.0,574876.0,2783.03,1213547.0,8.31
,13.31,229.31,227.15,25-JUL-19,19-JUL-19,229.5,229.45,229.4,229.35,229.3,740.0,3979.0,4887.0,2970.0,6266.0,2.35,0.0,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,230.5,228.4,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,229.5,170.6,N,,,228.55,1.03,227.15,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,229.55,229.6,229.65,229.7,229.75,6272.0,146.0,1592.0,4100.0,5646.0,EQ,,CANBK,674486.0,735513.0,3129.95,1364944.0,8.31
,13.31,229.33,227.15,25-JUL-19,19-JUL-19,229.85,229.8,229.75,229.7,229.65,887.0,1564.0,2756.0,5085.0,9293.0,2.85,0.0,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,230.5,228.4,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,230.0,170.6,N,,,228.55,1.25,227.15,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,230.0,230.05,230.1,230.15,230.2,32426.0,983.0,1639.0,6026.0,5751.0,EQ,,CANBK,702156.0,730695.0,3336.5,1454889.0,8.31
,13.31,229.35,227.15,25-JUL-19,19-JUL-19,229.8,229.75,229.7,229.65,229.6,933.0,1718.0,3172.0,4653.0,16812.0,2.7,0.0,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,230.5,228.4,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,229.85,170.6,N,,,228.55,1.19,227.15,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,229.85,229.9,229.95,230.0,230.05,954.0,25.0,5098.0,70221.0,1316.0,EQ,,CANBK,695590.0,759581.0,3481.97,1518189.0,8.31
,13.31,229.56,227.15,25-JUL-19,19-JUL-19,230.8,230.75,230.7,230.65,230.6,2296.0,1063.0,3141.0,6930.0,5651.0,3.75,0.0,01-APR-19,01-OCT-19,4619.69,Canara Bank,Listed,0,0,0,231.0,228.4,420499.0,7.05,17-JUL-19,5.0,10.0,302.1,,False,INE476A01014,230.9,170.6,N,,,228.55,1.65,227.15,No Band,204.45,249.85,ANNUAL GENERAL MEETING,5962956.0,,27-Nov-2019 00:00:00,8.31,230.95,231.0,231.05,231.1,231.15,1505.0,19439.0,3746.0,6369.0,7088.0,EQ,,CANBK,760408.0,687694.0,4451.74,1939248.0,8.31
