adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,743.01,731.8,19-JUL-19,12-JUL-19,,,,,,,,,,,13.35,746.95,23-SEP-19,14-MAY-19,4950.67,CESC Limited,Listed,0,0,0,747.95,734.2,88243.0,37.04,10-JUL-19,5.0,10.0,851.7,,False,INE486A01013,745.15,642.6,N,,,734.2,1.82,731.8,No Band,658.65,804.95,ANNUAL GENERAL MEETING,238266.0,,27-Nov-2019 00:00:00,5.7,746.95,,,,,740.0,,,,,EQ,,CESC,,740.0,1770.34,238266.0,7.5
,12.5,743.01,731.8,19-JUL-19,12-JUL-19,,,,,,,,,,,13.35,746.95,23-SEP-19,14-MAY-19,4950.67,CESC Limited,Listed,0,0,0,747.95,734.2,88243.0,37.04,10-JUL-19,5.0,10.0,851.7,,False,INE486A01013,745.15,642.6,N,,,734.2,1.82,731.8,No Band,672.3,821.6,ANNUAL GENERAL MEETING,238266.0,,27-Nov-2019 00:00:00,5.7,746.95,,,,,740.0,,,,,EQ,,CESC,,740.0,1770.34,238266.0,7.5
,12.5,743.01,731.8,19-JUL-19,12-JUL-19,,,,,,,,,,,13.35,746.95,23-SEP-19,14-MAY-19,4950.67,CESC Limited,Listed,0,0,0,747.95,734.2,88243.0,37.04,10-JUL-19,5.0,10.0,851.7,,False,INE486A01013,745.15,642.6,N,,,734.2,1.82,731.8,No Band,672.3,821.6,ANNUAL GENERAL MEETING,238266.0,,27-Nov-2019 00:00:00,5.7,746.95,,,,,740.0,,,,,EQ,,CESC,,740.0,1770.34,238266.0,7.5
,12.5,743.01,731.8,19-JUL-19,12-JUL-19,,,,,,,,,,,13.35,746.95,23-SEP-19,14-MAY-19,4950.67,CESC Limited,Listed,0,0,0,747.95,734.2,88243.0,37.04,10-JUL-19,5.0,10.0,851.7,,False,INE486A01013,745.15,642.6,N,,,734.2,1.82,731.8,No Band,672.3,821.6,ANNUAL GENERAL MEETING,238266.0,,27-Nov-2019 00:00:00,5.7,746.95,,,,,740.0,,,,,EQ,,CESC,,740.0,1770.34,238266.0,7.5
,12.5,743.01,731.8,19-JUL-19,12-JUL-19,,,,,,,,,,,13.35,746.95,23-SEP-19,14-MAY-19,4950.67,CESC Limited,Listed,0,0,0,747.95,734.2,88243.0,37.04,10-JUL-19,5.0,10.0,851.7,,False,INE486A01013,745.15,642.6,N,,,734.2,1.82,731.8,No Band,672.3,821.6,ANNUAL GENERAL MEETING,238266.0,,27-Nov-2019 00:00:00,5.7,746.95,,,,,740.0,,,,,EQ,,CESC,,740.0,1770.34,238266.0,7.5
,12.5,743.01,731.8,19-JUL-19,12-JUL-19,,,,,,,,,,,13.35,746.95,23-SEP-19,14-MAY-19,4950.67,CESC Limited,Listed,0,0,0,747.95,734.2,88243.0,37.04,10-JUL-19,5.0,10.0,851.7,,False,INE486A01013,745.15,642.6,N,,,734.2,1.82,731.8,No Band,672.3,821.6,ANNUAL GENERAL MEETING,238266.0,,27-Nov-2019 00:00:00,5.7,746.95,,,,,740.0,,,,,EQ,,CESC,,740.0,1770.34,238266.0,7.5
,12.5,743.01,746.95,19-JUL-19,12-JUL-19,,,,,,,,,,,-1.80,746.95,23-SEP-19,14-MAY-19,4950.67,CESC Limited,Listed,0,0,0,747.95,734.2,88243.0,37.04,10-JUL-19,5.0,10.0,851.7,,False,INE486A01013,745.15,642.6,N,,,734.2,-0.24,731.8,No Band,672.3,821.6,ANNUAL GENERAL MEETING,238266.0,,27-Nov-2019 00:00:00,5.7,746.95,,,,,740.0,,,,,EQ,,CESC,,740.0,1770.34,238266.0,7.5
,12.5,748.17,746.95,19-JUL-19,12-JUL-19,747.95,747.9,747.7,747.65,747.6,90.0,114.0,102.0,55.0,74.0,0.95,0.0,23-SEP-19,14-MAY-19,4950.67,CESC Limited,Listed,0,0,0,750.7,742.2,88243.0,37.04,10-JUL-19,5.0,10.0,851.7,,False,INE486A01013,747.9,642.6,N,,,747.8,0.13,746.95,No Band,672.3,821.6,ANNUAL GENERAL MEETING,238266.0,,27-Nov-2019 00:00:00,5.7,748.25,748.65,748.95,749.0,749.2,10.0,149.0,1.0,25.0,48.0,EQ,,CESC,63176.0,60547.0,113.47,15167.0,7.5
,12.5,748.19,746.95,19-JUL-19,12-JUL-19,747.15,747.1,747.05,747.0,746.8,41.0,14.0,32.0,82.0,32.0,0.15,0.0,23-SEP-19,14-MAY-19,4950.67,CESC Limited,Listed,0,0,0,750.7,742.2,88243.0,37.04,10-JUL-19,5.0,10.0,851.7,,False,INE486A01013,747.1,642.6,N,,,747.8,0.02,746.95,No Band,672.3,821.6,ANNUAL GENERAL MEETING,238266.0,,27-Nov-2019 00:00:00,5.7,747.8,747.85,748.0,748.2,748.25,40.0,67.0,80.0,41.0,10.0,EQ,,CESC,62281.0,60749.0,106.74,14267.0,7.5
,12.5,747.92,746.95,19-JUL-19,12-JUL-19,744.5,744.4,744.1,744.05,744.0,300.0,20.0,74.0,7.0,219.0,-1.65,0.0,23-SEP-19,14-MAY-19,4950.67,CESC Limited,Listed,0,0,0,750.7,742.2,88243.0,37.04,10-JUL-19,5.0,10.0,851.7,,False,INE486A01013,745.3,642.6,N,,,747.8,-0.22,746.95,No Band,672.3,821.6,ANNUAL GENERAL MEETING,238266.0,,27-Nov-2019 00:00:00,5.7,745.1,745.15,745.2,745.3,745.35,41.0,88.0,99.0,203.0,45.0,EQ,,CESC,65684.0,69918.0,148.59,19867.0,7.5
