adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,468.09,478.55,16-AUG-19,02-AUG-19,468.0,,,,,238.0,,,,,-10.55,468.0,27-MAY-19,11-OCT-19,23762.77,Cipla Limited,Listed,0,0,0,475.0,464.55,944164.0,27.02,31-JUL-19,5.0,2.0,586.0,,False,INE059A01026,468.0,389.55,N,,,475.0,-2.20,478.55,No Band,430.7,526.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,3494515.0,,27-Nov-2019 00:00:00,5.92,,,,,,,,,,,EQ,,CIPLA,238.0,,16357.48,3494515.0,7.5
,12.5,468.09,478.55,16-AUG-19,02-AUG-19,468.0,,,,,238.0,,,,,-10.55,468.0,27-MAY-19,11-OCT-19,23762.77,Cipla Limited,Listed,0,0,0,475.0,464.55,944164.0,27.02,31-JUL-19,5.0,2.0,586.0,,False,INE059A01026,468.0,389.55,N,,,475.0,-2.20,478.55,No Band,421.2,514.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,3494515.0,,27-Nov-2019 00:00:00,5.92,,,,,,,,,,,EQ,,CIPLA,238.0,,16357.48,3494515.0,7.5
,12.5,468.09,478.55,16-AUG-19,02-AUG-19,468.0,,,,,238.0,,,,,-10.55,468.0,27-MAY-19,11-OCT-19,23762.77,Cipla Limited,Listed,0,0,0,475.0,464.55,944164.0,27.02,31-JUL-19,5.0,2.0,586.0,,False,INE059A01026,468.0,389.55,N,,,475.0,-2.20,478.55,No Band,421.2,514.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,3494515.0,,27-Nov-2019 00:00:00,5.92,,,,,,,,,,,EQ,,CIPLA,238.0,,16357.48,3494515.0,7.5
,12.5,468.09,478.55,16-AUG-19,02-AUG-19,468.0,,,,,238.0,,,,,-10.55,468.0,27-MAY-19,11-OCT-19,23762.77,Cipla Limited,Listed,0,0,0,475.0,464.55,944164.0,27.02,31-JUL-19,5.0,2.0,586.0,,False,INE059A01026,468.0,389.55,N,,,475.0,-2.20,478.55,No Band,421.2,514.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,3494515.0,,27-Nov-2019 00:00:00,5.92,,,,,,,,,,,EQ,,CIPLA,238.0,,16357.48,3494515.0,7.5
,12.5,468.09,478.55,16-AUG-19,02-AUG-19,468.0,,,,,238.0,,,,,-10.55,468.0,27-MAY-19,11-OCT-19,23762.77,Cipla Limited,Listed,0,0,0,475.0,464.55,944164.0,27.02,31-JUL-19,5.0,2.0,586.0,,False,INE059A01026,468.0,389.55,N,,,475.0,-2.20,478.55,No Band,421.2,514.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,3494515.0,,27-Nov-2019 00:00:00,5.92,,,,,,,,,,,EQ,,CIPLA,238.0,,16357.48,3494515.0,7.5
,12.5,468.09,478.55,16-AUG-19,02-AUG-19,468.0,,,,,238.0,,,,,-10.55,468.0,27-MAY-19,11-OCT-19,23762.77,Cipla Limited,Listed,0,0,0,475.0,464.55,944164.0,27.02,31-JUL-19,5.0,2.0,586.0,,False,INE059A01026,468.0,389.55,N,,,475.0,-2.20,478.55,No Band,421.2,514.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,3494515.0,,27-Nov-2019 00:00:00,5.92,,,,,,,,,,,EQ,,CIPLA,238.0,,16357.48,3494515.0,7.5
,12.5,468.09,478.55,16-AUG-19,02-AUG-19,468.0,,,,,238.0,,,,,-10.55,468.0,27-MAY-19,11-OCT-19,23762.77,Cipla Limited,Listed,0,0,0,475.0,464.55,944164.0,27.02,31-JUL-19,5.0,2.0,586.0,,False,INE059A01026,468.0,389.55,N,,,475.0,-2.20,478.55,No Band,421.2,514.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,3494515.0,,27-Nov-2019 00:00:00,5.92,,,,,,,,,,,EQ,,CIPLA,238.0,,16357.48,3494515.0,7.5
,12.5,474.45,468.0,16-AUG-19,02-AUG-19,475.4,475.35,475.3,475.25,475.2,124.0,10.0,180.0,300.0,325.0,7.4,0.0,27-MAY-19,11-OCT-19,23762.77,Cipla Limited,Listed,0,0,0,476.5,472.0,944164.0,27.02,31-JUL-19,5.0,2.0,586.0,,False,INE059A01026,475.4,389.55,N,,,472.0,1.58,468.0,No Band,421.2,514.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,3494515.0,,27-Nov-2019 00:00:00,5.92,475.5,475.65,475.7,475.75,475.85,30.0,126.0,100.0,750.0,57.0,EQ,,CIPLA,236440.0,186143.0,1559.73,328745.0,7.5
,12.5,474.45,468.0,16-AUG-19,02-AUG-19,475.4,475.35,475.3,475.25,475.2,124.0,10.0,180.0,300.0,325.0,7.4,0.0,27-MAY-19,11-OCT-19,23762.77,Cipla Limited,Listed,0,0,0,476.5,472.0,944164.0,27.02,31-JUL-19,5.0,2.0,586.0,,False,INE059A01026,475.4,389.55,N,,,472.0,1.58,468.0,No Band,421.2,514.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,3494515.0,,27-Nov-2019 00:00:00,5.92,475.5,475.65,475.7,475.75,475.85,30.0,126.0,100.0,750.0,57.0,EQ,,CIPLA,236440.0,186143.0,1559.73,328745.0,7.5
,12.5,474.57,468.0,16-AUG-19,02-AUG-19,474.3,474.25,474.2,474.15,474.1,21.0,100.0,90.0,180.0,118.0,6.2,0.0,27-MAY-19,11-OCT-19,23762.77,Cipla Limited,Listed,0,0,0,476.5,472.0,944164.0,27.02,31-JUL-19,5.0,2.0,586.0,,False,INE059A01026,474.2,389.55,N,,,472.0,1.32,468.0,No Band,421.2,514.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,3494515.0,,27-Nov-2019 00:00:00,5.92,474.4,474.45,474.5,474.55,474.6,633.0,990.0,180.0,660.0,673.0,EQ,,CIPLA,225786.0,247055.0,2092.18,440858.0,7.5
,12.5,474.41,468.0,16-AUG-19,02-AUG-19,473.95,473.8,473.75,473.7,473.65,105.0,131.0,117.0,171.0,21.0,6.05,0.0,27-MAY-19,11-OCT-19,23762.77,Cipla Limited,Listed,0,0,0,476.5,472.0,944164.0,27.02,31-JUL-19,5.0,2.0,586.0,,False,INE059A01026,474.05,389.55,N,,,472.0,1.29,468.0,No Band,421.2,514.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,3494515.0,,27-Nov-2019 00:00:00,5.92,474.0,474.1,474.15,474.2,474.25,40.0,100.0,77.0,177.0,414.0,EQ,,CIPLA,214705.0,260904.0,2467.16,520049.0,7.5
,12.5,474.36,468.0,16-AUG-19,02-AUG-19,474.1,474.0,473.9,473.85,473.8,150.0,154.0,244.0,414.0,110.0,6.1,0.0,27-MAY-19,11-OCT-19,23762.77,Cipla Limited,Listed,0,0,0,476.5,472.0,944164.0,27.02,31-JUL-19,5.0,2.0,586.0,,False,INE059A01026,474.1,389.55,N,,,472.0,1.3,468.0,No Band,421.2,514.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 3 PER SHARE,3494515.0,,27-Nov-2019 00:00:00,5.92,474.15,474.2,474.25,474.3,474.35,5.0,410.0,64.0,174.0,823.0,EQ,,CIPLA,288334.0,348378.0,2810.73,592531.0,7.5
