adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,199.94,197.75,21-AUG-19,14-AUG-19,201.0,,,,,5088.0,,,,,3.35,201.0,06-JUN-19,22-AUG-19,35922.54,Coal India Limited,Listed,0,0,0,201.7,196.2,2164338.0,49.43,09-AUG-19,5.0,10.0,271.45,,False,INE522F01014,201.1,177.7,N,,,197.5,1.69,197.75,No Band,178.0,217.5,ANNUAL GENERAL MEETING,4378518.0,,27-Nov-2019 00:00:00,6.43,,,,,,,,,,,EQ,,COALINDIA,5088.0,,8754.41,4378518.0,7.5
,12.5,199.94,197.75,21-AUG-19,14-AUG-19,201.0,,,,,5088.0,,,,,3.35,201.0,06-JUN-19,22-AUG-19,35922.54,Coal India Limited,Listed,0,0,0,201.7,196.2,2164338.0,49.43,09-AUG-19,5.0,10.0,271.45,,False,INE522F01014,201.1,177.7,N,,,197.5,1.69,197.75,No Band,180.9,221.1,ANNUAL GENERAL MEETING,4378518.0,,27-Nov-2019 00:00:00,6.43,,,,,,,,,,,EQ,,COALINDIA,5088.0,,8754.41,4378518.0,7.5
,12.5,199.94,197.75,21-AUG-19,14-AUG-19,201.0,,,,,5088.0,,,,,3.35,201.0,06-JUN-19,22-AUG-19,35922.54,Coal India Limited,Listed,0,0,0,201.7,196.2,2164338.0,49.43,09-AUG-19,5.0,10.0,271.45,,False,INE522F01014,201.1,177.7,N,,,197.5,1.69,197.75,No Band,180.9,221.1,ANNUAL GENERAL MEETING,4378518.0,,27-Nov-2019 00:00:00,6.43,,,,,,,,,,,EQ,,COALINDIA,5088.0,,8754.41,4378518.0,7.5
,12.5,199.94,197.75,21-AUG-19,14-AUG-19,201.0,,,,,5088.0,,,,,3.35,201.0,06-JUN-19,22-AUG-19,35922.54,Coal India Limited,Listed,0,0,0,201.7,196.2,2164338.0,49.43,09-AUG-19,5.0,10.0,271.45,,False,INE522F01014,201.1,177.7,N,,,197.5,1.69,197.75,No Band,180.9,221.1,ANNUAL GENERAL MEETING,4378518.0,,27-Nov-2019 00:00:00,6.43,,,,,,,,,,,EQ,,COALINDIA,5088.0,,8754.41,4378518.0,7.5
,12.5,199.94,197.75,21-AUG-19,14-AUG-19,201.0,,,,,5088.0,,,,,3.35,201.0,06-JUN-19,22-AUG-19,35922.54,Coal India Limited,Listed,0,0,0,201.7,196.2,2164338.0,49.43,09-AUG-19,5.0,10.0,271.45,,False,INE522F01014,201.1,177.7,N,,,197.5,1.69,197.75,No Band,180.9,221.1,ANNUAL GENERAL MEETING,4378518.0,,27-Nov-2019 00:00:00,6.43,,,,,,,,,,,EQ,,COALINDIA,5088.0,,8754.41,4378518.0,7.5
,12.5,199.94,197.75,21-AUG-19,14-AUG-19,201.0,,,,,5088.0,,,,,3.35,201.0,06-JUN-19,22-AUG-19,35922.54,Coal India Limited,Listed,0,0,0,201.7,196.2,2164338.0,49.43,09-AUG-19,5.0,10.0,271.45,,False,INE522F01014,201.1,177.7,N,,,197.5,1.69,197.75,No Band,180.9,221.1,ANNUAL GENERAL MEETING,4378518.0,,27-Nov-2019 00:00:00,6.43,,,,,,,,,,,EQ,,COALINDIA,5088.0,,8754.41,4378518.0,7.5
,12.5,199.94,197.75,21-AUG-19,14-AUG-19,201.0,,,,,5088.0,,,,,3.35,201.0,06-JUN-19,22-AUG-19,35922.54,Coal India Limited,Listed,0,0,0,201.7,196.2,2164338.0,49.43,09-AUG-19,5.0,10.0,271.45,,False,INE522F01014,201.1,177.7,N,,,197.5,1.69,197.75,No Band,180.9,221.1,ANNUAL GENERAL MEETING,4378518.0,,27-Nov-2019 00:00:00,6.43,,,,,,,,,,,EQ,,COALINDIA,5088.0,,8754.41,4378518.0,7.5
,12.5,200.38,201.0,21-AUG-19,14-AUG-19,200.0,199.95,199.9,199.85,199.8,1991.0,2200.0,243.0,2012.0,1898.0,-0.85,0.0,06-JUN-19,22-AUG-19,35922.54,Coal India Limited,Listed,0,0,0,201.5,199.8,2164338.0,49.43,09-AUG-19,5.0,10.0,271.45,,False,INE522F01014,200.15,177.7,N,,,200.55,-0.42,201.0,No Band,180.9,221.1,ANNUAL GENERAL MEETING,4378518.0,,27-Nov-2019 00:00:00,6.43,200.15,200.2,200.25,200.3,200.35,1276.0,400.0,5804.0,3967.0,1029.0,EQ,,COALINDIA,294778.0,317583.0,283.34,141399.0,7.5
,12.5,200.43,201.0,21-AUG-19,14-AUG-19,200.3,200.25,200.2,200.15,200.1,86.0,1950.0,3244.0,1908.0,3982.0,-0.70,0.0,06-JUN-19,22-AUG-19,35922.54,Coal India Limited,Listed,0,0,0,201.5,199.8,2164338.0,49.43,09-AUG-19,5.0,10.0,271.45,,False,INE522F01014,200.3,177.7,N,,,200.55,-0.35,201.0,No Band,180.9,221.1,ANNUAL GENERAL MEETING,4378518.0,,27-Nov-2019 00:00:00,6.43,200.35,200.4,200.45,200.5,200.55,678.0,628.0,1630.0,2397.0,1627.0,EQ,,COALINDIA,334585.0,337013.0,450.93,224980.0,7.5
,12.5,200.4,201.0,21-AUG-19,14-AUG-19,200.45,200.4,200.35,200.3,200.25,192.0,935.0,839.0,1567.0,5631.0,-0.55,0.0,06-JUN-19,22-AUG-19,35922.54,Coal India Limited,Listed,0,0,0,201.5,199.8,2164338.0,49.43,09-AUG-19,5.0,10.0,271.45,,False,INE522F01014,200.45,177.7,N,,,200.55,-0.27,201.0,No Band,180.9,221.1,ANNUAL GENERAL MEETING,4378518.0,,27-Nov-2019 00:00:00,6.43,200.55,200.6,200.65,200.7,200.75,475.0,2415.0,3891.0,2779.0,1824.0,EQ,,COALINDIA,348013.0,347911.0,631.73,315234.0,7.5
