adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1478.07,1493.9,,,1474.65,,,,,888.0,,,,,-16.80,1474.65,08-NOV-19,14-MAY-19,19653.1,Colgate Palmolive (India) Limited,Listed,0,0,0,1487.9,1470.1,398504.0,53.76,05-NOV-19,5.0,1.0,1642.6,,False,INE259A01022,1477.1,1103.05,N,,,1484.0,-1.12,1493.9,No Band,1344.55,1643.25,INTERIM DIVIDEND - RS 12 PER SH,741239.0,06-NOV-19,27-Nov-2019 00:00:00,5.77,,,,,,,,,,,EQ,,COLPAL,888.0,,10956.03,741239.0,7.5
,12.5,1478.07,1493.9,,,1474.65,,,,,888.0,,,,,-16.80,1474.65,08-NOV-19,14-MAY-19,19653.1,Colgate Palmolive (India) Limited,Listed,0,0,0,1487.9,1470.1,398504.0,53.76,05-NOV-19,5.0,1.0,1642.6,,False,INE259A01022,1477.1,1103.05,N,,,1484.0,-1.12,1493.9,No Band,1327.2,1622.1,INTERIM DIVIDEND - RS 12 PER SH,741239.0,06-NOV-19,27-Nov-2019 00:00:00,5.77,,,,,,,,,,,EQ,,COLPAL,888.0,,10956.03,741239.0,7.5
,12.5,1478.07,1493.9,,,1474.65,,,,,888.0,,,,,-16.80,1474.65,08-NOV-19,14-MAY-19,19653.1,Colgate Palmolive (India) Limited,Listed,0,0,0,1487.9,1470.1,398504.0,53.76,05-NOV-19,5.0,1.0,1642.6,,False,INE259A01022,1477.1,1103.05,N,,,1484.0,-1.12,1493.9,No Band,1327.2,1622.1,INTERIM DIVIDEND - RS 12 PER SH,741239.0,06-NOV-19,27-Nov-2019 00:00:00,5.77,,,,,,,,,,,EQ,,COLPAL,888.0,,10956.03,741239.0,7.5
,12.5,1478.07,1493.9,,,1474.65,,,,,888.0,,,,,-16.80,1474.65,08-NOV-19,14-MAY-19,19653.1,Colgate Palmolive (India) Limited,Listed,0,0,0,1487.9,1470.1,398504.0,53.76,05-NOV-19,5.0,1.0,1642.6,,False,INE259A01022,1477.1,1103.05,N,,,1484.0,-1.12,1493.9,No Band,1327.2,1622.1,INTERIM DIVIDEND - RS 12 PER SH,741239.0,06-NOV-19,27-Nov-2019 00:00:00,5.77,,,,,,,,,,,EQ,,COLPAL,888.0,,10956.03,741239.0,7.5
,12.5,1478.07,1493.9,,,1474.65,,,,,888.0,,,,,-16.80,1474.65,08-NOV-19,14-MAY-19,19653.1,Colgate Palmolive (India) Limited,Listed,0,0,0,1487.9,1470.1,398504.0,53.76,05-NOV-19,5.0,1.0,1642.6,,False,INE259A01022,1477.1,1103.05,N,,,1484.0,-1.12,1493.9,No Band,1327.2,1622.1,INTERIM DIVIDEND - RS 12 PER SH,741239.0,06-NOV-19,27-Nov-2019 00:00:00,5.77,,,,,,,,,,,EQ,,COLPAL,888.0,,10956.03,741239.0,7.5
,12.5,1478.07,1493.9,,,1474.65,,,,,888.0,,,,,-16.80,1474.65,08-NOV-19,14-MAY-19,19653.1,Colgate Palmolive (India) Limited,Listed,0,0,0,1487.9,1470.1,398504.0,53.76,05-NOV-19,5.0,1.0,1642.6,,False,INE259A01022,1477.1,1103.05,N,,,1484.0,-1.12,1493.9,No Band,1327.2,1622.1,INTERIM DIVIDEND - RS 12 PER SH,741239.0,06-NOV-19,27-Nov-2019 00:00:00,5.77,,,,,,,,,,,EQ,,COLPAL,888.0,,10956.03,741239.0,7.5
,12.5,1478.07,1493.9,,,1474.65,,,,,888.0,,,,,-16.80,1474.65,08-NOV-19,14-MAY-19,19653.1,Colgate Palmolive (India) Limited,Listed,0,0,0,1487.9,1470.1,398504.0,53.76,05-NOV-19,5.0,1.0,1642.6,,False,INE259A01022,1477.1,1103.05,N,,,1484.0,-1.12,1493.9,No Band,1327.2,1622.1,INTERIM DIVIDEND - RS 12 PER SH,741239.0,06-NOV-19,27-Nov-2019 00:00:00,5.77,,,,,,,,,,,EQ,,COLPAL,888.0,,10956.03,741239.0,7.5
,12.5,1478.07,1474.65,,,1474.65,,,,,888.0,,,,,2.45,1474.65,08-NOV-19,14-MAY-19,19653.1,Colgate Palmolive (India) Limited,Listed,0,0,0,1487.9,1470.1,398504.0,53.76,05-NOV-19,5.0,1.0,1642.6,,False,INE259A01022,1477.1,1103.05,N,,,1484.0,0.17,1493.9,No Band,1327.2,1622.1,INTERIM DIVIDEND - RS 12 PER SH,741239.0,06-NOV-19,27-Nov-2019 00:00:00,5.77,,,,,,,,,,,EQ,,COLPAL,888.0,,10956.03,741239.0,7.5
,12.5,1480.01,1474.65,,,1477.1,1477.0,1476.35,1476.3,1476.15,247.0,22.0,33.0,43.0,82.0,2.5,0.0,08-NOV-19,14-MAY-19,19653.1,Colgate Palmolive (India) Limited,Listed,0,0,0,1485.0,1477.1,398504.0,53.76,05-NOV-19,5.0,1.0,1642.6,,False,INE259A01022,1477.15,1103.05,N,,,1480.0,0.17,1474.65,No Band,1327.2,1622.1,INTERIM DIVIDEND - RS 12 PER SH,741239.0,06-NOV-19,27-Nov-2019 00:00:00,5.77,1477.15,1477.85,1477.9,1478.0,1478.05,4.0,33.0,20.0,67.0,13.0,EQ,,COLPAL,56226.0,57648.0,235.37,15903.0,7.5
,12.5,1479.09,1474.65,,,1475.7,1475.65,1475.6,1475.35,1475.3,33.0,2501.0,51.0,10.0,62.0,1.35,0.0,08-NOV-19,14-MAY-19,19653.1,Colgate Palmolive (India) Limited,Listed,0,0,0,1485.0,1475.25,398504.0,53.76,05-NOV-19,5.0,1.0,1642.6,,False,INE259A01022,1476.0,1103.05,N,,,1480.0,0.09,1474.65,No Band,1327.2,1622.1,INTERIM DIVIDEND - RS 12 PER SH,741239.0,06-NOV-19,27-Nov-2019 00:00:00,5.77,1476.0,1476.35,1476.7,1477.0,1477.05,54.0,31.0,67.0,74.0,10.0,EQ,,COLPAL,62602.0,60220.0,321.48,21735.0,7.5
