adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
2.78,41.73,14.38,15.0,,,13.95,,,,,26971.0,,,,,-1.00,13.95,07-JAN-19,25-OCT-19,976.05,Dish TV India Limited,Listed,0,0,0,15.1,13.75,10420667.0,19.02,05-NOV-18,8.01,1.0,42.6,,False,INE836F01026,14.0,10.4,N,,,14.95,-6.67,15.0,No Band,13.5,16.5,INTERIM DIVIDEND - RE 0.50 PER SHARE,54780837.0,06-NOV-18,27-Nov-2019 00:00:00,30.94,,,,,,,,,,,EQ,,DISHTV,26971.0,,7877.48,54780837.0,30.94
2.78,41.73,14.38,15.0,,,13.95,,,,,26971.0,,,,,-1.00,13.95,07-JAN-19,25-OCT-19,976.05,Dish TV India Limited,Listed,0,0,0,15.1,13.75,10420667.0,19.02,05-NOV-18,8.01,1.0,42.6,,False,INE836F01026,14.0,10.4,N,,,14.95,-6.67,15.0,No Band,13.5,16.5,INTERIM DIVIDEND - RE 0.50 PER SHARE,54780837.0,06-NOV-18,27-Nov-2019 00:00:00,30.94,,,,,,,,,,,EQ,,DISHTV,26971.0,,7877.48,54780837.0,30.94
2.78,41.73,14.38,15.0,,,13.95,,,,,26971.0,,,,,-1.00,13.95,07-JAN-19,25-OCT-19,976.05,Dish TV India Limited,Listed,0,0,0,15.1,13.75,10420667.0,19.02,05-NOV-18,8.01,1.0,42.6,,False,INE836F01026,14.0,10.4,N,,,14.95,-6.67,15.0,No Band,12.6,15.3,INTERIM DIVIDEND - RE 0.50 PER SHARE,54780837.0,06-NOV-18,27-Nov-2019 00:00:00,30.94,,,,,,,,,,,EQ,,DISHTV,26971.0,,7877.48,54780837.0,30.94
2.78,41.73,14.38,15.0,,,13.95,,,,,26971.0,,,,,-1.00,13.95,07-JAN-19,25-OCT-19,976.05,Dish TV India Limited,Listed,0,0,0,15.1,13.75,10420667.0,19.02,05-NOV-18,8.01,1.0,42.6,,False,INE836F01026,14.0,10.4,N,,,14.95,-6.67,15.0,No Band,12.6,15.3,INTERIM DIVIDEND - RE 0.50 PER SHARE,54780837.0,06-NOV-18,27-Nov-2019 00:00:00,30.94,,,,,,,,,,,EQ,,DISHTV,26971.0,,7877.48,54780837.0,30.94
2.78,41.73,14.38,15.0,,,13.95,,,,,26971.0,,,,,-1.00,13.95,07-JAN-19,25-OCT-19,976.05,Dish TV India Limited,Listed,0,0,0,15.1,13.75,10420667.0,19.02,05-NOV-18,8.01,1.0,42.6,,False,INE836F01026,14.0,10.4,N,,,14.95,-6.67,15.0,No Band,12.6,15.3,INTERIM DIVIDEND - RE 0.50 PER SHARE,54780837.0,06-NOV-18,27-Nov-2019 00:00:00,30.94,,,,,,,,,,,EQ,,DISHTV,26971.0,,7877.48,54780837.0,30.94
2.78,41.73,14.38,15.0,,,13.95,,,,,26971.0,,,,,-1.00,13.95,07-JAN-19,25-OCT-19,976.05,Dish TV India Limited,Listed,0,0,0,15.1,13.75,10420667.0,19.02,05-NOV-18,8.01,1.0,42.6,,False,INE836F01026,14.0,10.4,N,,,14.95,-6.67,15.0,No Band,12.6,15.3,INTERIM DIVIDEND - RE 0.50 PER SHARE,54780837.0,06-NOV-18,27-Nov-2019 00:00:00,30.94,,,,,,,,,,,EQ,,DISHTV,26971.0,,7877.48,54780837.0,30.94
2.78,41.73,14.38,15.0,,,13.95,,,,,26971.0,,,,,-1.00,13.95,07-JAN-19,25-OCT-19,976.05,Dish TV India Limited,Listed,0,0,0,15.1,13.75,10420667.0,19.02,05-NOV-18,8.01,1.0,42.6,,False,INE836F01026,14.0,10.4,N,,,14.95,-6.67,15.0,No Band,12.6,15.3,INTERIM DIVIDEND - RE 0.50 PER SHARE,54780837.0,06-NOV-18,27-Nov-2019 00:00:00,30.94,,,,,,,,,,,EQ,,DISHTV,26971.0,,7877.48,54780837.0,30.94
2.78,41.73,14.38,13.95,,,13.95,,,,,26971.0,,,,,0.05,13.95,07-JAN-19,25-OCT-19,976.05,Dish TV India Limited,Listed,0,0,0,15.1,13.75,10420667.0,19.02,05-NOV-18,8.01,1.0,42.6,,False,INE836F01026,14.0,10.4,N,,,14.95,0.36,15.0,No Band,12.6,15.3,INTERIM DIVIDEND - RE 0.50 PER SHARE,54780837.0,06-NOV-18,27-Nov-2019 00:00:00,30.94,,,,,,,,,,,EQ,,DISHTV,26971.0,,7877.48,54780837.0,30.94
2.78,41.73,13.96,13.95,,,14.05,14.0,13.95,13.9,13.85,53454.0,136874.0,80279.0,176962.0,75523.0,0.1,0.0,07-JAN-19,25-OCT-19,976.05,Dish TV India Limited,Listed,0,0,0,14.1,13.8,10420667.0,19.02,05-NOV-18,8.01,1.0,42.6,,False,INE836F01026,14.05,10.4,N,,,13.9,0.72,13.95,No Band,12.6,15.3,INTERIM DIVIDEND - RE 0.50 PER SHARE,54780837.0,06-NOV-18,27-Nov-2019 00:00:00,30.94,14.1,14.15,14.2,14.25,14.3,111779.0,62845.0,84008.0,68732.0,51765.0,EQ,,DISHTV,1980339.0,1764382.0,215.64,1544719.0,30.94
2.78,41.73,14.01,13.95,,,13.95,13.9,13.85,13.8,13.75,68172.0,174136.0,179822.0,132836.0,78583.0,,0.0,07-JAN-19,25-OCT-19,976.05,Dish TV India Limited,Listed,0,0,0,14.15,13.8,10420667.0,19.02,05-NOV-18,8.01,1.0,42.6,,False,INE836F01026,13.95,10.4,N,,,13.9,0.0,13.95,No Band,12.6,15.3,INTERIM DIVIDEND - RE 0.50 PER SHARE,54780837.0,06-NOV-18,27-Nov-2019 00:00:00,30.94,14.0,14.05,14.1,14.15,14.2,28436.0,99911.0,160427.0,181258.0,171865.0,EQ,,DISHTV,1944244.0,2479584.0,430.22,3070807.0,30.94
