adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,2969.95,2965.85,19-JUL-19,17-JUL-19,,,,,,,,,,,-6.80,2972.0,27-NOV-19,15-FEB-19,36046.32,Dr. Reddy's Laboratories Limited,Listed,0,0,0,2991.95,2942.3,205884.0,36.86,15-JUL-19,5.0,5.0,2991.95,,False,INE089A01023,2959.05,1872.95,N,,,2960.0,-0.23,2965.85,No Band,2669.3,3262.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 20 PER SHARE,558515.0,,27-Nov-2019 00:00:00,4.83,2972.0,,,,,1439.0,,,,,EQ,,DRREDDY,,1439.0,16587.62,558515.0,7.5
,12.5,2969.95,2965.85,19-JUL-19,17-JUL-19,,,,,,,,,,,-6.80,2972.0,27-NOV-19,15-FEB-19,36046.32,Dr. Reddy's Laboratories Limited,Listed,0,0,0,2991.95,2942.3,205884.0,36.86,15-JUL-19,5.0,5.0,2991.95,,False,INE089A01023,2959.05,1872.95,N,,,2960.0,-0.23,2965.85,No Band,2674.8,3269.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 20 PER SHARE,558515.0,,27-Nov-2019 00:00:00,4.83,2972.0,,,,,1439.0,,,,,EQ,,DRREDDY,,1439.0,16587.62,558515.0,7.5
,12.5,2969.95,2965.85,19-JUL-19,17-JUL-19,,,,,,,,,,,-6.80,2972.0,27-NOV-19,15-FEB-19,36046.32,Dr. Reddy's Laboratories Limited,Listed,0,0,0,2991.95,2942.3,205884.0,36.86,15-JUL-19,5.0,5.0,2991.95,,False,INE089A01023,2959.05,1872.95,N,,,2960.0,-0.23,2965.85,No Band,2674.8,3269.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 20 PER SHARE,558515.0,,27-Nov-2019 00:00:00,4.83,2972.0,,,,,1439.0,,,,,EQ,,DRREDDY,,1439.0,16587.62,558515.0,7.5
,12.5,2969.95,2965.85,19-JUL-19,17-JUL-19,,,,,,,,,,,-6.80,2972.0,27-NOV-19,15-FEB-19,36046.32,Dr. Reddy's Laboratories Limited,Listed,0,0,0,2991.95,2942.3,205884.0,36.86,15-JUL-19,5.0,5.0,2991.95,,False,INE089A01023,2959.05,1872.95,N,,,2960.0,-0.23,2965.85,No Band,2674.8,3269.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 20 PER SHARE,558515.0,,27-Nov-2019 00:00:00,4.83,2972.0,,,,,1439.0,,,,,EQ,,DRREDDY,,1439.0,16587.62,558515.0,7.5
,12.5,2969.95,2965.85,19-JUL-19,17-JUL-19,,,,,,,,,,,-6.80,2972.0,27-NOV-19,15-FEB-19,36046.32,Dr. Reddy's Laboratories Limited,Listed,0,0,0,2991.95,2942.3,205884.0,36.86,15-JUL-19,5.0,5.0,2991.95,,False,INE089A01023,2959.05,1872.95,N,,,2960.0,-0.23,2965.85,No Band,2674.8,3269.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 20 PER SHARE,558515.0,,27-Nov-2019 00:00:00,4.83,2972.0,,,,,1439.0,,,,,EQ,,DRREDDY,,1439.0,16587.62,558515.0,7.5
,12.5,2969.95,2965.85,19-JUL-19,17-JUL-19,,,,,,,,,,,-6.80,2972.0,27-NOV-19,15-FEB-19,36046.32,Dr. Reddy's Laboratories Limited,Listed,0,0,0,2991.95,2942.3,205884.0,36.86,15-JUL-19,5.0,5.0,2991.95,,False,INE089A01023,2959.05,1872.95,N,,,2960.0,-0.23,2965.85,No Band,2674.8,3269.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 20 PER SHARE,558515.0,,27-Nov-2019 00:00:00,4.83,2972.0,,,,,1439.0,,,,,EQ,,DRREDDY,,1439.0,16587.62,558515.0,7.5
,12.5,2969.95,2972.0,19-JUL-19,17-JUL-19,,,,,,,,,,,-12.95,2972.0,27-NOV-19,15-FEB-19,36046.32,Dr. Reddy's Laboratories Limited,Listed,0,0,0,2991.95,2942.3,205884.0,36.86,15-JUL-19,5.0,5.0,2991.95,,False,INE089A01023,2959.05,1872.95,N,,,2960.0,-0.44,2965.85,No Band,2674.8,3269.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 20 PER SHARE,558515.0,,27-Nov-2019 00:00:00,4.83,2972.0,,,,,1439.0,,,,,EQ,,DRREDDY,,1439.0,16587.62,558515.0,7.5
,12.5,2954.74,2972.0,19-JUL-19,17-JUL-19,2959.05,2958.35,2958.3,2958.25,2958.1,23.0,58.0,35.0,20.0,25.0,-11.50,0.0,27-NOV-19,15-FEB-19,36046.32,Dr. Reddy's Laboratories Limited,Listed,0,0,0,2970.0,2945.55,205884.0,36.86,15-JUL-19,5.0,5.0,2991.95,,False,INE089A01023,2960.5,1872.95,N,,,2968.1,-0.39,2972.0,No Band,2674.8,3269.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 20 PER SHARE,558515.0,,27-Nov-2019 00:00:00,4.83,2960.35,2960.4,2960.45,2960.5,2960.55,22.0,30.0,54.0,31.0,55.0,EQ,,DRREDDY,32227.0,33562.0,717.94,24298.0,7.5
,12.5,2954.74,2972.0,19-JUL-19,17-JUL-19,2959.05,2958.35,2958.3,2958.25,2958.1,23.0,58.0,35.0,20.0,25.0,-11.50,0.0,27-NOV-19,15-FEB-19,36046.32,Dr. Reddy's Laboratories Limited,Listed,0,0,0,2970.0,2945.55,205884.0,36.86,15-JUL-19,5.0,5.0,2991.95,,False,INE089A01023,2960.5,1872.95,N,,,2968.1,-0.39,2972.0,No Band,2674.8,3269.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 20 PER SHARE,558515.0,,27-Nov-2019 00:00:00,4.83,2960.35,2960.4,2960.45,2960.5,2960.55,22.0,30.0,54.0,31.0,55.0,EQ,,DRREDDY,32227.0,33562.0,717.94,24298.0,7.5
,12.5,2955.02,2972.0,19-JUL-19,17-JUL-19,2952.6,2952.55,2952.5,2952.05,2952.0,51.0,79.0,66.0,35.0,93.0,-19.40,0.0,27-NOV-19,15-FEB-19,36046.32,Dr. Reddy's Laboratories Limited,Listed,0,0,0,2970.0,2945.55,205884.0,36.86,15-JUL-19,5.0,5.0,2991.95,,False,INE089A01023,2952.6,1872.95,N,,,2968.1,-0.65,2972.0,No Band,2674.8,3269.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 20 PER SHARE,558515.0,,27-Nov-2019 00:00:00,4.83,2953.45,2954.0,2954.35,2954.4,2955.45,152.0,39.0,8.0,1.0,26.0,EQ,,DRREDDY,38253.0,41449.0,970.43,32840.0,7.5
