adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,651.53,649.75,27-JUL-19,14-JUL-19,,,,,,,,,,,-3.65,647.9,22-MAR-19,23-AUG-19,4526.8,Escorts Limited,Listed,0,0,0,660.9,643.75,197335.0,12.91,11-JUL-19,5.0,10.0,833.9,,False,INE042A01014,646.1,423.55,N,,,650.6,-0.56,649.75,No Band,584.8,714.7,DIVIDEND RS - 2.50 PER SHARE,1528229.0,,27-Nov-2019 00:00:00,7.25,647.9,,,,,1007.0,,,,,EQ,,ESCORTS,,1007.0,9956.87,1528229.0,7.5
,12.5,651.53,649.75,27-JUL-19,14-JUL-19,,,,,,,,,,,-3.65,647.9,22-MAR-19,23-AUG-19,4526.8,Escorts Limited,Listed,0,0,0,660.9,643.75,197335.0,12.91,11-JUL-19,5.0,10.0,833.9,,False,INE042A01014,646.1,423.55,N,,,650.6,-0.56,649.75,No Band,583.15,712.65,DIVIDEND RS - 2.50 PER SHARE,1528229.0,,27-Nov-2019 00:00:00,7.25,647.9,,,,,1007.0,,,,,EQ,,ESCORTS,,1007.0,9956.87,1528229.0,7.5
,12.5,651.53,649.75,27-JUL-19,14-JUL-19,,,,,,,,,,,-3.65,647.9,22-MAR-19,23-AUG-19,4526.8,Escorts Limited,Listed,0,0,0,660.9,643.75,197335.0,12.91,11-JUL-19,5.0,10.0,833.9,,False,INE042A01014,646.1,423.55,N,,,650.6,-0.56,649.75,No Band,583.15,712.65,DIVIDEND RS - 2.50 PER SHARE,1528229.0,,27-Nov-2019 00:00:00,7.25,647.9,,,,,1007.0,,,,,EQ,,ESCORTS,,1007.0,9956.87,1528229.0,7.5
,12.5,651.53,649.75,27-JUL-19,14-JUL-19,,,,,,,,,,,-3.65,647.9,22-MAR-19,23-AUG-19,4526.8,Escorts Limited,Listed,0,0,0,660.9,643.75,197335.0,12.91,11-JUL-19,5.0,10.0,833.9,,False,INE042A01014,646.1,423.55,N,,,650.6,-0.56,649.75,No Band,583.15,712.65,DIVIDEND RS - 2.50 PER SHARE,1528229.0,,27-Nov-2019 00:00:00,7.25,647.9,,,,,1007.0,,,,,EQ,,ESCORTS,,1007.0,9956.87,1528229.0,7.5
,12.5,651.53,649.75,27-JUL-19,14-JUL-19,,,,,,,,,,,-3.65,647.9,22-MAR-19,23-AUG-19,4526.8,Escorts Limited,Listed,0,0,0,660.9,643.75,197335.0,12.91,11-JUL-19,5.0,10.0,833.9,,False,INE042A01014,646.1,423.55,N,,,650.6,-0.56,649.75,No Band,583.15,712.65,DIVIDEND RS - 2.50 PER SHARE,1528229.0,,27-Nov-2019 00:00:00,7.25,647.9,,,,,1007.0,,,,,EQ,,ESCORTS,,1007.0,9956.87,1528229.0,7.5
,12.5,651.53,649.75,27-JUL-19,14-JUL-19,,,,,,,,,,,-3.65,647.9,22-MAR-19,23-AUG-19,4526.8,Escorts Limited,Listed,0,0,0,660.9,643.75,197335.0,12.91,11-JUL-19,5.0,10.0,833.9,,False,INE042A01014,646.1,423.55,N,,,650.6,-0.56,649.75,No Band,583.15,712.65,DIVIDEND RS - 2.50 PER SHARE,1528229.0,,27-Nov-2019 00:00:00,7.25,647.9,,,,,1007.0,,,,,EQ,,ESCORTS,,1007.0,9956.87,1528229.0,7.5
,12.5,651.53,649.75,27-JUL-19,14-JUL-19,,,,,,,,,,,-3.65,647.9,22-MAR-19,23-AUG-19,4526.8,Escorts Limited,Listed,0,0,0,660.9,643.75,197335.0,12.91,11-JUL-19,5.0,10.0,833.9,,False,INE042A01014,646.1,423.55,N,,,650.6,-0.56,649.75,No Band,583.15,712.65,DIVIDEND RS - 2.50 PER SHARE,1528229.0,,27-Nov-2019 00:00:00,7.25,647.9,,,,,1007.0,,,,,EQ,,ESCORTS,,1007.0,9956.87,1528229.0,7.5
,12.5,646.78,647.9,27-JUL-19,14-JUL-19,646.5,646.35,646.3,646.25,646.2,85.0,25.0,15.0,43.0,50.0,-1.40,0.0,22-MAR-19,23-AUG-19,4526.8,Escorts Limited,Listed,0,0,0,648.75,645.2,197335.0,12.91,11-JUL-19,5.0,10.0,833.9,,False,INE042A01014,646.5,423.55,N,,,646.05,-0.22,647.9,No Band,583.15,712.65,DIVIDEND RS - 2.50 PER SHARE,1528229.0,,27-Nov-2019 00:00:00,7.25,646.85,646.9,646.95,647.0,647.05,85.0,179.0,115.0,191.0,138.0,EQ,,ESCORTS,118833.0,127681.0,315.19,48732.0,7.5
,12.5,646.91,647.9,27-JUL-19,14-JUL-19,645.6,645.55,645.5,645.45,645.4,29.0,325.0,127.0,159.0,165.0,-2.30,0.0,22-MAR-19,23-AUG-19,4526.8,Escorts Limited,Listed,0,0,0,648.75,645.2,197335.0,12.91,11-JUL-19,5.0,10.0,833.9,,False,INE042A01014,645.6,423.55,N,,,646.05,-0.35,647.9,No Band,583.15,712.65,DIVIDEND RS - 2.50 PER SHARE,1528229.0,,27-Nov-2019 00:00:00,7.25,646.0,646.05,646.1,646.15,646.2,97.0,160.0,100.0,21.0,369.0,EQ,,ESCORTS,123043.0,127602.0,484.74,74931.0,7.5
,12.5,646.71,647.9,27-JUL-19,14-JUL-19,645.1,645.05,645.0,644.95,644.9,121.0,24.0,3307.0,256.0,3.0,-2.70,0.0,22-MAR-19,23-AUG-19,4526.8,Escorts Limited,Listed,0,0,0,648.75,645.0,197335.0,12.91,11-JUL-19,5.0,10.0,833.9,,False,INE042A01014,645.2,423.55,N,,,646.05,-0.42,647.9,No Band,583.15,712.65,DIVIDEND RS - 2.50 PER SHARE,1528229.0,,27-Nov-2019 00:00:00,7.25,645.3,645.35,645.5,645.55,645.6,22.0,25.0,10.0,215.0,884.0,EQ,,ESCORTS,133607.0,142944.0,591.81,91511.0,7.5
