adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,87.25,87.65,25-JUL-19,19-JUL-19,87.45,,,,,971.0,,,,,-0.05,87.45,03-JUL-19,22-FEB-19,17394.44,The Federal Bank  Limited,Listed,0,0,0,88.4,86.05,1831145.0,22.16,17-JUL-19,5.0,2.0,110.4,,False,INE171A01029,87.6,78.2,N,,,87.9,-0.06,87.65,No Band,78.9,96.4,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.4 PER SHARE,8263672.0,,27-Nov-2019 00:00:00,7.06,,,,,,,,,,,EQ,,FEDERALBNK,971.0,,7210.05,8263672.0,7.5
,12.5,87.25,87.65,25-JUL-19,19-JUL-19,87.45,,,,,971.0,,,,,-0.05,87.45,03-JUL-19,22-FEB-19,17394.44,The Federal Bank  Limited,Listed,0,0,0,88.4,86.05,1831145.0,22.16,17-JUL-19,5.0,2.0,110.4,,False,INE171A01029,87.6,78.2,N,,,87.9,-0.06,87.65,No Band,78.75,96.15,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.4 PER SHARE,8263672.0,,27-Nov-2019 00:00:00,7.06,,,,,,,,,,,EQ,,FEDERALBNK,971.0,,7210.05,8263672.0,7.5
,12.5,87.25,87.65,25-JUL-19,19-JUL-19,87.45,,,,,971.0,,,,,-0.05,87.45,03-JUL-19,22-FEB-19,17394.44,The Federal Bank  Limited,Listed,0,0,0,88.4,86.05,1831145.0,22.16,17-JUL-19,5.0,2.0,110.4,,False,INE171A01029,87.6,78.2,N,,,87.9,-0.06,87.65,No Band,78.75,96.15,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.4 PER SHARE,8263672.0,,27-Nov-2019 00:00:00,7.06,,,,,,,,,,,EQ,,FEDERALBNK,971.0,,7210.05,8263672.0,7.5
,12.5,87.25,87.65,25-JUL-19,19-JUL-19,87.45,,,,,971.0,,,,,-0.05,87.45,03-JUL-19,22-FEB-19,17394.44,The Federal Bank  Limited,Listed,0,0,0,88.4,86.05,1831145.0,22.16,17-JUL-19,5.0,2.0,110.4,,False,INE171A01029,87.6,78.2,N,,,87.9,-0.06,87.65,No Band,78.75,96.15,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.4 PER SHARE,8263672.0,,27-Nov-2019 00:00:00,7.06,,,,,,,,,,,EQ,,FEDERALBNK,971.0,,7210.05,8263672.0,7.5
,12.5,87.25,87.65,25-JUL-19,19-JUL-19,87.45,,,,,971.0,,,,,-0.05,87.45,03-JUL-19,22-FEB-19,17394.44,The Federal Bank  Limited,Listed,0,0,0,88.4,86.05,1831145.0,22.16,17-JUL-19,5.0,2.0,110.4,,False,INE171A01029,87.6,78.2,N,,,87.9,-0.06,87.65,No Band,78.75,96.15,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.4 PER SHARE,8263672.0,,27-Nov-2019 00:00:00,7.06,,,,,,,,,,,EQ,,FEDERALBNK,971.0,,7210.05,8263672.0,7.5
,12.5,87.25,87.65,25-JUL-19,19-JUL-19,87.45,,,,,971.0,,,,,-0.05,87.45,03-JUL-19,22-FEB-19,17394.44,The Federal Bank  Limited,Listed,0,0,0,88.4,86.05,1831145.0,22.16,17-JUL-19,5.0,2.0,110.4,,False,INE171A01029,87.6,78.2,N,,,87.9,-0.06,87.65,No Band,78.75,96.15,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.4 PER SHARE,8263672.0,,27-Nov-2019 00:00:00,7.06,,,,,,,,,,,EQ,,FEDERALBNK,971.0,,7210.05,8263672.0,7.5
,12.5,87.25,87.45,25-JUL-19,19-JUL-19,87.45,,,,,971.0,,,,,0.15,87.45,03-JUL-19,22-FEB-19,17394.44,The Federal Bank  Limited,Listed,0,0,0,88.4,86.05,1831145.0,22.16,17-JUL-19,5.0,2.0,110.4,,False,INE171A01029,87.6,78.2,N,,,87.9,0.17,87.65,No Band,78.75,96.15,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.4 PER SHARE,8263672.0,,27-Nov-2019 00:00:00,7.06,,,,,,,,,,,EQ,,FEDERALBNK,971.0,,7210.05,8263672.0,7.5
,12.5,88.04,87.45,25-JUL-19,19-JUL-19,87.95,87.9,87.85,87.8,87.75,846.0,23312.0,13125.0,20955.0,11837.0,0.55,0.0,03-JUL-19,22-FEB-19,17394.44,The Federal Bank  Limited,Listed,0,0,0,88.4,87.75,1831145.0,22.16,17-JUL-19,5.0,2.0,110.4,,False,INE171A01029,88.0,78.2,N,,,88.0,0.63,87.45,No Band,78.75,96.15,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.4 PER SHARE,8263672.0,,27-Nov-2019 00:00:00,7.06,88.0,88.05,88.1,88.15,88.2,55.0,3459.0,17978.0,12948.0,7576.0,EQ,,FEDERALBNK,841986.0,1094361.0,470.98,534960.0,7.5
,12.5,88.06,87.45,25-JUL-19,19-JUL-19,88.15,88.1,88.05,88.0,87.95,21808.0,11655.0,18533.0,26139.0,22591.0,0.75,0.0,03-JUL-19,22-FEB-19,17394.44,The Federal Bank  Limited,Listed,0,0,0,88.4,87.75,1831145.0,22.16,17-JUL-19,5.0,2.0,110.4,,False,INE171A01029,88.2,78.2,N,,,88.0,0.86,87.45,No Band,78.75,96.15,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.4 PER SHARE,8263672.0,,27-Nov-2019 00:00:00,7.06,88.2,88.25,88.3,88.35,88.4,4938.0,31483.0,17710.0,15653.0,20630.0,EQ,,FEDERALBNK,1013781.0,1199380.0,599.37,680640.0,7.5
,12.5,88.18,87.45,25-JUL-19,19-JUL-19,88.6,88.55,88.5,88.45,88.4,14075.0,15396.0,14976.0,24514.0,14592.0,1.2,0.0,03-JUL-19,22-FEB-19,17394.44,The Federal Bank  Limited,Listed,0,0,0,88.65,87.75,1831145.0,22.16,17-JUL-19,5.0,2.0,110.4,,False,INE171A01029,88.65,78.2,N,,,88.0,1.37,87.45,No Band,78.75,96.15,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.4 PER SHARE,8263672.0,,27-Nov-2019 00:00:00,7.06,88.7,88.75,88.8,88.85,88.9,12495.0,16317.0,23854.0,19610.0,29994.0,EQ,,FEDERALBNK,1076061.0,1237216.0,907.59,1029244.0,7.5
