adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.62,124.99,125.0,20-AUG-19,13-AUG-19,,,,,,,,,,,-0.55,124.45,19-MAR-19,23-AUG-19,23012.77,GAIL (India) Limited,Listed,0,0,0,126.5,123.45,3287549.0,33.51,08-AUG-19,5.0,10.0,183.25,,False,INE129A01019,124.45,119.5,N,,,125.6,-0.44,125.0,No Band,112.5,137.5,DIVIDEND - RS 0.885 PER SHARE,9810571.0,,27-Nov-2019 00:00:00,7.62,124.45,,,,,612.0,,,,,EQ,,GAIL,,612.0,12262.23,9810571.0,7.62
,12.62,124.99,125.0,20-AUG-19,13-AUG-19,,,,,,,,,,,-0.55,124.45,19-MAR-19,23-AUG-19,23012.77,GAIL (India) Limited,Listed,0,0,0,126.5,123.45,3287549.0,33.51,08-AUG-19,5.0,10.0,183.25,,False,INE129A01019,124.45,119.5,N,,,125.6,-0.44,125.0,No Band,112.05,136.85,DIVIDEND - RS 0.885 PER SHARE,9810571.0,,27-Nov-2019 00:00:00,7.62,124.45,,,,,612.0,,,,,EQ,,GAIL,,612.0,12262.23,9810571.0,7.62
,12.62,124.99,125.0,20-AUG-19,13-AUG-19,,,,,,,,,,,-0.55,124.45,19-MAR-19,23-AUG-19,23012.77,GAIL (India) Limited,Listed,0,0,0,126.5,123.45,3287549.0,33.51,08-AUG-19,5.0,10.0,183.25,,False,INE129A01019,124.45,119.5,N,,,125.6,-0.44,125.0,No Band,112.05,136.85,DIVIDEND - RS 0.885 PER SHARE,9810571.0,,27-Nov-2019 00:00:00,7.62,124.45,,,,,612.0,,,,,EQ,,GAIL,,612.0,12262.23,9810571.0,7.62
,12.62,124.99,125.0,20-AUG-19,13-AUG-19,,,,,,,,,,,-0.55,124.45,19-MAR-19,23-AUG-19,23012.77,GAIL (India) Limited,Listed,0,0,0,126.5,123.45,3287549.0,33.51,08-AUG-19,5.0,10.0,183.25,,False,INE129A01019,124.45,119.5,N,,,125.6,-0.44,125.0,No Band,112.05,136.85,DIVIDEND - RS 0.885 PER SHARE,9810571.0,,27-Nov-2019 00:00:00,7.62,124.45,,,,,612.0,,,,,EQ,,GAIL,,612.0,12262.23,9810571.0,7.62
,12.62,124.99,125.0,20-AUG-19,13-AUG-19,,,,,,,,,,,-0.55,124.45,19-MAR-19,23-AUG-19,23012.77,GAIL (India) Limited,Listed,0,0,0,126.5,123.45,3287549.0,33.51,08-AUG-19,5.0,10.0,183.25,,False,INE129A01019,124.45,119.5,N,,,125.6,-0.44,125.0,No Band,112.05,136.85,DIVIDEND - RS 0.885 PER SHARE,9810571.0,,27-Nov-2019 00:00:00,7.62,124.45,,,,,612.0,,,,,EQ,,GAIL,,612.0,12262.23,9810571.0,7.62
,12.62,124.99,125.0,20-AUG-19,13-AUG-19,,,,,,,,,,,-0.55,124.45,19-MAR-19,23-AUG-19,23012.77,GAIL (India) Limited,Listed,0,0,0,126.5,123.45,3287549.0,33.51,08-AUG-19,5.0,10.0,183.25,,False,INE129A01019,124.45,119.5,N,,,125.6,-0.44,125.0,No Band,112.05,136.85,DIVIDEND - RS 0.885 PER SHARE,9810571.0,,27-Nov-2019 00:00:00,7.62,124.45,,,,,612.0,,,,,EQ,,GAIL,,612.0,12262.23,9810571.0,7.62
,12.62,124.99,125.0,20-AUG-19,13-AUG-19,,,,,,,,,,,-0.55,124.45,19-MAR-19,23-AUG-19,23012.77,GAIL (India) Limited,Listed,0,0,0,126.5,123.45,3287549.0,33.51,08-AUG-19,5.0,10.0,183.25,,False,INE129A01019,124.45,119.5,N,,,125.6,-0.44,125.0,No Band,112.05,136.85,DIVIDEND - RS 0.885 PER SHARE,9810571.0,,27-Nov-2019 00:00:00,7.62,124.45,,,,,612.0,,,,,EQ,,GAIL,,612.0,12262.23,9810571.0,7.62
,12.62,125.04,124.45,20-AUG-19,13-AUG-19,124.6,124.55,124.5,124.45,124.4,1250.0,5911.0,3891.0,12501.0,4021.0,0.15,0.0,19-MAR-19,23-AUG-19,23012.77,GAIL (India) Limited,Listed,0,0,0,125.5,124.6,3287549.0,33.51,08-AUG-19,5.0,10.0,183.25,,False,INE129A01019,124.6,119.5,N,,,125.2,0.12,124.45,No Band,112.05,136.85,DIVIDEND - RS 0.885 PER SHARE,9810571.0,,27-Nov-2019 00:00:00,7.62,124.7,124.75,124.8,124.85,124.9,401.0,497.0,4113.0,2906.0,3481.0,EQ,,GAIL,630284.0,794782.0,392.81,314150.0,7.62
,12.62,125.0,124.45,20-AUG-19,13-AUG-19,124.8,124.75,124.7,124.65,124.6,1530.0,6035.0,10785.0,8629.0,18731.0,0.45,0.0,19-MAR-19,23-AUG-19,23012.77,GAIL (India) Limited,Listed,0,0,0,125.5,124.6,3287549.0,33.51,08-AUG-19,5.0,10.0,183.25,,False,INE129A01019,124.9,119.5,N,,,125.2,0.36,124.45,No Band,112.05,136.85,DIVIDEND - RS 0.885 PER SHARE,9810571.0,,27-Nov-2019 00:00:00,7.62,124.9,124.95,125.0,125.05,125.1,1023.0,5284.0,21858.0,8309.0,9895.0,EQ,,GAIL,698064.0,828607.0,504.05,403239.0,7.62
,12.62,125.0,124.45,20-AUG-19,13-AUG-19,124.8,124.75,124.7,124.65,124.6,1530.0,6035.0,10785.0,8629.0,18731.0,0.45,0.0,19-MAR-19,23-AUG-19,23012.77,GAIL (India) Limited,Listed,0,0,0,125.5,124.6,3287549.0,33.51,08-AUG-19,5.0,10.0,183.25,,False,INE129A01019,124.9,119.5,N,,,125.2,0.36,124.45,No Band,112.05,136.85,DIVIDEND - RS 0.885 PER SHARE,9810571.0,,27-Nov-2019 00:00:00,7.62,124.9,124.95,125.0,125.05,125.1,1023.0,5284.0,21858.0,8309.0,9895.0,EQ,,GAIL,698064.0,828607.0,504.05,403239.0,7.62
