adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,715.78,702.5,,,,,,,,,,,,,17.6,721.0,19-DEC-18,04-SEP-19,27272.17,Godrej Consumer Products Limited,Listed,0,0,0,724.8,704.0,330894.0,44.31,14-NOV-19,5.0,1.0,849.9,,False,INE102D01028,720.1,575.0,N,,,706.0,2.51,702.5,No Band,632.25,772.75,INTERIM DIVIDEND - RS 2 PER SHARE,746721.0,15-NOV-19,27-Nov-2019 00:00:00,5.78,721.0,,,,,1043.0,,,,,EQ,,GODREJCP,,1043.0,5344.88,746721.0,7.5
,12.5,715.78,702.5,,,,,,,,,,,,,17.6,721.0,19-DEC-18,04-SEP-19,27272.17,Godrej Consumer Products Limited,Listed,0,0,0,724.8,704.0,330894.0,44.31,14-NOV-19,5.0,1.0,849.9,,False,INE102D01028,720.1,575.0,N,,,706.0,2.51,702.5,No Band,648.9,793.1,INTERIM DIVIDEND - RS 2 PER SHARE,746721.0,15-NOV-19,27-Nov-2019 00:00:00,5.78,721.0,,,,,1043.0,,,,,EQ,,GODREJCP,,1043.0,5344.88,746721.0,7.5
,12.5,715.78,702.5,,,,,,,,,,,,,17.6,721.0,19-DEC-18,04-SEP-19,27272.17,Godrej Consumer Products Limited,Listed,0,0,0,724.8,704.0,330894.0,44.31,14-NOV-19,5.0,1.0,849.9,,False,INE102D01028,720.1,575.0,N,,,706.0,2.51,702.5,No Band,648.9,793.1,INTERIM DIVIDEND - RS 2 PER SHARE,746721.0,15-NOV-19,27-Nov-2019 00:00:00,5.78,721.0,,,,,1043.0,,,,,EQ,,GODREJCP,,1043.0,5344.88,746721.0,7.5
,12.5,715.78,702.5,,,,,,,,,,,,,17.6,721.0,19-DEC-18,04-SEP-19,27272.17,Godrej Consumer Products Limited,Listed,0,0,0,724.8,704.0,330894.0,44.31,14-NOV-19,5.0,1.0,849.9,,False,INE102D01028,720.1,575.0,N,,,706.0,2.51,702.5,No Band,648.9,793.1,INTERIM DIVIDEND - RS 2 PER SHARE,746721.0,15-NOV-19,27-Nov-2019 00:00:00,5.78,721.0,,,,,1043.0,,,,,EQ,,GODREJCP,,1043.0,5344.88,746721.0,7.5
,12.5,715.78,702.5,,,,,,,,,,,,,17.6,721.0,19-DEC-18,04-SEP-19,27272.17,Godrej Consumer Products Limited,Listed,0,0,0,724.8,704.0,330894.0,44.31,14-NOV-19,5.0,1.0,849.9,,False,INE102D01028,720.1,575.0,N,,,706.0,2.51,702.5,No Band,648.9,793.1,INTERIM DIVIDEND - RS 2 PER SHARE,746721.0,15-NOV-19,27-Nov-2019 00:00:00,5.78,721.0,,,,,1043.0,,,,,EQ,,GODREJCP,,1043.0,5344.88,746721.0,7.5
,12.5,715.78,702.5,,,,,,,,,,,,,17.6,721.0,19-DEC-18,04-SEP-19,27272.17,Godrej Consumer Products Limited,Listed,0,0,0,724.8,704.0,330894.0,44.31,14-NOV-19,5.0,1.0,849.9,,False,INE102D01028,720.1,575.0,N,,,706.0,2.51,702.5,No Band,648.9,793.1,INTERIM DIVIDEND - RS 2 PER SHARE,746721.0,15-NOV-19,27-Nov-2019 00:00:00,5.78,721.0,,,,,1043.0,,,,,EQ,,GODREJCP,,1043.0,5344.88,746721.0,7.5
,12.5,715.78,721.0,,,,,,,,,,,,,-0.90,721.0,19-DEC-18,04-SEP-19,27272.17,Godrej Consumer Products Limited,Listed,0,0,0,724.8,704.0,330894.0,44.31,14-NOV-19,5.0,1.0,849.9,,False,INE102D01028,720.1,575.0,N,,,706.0,-0.12,702.5,No Band,648.9,793.1,INTERIM DIVIDEND - RS 2 PER SHARE,746721.0,15-NOV-19,27-Nov-2019 00:00:00,5.78,721.0,,,,,1043.0,,,,,EQ,,GODREJCP,,1043.0,5344.88,746721.0,7.5
,12.5,716.73,721.0,,,715.65,715.6,715.5,715.4,715.35,50.0,8.0,103.0,6.0,110.0,-5.35,0.0,19-DEC-18,04-SEP-19,27272.17,Godrej Consumer Products Limited,Listed,0,0,0,719.95,715.3,330894.0,44.31,14-NOV-19,5.0,1.0,849.9,,False,INE102D01028,715.65,575.0,N,,,719.95,-0.74,721.0,No Band,648.9,793.1,INTERIM DIVIDEND - RS 2 PER SHARE,746721.0,15-NOV-19,27-Nov-2019 00:00:00,5.78,715.85,715.95,716.0,716.25,716.3,108.0,12.0,76.0,6.0,84.0,EQ,,GODREJCP,82992.0,82295.0,75.03,10469.0,7.5
,12.5,716.73,721.0,,,715.65,715.6,715.5,715.4,715.35,50.0,8.0,103.0,6.0,110.0,-5.35,0.0,19-DEC-18,04-SEP-19,27272.17,Godrej Consumer Products Limited,Listed,0,0,0,719.95,715.3,330894.0,44.31,14-NOV-19,5.0,1.0,849.9,,False,INE102D01028,715.65,575.0,N,,,719.95,-0.74,721.0,No Band,648.9,793.1,INTERIM DIVIDEND - RS 2 PER SHARE,746721.0,15-NOV-19,27-Nov-2019 00:00:00,5.78,715.85,715.95,716.0,716.25,716.3,108.0,12.0,76.0,6.0,84.0,EQ,,GODREJCP,82992.0,82295.0,75.03,10469.0,7.5
,12.5,715.94,721.0,,,715.0,714.8,714.75,714.7,714.65,132.0,6.0,46.0,45.0,88.0,-5.05,0.0,19-DEC-18,04-SEP-19,27272.17,Godrej Consumer Products Limited,Listed,0,0,0,719.95,714.0,330894.0,44.31,14-NOV-19,5.0,1.0,849.9,,False,INE102D01028,715.95,575.0,N,,,719.95,-0.70,721.0,No Band,648.9,793.1,INTERIM DIVIDEND - RS 2 PER SHARE,746721.0,15-NOV-19,27-Nov-2019 00:00:00,5.78,715.35,715.4,715.5,715.55,715.6,59.0,60.0,162.0,67.0,6.0,EQ,,GODREJCP,90709.0,84007.0,135.88,18979.0,7.5
