adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,673.94,670.7,26-JUL-19,20-JUL-19,677.6,,,,,53.0,,,,,6.9,677.6,28-JUN-19,31-JUL-19,16961.76,Havells India Limited,Listed,0,0,0,680.0,663.5,529603.0,40.53,18-JUL-19,5.0,1.0,806.85,,False,INE176B01034,677.6,622.65,N,,,672.0,1.03,670.7,No Band,603.65,737.75,ANNUAL GENERAL MEETING/DIVIDEND - RS 4.50 PER SHARE,1306539.0,,27-Nov-2019 00:00:00,7.05,,,,,,,,,,,EQ,,HAVELLS,53.0,,8805.29,1306539.0,7.5
,12.5,673.94,670.7,26-JUL-19,20-JUL-19,677.6,,,,,53.0,,,,,6.9,677.6,28-JUN-19,31-JUL-19,16961.76,Havells India Limited,Listed,0,0,0,680.0,663.5,529603.0,40.53,18-JUL-19,5.0,1.0,806.85,,False,INE176B01034,677.6,622.65,N,,,672.0,1.03,670.7,No Band,609.85,745.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 4.50 PER SHARE,1306539.0,,27-Nov-2019 00:00:00,7.05,,,,,,,,,,,EQ,,HAVELLS,53.0,,8805.29,1306539.0,7.5
,12.5,673.94,670.7,26-JUL-19,20-JUL-19,677.6,,,,,53.0,,,,,6.9,677.6,28-JUN-19,31-JUL-19,16961.76,Havells India Limited,Listed,0,0,0,680.0,663.5,529603.0,40.53,18-JUL-19,5.0,1.0,806.85,,False,INE176B01034,677.6,622.65,N,,,672.0,1.03,670.7,No Band,609.85,745.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 4.50 PER SHARE,1306539.0,,27-Nov-2019 00:00:00,7.05,,,,,,,,,,,EQ,,HAVELLS,53.0,,8805.29,1306539.0,7.5
,12.5,673.94,670.7,26-JUL-19,20-JUL-19,677.6,,,,,53.0,,,,,6.9,677.6,28-JUN-19,31-JUL-19,16961.76,Havells India Limited,Listed,0,0,0,680.0,663.5,529603.0,40.53,18-JUL-19,5.0,1.0,806.85,,False,INE176B01034,677.6,622.65,N,,,672.0,1.03,670.7,No Band,609.85,745.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 4.50 PER SHARE,1306539.0,,27-Nov-2019 00:00:00,7.05,,,,,,,,,,,EQ,,HAVELLS,53.0,,8805.29,1306539.0,7.5
,12.5,673.94,670.7,26-JUL-19,20-JUL-19,677.6,,,,,53.0,,,,,6.9,677.6,28-JUN-19,31-JUL-19,16961.76,Havells India Limited,Listed,0,0,0,680.0,663.5,529603.0,40.53,18-JUL-19,5.0,1.0,806.85,,False,INE176B01034,677.6,622.65,N,,,672.0,1.03,670.7,No Band,609.85,745.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 4.50 PER SHARE,1306539.0,,27-Nov-2019 00:00:00,7.05,,,,,,,,,,,EQ,,HAVELLS,53.0,,8805.29,1306539.0,7.5
,12.5,673.94,670.7,26-JUL-19,20-JUL-19,677.6,,,,,53.0,,,,,6.9,677.6,28-JUN-19,31-JUL-19,16961.76,Havells India Limited,Listed,0,0,0,680.0,663.5,529603.0,40.53,18-JUL-19,5.0,1.0,806.85,,False,INE176B01034,677.6,622.65,N,,,672.0,1.03,670.7,No Band,609.85,745.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 4.50 PER SHARE,1306539.0,,27-Nov-2019 00:00:00,7.05,,,,,,,,,,,EQ,,HAVELLS,53.0,,8805.29,1306539.0,7.5
,12.5,673.94,677.6,26-JUL-19,20-JUL-19,677.6,,,,,53.0,,,,,,677.6,28-JUN-19,31-JUL-19,16961.76,Havells India Limited,Listed,0,0,0,680.0,663.5,529603.0,40.53,18-JUL-19,5.0,1.0,806.85,,False,INE176B01034,677.6,622.65,N,,,672.0,0.0,670.7,No Band,609.85,745.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 4.50 PER SHARE,1306539.0,,27-Nov-2019 00:00:00,7.05,,,,,,,,,,,EQ,,HAVELLS,53.0,,8805.29,1306539.0,7.5
,12.5,676.2,677.6,26-JUL-19,20-JUL-19,675.5,675.25,675.15,675.1,675.0,9.0,260.0,25.0,214.0,552.0,-2.10,0.0,28-JUN-19,31-JUL-19,16961.76,Havells India Limited,Listed,0,0,0,677.55,675.1,529603.0,40.53,18-JUL-19,5.0,1.0,806.85,,False,INE176B01034,675.5,622.65,N,,,675.1,-0.31,677.6,No Band,609.85,745.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 4.50 PER SHARE,1306539.0,,27-Nov-2019 00:00:00,7.05,675.7,675.85,675.9,675.95,676.0,80.0,5.0,29.0,290.0,1443.0,EQ,,HAVELLS,81951.0,90468.0,50.04,7400.0,7.5
,12.5,675.31,677.6,26-JUL-19,20-JUL-19,673.5,673.25,673.2,673.15,673.1,29.0,54.0,64.0,195.0,103.0,-4.40,0.0,28-JUN-19,31-JUL-19,16961.76,Havells India Limited,Listed,0,0,0,677.55,673.2,529603.0,40.53,18-JUL-19,5.0,1.0,806.85,,False,INE176B01034,673.2,622.65,N,,,675.1,-0.65,677.6,No Band,609.85,745.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 4.50 PER SHARE,1306539.0,,27-Nov-2019 00:00:00,7.05,673.9,673.95,674.0,674.05,674.1,684.0,275.0,250.0,116.0,170.0,EQ,,HAVELLS,91589.0,104476.0,127.72,18913.0,7.5
,12.5,675.01,677.6,26-JUL-19,20-JUL-19,674.15,674.1,674.05,674.0,673.95,28.0,3.0,3.0,353.0,183.0,-3.40,0.0,28-JUN-19,31-JUL-19,16961.76,Havells India Limited,Listed,0,0,0,677.55,673.2,529603.0,40.53,18-JUL-19,5.0,1.0,806.85,,False,INE176B01034,674.2,622.65,N,,,675.1,-0.50,677.6,No Band,609.85,745.35,ANNUAL GENERAL MEETING/DIVIDEND - RS 4.50 PER SHARE,1306539.0,,27-Nov-2019 00:00:00,7.05,674.2,674.55,674.6,674.7,674.75,27.0,61.0,116.0,64.0,116.0,EQ,,HAVELLS,95915.0,102692.0,171.35,25385.0,7.5
