adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1124.5,1108.05,,,,,,,,,,,,,15.65,1128.25,30-APR-19,11-JAN-19,61212.67,HCL Technologies Limited,Listed,0,0,0,1134.4,1109.0,951912.0,56.76,05-DEC-19,5.0,2.0,1187.6,,False,INE860A01027,1123.7,920.0,N,,,1109.0,1.41,1108.05,No Band,997.25,1218.85,BONUS 1:1,1677156.0,07-DEC-19,27-Nov-2019 00:00:00,4.22,1128.25,,,,,4666.0,,,,,EQ,,HCLTECH,,4666.0,18859.62,1677156.0,7.5
,12.5,1124.5,1108.05,,,,,,,,,,,,,15.65,1128.25,30-APR-19,11-JAN-19,61212.67,HCL Technologies Limited,Listed,0,0,0,1134.4,1109.0,951912.0,56.76,05-DEC-19,5.0,2.0,1187.6,,False,INE860A01027,1123.7,920.0,N,,,1109.0,1.41,1108.05,No Band,1015.45,1241.05,BONUS 1:1,1677156.0,07-DEC-19,27-Nov-2019 00:00:00,4.22,1128.25,,,,,4666.0,,,,,EQ,,HCLTECH,,4666.0,18859.62,1677156.0,7.5
,12.5,1124.5,1108.05,,,,,,,,,,,,,15.65,1128.25,30-APR-19,11-JAN-19,61212.67,HCL Technologies Limited,Listed,0,0,0,1134.4,1109.0,951912.0,56.76,05-DEC-19,5.0,2.0,1187.6,,False,INE860A01027,1123.7,920.0,N,,,1109.0,1.41,1108.05,No Band,1015.45,1241.05,BONUS 1:1,1677156.0,07-DEC-19,27-Nov-2019 00:00:00,4.22,1128.25,,,,,4666.0,,,,,EQ,,HCLTECH,,4666.0,18859.62,1677156.0,7.5
,12.5,1124.5,1108.05,,,,,,,,,,,,,15.65,1128.25,30-APR-19,11-JAN-19,61212.67,HCL Technologies Limited,Listed,0,0,0,1134.4,1109.0,951912.0,56.76,05-DEC-19,5.0,2.0,1187.6,,False,INE860A01027,1123.7,920.0,N,,,1109.0,1.41,1108.05,No Band,1015.45,1241.05,BONUS 1:1,1677156.0,07-DEC-19,27-Nov-2019 00:00:00,4.22,1128.25,,,,,4666.0,,,,,EQ,,HCLTECH,,4666.0,18859.62,1677156.0,7.5
,12.5,1124.5,1108.05,,,,,,,,,,,,,15.65,1128.25,30-APR-19,11-JAN-19,61212.67,HCL Technologies Limited,Listed,0,0,0,1134.4,1109.0,951912.0,56.76,05-DEC-19,5.0,2.0,1187.6,,False,INE860A01027,1123.7,920.0,N,,,1109.0,1.41,1108.05,No Band,1015.45,1241.05,BONUS 1:1,1677156.0,07-DEC-19,27-Nov-2019 00:00:00,4.22,1128.25,,,,,4666.0,,,,,EQ,,HCLTECH,,4666.0,18859.62,1677156.0,7.5
,12.5,1124.5,1108.05,,,,,,,,,,,,,15.65,1128.25,30-APR-19,11-JAN-19,61212.67,HCL Technologies Limited,Listed,0,0,0,1134.4,1109.0,951912.0,56.76,05-DEC-19,5.0,2.0,1187.6,,False,INE860A01027,1123.7,920.0,N,,,1109.0,1.41,1108.05,No Band,1015.45,1241.05,BONUS 1:1,1677156.0,07-DEC-19,27-Nov-2019 00:00:00,4.22,1128.25,,,,,4666.0,,,,,EQ,,HCLTECH,,4666.0,18859.62,1677156.0,7.5
,12.5,1124.5,,,,,,,,,,,,,,15.65,1128.25,30-APR-19,11-JAN-19,61212.67,HCL Technologies Limited,Listed,0,0,0,1134.4,1109.0,951912.0,56.76,05-DEC-19,5.0,2.0,1187.6,,False,INE860A01027,1123.7,920.0,N,,,1109.0,1.41,1108.05,No Band,1015.45,1241.05,BONUS 1:1,1677156.0,07-DEC-19,27-Nov-2019 00:00:00,4.22,1128.25,,,,,4666.0,,,,,EQ,,HCLTECH,,4666.0,18859.62,1677156.0,7.5
,12.5,1124.5,1128.25,,,,,,,,,,,,,-4.55,1128.25,30-APR-19,11-JAN-19,61212.67,HCL Technologies Limited,Listed,0,0,0,1134.4,1109.0,951912.0,56.76,05-DEC-19,5.0,2.0,1187.6,,False,INE860A01027,1123.7,920.0,N,,,1109.0,-0.40,1108.05,No Band,1015.45,1241.05,BONUS 1:1,1677156.0,07-DEC-19,27-Nov-2019 00:00:00,4.22,1128.25,,,,,4666.0,,,,,EQ,,HCLTECH,,4666.0,18859.62,1677156.0,7.5
,12.5,1132.12,1128.25,,,1130.85,1130.5,1130.45,1130.35,1130.3,80.0,61.0,2.0,10.0,20.0,2.6,0.0,30-APR-19,11-JAN-19,61212.67,HCL Technologies Limited,Listed,0,0,0,1139.0,1127.35,951912.0,56.76,05-DEC-19,5.0,2.0,1187.6,,False,INE860A01027,1130.85,920.0,N,,,1139.0,0.23,1128.25,No Band,1015.45,1241.05,BONUS 1:1,1677156.0,07-DEC-19,27-Nov-2019 00:00:00,4.22,1131.15,1131.2,1131.3,1131.35,1131.4,139.0,72.0,130.0,166.0,830.0,EQ,,HCLTECH,120965.0,92898.0,794.22,70153.0,7.5
,12.5,1131.58,1128.25,,,1132.25,1132.2,1132.0,1131.95,1131.9,62.0,80.0,125.0,202.0,5.0,4.25,0.0,30-APR-19,11-JAN-19,61212.67,HCL Technologies Limited,Listed,0,0,0,1139.0,1127.35,951912.0,56.76,05-DEC-19,5.0,2.0,1187.6,,False,INE860A01027,1132.5,920.0,N,,,1139.0,0.38,1128.25,No Band,1015.45,1241.05,BONUS 1:1,1677156.0,07-DEC-19,27-Nov-2019 00:00:00,4.22,1132.5,1132.8,1132.85,1132.9,1132.95,699.0,290.0,83.0,238.0,383.0,EQ,,HCLTECH,138480.0,103782.0,1155.2,102087.0,7.5
