adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,2516.54,2494.6,29-JUL-19,18-JUL-19,,,,,,,,,,,21.1,2523.25,20-DEC-18,31-JUL-19,32757.46,Hero MotoCorp Limited,Listed,0,0,0,2534.0,2491.55,548976.0,54.45,16-JUL-19,5.0,2.0,3380.0,,False,INE158A01026,2515.7,2225.6,N,,,2495.9,0.85,2494.6,No Band,2245.15,2744.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 32 PER SHARE,1008253.0,,27-Nov-2019 00:00:00,5.35,2523.25,,,,,719.0,,,,,EQ,,HEROMOTOCO,,719.0,25373.09,1008253.0,7.5
,12.5,2516.54,2494.6,29-JUL-19,18-JUL-19,,,,,,,,,,,21.1,2523.25,20-DEC-18,31-JUL-19,32757.46,Hero MotoCorp Limited,Listed,0,0,0,2534.0,2491.55,548976.0,54.45,16-JUL-19,5.0,2.0,3380.0,,False,INE158A01026,2515.7,2225.6,N,,,2495.9,0.85,2494.6,No Band,2245.15,2744.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 32 PER SHARE,1008253.0,,27-Nov-2019 00:00:00,5.35,2523.25,,,,,719.0,,,,,EQ,,HEROMOTOCO,,719.0,25373.09,1008253.0,7.5
,12.5,2516.54,2494.6,29-JUL-19,18-JUL-19,,,,,,,,,,,21.1,2523.25,20-DEC-18,31-JUL-19,32757.46,Hero MotoCorp Limited,Listed,0,0,0,2534.0,2491.55,548976.0,54.45,16-JUL-19,5.0,2.0,3380.0,,False,INE158A01026,2515.7,2225.6,N,,,2495.9,0.85,2494.6,No Band,2270.95,2775.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 32 PER SHARE,1008253.0,,27-Nov-2019 00:00:00,5.35,2523.25,,,,,719.0,,,,,EQ,,HEROMOTOCO,,719.0,25373.09,1008253.0,7.5
,12.5,2516.54,2494.6,29-JUL-19,18-JUL-19,,,,,,,,,,,21.1,2523.25,20-DEC-18,31-JUL-19,32757.46,Hero MotoCorp Limited,Listed,0,0,0,2534.0,2491.55,548976.0,54.45,16-JUL-19,5.0,2.0,3380.0,,False,INE158A01026,2515.7,2225.6,N,,,2495.9,0.85,2494.6,No Band,2270.95,2775.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 32 PER SHARE,1008253.0,,27-Nov-2019 00:00:00,5.35,2523.25,,,,,719.0,,,,,EQ,,HEROMOTOCO,,719.0,25373.09,1008253.0,7.5
,12.5,2516.54,2494.6,29-JUL-19,18-JUL-19,,,,,,,,,,,21.1,2523.25,20-DEC-18,31-JUL-19,32757.46,Hero MotoCorp Limited,Listed,0,0,0,2534.0,2491.55,548976.0,54.45,16-JUL-19,5.0,2.0,3380.0,,False,INE158A01026,2515.7,2225.6,N,,,2495.9,0.85,2494.6,No Band,2270.95,2775.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 32 PER SHARE,1008253.0,,27-Nov-2019 00:00:00,5.35,2523.25,,,,,719.0,,,,,EQ,,HEROMOTOCO,,719.0,25373.09,1008253.0,7.5
,12.5,2516.54,2494.6,29-JUL-19,18-JUL-19,,,,,,,,,,,21.1,2523.25,20-DEC-18,31-JUL-19,32757.46,Hero MotoCorp Limited,Listed,0,0,0,2534.0,2491.55,548976.0,54.45,16-JUL-19,5.0,2.0,3380.0,,False,INE158A01026,2515.7,2225.6,N,,,2495.9,0.85,2494.6,No Band,2270.95,2775.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 32 PER SHARE,1008253.0,,27-Nov-2019 00:00:00,5.35,2523.25,,,,,719.0,,,,,EQ,,HEROMOTOCO,,719.0,25373.09,1008253.0,7.5
,12.5,2516.54,2494.6,29-JUL-19,18-JUL-19,,,,,,,,,,,21.1,2523.25,20-DEC-18,31-JUL-19,32757.46,Hero MotoCorp Limited,Listed,0,0,0,2534.0,2491.55,548976.0,54.45,16-JUL-19,5.0,2.0,3380.0,,False,INE158A01026,2515.7,2225.6,N,,,2495.9,0.85,2494.6,No Band,2270.95,2775.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 32 PER SHARE,1008253.0,,27-Nov-2019 00:00:00,5.35,2523.25,,,,,719.0,,,,,EQ,,HEROMOTOCO,,719.0,25373.09,1008253.0,7.5
,12.5,2516.54,2523.25,29-JUL-19,18-JUL-19,,,,,,,,,,,-7.55,2523.25,20-DEC-18,31-JUL-19,32757.46,Hero MotoCorp Limited,Listed,0,0,0,2534.0,2491.55,548976.0,54.45,16-JUL-19,5.0,2.0,3380.0,,False,INE158A01026,2515.7,2225.6,N,,,2495.9,-0.30,2494.6,No Band,2270.95,2775.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 32 PER SHARE,1008253.0,,27-Nov-2019 00:00:00,5.35,2523.25,,,,,719.0,,,,,EQ,,HEROMOTOCO,,719.0,25373.09,1008253.0,7.5
,12.5,2512.72,2523.25,29-JUL-19,18-JUL-19,2505.0,2504.95,2504.9,2504.8,2504.7,100.0,19.0,30.0,40.0,7.0,-17.25,0.0,20-DEC-18,31-JUL-19,32757.46,Hero MotoCorp Limited,Listed,0,0,0,2520.0,2504.8,548976.0,54.45,16-JUL-19,5.0,2.0,3380.0,,False,INE158A01026,2506.0,2225.6,N,,,2517.0,-0.68,2523.25,No Band,2270.95,2775.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 32 PER SHARE,1008253.0,,27-Nov-2019 00:00:00,5.35,2506.0,2506.25,2506.8,2506.85,2507.0,85.0,4.0,5.0,7.0,15.0,EQ,,HEROMOTOCO,40207.0,49744.0,393.57,15663.0,7.5
,12.5,2512.72,2523.25,29-JUL-19,18-JUL-19,2505.0,2504.95,2504.9,2504.8,2504.7,100.0,19.0,30.0,40.0,7.0,-17.25,0.0,20-DEC-18,31-JUL-19,32757.46,Hero MotoCorp Limited,Listed,0,0,0,2520.0,2504.8,548976.0,54.45,16-JUL-19,5.0,2.0,3380.0,,False,INE158A01026,2506.0,2225.6,N,,,2517.0,-0.68,2523.25,No Band,2270.95,2775.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 32 PER SHARE,1008253.0,,27-Nov-2019 00:00:00,5.35,2506.0,2506.25,2506.8,2506.85,2507.0,85.0,4.0,5.0,7.0,15.0,EQ,,HEROMOTOCO,40207.0,49744.0,393.57,15663.0,7.5
