adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,339.24,338.3,,,,,,,,,,,,,0.3,339.8,21-JUN-19,26-NOV-18,3750.88,Hexaware Technologies Limited,Listed,0,0,0,342.05,336.0,203620.0,36.03,04-NOV-19,5.0,2.0,455.7,,False,INE093A01033,338.6,294.3,N,,,338.05,0.09,338.3,No Band,304.5,372.1,INTERIM DIVIDEND -RS 2 PER SH,565117.0,05-NOV-19,27-Nov-2019 00:00:00,5.27,339.8,,,,,1189.0,,,,,EQ,,HEXAWARE,,1189.0,1917.1,565117.0,7.5
,12.5,339.24,338.3,,,,,,,,,,,,,0.3,339.8,21-JUN-19,28-NOV-18,3750.88,Hexaware Technologies Limited,Listed,0,0,0,342.05,336.0,203620.0,36.03,04-NOV-19,5.0,2.0,455.7,,False,INE093A01033,338.6,306.0,N,,,338.05,0.09,338.3,No Band,305.85,373.75,INTERIM DIVIDEND -RS 2 PER SH,565117.0,05-NOV-19,27-Nov-2019 00:00:00,5.27,339.8,,,,,1189.0,,,,,EQ,,HEXAWARE,,1189.0,1917.1,565117.0,7.5
,12.5,339.24,338.3,,,,,,,,,,,,,0.3,339.8,21-JUN-19,28-NOV-18,3750.88,Hexaware Technologies Limited,Listed,0,0,0,342.05,336.0,203620.0,36.03,04-NOV-19,5.0,2.0,455.7,,False,INE093A01033,338.6,306.0,N,,,338.05,0.09,338.3,No Band,305.85,373.75,INTERIM DIVIDEND -RS 2 PER SH,565117.0,05-NOV-19,27-Nov-2019 00:00:00,5.27,339.8,,,,,1189.0,,,,,EQ,,HEXAWARE,,1189.0,1917.1,565117.0,7.5
,12.5,339.24,338.3,,,,,,,,,,,,,0.3,339.8,21-JUN-19,28-NOV-18,3750.88,Hexaware Technologies Limited,Listed,0,0,0,342.05,336.0,203620.0,36.03,04-NOV-19,5.0,2.0,455.7,,False,INE093A01033,338.6,306.0,N,,,338.05,0.09,338.3,No Band,305.85,373.75,INTERIM DIVIDEND -RS 2 PER SH,565117.0,05-NOV-19,27-Nov-2019 00:00:00,5.27,339.8,,,,,1189.0,,,,,EQ,,HEXAWARE,,1189.0,1917.1,565117.0,7.5
,12.5,339.24,338.3,,,,,,,,,,,,,0.3,339.8,21-JUN-19,28-NOV-18,3750.88,Hexaware Technologies Limited,Listed,0,0,0,342.05,336.0,203620.0,36.03,04-NOV-19,5.0,2.0,455.7,,False,INE093A01033,338.6,306.0,N,,,338.05,0.09,338.3,No Band,305.85,373.75,INTERIM DIVIDEND -RS 2 PER SH,565117.0,05-NOV-19,27-Nov-2019 00:00:00,5.27,339.8,,,,,1189.0,,,,,EQ,,HEXAWARE,,1189.0,1917.1,565117.0,7.5
,12.5,339.24,338.3,,,,,,,,,,,,,0.3,339.8,21-JUN-19,28-NOV-18,3750.88,Hexaware Technologies Limited,Listed,0,0,0,342.05,336.0,203620.0,36.03,04-NOV-19,5.0,2.0,455.7,,False,INE093A01033,338.6,306.0,N,,,338.05,0.09,338.3,No Band,305.85,373.75,INTERIM DIVIDEND -RS 2 PER SH,565117.0,05-NOV-19,27-Nov-2019 00:00:00,5.27,339.8,,,,,1189.0,,,,,EQ,,HEXAWARE,,1189.0,1917.1,565117.0,7.5
,12.5,339.24,339.8,,,,,,,,,,,,,-1.20,339.8,21-JUN-19,28-NOV-18,3750.88,Hexaware Technologies Limited,Listed,0,0,0,342.05,336.0,203620.0,36.03,04-NOV-19,5.0,2.0,455.7,,False,INE093A01033,338.6,306.0,N,,,338.05,-0.35,338.3,No Band,305.85,373.75,INTERIM DIVIDEND -RS 2 PER SH,565117.0,05-NOV-19,27-Nov-2019 00:00:00,5.27,339.8,,,,,1189.0,,,,,EQ,,HEXAWARE,,1189.0,1917.1,565117.0,7.5
,12.5,338.42,339.8,,,338.35,338.3,338.25,338.2,338.15,25.0,224.0,293.0,183.0,95.0,-1.45,0.0,21-JUN-19,28-NOV-18,3750.88,Hexaware Technologies Limited,Listed,0,0,0,340.7,337.45,203620.0,36.03,04-NOV-19,5.0,2.0,455.7,,False,INE093A01033,338.35,306.0,N,,,340.7,-0.43,339.8,No Band,305.85,373.75,INTERIM DIVIDEND -RS 2 PER SH,565117.0,05-NOV-19,27-Nov-2019 00:00:00,5.27,338.55,338.6,338.75,338.8,338.9,1.0,1.0,3.0,197.0,64.0,EQ,,HEXAWARE,107965.0,118641.0,29.41,8691.0,7.5
,12.5,338.42,339.8,,,338.35,338.3,338.25,338.2,338.15,25.0,224.0,293.0,183.0,95.0,-1.45,0.0,21-JUN-19,28-NOV-18,3750.88,Hexaware Technologies Limited,Listed,0,0,0,340.7,337.45,203620.0,36.03,04-NOV-19,5.0,2.0,455.7,,False,INE093A01033,338.35,306.0,N,,,340.7,-0.43,339.8,No Band,305.85,373.75,INTERIM DIVIDEND -RS 2 PER SH,565117.0,05-NOV-19,27-Nov-2019 00:00:00,5.27,338.55,338.6,338.75,338.8,338.9,1.0,1.0,3.0,197.0,64.0,EQ,,HEXAWARE,107965.0,118641.0,29.41,8691.0,7.5
,12.5,338.27,339.8,,,338.2,338.0,337.95,337.9,337.85,40.0,516.0,25.0,20.0,40.0,-1.60,0.0,21-JUN-19,28-NOV-18,3750.88,Hexaware Technologies Limited,Listed,0,0,0,340.7,337.05,203620.0,36.03,04-NOV-19,5.0,2.0,455.7,,False,INE093A01033,338.2,306.0,N,,,340.7,-0.47,339.8,No Band,305.85,373.75,INTERIM DIVIDEND -RS 2 PER SH,565117.0,05-NOV-19,27-Nov-2019 00:00:00,5.27,338.25,338.4,338.45,338.5,338.55,2632.0,202.0,136.0,534.0,211.0,EQ,,HEXAWARE,116724.0,128512.0,43.76,12936.0,7.5
,12.5,338.27,339.8,,,338.4,338.35,338.3,338.25,338.2,195.0,75.0,1400.0,10.0,318.0,-1.10,0.0,21-JUN-19,28-NOV-18,3750.88,Hexaware Technologies Limited,Listed,0,0,0,340.7,337.05,203620.0,36.03,04-NOV-19,5.0,2.0,455.7,,False,INE093A01033,338.7,306.0,N,,,340.7,-0.32,339.8,No Band,305.85,373.75,INTERIM DIVIDEND -RS 2 PER SH,565117.0,05-NOV-19,27-Nov-2019 00:00:00,5.27,338.65,338.7,338.75,338.8,338.85,52.0,611.0,467.0,626.0,127.0,EQ,,HEXAWARE,134310.0,134831.0,59.52,17596.0,7.5
