adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,202.06,198.7,30-AUG-19,17-AUG-19,203.0,,,,,4004.0,,,,,4.35,203.0,03-DEC-18,26-AUG-19,29634.97,Hindalco Industries Limited,Listed,0,0,0,203.5,199.4,2032496.0,28.03,14-AUG-19,5.0,1.0,237.9,,False,INE038A01020,203.05,171.1,N,,,199.4,2.19,198.7,No Band,178.85,218.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,7251212.0,,27-Nov-2019 00:00:00,7.25,,,,,,,,,,,EQ,,HINDALCO,4004.0,,14651.8,7251212.0,7.5
,12.5,202.06,198.7,30-AUG-19,17-AUG-19,203.0,,,,,4004.0,,,,,4.35,203.0,03-DEC-18,26-AUG-19,29634.97,Hindalco Industries Limited,Listed,0,0,0,203.5,199.4,2032496.0,28.03,14-AUG-19,5.0,1.0,237.9,,False,INE038A01020,203.05,171.1,N,,,199.4,2.19,198.7,No Band,178.85,218.55,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,7251212.0,,27-Nov-2019 00:00:00,7.25,,,,,,,,,,,EQ,,HINDALCO,4004.0,,14651.8,7251212.0,7.5
,12.5,202.06,198.7,30-AUG-19,17-AUG-19,203.0,,,,,4004.0,,,,,4.35,203.0,03-DEC-18,26-AUG-19,29634.97,Hindalco Industries Limited,Listed,0,0,0,203.5,199.4,2032496.0,28.03,14-AUG-19,5.0,1.0,237.9,,False,INE038A01020,203.05,171.1,N,,,199.4,2.19,198.7,No Band,182.7,223.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,7251212.0,,27-Nov-2019 00:00:00,7.25,,,,,,,,,,,EQ,,HINDALCO,4004.0,,14651.8,7251212.0,7.5
,12.5,202.06,198.7,30-AUG-19,17-AUG-19,203.0,,,,,4004.0,,,,,4.35,203.0,03-DEC-18,26-AUG-19,29634.97,Hindalco Industries Limited,Listed,0,0,0,203.5,199.4,2032496.0,28.03,14-AUG-19,5.0,1.0,237.9,,False,INE038A01020,203.05,171.1,N,,,199.4,2.19,198.7,No Band,182.7,223.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,7251212.0,,27-Nov-2019 00:00:00,7.25,,,,,,,,,,,EQ,,HINDALCO,4004.0,,14651.8,7251212.0,7.5
,12.5,202.06,198.7,30-AUG-19,17-AUG-19,203.0,,,,,4004.0,,,,,4.35,203.0,03-DEC-18,26-AUG-19,29634.97,Hindalco Industries Limited,Listed,0,0,0,203.5,199.4,2032496.0,28.03,14-AUG-19,5.0,1.0,237.9,,False,INE038A01020,203.05,171.1,N,,,199.4,2.19,198.7,No Band,182.7,223.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,7251212.0,,27-Nov-2019 00:00:00,7.25,,,,,,,,,,,EQ,,HINDALCO,4004.0,,14651.8,7251212.0,7.5
,12.5,202.06,198.7,30-AUG-19,17-AUG-19,203.0,,,,,4004.0,,,,,4.35,203.0,03-DEC-18,26-AUG-19,29634.97,Hindalco Industries Limited,Listed,0,0,0,203.5,199.4,2032496.0,28.03,14-AUG-19,5.0,1.0,237.9,,False,INE038A01020,203.05,171.1,N,,,199.4,2.19,198.7,No Band,182.7,223.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,7251212.0,,27-Nov-2019 00:00:00,7.25,,,,,,,,,,,EQ,,HINDALCO,4004.0,,14651.8,7251212.0,7.5
,12.5,202.06,198.7,30-AUG-19,17-AUG-19,203.0,,,,,4004.0,,,,,4.35,203.0,03-DEC-18,26-AUG-19,29634.97,Hindalco Industries Limited,Listed,0,0,0,203.5,199.4,2032496.0,28.03,14-AUG-19,5.0,1.0,237.9,,False,INE038A01020,203.05,171.1,N,,,199.4,2.19,198.7,No Band,182.7,223.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,7251212.0,,27-Nov-2019 00:00:00,7.25,,,,,,,,,,,EQ,,HINDALCO,4004.0,,14651.8,7251212.0,7.5
,12.5,202.06,198.7,30-AUG-19,17-AUG-19,203.0,,,,,4004.0,,,,,4.35,203.0,03-DEC-18,26-AUG-19,29634.97,Hindalco Industries Limited,Listed,0,0,0,203.5,199.4,2032496.0,28.03,14-AUG-19,5.0,1.0,237.9,,False,INE038A01020,203.05,171.1,N,,,199.4,2.19,198.7,No Band,182.7,223.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,7251212.0,,27-Nov-2019 00:00:00,7.25,,,,,,,,,,,EQ,,HINDALCO,4004.0,,14651.8,7251212.0,7.5
,12.5,201.34,203.0,30-AUG-19,17-AUG-19,200.4,200.3,200.25,200.2,200.15,10076.0,200.0,183.0,3974.0,10890.0,-2.60,0.0,03-DEC-18,26-AUG-19,29634.97,Hindalco Industries Limited,Listed,0,0,0,203.0,200.1,2032496.0,28.03,14-AUG-19,5.0,1.0,237.9,,False,INE038A01020,200.4,171.1,N,,,203.0,-1.28,203.0,No Band,182.7,223.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,7251212.0,,27-Nov-2019 00:00:00,7.25,200.5,200.55,200.6,200.65,200.7,151.0,99.0,2003.0,2356.0,2973.0,EQ,,HINDALCO,378212.0,394754.0,375.53,186513.0,7.5
,12.5,201.32,203.0,30-AUG-19,17-AUG-19,201.75,201.7,201.65,201.6,201.55,992.0,3040.0,3235.0,3339.0,8562.0,-1.25,0.0,03-DEC-18,26-AUG-19,29634.97,Hindalco Industries Limited,Listed,0,0,0,203.0,200.1,2032496.0,28.03,14-AUG-19,5.0,1.0,237.9,,False,INE038A01020,201.75,171.1,N,,,203.0,-0.62,203.0,No Band,182.7,223.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,7251212.0,,27-Nov-2019 00:00:00,7.25,201.9,201.95,202.0,202.05,202.1,1195.0,1599.0,11226.0,2536.0,2323.0,EQ,,HINDALCO,508778.0,419674.0,645.82,320795.0,7.5
