adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.88,286.9,289.4,14-JUN-19,10-JUN-19,286.5,,,,,1752.0,,,,,-2.90,286.5,03-JUN-19,18-FEB-19,21392.18,Hindustan Petroleum Corporation Limited,Listed,0,0,0,291.0,285.1,1437592.0,47.44,06-JUN-19,5.0,10.0,333.5,,False,INE094A01015,286.5,211.2,N,,,287.0,-1.00,289.4,No Band,260.5,318.3,DIVIDEND RS - 9.40 PER SHARE,3030250.0,,27-Nov-2019 00:00:00,7.88,,,,,,,,,,,EQ,,HINDPETRO,1752.0,,8693.79,3030250.0,7.88
,12.88,286.9,289.4,14-JUN-19,10-JUN-19,286.5,,,,,1752.0,,,,,-2.90,286.5,03-JUN-19,18-FEB-19,21392.18,Hindustan Petroleum Corporation Limited,Listed,0,0,0,291.0,285.1,1437592.0,47.44,06-JUN-19,5.0,10.0,333.5,,False,INE094A01015,286.5,211.2,N,,,287.0,-1.00,289.4,No Band,257.85,315.15,DIVIDEND RS - 9.40 PER SHARE,3030250.0,,27-Nov-2019 00:00:00,7.88,,,,,,,,,,,EQ,,HINDPETRO,1752.0,,8693.79,3030250.0,7.88
,12.88,286.9,289.4,14-JUN-19,10-JUN-19,286.5,,,,,1752.0,,,,,-2.90,286.5,03-JUN-19,18-FEB-19,21392.18,Hindustan Petroleum Corporation Limited,Listed,0,0,0,291.0,285.1,1437592.0,47.44,06-JUN-19,5.0,10.0,333.5,,False,INE094A01015,286.5,211.2,N,,,287.0,-1.00,289.4,No Band,257.85,315.15,DIVIDEND RS - 9.40 PER SHARE,3030250.0,,27-Nov-2019 00:00:00,7.88,,,,,,,,,,,EQ,,HINDPETRO,1752.0,,8693.79,3030250.0,7.88
,12.88,286.9,289.4,14-JUN-19,10-JUN-19,286.5,,,,,1752.0,,,,,-2.90,286.5,03-JUN-19,18-FEB-19,21392.18,Hindustan Petroleum Corporation Limited,Listed,0,0,0,291.0,285.1,1437592.0,47.44,06-JUN-19,5.0,10.0,333.5,,False,INE094A01015,286.5,211.2,N,,,287.0,-1.00,289.4,No Band,257.85,315.15,DIVIDEND RS - 9.40 PER SHARE,3030250.0,,27-Nov-2019 00:00:00,7.88,,,,,,,,,,,EQ,,HINDPETRO,1752.0,,8693.79,3030250.0,7.88
,12.88,286.9,289.4,14-JUN-19,10-JUN-19,286.5,,,,,1752.0,,,,,-2.90,286.5,03-JUN-19,18-FEB-19,21392.18,Hindustan Petroleum Corporation Limited,Listed,0,0,0,291.0,285.1,1437592.0,47.44,06-JUN-19,5.0,10.0,333.5,,False,INE094A01015,286.5,211.2,N,,,287.0,-1.00,289.4,No Band,257.85,315.15,DIVIDEND RS - 9.40 PER SHARE,3030250.0,,27-Nov-2019 00:00:00,7.88,,,,,,,,,,,EQ,,HINDPETRO,1752.0,,8693.79,3030250.0,7.88
,12.88,286.9,289.4,14-JUN-19,10-JUN-19,286.5,,,,,1752.0,,,,,-2.90,286.5,03-JUN-19,18-FEB-19,21392.18,Hindustan Petroleum Corporation Limited,Listed,0,0,0,291.0,285.1,1437592.0,47.44,06-JUN-19,5.0,10.0,333.5,,False,INE094A01015,286.5,211.2,N,,,287.0,-1.00,289.4,No Band,257.85,315.15,DIVIDEND RS - 9.40 PER SHARE,3030250.0,,27-Nov-2019 00:00:00,7.88,,,,,,,,,,,EQ,,HINDPETRO,1752.0,,8693.79,3030250.0,7.88
,12.88,286.9,286.5,14-JUN-19,10-JUN-19,286.5,,,,,1752.0,,,,,,286.5,03-JUN-19,18-FEB-19,21392.18,Hindustan Petroleum Corporation Limited,Listed,0,0,0,291.0,285.1,1437592.0,47.44,06-JUN-19,5.0,10.0,333.5,,False,INE094A01015,286.5,211.2,N,,,287.0,0.0,289.4,No Band,257.85,315.15,DIVIDEND RS - 9.40 PER SHARE,3030250.0,,27-Nov-2019 00:00:00,7.88,,,,,,,,,,,EQ,,HINDPETRO,1752.0,,8693.79,3030250.0,7.88
,12.88,287.82,286.5,14-JUN-19,10-JUN-19,288.2,288.15,288.1,288.05,288.0,12.0,176.0,832.0,2300.0,1478.0,1.7,0.0,03-JUN-19,18-FEB-19,21392.18,Hindustan Petroleum Corporation Limited,Listed,0,0,0,289.1,286.35,1437592.0,47.44,06-JUN-19,5.0,10.0,333.5,,False,INE094A01015,288.2,211.2,N,,,287.8,0.59,286.5,No Band,257.85,315.15,DIVIDEND RS - 9.40 PER SHARE,3030250.0,,27-Nov-2019 00:00:00,7.88,288.3,288.4,288.45,288.5,288.65,21.0,100.0,2.0,550.0,652.0,EQ,,HINDPETRO,279203.0,251239.0,478.81,166359.0,7.88
,12.88,287.85,286.5,14-JUN-19,10-JUN-19,287.75,287.6,287.55,287.5,287.45,1538.0,2300.0,300.0,1038.0,326.0,1.25,0.0,03-JUN-19,18-FEB-19,21392.18,Hindustan Petroleum Corporation Limited,Listed,0,0,0,289.1,286.35,1437592.0,47.44,06-JUN-19,5.0,10.0,333.5,,False,INE094A01015,287.75,211.2,N,,,287.8,0.44,286.5,No Band,257.85,315.15,DIVIDEND RS - 9.40 PER SHARE,3030250.0,,27-Nov-2019 00:00:00,7.88,287.8,287.85,287.9,287.95,288.0,200.0,1858.0,639.0,2094.0,3228.0,EQ,,HINDPETRO,280046.0,292086.0,585.37,203359.0,7.88
,12.88,287.72,286.5,14-JUN-19,10-JUN-19,286.8,286.75,286.7,286.65,286.55,1908.0,5400.0,1135.0,1534.0,1170.0,0.3,0.0,03-JUN-19,18-FEB-19,21392.18,Hindustan Petroleum Corporation Limited,Listed,0,0,0,289.1,286.35,1437592.0,47.44,06-JUN-19,5.0,10.0,333.5,,False,INE094A01015,286.8,211.2,N,,,287.8,0.1,286.5,No Band,257.85,315.15,DIVIDEND RS - 9.40 PER SHARE,3030250.0,,27-Nov-2019 00:00:00,7.88,286.85,287.0,287.05,287.1,287.15,1189.0,778.0,856.0,2902.0,1368.0,EQ,,HINDPETRO,294320.0,327145.0,764.52,265718.0,7.88
