adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,507.71,510.7,09-AUG-19,24-JUL-19,,,,,,,,,,,-3.95,505.5,26-NOV-19,11-DEC-18,326457.36,ICICI Bank Limited,Listed,0,0,0,515.85,504.3,12303926.0,41.2,22-JUL-19,5.0,2.0,517.55,,False,INE090A01021,506.75,336.0,N,,,513.9,-0.77,510.7,No Band,459.65,561.75,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,29866539.0,,27-Nov-2019 00:00:00,6.26,505.5,,,,,20936.0,,,,,EQ,,ICICIBANK,,20936.0,151635.41,29866539.0,7.5
,12.5,507.71,510.7,09-AUG-19,24-JUL-19,,,,,,,,,,,-3.95,505.5,26-NOV-19,11-DEC-18,326457.36,ICICI Bank Limited,Listed,0,0,0,515.85,504.3,12303926.0,41.2,22-JUL-19,5.0,2.0,517.55,,False,INE090A01021,506.75,336.0,N,,,513.9,-0.77,510.7,No Band,454.95,556.05,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,29866539.0,,27-Nov-2019 00:00:00,6.26,505.5,,,,,20936.0,,,,,EQ,,ICICIBANK,,20936.0,151635.41,29866539.0,7.5
,12.5,507.71,510.7,09-AUG-19,24-JUL-19,,,,,,,,,,,-3.95,505.5,26-NOV-19,11-DEC-18,326457.36,ICICI Bank Limited,Listed,0,0,0,515.85,504.3,12303926.0,41.2,22-JUL-19,5.0,2.0,517.55,,False,INE090A01021,506.75,336.0,N,,,513.9,-0.77,510.7,No Band,454.95,556.05,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,29866539.0,,27-Nov-2019 00:00:00,6.26,505.5,,,,,20936.0,,,,,EQ,,ICICIBANK,,20936.0,151635.41,29866539.0,7.5
,12.5,507.71,510.7,09-AUG-19,24-JUL-19,,,,,,,,,,,-3.95,505.5,26-NOV-19,11-DEC-18,326457.36,ICICI Bank Limited,Listed,0,0,0,515.85,504.3,12303926.0,41.2,22-JUL-19,5.0,2.0,517.55,,False,INE090A01021,506.75,336.0,N,,,513.9,-0.77,510.7,No Band,454.95,556.05,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,29866539.0,,27-Nov-2019 00:00:00,6.26,505.5,,,,,20936.0,,,,,EQ,,ICICIBANK,,20936.0,151635.41,29866539.0,7.5
,12.5,507.71,510.7,09-AUG-19,24-JUL-19,,,,,,,,,,,-3.95,505.5,26-NOV-19,11-DEC-18,326457.36,ICICI Bank Limited,Listed,0,0,0,515.85,504.3,12303926.0,41.2,22-JUL-19,5.0,2.0,517.55,,False,INE090A01021,506.75,336.0,N,,,513.9,-0.77,510.7,No Band,454.95,556.05,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,29866539.0,,27-Nov-2019 00:00:00,6.26,505.5,,,,,20936.0,,,,,EQ,,ICICIBANK,,20936.0,151635.41,29866539.0,7.5
,12.5,507.71,510.7,09-AUG-19,24-JUL-19,,,,,,,,,,,-3.95,505.5,26-NOV-19,11-DEC-18,326457.36,ICICI Bank Limited,Listed,0,0,0,515.85,504.3,12303926.0,41.2,22-JUL-19,5.0,2.0,517.55,,False,INE090A01021,506.75,336.0,N,,,513.9,-0.77,510.7,No Band,454.95,556.05,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,29866539.0,,27-Nov-2019 00:00:00,6.26,505.5,,,,,20936.0,,,,,EQ,,ICICIBANK,,20936.0,151635.41,29866539.0,7.5
,12.5,507.71,505.5,09-AUG-19,24-JUL-19,,,,,,,,,,,1.25,505.5,26-NOV-19,11-DEC-18,326457.36,ICICI Bank Limited,Listed,0,0,0,515.85,504.3,12303926.0,41.2,22-JUL-19,5.0,2.0,517.55,,False,INE090A01021,506.75,336.0,N,,,513.9,0.25,510.7,No Band,454.95,556.05,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,29866539.0,,27-Nov-2019 00:00:00,6.26,505.5,,,,,20936.0,,,,,EQ,,ICICIBANK,,20936.0,151635.41,29866539.0,7.5
,12.5,509.48,505.5,09-AUG-19,24-JUL-19,509.25,509.2,509.15,509.1,509.05,209.0,249.0,39.0,1788.0,3548.0,3.85,0.0,26-NOV-19,11-DEC-18,326457.36,ICICI Bank Limited,Listed,0,0,0,510.5,508.0,12303926.0,41.2,22-JUL-19,5.0,2.0,517.55,,False,INE090A01021,509.35,336.0,N,,,509.55,0.76,505.5,No Band,454.95,556.05,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,29866539.0,,27-Nov-2019 00:00:00,6.26,509.35,509.45,509.5,509.55,509.6,17.0,45.0,2435.0,1699.0,1130.0,EQ,,ICICIBANK,847531.0,736939.0,5297.08,1039703.0,7.5
,12.5,509.33,505.5,09-AUG-19,24-JUL-19,509.25,509.2,509.15,509.1,509.05,15.0,418.0,967.0,3509.0,3821.0,3.95,0.0,26-NOV-19,11-DEC-18,326457.36,ICICI Bank Limited,Listed,0,0,0,510.5,508.0,12303926.0,41.2,22-JUL-19,5.0,2.0,517.55,,False,INE090A01021,509.45,336.0,N,,,509.55,0.78,505.5,No Band,454.95,556.05,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,29866539.0,,27-Nov-2019 00:00:00,6.26,509.45,509.5,509.55,509.6,509.65,246.0,2415.0,1687.0,3989.0,2855.0,EQ,,ICICIBANK,949934.0,847788.0,8093.68,1589084.0,7.5
,12.5,509.31,505.5,09-AUG-19,24-JUL-19,509.0,508.95,508.9,508.85,508.8,1726.0,279.0,312.0,2196.0,3478.0,3.6,0.0,26-NOV-19,11-DEC-18,326457.36,ICICI Bank Limited,Listed,0,0,0,510.5,508.0,12303926.0,41.2,22-JUL-19,5.0,2.0,517.55,,False,INE090A01021,509.1,336.0,N,,,509.55,0.71,505.5,No Band,454.95,556.05,ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,29866539.0,,27-Nov-2019 00:00:00,6.26,509.1,509.15,509.2,509.25,509.3,350.0,340.0,639.0,1482.0,3457.0,EQ,,ICICIBANK,943687.0,882573.0,8571.02,1682869.0,7.5
