adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,495.13,497.0,,,496.45,,,,,3020.0,,,,,,496.45,13-NOV-19,04-FEB-19,17820.56,ICICI Prudential Life Insurance Company Limited,Listed,0,0,0,500.8,487.5,833413.0,35.79,31-OCT-19,5.0,10.0,537.3,,False,INE726G01019,497.0,277.35,N,,,490.8,0.0,497.0,No Band,447.3,546.7,INTERIM DIVIDEND - RE 0.80 PER SH,2328423.0,01-NOV-19,27-Nov-2019 00:00:00,5.04,,,,,,,,,,,EQ,,ICICIPRULI,3020.0,,11528.72,2328423.0,7.5
,12.5,495.13,497.0,,,496.45,,,,,3020.0,,,,,,496.45,13-NOV-19,04-FEB-19,17820.56,ICICI Prudential Life Insurance Company Limited,Listed,0,0,0,500.8,487.5,833413.0,35.79,31-OCT-19,5.0,10.0,537.3,,False,INE726G01019,497.0,277.35,N,,,490.8,0.0,497.0,No Band,446.85,546.05,INTERIM DIVIDEND - RE 0.80 PER SH,2328423.0,01-NOV-19,27-Nov-2019 00:00:00,5.04,,,,,,,,,,,EQ,,ICICIPRULI,3020.0,,11528.72,2328423.0,7.5
,12.5,495.13,497.0,,,496.45,,,,,3020.0,,,,,,496.45,13-NOV-19,04-FEB-19,17820.56,ICICI Prudential Life Insurance Company Limited,Listed,0,0,0,500.8,487.5,833413.0,35.79,31-OCT-19,5.0,10.0,537.3,,False,INE726G01019,497.0,277.35,N,,,490.8,0.0,497.0,No Band,446.85,546.05,INTERIM DIVIDEND - RE 0.80 PER SH,2328423.0,01-NOV-19,27-Nov-2019 00:00:00,5.04,,,,,,,,,,,EQ,,ICICIPRULI,3020.0,,11528.72,2328423.0,7.5
,12.5,495.13,497.0,,,496.45,,,,,3020.0,,,,,,496.45,13-NOV-19,04-FEB-19,17820.56,ICICI Prudential Life Insurance Company Limited,Listed,0,0,0,500.8,487.5,833413.0,35.79,31-OCT-19,5.0,10.0,537.3,,False,INE726G01019,497.0,277.35,N,,,490.8,0.0,497.0,No Band,446.85,546.05,INTERIM DIVIDEND - RE 0.80 PER SH,2328423.0,01-NOV-19,27-Nov-2019 00:00:00,5.04,,,,,,,,,,,EQ,,ICICIPRULI,3020.0,,11528.72,2328423.0,7.5
,12.5,495.13,497.0,,,496.45,,,,,3020.0,,,,,,496.45,13-NOV-19,04-FEB-19,17820.56,ICICI Prudential Life Insurance Company Limited,Listed,0,0,0,500.8,487.5,833413.0,35.79,31-OCT-19,5.0,10.0,537.3,,False,INE726G01019,497.0,277.35,N,,,490.8,0.0,497.0,No Band,446.85,546.05,INTERIM DIVIDEND - RE 0.80 PER SH,2328423.0,01-NOV-19,27-Nov-2019 00:00:00,5.04,,,,,,,,,,,EQ,,ICICIPRULI,3020.0,,11528.72,2328423.0,7.5
,12.5,495.13,497.0,,,496.45,,,,,3020.0,,,,,,496.45,13-NOV-19,04-FEB-19,17820.56,ICICI Prudential Life Insurance Company Limited,Listed,0,0,0,500.8,487.5,833413.0,35.79,31-OCT-19,5.0,10.0,537.3,,False,INE726G01019,497.0,277.35,N,,,490.8,0.0,497.0,No Band,446.85,546.05,INTERIM DIVIDEND - RE 0.80 PER SH,2328423.0,01-NOV-19,27-Nov-2019 00:00:00,5.04,,,,,,,,,,,EQ,,ICICIPRULI,3020.0,,11528.72,2328423.0,7.5
,12.5,495.13,496.45,,,496.45,,,,,3020.0,,,,,0.55,496.45,13-NOV-19,04-FEB-19,17820.56,ICICI Prudential Life Insurance Company Limited,Listed,0,0,0,500.8,487.5,833413.0,35.79,31-OCT-19,5.0,10.0,537.3,,False,INE726G01019,497.0,277.35,N,,,490.8,0.11,497.0,No Band,446.85,546.05,INTERIM DIVIDEND - RE 0.80 PER SH,2328423.0,01-NOV-19,27-Nov-2019 00:00:00,5.04,,,,,,,,,,,EQ,,ICICIPRULI,3020.0,,11528.72,2328423.0,7.5
,12.5,498.29,496.45,,,497.45,497.25,497.2,497.1,497.0,102.0,1.0,10.0,72.0,309.0,1.15,0.0,13-NOV-19,04-FEB-19,17820.56,ICICI Prudential Life Insurance Company Limited,Listed,0,0,0,498.7,497.5,833413.0,35.79,31-OCT-19,5.0,10.0,537.3,,False,INE726G01019,497.6,277.35,N,,,498.45,0.23,496.45,No Band,446.85,546.05,INTERIM DIVIDEND - RE 0.80 PER SH,2328423.0,01-NOV-19,27-Nov-2019 00:00:00,5.04,497.55,497.6,497.65,497.7,497.75,22.0,107.0,367.0,206.0,85.0,EQ,,ICICIPRULI,223369.0,163688.0,104.75,21021.0,7.5
,12.5,497.52,496.45,,,496.3,496.25,496.2,496.15,496.1,42.0,111.0,270.0,209.0,338.0,,0.0,13-NOV-19,04-FEB-19,17820.56,ICICI Prudential Life Insurance Company Limited,Listed,0,0,0,498.7,495.7,833413.0,35.79,31-OCT-19,5.0,10.0,537.3,,False,INE726G01019,496.45,277.35,N,,,498.45,0.0,496.45,No Band,446.85,546.05,INTERIM DIVIDEND - RE 0.80 PER SH,2328423.0,01-NOV-19,27-Nov-2019 00:00:00,5.04,496.45,496.5,496.75,496.8,496.9,94.0,1849.0,110.0,482.0,390.0,EQ,,ICICIPRULI,243594.0,185188.0,178.4,35857.0,7.5
,12.5,497.44,496.45,,,497.6,497.4,497.25,497.2,497.15,5.0,350.0,165.0,295.0,307.0,1.3,0.0,13-NOV-19,04-FEB-19,17820.56,ICICI Prudential Life Insurance Company Limited,Listed,0,0,0,498.7,495.7,833413.0,35.79,31-OCT-19,5.0,10.0,537.3,,False,INE726G01019,497.75,277.35,N,,,498.45,0.26,496.45,No Band,446.85,546.05,INTERIM DIVIDEND - RE 0.80 PER SH,2328423.0,01-NOV-19,27-Nov-2019 00:00:00,5.04,497.75,497.8,497.85,497.9,497.95,300.0,341.0,367.0,596.0,98.0,EQ,,ICICIPRULI,251797.0,181500.0,272.86,54853.0,7.5
