adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
1.75,62.5,6.03,6.0,27-AUG-19,20-AUG-19,5.9,,,,,287149.0,,,,,-0.10,5.9,26-NOV-18,15-NOV-19,4408.01,Vodafone Idea Limited,Listed,0,0,0,6.4,5.75,89567825.0,24.35,16-AUG-19,9.07,10.0,25.81,,False,INE669E01016,5.9,2.4,N,,,6.2,-1.67,6.0,No Band,5.4,6.6,ANNUAL GENERAL MEETING,367839016.0,,27-Nov-2019 00:00:00,51.68,,,,,,,,,,,EQ,,IDEA,287149.0,,22180.69,367839016.0,51.68
1.75,62.5,6.03,6.0,27-AUG-19,20-AUG-19,5.9,,,,,287149.0,,,,,-0.10,5.9,26-NOV-18,15-NOV-19,4408.01,Vodafone Idea Limited,Listed,0,0,0,6.4,5.75,89567825.0,24.35,16-AUG-19,9.07,10.0,25.81,,False,INE669E01016,5.9,2.4,N,,,6.2,-1.67,6.0,No Band,5.35,6.45,ANNUAL GENERAL MEETING,367839016.0,,27-Nov-2019 00:00:00,51.68,,,,,,,,,,,EQ,,IDEA,287149.0,,22180.69,367839016.0,51.68
1.75,62.5,6.03,6.0,27-AUG-19,20-AUG-19,5.9,,,,,287149.0,,,,,-0.10,5.9,27-NOV-18,15-NOV-19,4408.01,Vodafone Idea Limited,Listed,0,0,0,6.4,5.75,89567825.0,24.35,16-AUG-19,9.07,10.0,24.46,,False,INE669E01016,5.9,2.4,N,,,6.2,-1.67,6.0,No Band,5.35,6.45,ANNUAL GENERAL MEETING,367839016.0,,27-Nov-2019 00:00:00,51.68,,,,,,,,,,,EQ,,IDEA,287149.0,,22180.69,367839016.0,51.68
1.75,62.5,6.03,6.0,27-AUG-19,20-AUG-19,5.9,,,,,287149.0,,,,,-0.10,5.9,27-NOV-18,15-NOV-19,4408.01,Vodafone Idea Limited,Listed,0,0,0,6.4,5.75,89567825.0,24.35,16-AUG-19,9.07,10.0,24.46,,False,INE669E01016,5.9,2.4,N,,,6.2,-1.67,6.0,No Band,5.35,6.45,ANNUAL GENERAL MEETING,367839016.0,,27-Nov-2019 00:00:00,51.68,,,,,,,,,,,EQ,,IDEA,287149.0,,22180.69,367839016.0,51.68
1.75,62.5,6.03,6.0,27-AUG-19,20-AUG-19,5.9,,,,,287149.0,,,,,-0.10,5.9,27-NOV-18,15-NOV-19,4408.01,Vodafone Idea Limited,Listed,0,0,0,6.4,5.75,89567825.0,24.35,16-AUG-19,9.07,10.0,24.46,,False,INE669E01016,5.9,2.4,N,,,6.2,-1.67,6.0,No Band,5.35,6.45,ANNUAL GENERAL MEETING,367839016.0,,27-Nov-2019 00:00:00,51.68,,,,,,,,,,,EQ,,IDEA,287149.0,,22180.69,367839016.0,51.68
1.75,62.5,6.03,6.0,27-AUG-19,20-AUG-19,5.9,,,,,287149.0,,,,,-0.10,5.9,27-NOV-18,15-NOV-19,4408.01,Vodafone Idea Limited,Listed,0,0,0,6.4,5.75,89567825.0,24.35,16-AUG-19,9.07,10.0,24.46,,False,INE669E01016,5.9,2.4,N,,,6.2,-1.67,6.0,No Band,5.35,6.45,ANNUAL GENERAL MEETING,367839016.0,,27-Nov-2019 00:00:00,51.68,,,,,,,,,,,EQ,,IDEA,287149.0,,22180.69,367839016.0,51.68
1.75,62.5,6.03,6.0,27-AUG-19,20-AUG-19,5.9,,,,,287149.0,,,,,-0.10,5.9,27-NOV-18,15-NOV-19,4408.01,Vodafone Idea Limited,Listed,0,0,0,6.4,5.75,89567825.0,24.35,16-AUG-19,9.07,10.0,24.46,,False,INE669E01016,5.9,2.4,N,,,6.2,-1.67,6.0,No Band,5.35,6.45,ANNUAL GENERAL MEETING,367839016.0,,27-Nov-2019 00:00:00,51.68,,,,,,,,,,,EQ,,IDEA,287149.0,,22180.69,367839016.0,51.68
1.75,62.5,6.05,5.9,27-AUG-19,20-AUG-19,6.1,6.05,6.0,5.95,5.9,5450801.0,9127157.0,9941730.0,1700349.0,4585880.0,0.2,0.0,27-NOV-18,15-NOV-19,4408.01,Vodafone Idea Limited,Listed,0,0,0,6.15,5.9,89567825.0,24.35,16-AUG-19,9.07,10.0,24.46,,False,INE669E01016,6.1,2.4,N,,,5.9,3.39,5.9,No Band,5.35,6.45,ANNUAL GENERAL MEETING,367839016.0,,27-Nov-2019 00:00:00,51.68,6.15,6.2,6.25,6.3,6.35,5969777.0,6961384.0,3513928.0,3433353.0,2357360.0,EQ,,IDEA,54030335.0,29304441.0,1522.8,25170182.0,51.68
1.75,62.5,6.05,5.9,27-AUG-19,20-AUG-19,6.05,6.0,5.95,5.9,5.85,1075022.0,6084445.0,7618749.0,5045890.0,3852865.0,0.15,0.0,27-NOV-18,15-NOV-19,4408.01,Vodafone Idea Limited,Listed,0,0,0,6.15,5.9,89567825.0,24.35,16-AUG-19,9.07,10.0,24.46,,False,INE669E01016,6.05,2.4,N,,,5.9,2.54,5.9,No Band,5.35,6.45,ANNUAL GENERAL MEETING,367839016.0,,27-Nov-2019 00:00:00,51.68,6.1,6.15,6.2,6.25,6.3,6379813.0,5502153.0,5668589.0,3675286.0,3571468.0,EQ,,IDEA,43243276.0,34435071.0,1876.82,31021830.0,51.68
1.75,62.5,6.04,5.9,27-AUG-19,20-AUG-19,6.0,5.95,5.9,5.85,5.8,3080183.0,10154643.0,9830194.0,6422541.0,2920998.0,0.1,0.0,27-NOV-18,15-NOV-19,4408.01,Vodafone Idea Limited,Listed,0,0,0,6.15,5.9,89567825.0,24.35,16-AUG-19,9.07,10.0,24.46,,False,INE669E01016,6.0,2.4,N,,,5.9,1.69,5.9,No Band,5.35,6.45,ANNUAL GENERAL MEETING,367839016.0,,27-Nov-2019 00:00:00,51.68,6.05,6.1,6.15,6.2,6.25,3838277.0,9308234.0,4038700.0,6174775.0,3477021.0,EQ,,IDEA,49990255.0,40537044.0,2841.51,47044944.0,51.68
