adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,14.29,694.38,690.6,,,,,,,,,,,,,5.55,695.75,06-SEP-19,26-NOV-18,254799.96,Infosys Limited,Listed,0,0,0,697.65,690.1,2127806.0,55.1,23-OCT-19,5.0,5.0,847.0,,False,INE009A01021,696.15,599.85,N,,,694.25,0.8,690.6,No Band,621.55,759.65,INTERIM DIVIDEND - RS 8 PER SHARE,3861635.0,24-OCT-19,27-Nov-2019 00:00:00,9.29,695.75,,,,,113.0,,,,,EQ,,INFY,,113.0,26814.42,3861635.0,9.29
,14.29,694.38,690.6,,,,,,,,,,,,,5.55,695.75,06-SEP-19,23-OCT-19,254799.96,Infosys Limited,Listed,0,0,0,697.65,690.1,2127806.0,55.1,23-OCT-19,5.0,5.0,847.0,,False,INE009A01021,696.15,615.1,N,,,694.25,0.8,690.6,No Band,626.2,765.3,INTERIM DIVIDEND - RS 8 PER SHARE,3861635.0,24-OCT-19,27-Nov-2019 00:00:00,9.29,695.75,,,,,113.0,,,,,EQ,,INFY,,113.0,26814.42,3861635.0,9.29
,14.29,694.38,690.6,,,,,,,,,,,,,5.55,695.75,06-SEP-19,23-OCT-19,254799.96,Infosys Limited,Listed,0,0,0,697.65,690.1,2127806.0,55.1,23-OCT-19,5.0,5.0,847.0,,False,INE009A01021,696.15,615.1,N,,,694.25,0.8,690.6,No Band,626.2,765.3,INTERIM DIVIDEND - RS 8 PER SHARE,3861635.0,24-OCT-19,27-Nov-2019 00:00:00,9.29,695.75,,,,,113.0,,,,,EQ,,INFY,,113.0,26814.42,3861635.0,9.29
,14.29,694.38,690.6,,,,,,,,,,,,,5.55,695.75,06-SEP-19,23-OCT-19,254799.96,Infosys Limited,Listed,0,0,0,697.65,690.1,2127806.0,55.1,23-OCT-19,5.0,5.0,847.0,,False,INE009A01021,696.15,615.1,N,,,694.25,0.8,690.6,No Band,626.2,765.3,INTERIM DIVIDEND - RS 8 PER SHARE,3861635.0,24-OCT-19,27-Nov-2019 00:00:00,9.29,695.75,,,,,113.0,,,,,EQ,,INFY,,113.0,26814.42,3861635.0,9.29
,14.29,694.38,690.6,,,,,,,,,,,,,5.55,695.75,06-SEP-19,23-OCT-19,254799.96,Infosys Limited,Listed,0,0,0,697.65,690.1,2127806.0,55.1,23-OCT-19,5.0,5.0,847.0,,False,INE009A01021,696.15,615.1,N,,,694.25,0.8,690.6,No Band,626.2,765.3,INTERIM DIVIDEND - RS 8 PER SHARE,3861635.0,24-OCT-19,27-Nov-2019 00:00:00,9.29,695.75,,,,,113.0,,,,,EQ,,INFY,,113.0,26814.42,3861635.0,9.29
,14.29,694.38,690.6,,,,,,,,,,,,,5.55,695.75,06-SEP-19,23-OCT-19,254799.96,Infosys Limited,Listed,0,0,0,697.65,690.1,2127806.0,55.1,23-OCT-19,5.0,5.0,847.0,,False,INE009A01021,696.15,615.1,N,,,694.25,0.8,690.6,No Band,626.2,765.3,INTERIM DIVIDEND - RS 8 PER SHARE,3861635.0,24-OCT-19,27-Nov-2019 00:00:00,9.29,695.75,,,,,113.0,,,,,EQ,,INFY,,113.0,26814.42,3861635.0,9.29
,14.29,694.38,695.75,,,,,,,,,,,,,0.4,695.75,06-SEP-19,23-OCT-19,254799.96,Infosys Limited,Listed,0,0,0,697.65,690.1,2127806.0,55.1,23-OCT-19,5.0,5.0,847.0,,False,INE009A01021,696.15,615.1,N,,,694.25,0.06,690.6,No Band,626.2,765.3,INTERIM DIVIDEND - RS 8 PER SHARE,3861635.0,24-OCT-19,27-Nov-2019 00:00:00,9.29,695.75,,,,,113.0,,,,,EQ,,INFY,,113.0,26814.42,3861635.0,9.29
,14.29,697.9,695.75,,,697.35,697.25,697.2,697.1,697.05,206.0,154.0,210.0,758.0,610.0,1.75,0.0,06-SEP-19,23-OCT-19,254799.96,Infosys Limited,Listed,0,0,0,699.5,696.1,2127806.0,55.1,23-OCT-19,5.0,5.0,847.0,,False,INE009A01021,697.5,615.1,N,,,699.1,0.25,695.75,No Band,626.2,765.3,INTERIM DIVIDEND - RS 8 PER SHARE,3861635.0,24-OCT-19,27-Nov-2019 00:00:00,9.29,697.5,697.55,697.6,697.65,697.7,2958.0,5.0,128.0,71.0,518.0,EQ,,INFY,262419.0,374373.0,776.85,111313.0,9.29
,14.29,697.88,695.75,,,697.9,697.8,697.75,697.7,697.65,161.0,121.0,774.0,352.0,190.0,2.25,0.0,06-SEP-19,23-OCT-19,254799.96,Infosys Limited,Listed,0,0,0,699.5,696.1,2127806.0,55.1,23-OCT-19,5.0,5.0,847.0,,False,INE009A01021,698.0,615.1,N,,,699.1,0.32,695.75,No Band,626.2,765.3,INTERIM DIVIDEND - RS 8 PER SHARE,3861635.0,24-OCT-19,27-Nov-2019 00:00:00,9.29,698.05,698.1,698.15,698.2,698.25,35.0,18.0,2350.0,4386.0,1475.0,EQ,,INFY,314135.0,457253.0,1701.38,243792.0,9.29
,14.29,697.59,695.75,,,697.9,697.75,697.7,697.65,697.6,262.0,775.0,521.0,280.0,914.0,2.25,0.0,06-SEP-19,23-OCT-19,254799.96,Infosys Limited,Listed,0,0,0,699.5,695.75,2127806.0,55.1,23-OCT-19,5.0,5.0,847.0,,False,INE009A01021,698.0,615.1,N,,,699.1,0.32,695.75,No Band,626.2,765.3,INTERIM DIVIDEND - RS 8 PER SHARE,3861635.0,24-OCT-19,27-Nov-2019 00:00:00,9.29,698.0,698.05,698.1,698.15,698.2,240.0,1481.0,284.0,311.0,2448.0,EQ,,INFY,329967.0,492583.0,2292.69,328659.0,9.29
