adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,247.69,249.15,27-MAY-19,24-MAY-19,,,,,,,,,,,-2.50,246.95,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,250.05,246.6,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,246.65,234.05,N,,,249.75,-1.00,249.15,No Band,224.25,274.05,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,246.95,,,,,13475.0,,,,,EQ,,ITC,,13475.0,21899.81,8841620.0,7.5
,12.5,247.69,249.15,27-MAY-19,24-MAY-19,,,,,,,,,,,-2.50,246.95,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,250.05,246.6,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,246.65,234.05,N,,,249.75,-1.00,249.15,No Band,222.3,271.6,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,246.95,,,,,13475.0,,,,,EQ,,ITC,,13475.0,21899.81,8841620.0,7.5
,12.5,247.69,249.15,27-MAY-19,24-MAY-19,,,,,,,,,,,-2.50,246.95,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,250.05,246.6,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,246.65,234.05,N,,,249.75,-1.00,249.15,No Band,222.3,271.6,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,246.95,,,,,13475.0,,,,,EQ,,ITC,,13475.0,21899.81,8841620.0,7.5
,12.5,247.69,249.15,27-MAY-19,24-MAY-19,,,,,,,,,,,-2.50,246.95,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,250.05,246.6,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,246.65,234.05,N,,,249.75,-1.00,249.15,No Band,222.3,271.6,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,246.95,,,,,13475.0,,,,,EQ,,ITC,,13475.0,21899.81,8841620.0,7.5
,12.5,247.69,249.15,27-MAY-19,24-MAY-19,,,,,,,,,,,-2.50,246.95,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,250.05,246.6,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,246.65,234.05,N,,,249.75,-1.00,249.15,No Band,222.3,271.6,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,246.95,,,,,13475.0,,,,,EQ,,ITC,,13475.0,21899.81,8841620.0,7.5
,12.5,247.69,249.15,27-MAY-19,24-MAY-19,,,,,,,,,,,-2.50,246.95,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,250.05,246.6,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,246.65,234.05,N,,,249.75,-1.00,249.15,No Band,222.3,271.6,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,246.95,,,,,13475.0,,,,,EQ,,ITC,,13475.0,21899.81,8841620.0,7.5
,12.5,247.69,249.15,27-MAY-19,24-MAY-19,,,,,,,,,,,-2.50,246.95,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,250.05,246.6,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,246.65,234.05,N,,,249.75,-1.00,249.15,No Band,222.3,271.6,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,246.95,,,,,13475.0,,,,,EQ,,ITC,,13475.0,21899.81,8841620.0,7.5
,12.5,247.06,246.95,27-MAY-19,24-MAY-19,247.0,246.9,246.85,246.8,246.75,130.0,7269.0,3119.0,1280.0,4113.0,0.1,0.0,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,247.45,246.65,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,247.05,234.05,N,,,247.3,0.04,246.95,No Band,222.3,271.6,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,247.05,247.1,247.15,247.2,247.25,195.0,905.0,6107.0,6975.0,10412.0,EQ,,ITC,635085.0,1112505.0,527.87,213662.0,7.5
,12.5,247.23,246.95,27-MAY-19,24-MAY-19,247.5,247.4,247.35,247.3,247.25,232.0,903.0,3546.0,3491.0,6439.0,0.65,0.0,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,247.95,246.65,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,247.6,234.05,N,,,247.3,0.26,246.95,No Band,222.3,271.6,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,247.6,247.65,247.7,247.75,247.8,9818.0,5697.0,8485.0,19893.0,7896.0,EQ,,ITC,779990.0,1270890.0,1320.1,533957.0,7.5
,12.5,247.23,246.95,27-MAY-19,24-MAY-19,247.5,247.4,247.35,247.3,247.25,232.0,903.0,3546.0,3491.0,6439.0,0.65,0.0,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,247.95,246.65,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,247.6,234.05,N,,,247.3,0.26,246.95,No Band,222.3,271.6,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,247.6,247.65,247.7,247.75,247.8,9818.0,5697.0,8485.0,19893.0,7896.0,EQ,,ITC,779990.0,1270890.0,1320.1,533957.0,7.5
,12.5,247.27,246.95,27-MAY-19,24-MAY-19,247.5,247.45,247.4,247.35,247.3,635.0,454.0,3761.0,2344.0,6053.0,0.55,0.0,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,247.95,246.65,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,247.5,234.05,N,,,247.3,0.22,246.95,No Band,222.3,271.6,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,247.55,247.6,247.65,247.7,247.75,3823.0,1431.0,4553.0,8906.0,10407.0,EQ,,ITC,827941.0,1338079.0,1598.7,646540.0,7.5
,12.5,247.3,246.95,27-MAY-19,24-MAY-19,247.35,247.3,247.25,247.2,247.15,607.0,3233.0,7213.0,4690.0,8506.0,0.45,0.0,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,247.95,246.65,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,247.4,234.05,N,,,247.3,0.18,246.95,No Band,222.3,271.6,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,247.4,247.45,247.5,247.55,247.6,144.0,215.0,3256.0,4532.0,10622.0,EQ,,ITC,869419.0,1365427.0,1808.98,731491.0,7.5
,12.5,247.3,246.95,27-MAY-19,24-MAY-19,247.35,247.3,247.25,247.2,247.15,607.0,3233.0,7213.0,4690.0,8506.0,0.45,0.0,21-MAY-19,18-SEP-19,212364.36,ITC Limited,Listed,0,0,0,247.95,246.65,4779174.0,54.05,22-MAY-19,5.0,1.0,310.0,,False,INE154A01025,247.4,234.05,N,,,247.3,0.18,246.95,No Band,222.3,271.6,DIVIDEND - RS 5.75 PER SHARE,8841620.0,,27-Nov-2019 00:00:00,4.51,247.4,247.45,247.5,247.55,247.6,144.0,215.0,3256.0,4532.0,10622.0,EQ,,ITC,869419.0,1365427.0,1808.98,731491.0,7.5
