adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
13.67,35.0,157.63,156.45,27-SEP-19,23-SEP-19,159.3,,,,,50023.0,,,,,3.1,159.3,18-APR-19,04-SEP-19,6337.05,Jindal Steel & Power Limited,Listed,0,0,0,160.0,154.8,1687412.0,9.82,19-SEP-19,5.49,1.0,191.2,,False,INE749A01030,159.55,91.05,N,,,156.0,1.98,156.45,No Band,140.85,172.05,ANNUAL GENERAL MEETING,17185218.0,,27-Nov-2019 00:00:00,15.84,,,,,,,,,,,EQ,,JINDALSTEL,50023.0,,27089.06,17185218.0,15.84
13.67,35.0,157.63,156.45,27-SEP-19,23-SEP-19,159.3,,,,,50023.0,,,,,3.1,159.3,18-APR-19,04-SEP-19,6337.05,Jindal Steel & Power Limited,Listed,0,0,0,160.0,154.8,1687412.0,9.82,19-SEP-19,5.49,1.0,191.2,,False,INE749A01030,159.55,91.05,N,,,156.0,1.98,156.45,No Band,143.4,175.2,ANNUAL GENERAL MEETING,17185218.0,,27-Nov-2019 00:00:00,15.84,,,,,,,,,,,EQ,,JINDALSTEL,50023.0,,27089.06,17185218.0,15.84
13.67,35.0,157.63,156.45,27-SEP-19,23-SEP-19,159.3,,,,,50023.0,,,,,3.1,159.3,18-APR-19,04-SEP-19,6337.05,Jindal Steel & Power Limited,Listed,0,0,0,160.0,154.8,1687412.0,9.82,19-SEP-19,5.49,1.0,191.2,,False,INE749A01030,159.55,91.05,N,,,156.0,1.98,156.45,No Band,143.4,175.2,ANNUAL GENERAL MEETING,17185218.0,,27-Nov-2019 00:00:00,15.84,,,,,,,,,,,EQ,,JINDALSTEL,50023.0,,27089.06,17185218.0,15.84
13.67,35.0,157.63,156.45,27-SEP-19,23-SEP-19,159.3,,,,,50023.0,,,,,3.1,159.3,18-APR-19,04-SEP-19,6337.05,Jindal Steel & Power Limited,Listed,0,0,0,160.0,154.8,1687412.0,9.82,19-SEP-19,5.49,1.0,191.2,,False,INE749A01030,159.55,91.05,N,,,156.0,1.98,156.45,No Band,143.4,175.2,ANNUAL GENERAL MEETING,17185218.0,,27-Nov-2019 00:00:00,15.84,,,,,,,,,,,EQ,,JINDALSTEL,50023.0,,27089.06,17185218.0,15.84
13.67,35.0,157.63,156.45,27-SEP-19,23-SEP-19,159.3,,,,,50023.0,,,,,3.1,159.3,18-APR-19,04-SEP-19,6337.05,Jindal Steel & Power Limited,Listed,0,0,0,160.0,154.8,1687412.0,9.82,19-SEP-19,5.49,1.0,191.2,,False,INE749A01030,159.55,91.05,N,,,156.0,1.98,156.45,No Band,143.4,175.2,ANNUAL GENERAL MEETING,17185218.0,,27-Nov-2019 00:00:00,15.84,,,,,,,,,,,EQ,,JINDALSTEL,50023.0,,27089.06,17185218.0,15.84
13.67,35.0,157.63,156.45,27-SEP-19,23-SEP-19,159.3,,,,,50023.0,,,,,3.1,159.3,18-APR-19,04-SEP-19,6337.05,Jindal Steel & Power Limited,Listed,0,0,0,160.0,154.8,1687412.0,9.82,19-SEP-19,5.49,1.0,191.2,,False,INE749A01030,159.55,91.05,N,,,156.0,1.98,156.45,No Band,143.4,175.2,ANNUAL GENERAL MEETING,17185218.0,,27-Nov-2019 00:00:00,15.84,,,,,,,,,,,EQ,,JINDALSTEL,50023.0,,27089.06,17185218.0,15.84
13.67,35.0,157.63,159.3,27-SEP-19,23-SEP-19,159.3,,,,,50023.0,,,,,0.25,159.3,18-APR-19,04-SEP-19,6337.05,Jindal Steel & Power Limited,Listed,0,0,0,160.0,154.8,1687412.0,9.82,19-SEP-19,5.49,1.0,191.2,,False,INE749A01030,159.55,91.05,N,,,156.0,0.16,156.45,No Band,143.4,175.2,ANNUAL GENERAL MEETING,17185218.0,,27-Nov-2019 00:00:00,15.84,,,,,,,,,,,EQ,,JINDALSTEL,50023.0,,27089.06,17185218.0,15.84
13.67,35.0,159.07,159.3,27-SEP-19,23-SEP-19,158.55,158.5,158.45,158.4,158.35,70.0,5996.0,3460.0,6258.0,3611.0,-0.70,0.0,18-APR-19,04-SEP-19,6337.05,Jindal Steel & Power Limited,Listed,0,0,0,160.4,158.2,1687412.0,9.82,19-SEP-19,5.49,1.0,191.2,,False,INE749A01030,158.6,91.05,N,,,159.3,-0.44,159.3,No Band,143.4,175.2,ANNUAL GENERAL MEETING,17185218.0,,27-Nov-2019 00:00:00,15.84,158.65,158.7,158.75,158.8,158.85,1854.0,8412.0,6984.0,4781.0,7406.0,EQ,,JINDALSTEL,407141.0,910452.0,845.13,531293.0,15.84
13.67,35.0,159.16,159.3,27-SEP-19,23-SEP-19,159.65,159.6,159.55,159.5,159.45,2155.0,1250.0,602.0,8619.0,16162.0,0.45,0.0,18-APR-19,04-SEP-19,6337.05,Jindal Steel & Power Limited,Listed,0,0,0,160.4,158.2,1687412.0,9.82,19-SEP-19,5.49,1.0,191.2,,False,INE749A01030,159.75,91.05,N,,,159.3,0.28,159.3,No Band,143.4,175.2,ANNUAL GENERAL MEETING,17185218.0,,27-Nov-2019 00:00:00,15.84,159.75,159.8,159.85,159.9,159.95,4656.0,15791.0,6455.0,4973.0,6322.0,EQ,,JINDALSTEL,586655.0,831340.0,1399.58,879355.0,15.84
13.67,35.0,159.18,159.3,27-SEP-19,23-SEP-19,159.35,159.3,159.25,159.2,159.15,5256.0,2770.0,5481.0,8481.0,7391.0,0.1,0.0,18-APR-19,04-SEP-19,6337.05,Jindal Steel & Power Limited,Listed,0,0,0,160.4,158.2,1687412.0,9.82,19-SEP-19,5.49,1.0,191.2,,False,INE749A01030,159.4,91.05,N,,,159.3,0.06,159.3,No Band,143.4,175.2,ANNUAL GENERAL MEETING,17185218.0,,27-Nov-2019 00:00:00,15.84,159.45,159.5,159.55,159.6,159.65,1879.0,14997.0,5312.0,23753.0,3897.0,EQ,,JINDALSTEL,630254.0,772924.0,1775.14,1115179.0,15.84
