adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,13.15,254.91,253.25,12-JUL-19,10-JUL-19,,,,,,,,,,,-0.80,252.95,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,257.9,251.9,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,252.45,201.75,N,,,254.1,-0.32,253.25,No Band,227.95,278.55,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,252.95,,,,,547.0,,,,,EQ,,JSWSTEEL,,547.0,12082.49,4739906.0,8.15
,13.15,254.91,253.25,12-JUL-19,10-JUL-19,,,,,,,,,,,-0.80,252.95,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,257.9,251.9,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,252.45,201.75,N,,,254.1,-0.32,253.25,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,252.95,,,,,547.0,,,,,EQ,,JSWSTEEL,,547.0,12082.49,4739906.0,8.15
,13.15,254.91,253.25,12-JUL-19,10-JUL-19,,,,,,,,,,,-0.80,252.95,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,257.9,251.9,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,252.45,201.75,N,,,254.1,-0.32,253.25,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,252.95,,,,,547.0,,,,,EQ,,JSWSTEEL,,547.0,12082.49,4739906.0,8.15
,13.15,254.91,253.25,12-JUL-19,10-JUL-19,,,,,,,,,,,-0.80,252.95,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,257.9,251.9,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,252.45,201.75,N,,,254.1,-0.32,253.25,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,252.95,,,,,547.0,,,,,EQ,,JSWSTEEL,,547.0,12082.49,4739906.0,8.15
,13.15,254.91,253.25,12-JUL-19,10-JUL-19,,,,,,,,,,,-0.80,252.95,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,257.9,251.9,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,252.45,201.75,N,,,254.1,-0.32,253.25,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,252.95,,,,,547.0,,,,,EQ,,JSWSTEEL,,547.0,12082.49,4739906.0,8.15
,13.15,254.91,253.25,12-JUL-19,10-JUL-19,,,,,,,,,,,-0.80,252.95,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,257.9,251.9,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,252.45,201.75,N,,,254.1,-0.32,253.25,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,252.95,,,,,547.0,,,,,EQ,,JSWSTEEL,,547.0,12082.49,4739906.0,8.15
,13.15,254.91,252.95,12-JUL-19,10-JUL-19,,,,,,,,,,,-0.50,252.95,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,257.9,251.9,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,252.45,201.75,N,,,254.1,-0.20,253.25,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,252.95,,,,,547.0,,,,,EQ,,JSWSTEEL,,547.0,12082.49,4739906.0,8.15
,13.15,254.91,252.95,12-JUL-19,10-JUL-19,,,,,,,,,,,-0.50,252.95,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,257.9,251.9,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,252.45,201.75,N,,,254.1,-0.20,253.25,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,252.95,,,,,547.0,,,,,EQ,,JSWSTEEL,,547.0,12082.49,4739906.0,8.15
,13.15,254.11,252.95,12-JUL-19,10-JUL-19,254.5,254.45,254.4,254.35,254.3,482.0,270.0,4488.0,1790.0,1229.0,1.7,0.0,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,255.45,252.25,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,254.65,201.75,N,,,253.6,0.67,252.95,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,254.65,254.7,254.8,254.85,254.9,150.0,2187.0,556.0,2168.0,1387.0,EQ,,JSWSTEEL,326872.0,402221.0,585.16,230277.0,8.15
,13.15,254.67,252.95,12-JUL-19,10-JUL-19,255.1,255.05,255.0,254.95,254.9,441.0,702.0,3859.0,2305.0,3927.0,2.25,0.0,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,256.0,252.25,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,255.2,201.75,N,,,253.6,0.89,252.95,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,255.2,255.25,255.3,255.35,255.4,188.0,188.0,1382.0,1969.0,3250.0,EQ,,JSWSTEEL,360166.0,481321.0,973.02,382070.0,8.15
,13.15,254.8,252.95,12-JUL-19,10-JUL-19,255.5,255.45,255.4,255.35,255.3,1388.0,1112.0,4034.0,3343.0,4349.0,2.55,0.0,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,256.0,252.25,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,255.5,201.75,N,,,253.6,1.01,252.95,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,255.75,255.8,255.85,255.9,255.95,1829.0,4222.0,2848.0,2512.0,2300.0,EQ,,JSWSTEEL,372563.0,470976.0,1204.23,472619.0,8.15
,13.15,254.84,252.95,12-JUL-19,10-JUL-19,255.5,255.45,255.4,255.35,255.3,12.0,804.0,2033.0,2301.0,3638.0,2.55,0.0,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,256.0,252.25,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,255.5,201.75,N,,,253.6,1.01,252.95,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,255.55,255.6,255.65,255.7,255.75,351.0,1108.0,318.0,1730.0,1875.0,EQ,,JSWSTEEL,377287.0,491339.0,1284.45,504021.0,8.15
,13.15,254.96,252.95,12-JUL-19,10-JUL-19,255.85,255.8,255.75,255.7,255.65,219.0,685.0,1218.0,2533.0,2400.0,3.05,0.0,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,256.0,252.25,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,256.0,201.75,N,,,253.6,1.21,252.95,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,256.0,256.05,256.1,256.15,256.2,2143.0,263.0,309.0,188.0,3305.0,EQ,,JSWSTEEL,426202.0,506374.0,1512.04,593050.0,8.15
,13.15,255.32,252.95,12-JUL-19,10-JUL-19,256.4,256.35,256.3,256.25,256.2,2473.0,1084.0,1467.0,2099.0,2588.0,3.45,0.0,03-DEC-18,29-AUG-19,25680.31,JSW Steel Limited,Listed,0,0,0,256.9,252.25,510237.0,10.76,08-JUL-19,5.0,1.0,325.0,,False,INE019A01038,256.4,201.75,N,,,253.6,1.36,252.95,No Band,227.7,278.2,ANNUAL GENERAL MEETING/DIVIDEND RS 4.10 PER SHARE,4739906.0,,27-Nov-2019 00:00:00,8.15,256.5,256.55,256.6,256.65,256.7,545.0,335.0,2348.0,1797.0,3664.0,EQ,,JSWSTEEL,566749.0,647505.0,2011.66,787896.0,8.15
