adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.94,1624.09,1629.65,24-SEP-19,18-SEP-19,1627.2,,,,,394.0,,,,,-4.65,1627.2,26-NOV-19,23-AUG-19,12454.92,Jubilant Foodworks Limited,Listed,0,0,0,1645.6,1609.0,48253.0,8.5,16-SEP-19,5.0,10.0,1650.0,,False,INE797F01012,1625.0,1077.9,N,,,1629.55,-0.29,1629.65,No Band,1466.7,1792.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,567539.0,,27-Nov-2019 00:00:00,7.94,,,,,,,,,,,EQ,,JUBLFOOD,394.0,,9217.34,567539.0,7.94
,12.94,1624.09,1629.65,24-SEP-19,18-SEP-19,1627.2,,,,,394.0,,,,,-4.65,1627.2,26-NOV-19,23-AUG-19,12454.92,Jubilant Foodworks Limited,Listed,0,0,0,1645.6,1609.0,48253.0,8.5,16-SEP-19,5.0,10.0,1650.0,,False,INE797F01012,1625.0,1077.9,N,,,1629.55,-0.29,1629.65,No Band,1464.5,1789.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,567539.0,,27-Nov-2019 00:00:00,7.94,,,,,,,,,,,EQ,,JUBLFOOD,394.0,,9217.34,567539.0,7.94
,12.94,1624.09,1629.65,24-SEP-19,18-SEP-19,1627.2,,,,,394.0,,,,,-4.65,1627.2,26-NOV-19,23-AUG-19,12454.92,Jubilant Foodworks Limited,Listed,0,0,0,1645.6,1609.0,48253.0,8.5,16-SEP-19,5.0,10.0,1650.0,,False,INE797F01012,1625.0,1077.9,N,,,1629.55,-0.29,1629.65,No Band,1464.5,1789.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,567539.0,,27-Nov-2019 00:00:00,7.94,,,,,,,,,,,EQ,,JUBLFOOD,394.0,,9217.34,567539.0,7.94
,12.94,1624.09,1629.65,24-SEP-19,18-SEP-19,1627.2,,,,,394.0,,,,,-4.65,1627.2,26-NOV-19,23-AUG-19,12454.92,Jubilant Foodworks Limited,Listed,0,0,0,1645.6,1609.0,48253.0,8.5,16-SEP-19,5.0,10.0,1650.0,,False,INE797F01012,1625.0,1077.9,N,,,1629.55,-0.29,1629.65,No Band,1464.5,1789.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,567539.0,,27-Nov-2019 00:00:00,7.94,,,,,,,,,,,EQ,,JUBLFOOD,394.0,,9217.34,567539.0,7.94
,12.94,1624.09,1629.65,24-SEP-19,18-SEP-19,1627.2,,,,,394.0,,,,,-4.65,1627.2,26-NOV-19,23-AUG-19,12454.92,Jubilant Foodworks Limited,Listed,0,0,0,1645.6,1609.0,48253.0,8.5,16-SEP-19,5.0,10.0,1650.0,,False,INE797F01012,1625.0,1077.9,N,,,1629.55,-0.29,1629.65,No Band,1464.5,1789.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,567539.0,,27-Nov-2019 00:00:00,7.94,,,,,,,,,,,EQ,,JUBLFOOD,394.0,,9217.34,567539.0,7.94
,12.94,1624.09,1629.65,24-SEP-19,18-SEP-19,1627.2,,,,,394.0,,,,,-4.65,1627.2,26-NOV-19,23-AUG-19,12454.92,Jubilant Foodworks Limited,Listed,0,0,0,1645.6,1609.0,48253.0,8.5,16-SEP-19,5.0,10.0,1650.0,,False,INE797F01012,1625.0,1077.9,N,,,1629.55,-0.29,1629.65,No Band,1464.5,1789.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,567539.0,,27-Nov-2019 00:00:00,7.94,,,,,,,,,,,EQ,,JUBLFOOD,394.0,,9217.34,567539.0,7.94
,12.94,1624.09,1627.2,24-SEP-19,18-SEP-19,1627.2,,,,,394.0,,,,,-2.20,1627.2,26-NOV-19,23-AUG-19,12454.92,Jubilant Foodworks Limited,Listed,0,0,0,1645.6,1609.0,48253.0,8.5,16-SEP-19,5.0,10.0,1650.0,,False,INE797F01012,1625.0,1077.9,N,,,1629.55,-0.14,1629.65,No Band,1464.5,1789.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,567539.0,,27-Nov-2019 00:00:00,7.94,,,,,,,,,,,EQ,,JUBLFOOD,394.0,,9217.34,567539.0,7.94
,12.94,1628.86,1627.2,24-SEP-19,18-SEP-19,1623.65,1623.6,1623.4,1623.3,1623.15,1.0,30.0,95.0,31.0,36.0,-2.35,0.0,26-NOV-19,23-AUG-19,12454.92,Jubilant Foodworks Limited,Listed,0,0,0,1632.85,1623.2,48253.0,8.5,16-SEP-19,5.0,10.0,1650.0,,False,INE797F01012,1624.85,1077.9,N,,,1630.0,-0.14,1627.2,No Band,1464.5,1789.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,567539.0,,27-Nov-2019 00:00:00,7.94,1624.55,1624.6,1624.7,1624.8,1624.95,30.0,151.0,95.0,49.0,23.0,EQ,,JUBLFOOD,44680.0,49859.0,112.07,6880.0,7.94
,12.94,1627.91,1627.2,24-SEP-19,18-SEP-19,1624.1,1624.0,1623.65,1623.6,1623.55,405.0,15.0,23.0,2.0,32.0,-3.10,0.0,26-NOV-19,23-AUG-19,12454.92,Jubilant Foodworks Limited,Listed,0,0,0,1632.85,1623.2,48253.0,8.5,16-SEP-19,5.0,10.0,1650.0,,False,INE797F01012,1624.1,1077.9,N,,,1630.0,-0.19,1627.2,No Band,1464.5,1789.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,567539.0,,27-Nov-2019 00:00:00,7.94,1624.65,1624.95,1625.0,1625.1,1625.15,72.0,20.0,30.0,62.0,51.0,EQ,,JUBLFOOD,55269.0,54685.0,269.16,16534.0,7.94
,12.94,1627.57,1627.2,24-SEP-19,18-SEP-19,1624.5,1624.3,1624.25,1624.2,1624.1,23.0,44.0,50.0,87.0,405.0,-2.70,0.0,26-NOV-19,23-AUG-19,12454.92,Jubilant Foodworks Limited,Listed,0,0,0,1632.85,1623.2,48253.0,8.5,16-SEP-19,5.0,10.0,1650.0,,False,INE797F01012,1624.5,1077.9,N,,,1630.0,-0.17,1627.2,No Band,1464.5,1789.9,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,567539.0,,27-Nov-2019 00:00:00,7.94,1625.2,1625.25,1625.45,1625.5,1625.65,12.0,20.0,2.0,95.0,30.0,EQ,,JUBLFOOD,58258.0,56781.0,306.63,18840.0,7.94
