adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,13.5,441.98,435.9,28-AUG-19,20-AUG-19,,,,,,,,,,,7.1,443.95,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,447.45,432.75,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,443.0,353.85,N,,,436.0,1.63,435.9,No Band,392.35,479.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,443.95,,,,,2277.0,,,,,EQ,,LICHSGFIN,,2277.0,14042.92,3177275.0,8.5
,13.5,441.98,435.9,28-AUG-19,20-AUG-19,,,,,,,,,,,7.1,443.95,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,447.45,432.75,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,443.0,353.85,N,,,436.0,1.63,435.9,No Band,392.35,479.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,443.95,,,,,2277.0,,,,,EQ,,LICHSGFIN,,2277.0,14042.92,3177275.0,8.5
,13.5,441.98,435.9,28-AUG-19,20-AUG-19,,,,,,,,,,,7.1,443.95,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,447.45,432.75,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,443.0,353.85,N,,,436.0,1.63,435.9,No Band,399.6,488.3,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,443.95,,,,,2277.0,,,,,EQ,,LICHSGFIN,,2277.0,14042.92,3177275.0,8.5
,13.5,441.98,435.9,28-AUG-19,20-AUG-19,,,,,,,,,,,7.1,443.95,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,447.45,432.75,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,443.0,353.85,N,,,436.0,1.63,435.9,No Band,399.6,488.3,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,443.95,,,,,2277.0,,,,,EQ,,LICHSGFIN,,2277.0,14042.92,3177275.0,8.5
,13.5,441.98,435.9,28-AUG-19,20-AUG-19,,,,,,,,,,,7.1,443.95,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,447.45,432.75,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,443.0,353.85,N,,,436.0,1.63,435.9,No Band,399.6,488.3,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,443.95,,,,,2277.0,,,,,EQ,,LICHSGFIN,,2277.0,14042.92,3177275.0,8.5
,13.5,441.98,435.9,28-AUG-19,20-AUG-19,,,,,,,,,,,7.1,443.95,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,447.45,432.75,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,443.0,353.85,N,,,436.0,1.63,435.9,No Band,399.6,488.3,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,443.95,,,,,2277.0,,,,,EQ,,LICHSGFIN,,2277.0,14042.92,3177275.0,8.5
,13.5,441.98,435.9,28-AUG-19,20-AUG-19,,,,,,,,,,,7.1,443.95,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,447.45,432.75,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,443.0,353.85,N,,,436.0,1.63,435.9,No Band,399.6,488.3,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,443.95,,,,,2277.0,,,,,EQ,,LICHSGFIN,,2277.0,14042.92,3177275.0,8.5
,13.5,441.98,435.9,28-AUG-19,20-AUG-19,,,,,,,,,,,7.1,443.95,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,447.45,432.75,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,443.0,353.85,N,,,436.0,1.63,435.9,No Band,399.6,488.3,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,443.95,,,,,2277.0,,,,,EQ,,LICHSGFIN,,2277.0,14042.92,3177275.0,8.5
,13.5,445.56,443.95,28-AUG-19,20-AUG-19,445.05,444.75,444.7,444.65,444.55,285.0,112.0,268.0,50.0,462.0,1.05,0.0,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,446.75,444.0,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,445.0,353.85,N,,,444.95,0.24,443.95,No Band,399.6,488.3,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,445.15,445.3,445.4,445.45,445.5,55.0,136.0,356.0,319.0,1292.0,EQ,,LICHSGFIN,150573.0,152609.0,201.02,45117.0,8.5
,13.5,446.33,443.95,28-AUG-19,20-AUG-19,447.0,446.95,446.8,446.75,446.7,184.0,3.0,445.0,124.0,369.0,3.05,0.0,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,447.85,444.0,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,447.0,353.85,N,,,444.95,0.69,443.95,No Band,399.6,488.3,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,447.1,447.2,447.25,447.3,447.35,67.0,145.0,50.0,270.0,656.0,EQ,,LICHSGFIN,178627.0,164889.0,528.21,118345.0,8.5
,13.5,446.54,443.95,28-AUG-19,20-AUG-19,446.6,446.55,446.5,446.4,446.35,112.0,200.0,1021.0,122.0,96.0,2.65,0.0,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,448.4,444.0,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,446.6,353.85,N,,,444.95,0.6,443.95,No Band,399.6,488.3,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,446.8,446.85,446.9,446.95,447.0,207.0,199.0,337.0,670.0,664.0,EQ,,LICHSGFIN,183696.0,182248.0,656.26,146965.0,8.5
,13.5,446.51,443.95,28-AUG-19,20-AUG-19,446.05,446.0,445.95,445.9,445.8,87.0,176.0,164.0,2034.0,863.0,2.05,0.0,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,448.4,444.0,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,446.0,353.85,N,,,444.95,0.46,443.95,No Band,399.6,488.3,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,446.3,446.35,446.4,446.45,446.5,124.0,45.0,508.0,66.0,532.0,EQ,,LICHSGFIN,186413.0,186318.0,706.13,158144.0,8.5
,13.5,446.48,443.95,28-AUG-19,20-AUG-19,445.8,445.75,445.7,445.6,445.55,655.0,1168.0,646.0,384.0,598.0,2.05,0.0,05-JUL-19,15-OCT-19,13442.71,LIC Housing Finance Limited,Listed,0,0,0,448.4,444.0,1123973.0,35.38,16-AUG-19,5.0,2.0,587.0,,False,INE115A01026,446.0,353.85,N,,,444.95,0.46,443.95,No Band,399.6,488.3,ANNUAL GENERAL MEETING/ DIVIDEND - RS 7.60 PER SHARE,3177275.0,,27-Nov-2019 00:00:00,8.5,446.0,446.05,446.1,446.15,446.2,50.0,119.0,491.0,113.0,649.0,EQ,,LICHSGFIN,204191.0,204416.0,750.2,168026.0,8.5
