adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1333.72,1363.0,01-AUG-19,26-JUL-19,1335.5,,,,,2056.0,,,,,-23.90,1335.5,28-MAY-19,14-FEB-19,164917.38,Larsen & Toubro Limited,Listed,0,0,0,1370.0,1314.15,4525989.0,57.26,24-JUL-19,5.0,2.0,1607.0,,False,INE018A01030,1339.1,1201.1,N,,,1365.0,-1.75,1363.0,No Band,1226.7,1499.3,ANNUAL GENERAL MEETING/DIVIDEND - RS 18 PER SHARE,7904745.0,,27-Nov-2019 00:00:00,4.79,,,,,,,,,,,EQ,,LT,2056.0,,105427.17,7904745.0,7.5
,12.5,1333.72,1363.0,01-AUG-19,26-JUL-19,1335.5,,,,,2056.0,,,,,-23.90,1335.5,28-MAY-19,14-FEB-19,164917.38,Larsen & Toubro Limited,Listed,0,0,0,1370.0,1314.15,4525989.0,57.26,24-JUL-19,5.0,2.0,1607.0,,False,INE018A01030,1339.1,1201.1,N,,,1365.0,-1.75,1363.0,No Band,1201.95,1469.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 18 PER SHARE,7904745.0,,27-Nov-2019 00:00:00,4.79,,,,,,,,,,,EQ,,LT,2056.0,,105427.17,7904745.0,7.5
,12.5,1333.72,1363.0,01-AUG-19,26-JUL-19,1335.5,,,,,2056.0,,,,,-23.90,1335.5,28-MAY-19,14-FEB-19,164917.38,Larsen & Toubro Limited,Listed,0,0,0,1370.0,1314.15,4525989.0,57.26,24-JUL-19,5.0,2.0,1607.0,,False,INE018A01030,1339.1,1201.1,N,,,1365.0,-1.75,1363.0,No Band,1201.95,1469.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 18 PER SHARE,7904745.0,,27-Nov-2019 00:00:00,4.79,,,,,,,,,,,EQ,,LT,2056.0,,105427.17,7904745.0,7.5
,12.5,1333.72,1363.0,01-AUG-19,26-JUL-19,1335.5,,,,,2056.0,,,,,-23.90,1335.5,28-MAY-19,14-FEB-19,164917.38,Larsen & Toubro Limited,Listed,0,0,0,1370.0,1314.15,4525989.0,57.26,24-JUL-19,5.0,2.0,1607.0,,False,INE018A01030,1339.1,1201.1,N,,,1365.0,-1.75,1363.0,No Band,1201.95,1469.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 18 PER SHARE,7904745.0,,27-Nov-2019 00:00:00,4.79,,,,,,,,,,,EQ,,LT,2056.0,,105427.17,7904745.0,7.5
,12.5,1333.72,1363.0,01-AUG-19,26-JUL-19,1335.5,,,,,2056.0,,,,,-23.90,1335.5,28-MAY-19,14-FEB-19,164917.38,Larsen & Toubro Limited,Listed,0,0,0,1370.0,1314.15,4525989.0,57.26,24-JUL-19,5.0,2.0,1607.0,,False,INE018A01030,1339.1,1201.1,N,,,1365.0,-1.75,1363.0,No Band,1201.95,1469.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 18 PER SHARE,7904745.0,,27-Nov-2019 00:00:00,4.79,,,,,,,,,,,EQ,,LT,2056.0,,105427.17,7904745.0,7.5
,12.5,1333.72,1363.0,01-AUG-19,26-JUL-19,1335.5,,,,,2056.0,,,,,-23.90,1335.5,28-MAY-19,14-FEB-19,164917.38,Larsen & Toubro Limited,Listed,0,0,0,1370.0,1314.15,4525989.0,57.26,24-JUL-19,5.0,2.0,1607.0,,False,INE018A01030,1339.1,1201.1,N,,,1365.0,-1.75,1363.0,No Band,1201.95,1469.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 18 PER SHARE,7904745.0,,27-Nov-2019 00:00:00,4.79,,,,,,,,,,,EQ,,LT,2056.0,,105427.17,7904745.0,7.5
,12.5,1333.72,1363.0,01-AUG-19,26-JUL-19,1335.5,,,,,2056.0,,,,,-23.90,1335.5,28-MAY-19,14-FEB-19,164917.38,Larsen & Toubro Limited,Listed,0,0,0,1370.0,1314.15,4525989.0,57.26,24-JUL-19,5.0,2.0,1607.0,,False,INE018A01030,1339.1,1201.1,N,,,1365.0,-1.75,1363.0,No Band,1201.95,1469.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 18 PER SHARE,7904745.0,,27-Nov-2019 00:00:00,4.79,,,,,,,,,,,EQ,,LT,2056.0,,105427.17,7904745.0,7.5
,12.5,1341.08,1335.5,01-AUG-19,26-JUL-19,1339.3,1339.25,1339.2,1339.15,1339.1,66.0,69.0,75.0,22.0,236.0,4.45,0.0,28-MAY-19,14-FEB-19,164917.38,Larsen & Toubro Limited,Listed,0,0,0,1345.0,1337.0,4525989.0,57.26,24-JUL-19,5.0,2.0,1607.0,,False,INE018A01030,1339.95,1201.1,N,,,1344.0,0.33,1335.5,No Band,1201.95,1469.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 18 PER SHARE,7904745.0,,27-Nov-2019 00:00:00,4.79,1340.0,1340.2,1340.25,1340.3,1340.35,1261.0,281.0,125.0,30.0,62.0,EQ,,LT,166256.0,159787.0,2933.96,218776.0,7.5
,12.5,1340.9,1335.5,01-AUG-19,26-JUL-19,1340.2,1340.15,1340.1,1340.05,1340.0,6.0,8.0,75.0,244.0,1607.0,5.1,0.0,28-MAY-19,14-FEB-19,164917.38,Larsen & Toubro Limited,Listed,0,0,0,1345.0,1337.0,4525989.0,57.26,24-JUL-19,5.0,2.0,1607.0,,False,INE018A01030,1340.6,1201.1,N,,,1344.0,0.38,1335.5,No Band,1201.95,1469.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 18 PER SHARE,7904745.0,,27-Nov-2019 00:00:00,4.79,1340.6,1340.75,1340.9,1340.95,1341.0,125.0,51.0,12.0,573.0,54.0,EQ,,LT,186090.0,174594.0,3719.88,277417.0,7.5
,12.5,1342.05,1335.5,01-AUG-19,26-JUL-19,1343.45,1343.4,1343.35,1343.3,1343.25,34.0,61.0,213.0,364.0,396.0,7.9,0.0,28-MAY-19,14-FEB-19,164917.38,Larsen & Toubro Limited,Listed,0,0,0,1347.0,1337.0,4525989.0,57.26,24-JUL-19,5.0,2.0,1607.0,,False,INE018A01030,1343.4,1201.1,N,,,1344.0,0.59,1335.5,No Band,1201.95,1469.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 18 PER SHARE,7904745.0,,27-Nov-2019 00:00:00,4.79,1343.95,1344.1,1344.15,1344.3,1344.35,80.0,86.0,103.0,8.0,4.0,EQ,,LT,200256.0,202369.0,5875.66,437812.0,7.5
