adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.77,346.39,342.7,23-JUL-19,17-JUL-19,,,,,,,,,,,4.45,346.1,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,0,0,0,351.6,342.2,442026.0,34.13,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,347.15,284.85,N,,,344.4,1.3,342.7,No Band,308.45,376.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1295095.0,,27-Nov-2019 00:00:00,7.77,346.1,,,,,306.0,,,,,EQ,,M&amp;MFIN,,306.0,4486.08,1295095.0,7.77
,12.77,346.39,342.7,23-JUL-19,17-JUL-19,,,,,,,,,,,4.45,346.1,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,0,0,0,351.6,342.2,442026.0,34.13,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,347.15,284.85,N,,,344.4,1.3,342.7,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1295095.0,,27-Nov-2019 00:00:00,7.77,346.1,,,,,306.0,,,,,EQ,,M&amp;MFIN,,306.0,4486.08,1295095.0,7.77
,12.77,346.39,342.7,23-JUL-19,17-JUL-19,,,,,,,,,,,4.45,346.1,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,0,0,0,351.6,342.2,442026.0,34.13,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,347.15,284.85,N,,,344.4,1.3,342.7,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1295095.0,,27-Nov-2019 00:00:00,7.77,346.1,,,,,306.0,,,,,EQ,,M&amp;MFIN,,306.0,4486.08,1295095.0,7.77
,12.77,346.39,342.7,23-JUL-19,17-JUL-19,,,,,,,,,,,4.45,346.1,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,0,0,0,351.6,342.2,442026.0,34.13,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,347.15,284.85,N,,,344.4,1.3,342.7,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1295095.0,,27-Nov-2019 00:00:00,7.77,346.1,,,,,306.0,,,,,EQ,,M&amp;MFIN,,306.0,4486.08,1295095.0,7.77
,12.77,346.39,342.7,23-JUL-19,17-JUL-19,,,,,,,,,,,4.45,346.1,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,0,0,0,351.6,342.2,442026.0,34.13,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,347.15,284.85,N,,,344.4,1.3,342.7,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1295095.0,,27-Nov-2019 00:00:00,7.77,346.1,,,,,306.0,,,,,EQ,,M&amp;MFIN,,306.0,4486.08,1295095.0,7.77
,12.77,346.39,342.7,23-JUL-19,17-JUL-19,,,,,,,,,,,4.45,346.1,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,0,0,0,351.6,342.2,442026.0,34.13,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,347.15,284.85,N,,,344.4,1.3,342.7,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1295095.0,,27-Nov-2019 00:00:00,7.77,346.1,,,,,306.0,,,,,EQ,,M&amp;MFIN,,306.0,4486.08,1295095.0,7.77
,12.77,346.39,346.1,23-JUL-19,17-JUL-19,,,,,,,,,,,1.05,346.1,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,0,0,0,351.6,342.2,442026.0,34.13,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,347.15,284.85,N,,,344.4,0.3,342.7,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1295095.0,,27-Nov-2019 00:00:00,7.77,346.1,,,,,306.0,,,,,EQ,,M&amp;MFIN,,306.0,4486.08,1295095.0,7.77
,12.77,347.44,346.1,23-JUL-19,17-JUL-19,348.15,348.0,347.55,347.45,347.4,23.0,394.0,366.0,50.0,169.0,2.05,0.0,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,0,0,0,348.5,347.15,442026.0,34.13,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,348.15,284.85,N,,,347.15,0.59,346.1,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1295095.0,,27-Nov-2019 00:00:00,7.77,348.5,348.65,348.9,349.0,349.05,39.0,21.0,250.0,101.0,181.0,EQ,,M&amp;MFIN,50516.0,36571.0,5.71,1643.0,7.77
,12.77,349.61,346.1,23-JUL-19,17-JUL-19,349.4,349.3,349.25,349.2,349.15,57.0,63.0,1.0,44.0,131.0,3.9,0.0,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,0,0,0,350.65,347.15,442026.0,34.13,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,350.0,284.85,N,,,347.15,1.13,346.1,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1295095.0,,27-Nov-2019 00:00:00,7.77,349.95,350.0,350.1,350.15,350.2,95.0,763.0,144.0,262.0,1287.0,EQ,,M&amp;MFIN,118622.0,114442.0,115.35,32993.0,7.77
,12.77,350.57,346.1,23-JUL-19,17-JUL-19,352.55,352.5,352.45,352.3,352.25,6.0,150.0,500.0,4.0,102.0,6.45,0.0,27-DEC-18,02-AUG-19,10262.81,Mahindra & Mahindra Financial Services Limited,Listed,0,0,0,352.7,347.15,442026.0,34.13,15-JUL-19,5.0,2.0,484.0,,False,INE774D01024,352.55,284.85,N,,,347.15,1.86,346.1,No Band,311.5,380.7,ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE/ SPECIAL DIVIDEND - RS 2.5 PER SHARE,1295095.0,,27-Nov-2019 00:00:00,7.77,352.65,352.7,352.75,352.8,352.85,294.0,349.0,217.0,1800.0,504.0,EQ,,M&amp;MFIN,154112.0,135404.0,288.88,82402.0,7.77
