adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,355.76,350.35,,,357.6,,,,,440.0,,,,,7.05,357.6,25-SEP-19,18-FEB-19,18465.67,Marico Limited,Listed,0,0,0,358.5,351.05,524524.0,53.09,04-NOV-19,5.0,1.0,404.0,,False,INE196A01026,357.4,324.25,N,,,352.5,2.01,350.35,No Band,315.35,385.35,INTERIM DIVIDEND - RS 2.75 PER SH,988073.0,05-NOV-19,27-Nov-2019 00:00:00,5.03,,,,,,,,,,,EQ,,MARICO,440.0,,3515.17,988073.0,7.5
,12.5,355.76,350.35,,,357.6,,,,,440.0,,,,,7.05,357.6,25-SEP-19,18-FEB-19,18465.67,Marico Limited,Listed,0,0,0,358.5,351.05,524524.0,53.09,04-NOV-19,5.0,1.0,404.0,,False,INE196A01026,357.4,324.25,N,,,352.5,2.01,350.35,No Band,321.85,393.35,INTERIM DIVIDEND - RS 2.75 PER SH,988073.0,05-NOV-19,27-Nov-2019 00:00:00,5.03,,,,,,,,,,,EQ,,MARICO,440.0,,3515.17,988073.0,7.5
,12.5,355.76,350.35,,,357.6,,,,,440.0,,,,,7.05,357.6,25-SEP-19,18-FEB-19,18465.67,Marico Limited,Listed,0,0,0,358.5,351.05,524524.0,53.09,04-NOV-19,5.0,1.0,404.0,,False,INE196A01026,357.4,324.25,N,,,352.5,2.01,350.35,No Band,321.85,393.35,INTERIM DIVIDEND - RS 2.75 PER SH,988073.0,05-NOV-19,27-Nov-2019 00:00:00,5.03,,,,,,,,,,,EQ,,MARICO,440.0,,3515.17,988073.0,7.5
,12.5,355.76,350.35,,,357.6,,,,,440.0,,,,,7.05,357.6,25-SEP-19,18-FEB-19,18465.67,Marico Limited,Listed,0,0,0,358.5,351.05,524524.0,53.09,04-NOV-19,5.0,1.0,404.0,,False,INE196A01026,357.4,324.25,N,,,352.5,2.01,350.35,No Band,321.85,393.35,INTERIM DIVIDEND - RS 2.75 PER SH,988073.0,05-NOV-19,27-Nov-2019 00:00:00,5.03,,,,,,,,,,,EQ,,MARICO,440.0,,3515.17,988073.0,7.5
,12.5,355.76,350.35,,,357.6,,,,,440.0,,,,,7.05,357.6,25-SEP-19,18-FEB-19,18465.67,Marico Limited,Listed,0,0,0,358.5,351.05,524524.0,53.09,04-NOV-19,5.0,1.0,404.0,,False,INE196A01026,357.4,324.25,N,,,352.5,2.01,350.35,No Band,321.85,393.35,INTERIM DIVIDEND - RS 2.75 PER SH,988073.0,05-NOV-19,27-Nov-2019 00:00:00,5.03,,,,,,,,,,,EQ,,MARICO,440.0,,3515.17,988073.0,7.5
,12.5,355.76,350.35,,,357.6,,,,,440.0,,,,,7.05,357.6,25-SEP-19,18-FEB-19,18465.67,Marico Limited,Listed,0,0,0,358.5,351.05,524524.0,53.09,04-NOV-19,5.0,1.0,404.0,,False,INE196A01026,357.4,324.25,N,,,352.5,2.01,350.35,No Band,321.85,393.35,INTERIM DIVIDEND - RS 2.75 PER SH,988073.0,05-NOV-19,27-Nov-2019 00:00:00,5.03,,,,,,,,,,,EQ,,MARICO,440.0,,3515.17,988073.0,7.5
,12.5,355.76,357.6,,,357.6,,,,,440.0,,,,,-0.20,357.6,25-SEP-19,18-FEB-19,18465.67,Marico Limited,Listed,0,0,0,358.5,351.05,524524.0,53.09,04-NOV-19,5.0,1.0,404.0,,False,INE196A01026,357.4,324.25,N,,,352.5,-0.06,350.35,No Band,321.85,393.35,INTERIM DIVIDEND - RS 2.75 PER SH,988073.0,05-NOV-19,27-Nov-2019 00:00:00,5.03,,,,,,,,,,,EQ,,MARICO,440.0,,3515.17,988073.0,7.5
,12.5,357.0,357.6,,,355.5,355.3,355.25,355.2,355.15,65.0,50.0,165.0,872.0,106.0,-1.85,0.0,25-SEP-19,18-FEB-19,18465.67,Marico Limited,Listed,0,0,0,358.4,355.5,524524.0,53.09,04-NOV-19,5.0,1.0,404.0,,False,INE196A01026,355.75,324.25,N,,,358.0,-0.52,357.6,No Band,321.85,393.35,INTERIM DIVIDEND - RS 2.75 PER SH,988073.0,05-NOV-19,27-Nov-2019 00:00:00,5.03,355.75,355.8,355.85,355.9,355.95,97.0,163.0,92.0,174.0,189.0,EQ,,MARICO,202826.0,143840.0,113.81,31879.0,7.5
,12.5,357.0,357.6,,,355.5,355.3,355.25,355.2,355.15,65.0,50.0,165.0,872.0,106.0,-1.85,0.0,25-SEP-19,18-FEB-19,18465.67,Marico Limited,Listed,0,0,0,358.4,355.5,524524.0,53.09,04-NOV-19,5.0,1.0,404.0,,False,INE196A01026,355.75,324.25,N,,,358.0,-0.52,357.6,No Band,321.85,393.35,INTERIM DIVIDEND - RS 2.75 PER SH,988073.0,05-NOV-19,27-Nov-2019 00:00:00,5.03,355.75,355.8,355.85,355.9,355.95,97.0,163.0,92.0,174.0,189.0,EQ,,MARICO,202826.0,143840.0,113.81,31879.0,7.5
,12.5,356.74,357.6,,,356.4,356.25,356.2,356.15,356.1,174.0,373.0,492.0,445.0,413.0,-1.00,0.0,25-SEP-19,18-FEB-19,18465.67,Marico Limited,Listed,0,0,0,358.4,355.2,524524.0,53.09,04-NOV-19,5.0,1.0,404.0,,False,INE196A01026,356.6,324.25,N,,,358.0,-0.28,357.6,No Band,321.85,393.35,INTERIM DIVIDEND - RS 2.75 PER SH,988073.0,05-NOV-19,27-Nov-2019 00:00:00,5.03,356.65,356.7,356.75,356.8,356.85,1092.0,273.0,265.0,100.0,783.0,EQ,,MARICO,222207.0,146515.0,151.67,42515.0,7.5
