adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,13.84,501.02,507.1,24-SEP-19,18-SEP-19,,,,,,,,,,,-7.85,500.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,510.0,495.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,499.25,360.9,N,,,509.0,-1.55,507.1,No Band,456.4,557.8,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,500.0,,,,,113.0,,,,,EQ,,MFSL,,113.0,2735.12,545911.0,8.84
,13.84,501.02,507.1,24-SEP-19,18-SEP-19,,,,,,,,,,,-7.85,500.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,510.0,495.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,499.25,360.9,N,,,509.0,-1.55,507.1,No Band,456.4,557.8,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,500.0,,,,,113.0,,,,,EQ,,MFSL,,113.0,2735.12,545911.0,8.84
,13.84,501.02,507.1,24-SEP-19,18-SEP-19,,,,,,,,,,,-7.85,500.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,510.0,495.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,499.25,360.9,N,,,509.0,-1.55,507.1,No Band,456.4,557.8,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,500.0,,,,,113.0,,,,,EQ,,MFSL,,113.0,2735.12,545911.0,8.84
,13.84,501.02,507.1,24-SEP-19,18-SEP-19,,,,,,,,,,,-7.85,500.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,510.0,495.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,499.25,360.9,N,,,509.0,-1.55,507.1,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,500.0,,,,,113.0,,,,,EQ,,MFSL,,113.0,2735.12,545911.0,8.84
,13.84,501.02,507.1,24-SEP-19,18-SEP-19,,,,,,,,,,,-7.85,500.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,510.0,495.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,499.25,360.9,N,,,509.0,-1.55,507.1,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,500.0,,,,,113.0,,,,,EQ,,MFSL,,113.0,2735.12,545911.0,8.84
,13.84,501.02,507.1,24-SEP-19,18-SEP-19,,,,,,,,,,,-7.85,500.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,510.0,495.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,499.25,360.9,N,,,509.0,-1.55,507.1,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,500.0,,,,,113.0,,,,,EQ,,MFSL,,113.0,2735.12,545911.0,8.84
,13.84,501.02,507.1,24-SEP-19,18-SEP-19,,,,,,,,,,,-7.85,500.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,510.0,495.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,499.25,360.9,N,,,509.0,-1.55,507.1,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,500.0,,,,,113.0,,,,,EQ,,MFSL,,113.0,2735.12,545911.0,8.84
,13.84,501.02,507.1,24-SEP-19,18-SEP-19,,,,,,,,,,,-7.85,500.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,510.0,495.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,499.25,360.9,N,,,509.0,-1.55,507.1,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,500.0,,,,,113.0,,,,,EQ,,MFSL,,113.0,2735.12,545911.0,8.84
,13.84,501.02,507.1,24-SEP-19,18-SEP-19,,,,,,,,,,,-7.85,500.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,510.0,495.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,499.25,360.9,N,,,509.0,-1.55,507.1,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,500.0,,,,,113.0,,,,,EQ,,MFSL,,113.0,2735.12,545911.0,8.84
,13.84,500.53,500.0,24-SEP-19,18-SEP-19,501.5,501.45,501.4,501.15,501.1,87.0,134.0,61.0,899.0,89.0,1.05,0.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,502.5,496.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,501.05,360.9,N,,,496.1,0.21,500.0,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,501.8,501.85,501.95,502.0,502.05,100.0,10.0,8.0,802.0,1200.0,EQ,,MFSL,97115.0,94851.0,73.52,14689.0,8.84
,13.84,501.28,500.0,24-SEP-19,18-SEP-19,503.2,503.0,502.95,502.85,502.7,153.0,124.0,60.0,59.0,8.0,3.25,0.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,503.25,496.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,503.25,360.9,N,,,496.1,0.65,500.0,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,503.25,503.6,503.65,503.75,503.8,142.0,417.0,148.0,193.0,252.0,EQ,,MFSL,112081.0,94323.0,131.34,26201.0,8.84
,13.84,501.97,500.0,24-SEP-19,18-SEP-19,503.9,503.85,503.8,503.75,503.7,75.0,134.0,130.0,531.0,551.0,3.95,0.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,504.7,496.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,503.95,360.9,N,,,496.1,0.79,500.0,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,504.0,504.2,504.3,504.4,504.55,2686.0,50.0,500.0,137.0,228.0,EQ,,MFSL,116778.0,102510.0,177.34,35329.0,8.84
,13.84,502.39,500.0,24-SEP-19,18-SEP-19,504.05,504.0,503.95,503.9,503.85,94.0,345.0,89.0,266.0,550.0,4.05,0.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,504.7,496.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,504.05,360.9,N,,,496.1,0.81,500.0,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,504.45,504.5,504.55,504.6,504.7,12.0,380.0,195.0,360.0,100.0,EQ,,MFSL,124057.0,106195.0,222.26,44240.0,8.84
,13.84,502.39,500.0,24-SEP-19,18-SEP-19,504.05,504.0,503.95,503.9,503.85,94.0,345.0,89.0,266.0,550.0,4.05,0.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,504.7,496.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,504.05,360.9,N,,,496.1,0.81,500.0,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,504.45,504.5,504.55,504.6,504.7,12.0,380.0,195.0,360.0,100.0,EQ,,MFSL,124057.0,106195.0,222.26,44240.0,8.84
,13.84,502.46,500.0,24-SEP-19,18-SEP-19,502.6,502.5,502.45,502.4,502.35,100.0,1040.0,307.0,949.0,284.0,2.55,0.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,504.7,496.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,502.55,360.9,N,,,496.1,0.51,500.0,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,502.8,502.9,502.95,503.0,503.05,309.0,145.0,119.0,273.0,296.0,EQ,,MFSL,140789.0,125953.0,247.96,49350.0,8.84
,13.84,502.52,500.0,24-SEP-19,18-SEP-19,502.1,502.05,502.0,501.95,501.9,231.0,218.0,1094.0,170.0,161.0,2.1,0.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,504.7,496.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,502.1,360.9,N,,,496.1,0.42,500.0,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,502.55,502.6,502.65,502.7,502.75,33.0,94.0,75.0,252.0,319.0,EQ,,MFSL,156691.0,152162.0,278.17,55356.0,8.84
,13.84,502.45,500.0,24-SEP-19,18-SEP-19,502.6,502.55,502.5,502.45,502.4,37.0,85.0,129.0,75.0,313.0,2.5,0.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,504.7,496.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,502.5,360.9,N,,,496.1,0.5,500.0,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,502.95,503.0,503.15,503.2,503.25,51.0,350.0,230.0,556.0,19.0,EQ,,MFSL,163554.0,150074.0,308.55,61410.0,8.84
,13.84,502.46,500.0,24-SEP-19,18-SEP-19,502.65,502.6,502.55,502.5,502.45,126.0,314.0,249.0,126.0,75.0,2.35,0.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,504.7,496.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,502.35,360.9,N,,,496.1,0.47,500.0,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,503.0,503.3,503.35,503.4,503.45,215.0,12.0,68.0,348.0,282.0,EQ,,MFSL,164783.0,148472.0,315.26,62743.0,8.84
,13.84,502.57,500.0,24-SEP-19,18-SEP-19,502.7,502.65,502.6,502.55,502.5,59.0,92.0,223.0,31.0,74.0,3.05,0.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,504.7,496.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,503.05,360.9,N,,,496.1,0.61,500.0,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,503.05,503.1,503.2,503.25,503.3,28.0,194.0,398.0,156.0,146.0,EQ,,MFSL,175628.0,151798.0,382.35,76078.0,8.84
,13.84,502.58,500.0,24-SEP-19,18-SEP-19,502.7,502.65,502.6,502.55,502.5,120.0,60.0,161.0,270.0,30.0,2.7,0.0,21-NOV-19,05-FEB-19,9698.35,Max Financial Services Limited,Listed,0,0,0,504.7,496.1,167225.0,30.63,16-SEP-19,5.0,2.0,521.1,,False,INE180A01020,502.7,360.9,N,,,496.1,0.54,500.0,No Band,450.0,550.0,ANNUAL GENERAL MEETING,545911.0,,27-Nov-2019 00:00:00,8.84,503.0,503.1,503.15,503.2,503.25,74.0,12.0,138.0,498.0,361.0,EQ,,MFSL,178167.0,153674.0,387.13,77028.0,8.84
