adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,16.96,134.52,133.85,14-AUG-19,11-AUG-19,133.6,,,,,73820.0,,,,,-0.15,133.6,14-DEC-18,23-AUG-19,16032.2,Motherson Sumi Systems Limited,Listed,0,0,0,139.0,132.25,3620361.0,19.14,08-AUG-19,5.0,1.0,179.1,,False,INE775A01035,133.7,91.1,N,,,139.0,-0.11,133.85,No Band,120.5,147.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE,18910449.0,,27-Nov-2019 00:00:00,11.96,,,,,,,,,,,EQ,,MOTHERSUMI,73820.0,,25438.34,18910449.0,11.96
,16.96,134.52,133.85,14-AUG-19,11-AUG-19,133.6,,,,,73820.0,,,,,-0.15,133.6,14-DEC-18,23-AUG-19,16032.2,Motherson Sumi Systems Limited,Listed,0,0,0,139.0,132.25,3620361.0,19.14,08-AUG-19,5.0,1.0,179.1,,False,INE775A01035,133.7,91.1,N,,,139.0,-0.11,133.85,No Band,120.5,147.2,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE,18910449.0,,27-Nov-2019 00:00:00,11.96,,,,,,,,,,,EQ,,MOTHERSUMI,73820.0,,25438.34,18910449.0,11.96
,16.96,134.52,133.85,14-AUG-19,11-AUG-19,133.6,,,,,73820.0,,,,,-0.15,133.6,14-DEC-18,23-AUG-19,16032.2,Motherson Sumi Systems Limited,Listed,0,0,0,139.0,132.25,3620361.0,19.14,08-AUG-19,5.0,1.0,179.1,,False,INE775A01035,133.7,91.1,N,,,139.0,-0.11,133.85,No Band,120.25,146.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE,18910449.0,,27-Nov-2019 00:00:00,11.96,,,,,,,,,,,EQ,,MOTHERSUMI,73820.0,,25438.34,18910449.0,11.96
,16.96,134.52,133.85,14-AUG-19,11-AUG-19,133.6,,,,,73820.0,,,,,-0.15,133.6,14-DEC-18,23-AUG-19,16032.2,Motherson Sumi Systems Limited,Listed,0,0,0,139.0,132.25,3620361.0,19.14,08-AUG-19,5.0,1.0,179.1,,False,INE775A01035,133.7,91.1,N,,,139.0,-0.11,133.85,No Band,120.25,146.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE,18910449.0,,27-Nov-2019 00:00:00,11.96,,,,,,,,,,,EQ,,MOTHERSUMI,73820.0,,25438.34,18910449.0,11.96
,16.96,134.52,133.85,14-AUG-19,11-AUG-19,133.6,,,,,73820.0,,,,,-0.15,133.6,14-DEC-18,23-AUG-19,16032.2,Motherson Sumi Systems Limited,Listed,0,0,0,139.0,132.25,3620361.0,19.14,08-AUG-19,5.0,1.0,179.1,,False,INE775A01035,133.7,91.1,N,,,139.0,-0.11,133.85,No Band,120.25,146.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE,18910449.0,,27-Nov-2019 00:00:00,11.96,,,,,,,,,,,EQ,,MOTHERSUMI,73820.0,,25438.34,18910449.0,11.96
,16.96,134.52,133.85,14-AUG-19,11-AUG-19,133.6,,,,,73820.0,,,,,-0.15,133.6,14-DEC-18,23-AUG-19,16032.2,Motherson Sumi Systems Limited,Listed,0,0,0,139.0,132.25,3620361.0,19.14,08-AUG-19,5.0,1.0,179.1,,False,INE775A01035,133.7,91.1,N,,,139.0,-0.11,133.85,No Band,120.25,146.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE,18910449.0,,27-Nov-2019 00:00:00,11.96,,,,,,,,,,,EQ,,MOTHERSUMI,73820.0,,25438.34,18910449.0,11.96
,16.96,134.52,133.85,14-AUG-19,11-AUG-19,133.6,,,,,73820.0,,,,,-0.15,133.6,14-DEC-18,23-AUG-19,16032.2,Motherson Sumi Systems Limited,Listed,0,0,0,139.0,132.25,3620361.0,19.14,08-AUG-19,5.0,1.0,179.1,,False,INE775A01035,133.7,91.1,N,,,139.0,-0.11,133.85,No Band,120.25,146.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE,18910449.0,,27-Nov-2019 00:00:00,11.96,,,,,,,,,,,EQ,,MOTHERSUMI,73820.0,,25438.34,18910449.0,11.96
,16.96,134.52,133.85,14-AUG-19,11-AUG-19,133.6,,,,,73820.0,,,,,-0.15,133.6,14-DEC-18,23-AUG-19,16032.2,Motherson Sumi Systems Limited,Listed,0,0,0,139.0,132.25,3620361.0,19.14,08-AUG-19,5.0,1.0,179.1,,False,INE775A01035,133.7,91.1,N,,,139.0,-0.11,133.85,No Band,120.25,146.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE,18910449.0,,27-Nov-2019 00:00:00,11.96,,,,,,,,,,,EQ,,MOTHERSUMI,73820.0,,25438.34,18910449.0,11.96
,16.96,134.52,133.6,14-AUG-19,11-AUG-19,133.6,,,,,73820.0,,,,,0.1,133.6,14-DEC-18,23-AUG-19,16032.2,Motherson Sumi Systems Limited,Listed,0,0,0,139.0,132.25,3620361.0,19.14,08-AUG-19,5.0,1.0,179.1,,False,INE775A01035,133.7,91.1,N,,,139.0,0.07,133.85,No Band,120.25,146.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE,18910449.0,,27-Nov-2019 00:00:00,11.96,,,,,,,,,,,EQ,,MOTHERSUMI,73820.0,,25438.34,18910449.0,11.96
,16.96,133.54,133.6,14-AUG-19,11-AUG-19,133.2,133.15,133.1,133.05,133.0,10.0,285.0,2443.0,3641.0,4537.0,-0.35,0.0,14-DEC-18,23-AUG-19,16032.2,Motherson Sumi Systems Limited,Listed,0,0,0,134.35,132.9,3620361.0,19.14,08-AUG-19,5.0,1.0,179.1,,False,INE775A01035,133.25,91.1,N,,,133.9,-0.26,133.6,No Band,120.25,146.95,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.50 PER SHARE,18910449.0,,27-Nov-2019 00:00:00,11.96,133.25,133.3,133.35,133.4,133.45,720.0,3061.0,849.0,3981.0,5246.0,EQ,,MOTHERSUMI,311679.0,660328.0,324.73,243174.0,11.96
