adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,63095.01,63092.35,,,,,,,,,,,,,-240.35,63004.0,20-DEC-18,02-MAY-19,13093.24,MRF Limited,Listed,0,0,0,63496.0,62851.0,2194.0,50.85,21-NOV-19,5.0,10.0,69900.0,,False,INE883A01011,62852.0,51586.3,N,,,63100.0,-0.38,63092.35,No Band,56783.15,69401.55,INTERIM DIVIDEND - RS 3 PER SHARE,4315.0,22-NOV-19,27-Nov-2019 00:00:00,4.72,63004.0,,,,,4.0,,,,,EQ,,MRF,,4.0,2722.55,4315.0,7.5
,12.5,63095.01,63092.35,,,,,,,,,,,,,-240.35,63004.0,20-DEC-18,02-MAY-19,13093.24,MRF Limited,Listed,0,0,0,63496.0,62851.0,2194.0,50.85,21-NOV-19,5.0,10.0,69900.0,,False,INE883A01011,62852.0,51586.3,N,,,63100.0,-0.38,63092.35,No Band,56783.15,69401.55,INTERIM DIVIDEND - RS 3 PER SHARE,4315.0,22-NOV-19,27-Nov-2019 00:00:00,4.72,63004.0,,,,,4.0,,,,,EQ,,MRF,,4.0,2722.55,4315.0,7.5
,12.5,63095.01,63092.35,,,,,,,,,,,,,-240.35,63004.0,20-DEC-18,02-MAY-19,13093.24,MRF Limited,Listed,0,0,0,63496.0,62851.0,2194.0,50.85,21-NOV-19,5.0,10.0,69900.0,,False,INE883A01011,62852.0,51586.3,N,,,63100.0,-0.38,63092.35,No Band,56783.15,69401.55,INTERIM DIVIDEND - RS 3 PER SHARE,4315.0,22-NOV-19,27-Nov-2019 00:00:00,4.72,63004.0,,,,,4.0,,,,,EQ,,MRF,,4.0,2722.55,4315.0,7.5
,12.5,63095.01,63092.35,,,,,,,,,,,,,-240.35,63004.0,20-DEC-18,02-MAY-19,13093.24,MRF Limited,Listed,0,0,0,63496.0,62851.0,2194.0,50.85,21-NOV-19,5.0,10.0,69900.0,,False,INE883A01011,62852.0,51586.3,N,,,63100.0,-0.38,63092.35,No Band,56703.6,69304.4,INTERIM DIVIDEND - RS 3 PER SHARE,4315.0,22-NOV-19,27-Nov-2019 00:00:00,4.72,63004.0,,,,,4.0,,,,,EQ,,MRF,,4.0,2722.55,4315.0,7.5
,12.5,63095.01,63092.35,,,,,,,,,,,,,-240.35,63004.0,20-DEC-18,02-MAY-19,13093.24,MRF Limited,Listed,0,0,0,63496.0,62851.0,2194.0,50.85,21-NOV-19,5.0,10.0,69900.0,,False,INE883A01011,62852.0,51586.3,N,,,63100.0,-0.38,63092.35,No Band,56703.6,69304.4,INTERIM DIVIDEND - RS 3 PER SHARE,4315.0,22-NOV-19,27-Nov-2019 00:00:00,4.72,63004.0,,,,,4.0,,,,,EQ,,MRF,,4.0,2722.55,4315.0,7.5
,12.5,63095.01,63092.35,,,,,,,,,,,,,-240.35,63004.0,20-DEC-18,02-MAY-19,13093.24,MRF Limited,Listed,0,0,0,63496.0,62851.0,2194.0,50.85,21-NOV-19,5.0,10.0,69900.0,,False,INE883A01011,62852.0,51586.3,N,,,63100.0,-0.38,63092.35,No Band,56703.6,69304.4,INTERIM DIVIDEND - RS 3 PER SHARE,4315.0,22-NOV-19,27-Nov-2019 00:00:00,4.72,63004.0,,,,,4.0,,,,,EQ,,MRF,,4.0,2722.55,4315.0,7.5
,12.5,63095.01,63092.35,,,,,,,,,,,,,-240.35,63004.0,20-DEC-18,02-MAY-19,13093.24,MRF Limited,Listed,0,0,0,63496.0,62851.0,2194.0,50.85,21-NOV-19,5.0,10.0,69900.0,,False,INE883A01011,62852.0,51586.3,N,,,63100.0,-0.38,63092.35,No Band,56703.6,69304.4,INTERIM DIVIDEND - RS 3 PER SHARE,4315.0,22-NOV-19,27-Nov-2019 00:00:00,4.72,63004.0,,,,,4.0,,,,,EQ,,MRF,,4.0,2722.55,4315.0,7.5
,12.5,63095.01,63092.35,,,,,,,,,,,,,-240.35,63004.0,20-DEC-18,02-MAY-19,13093.24,MRF Limited,Listed,0,0,0,63496.0,62851.0,2194.0,50.85,21-NOV-19,5.0,10.0,69900.0,,False,INE883A01011,62852.0,51586.3,N,,,63100.0,-0.38,63092.35,No Band,56703.6,69304.4,INTERIM DIVIDEND - RS 3 PER SHARE,4315.0,22-NOV-19,27-Nov-2019 00:00:00,4.72,63004.0,,,,,4.0,,,,,EQ,,MRF,,4.0,2722.55,4315.0,7.5
,12.5,63095.01,63004.0,,,,,,,,,,,,,-152.00,63004.0,20-DEC-18,02-MAY-19,13093.24,MRF Limited,Listed,0,0,0,63496.0,62851.0,2194.0,50.85,21-NOV-19,5.0,10.0,69900.0,,False,INE883A01011,62852.0,51586.3,N,,,63100.0,-0.24,63092.35,No Band,56703.6,69304.4,INTERIM DIVIDEND - RS 3 PER SHARE,4315.0,22-NOV-19,27-Nov-2019 00:00:00,4.72,63004.0,,,,,4.0,,,,,EQ,,MRF,,4.0,2722.55,4315.0,7.5
,12.5,63238.22,63004.0,,,63204.05,63204.0,63200.0,63182.5,63156.25,2.0,4.0,3.0,2.0,1.0,282.95,0.0,20-DEC-18,02-MAY-19,13093.24,MRF Limited,Listed,0,0,0,63300.0,63200.0,2194.0,50.85,21-NOV-19,5.0,10.0,69900.0,,False,INE883A01011,63286.95,51586.3,N,,,63200.0,0.45,63004.0,No Band,56703.6,69304.4,INTERIM DIVIDEND - RS 3 PER SHARE,4315.0,22-NOV-19,27-Nov-2019 00:00:00,4.72,63286.55,63286.6,63289.25,63298.05,63299.9,1.0,1.0,1.0,1.0,1.0,EQ,,MRF,479.0,541.0,49.33,78.0,7.5
