adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,13.41,43.81,43.8,18-SEP-19,13-SEP-19,43.7,,,,,2515.0,,,,,0.1,43.7,03-DEC-18,23-AUG-19,3913.32,National Aluminium Company Limited,Listed,0,0,0,44.1,43.5,1405936.0,30.81,11-SEP-19,5.0,5.0,68.8,,False,INE139A01034,43.9,36.9,N,,,43.95,0.23,43.8,No Band,39.45,48.15,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SHARE,4563621.0,,27-Nov-2019 00:00:00,8.41,,,,,,,,,,,EQ,,NATIONALUM,2515.0,,1999.32,4563621.0,8.41
,13.41,43.81,43.8,18-SEP-19,13-SEP-19,43.7,,,,,2515.0,,,,,0.1,43.7,03-DEC-18,23-AUG-19,3913.32,National Aluminium Company Limited,Listed,0,0,0,44.1,43.5,1405936.0,30.81,11-SEP-19,5.0,5.0,68.8,,False,INE139A01034,43.9,36.9,N,,,43.95,0.23,43.8,No Band,39.45,48.15,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SHARE,4563621.0,,27-Nov-2019 00:00:00,8.41,,,,,,,,,,,EQ,,NATIONALUM,2515.0,,1999.32,4563621.0,8.41
,13.41,43.81,43.8,18-SEP-19,13-SEP-19,43.7,,,,,2515.0,,,,,0.1,43.7,03-DEC-18,23-AUG-19,3913.32,National Aluminium Company Limited,Listed,0,0,0,44.1,43.5,1405936.0,30.81,11-SEP-19,5.0,5.0,68.8,,False,INE139A01034,43.9,36.9,N,,,43.95,0.23,43.8,No Band,39.35,48.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SHARE,4563621.0,,27-Nov-2019 00:00:00,8.41,,,,,,,,,,,EQ,,NATIONALUM,2515.0,,1999.32,4563621.0,8.41
,13.41,43.81,43.8,18-SEP-19,13-SEP-19,43.7,,,,,2515.0,,,,,0.1,43.7,03-DEC-18,23-AUG-19,3913.32,National Aluminium Company Limited,Listed,0,0,0,44.1,43.5,1405936.0,30.81,11-SEP-19,5.0,5.0,68.8,,False,INE139A01034,43.9,36.9,N,,,43.95,0.23,43.8,No Band,39.35,48.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SHARE,4563621.0,,27-Nov-2019 00:00:00,8.41,,,,,,,,,,,EQ,,NATIONALUM,2515.0,,1999.32,4563621.0,8.41
,13.41,43.81,43.8,18-SEP-19,13-SEP-19,43.7,,,,,2515.0,,,,,0.1,43.7,03-DEC-18,23-AUG-19,3913.32,National Aluminium Company Limited,Listed,0,0,0,44.1,43.5,1405936.0,30.81,11-SEP-19,5.0,5.0,68.8,,False,INE139A01034,43.9,36.9,N,,,43.95,0.23,43.8,No Band,39.35,48.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SHARE,4563621.0,,27-Nov-2019 00:00:00,8.41,,,,,,,,,,,EQ,,NATIONALUM,2515.0,,1999.32,4563621.0,8.41
,13.41,43.81,43.8,18-SEP-19,13-SEP-19,43.7,,,,,2515.0,,,,,0.1,43.7,03-DEC-18,23-AUG-19,3913.32,National Aluminium Company Limited,Listed,0,0,0,44.1,43.5,1405936.0,30.81,11-SEP-19,5.0,5.0,68.8,,False,INE139A01034,43.9,36.9,N,,,43.95,0.23,43.8,No Band,39.35,48.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SHARE,4563621.0,,27-Nov-2019 00:00:00,8.41,,,,,,,,,,,EQ,,NATIONALUM,2515.0,,1999.32,4563621.0,8.41
,13.41,43.81,43.8,18-SEP-19,13-SEP-19,43.7,,,,,2515.0,,,,,0.1,43.7,03-DEC-18,23-AUG-19,3913.32,National Aluminium Company Limited,Listed,0,0,0,44.1,43.5,1405936.0,30.81,11-SEP-19,5.0,5.0,68.8,,False,INE139A01034,43.9,36.9,N,,,43.95,0.23,43.8,No Band,39.35,48.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SHARE,4563621.0,,27-Nov-2019 00:00:00,8.41,,,,,,,,,,,EQ,,NATIONALUM,2515.0,,1999.32,4563621.0,8.41
,13.41,43.81,43.7,18-SEP-19,13-SEP-19,43.7,,,,,2515.0,,,,,0.2,43.7,03-DEC-18,23-AUG-19,3913.32,National Aluminium Company Limited,Listed,0,0,0,44.1,43.5,1405936.0,30.81,11-SEP-19,5.0,5.0,68.8,,False,INE139A01034,43.9,36.9,N,,,43.95,0.46,43.8,No Band,39.35,48.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SHARE,4563621.0,,27-Nov-2019 00:00:00,8.41,,,,,,,,,,,EQ,,NATIONALUM,2515.0,,1999.32,4563621.0,8.41
,13.41,43.81,43.7,18-SEP-19,13-SEP-19,43.7,,,,,2515.0,,,,,0.2,43.7,03-DEC-18,23-AUG-19,3913.32,National Aluminium Company Limited,Listed,0,0,0,44.1,43.5,1405936.0,30.81,11-SEP-19,5.0,5.0,68.8,,False,INE139A01034,43.9,36.9,N,,,43.95,0.46,43.8,No Band,39.35,48.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SHARE,4563621.0,,27-Nov-2019 00:00:00,8.41,,,,,,,,,,,EQ,,NATIONALUM,2515.0,,1999.32,4563621.0,8.41
,13.41,43.6,43.7,18-SEP-19,13-SEP-19,43.45,43.4,43.35,43.3,43.25,7842.0,10472.0,19589.0,19577.0,16987.0,-0.25,0.0,03-DEC-18,23-AUG-19,3913.32,National Aluminium Company Limited,Listed,0,0,0,43.95,43.4,1405936.0,30.81,11-SEP-19,5.0,5.0,68.8,,False,INE139A01034,43.45,36.9,N,,,43.85,-0.57,43.7,No Band,39.35,48.05,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.25 PER SHARE,4563621.0,,27-Nov-2019 00:00:00,8.41,43.5,43.55,43.6,43.65,43.7,35401.0,21263.0,23041.0,21275.0,21087.0,EQ,,NATIONALUM,974288.0,1102207.0,48.95,112275.0,8.41
