adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
0.17,19.84,58.41,59.25,16-AUG-19,13-AUG-19,57.05,,,,,2576.0,,,,,-2.20,57.05,27-MAY-19,07-OCT-19,2809.88,NCC Limited,Listed,0,0,0,60.35,56.55,6005618.0,25.58,08-AUG-19,6.27,2.0,119.2,,False,INE868B01028,57.05,45.4,N,,,59.45,-3.71,59.25,No Band,53.35,65.15,DIVIDEND - RS 1.50 PER SHARE,23482287.0,,27-Nov-2019 00:00:00,13.4,,,,,,,,,,,EQ,,NCC,2576.0,,13716.0,23482287.0,13.4
0.17,19.84,58.41,59.25,16-AUG-19,13-AUG-19,57.05,,,,,2576.0,,,,,-2.20,57.05,27-MAY-19,07-OCT-19,2809.88,NCC Limited,Listed,0,0,0,60.35,56.55,6005618.0,25.58,08-AUG-19,6.27,2.0,119.2,,False,INE868B01028,57.05,45.4,N,,,59.45,-3.71,59.25,No Band,51.35,62.75,DIVIDEND - RS 1.50 PER SHARE,23482287.0,,27-Nov-2019 00:00:00,13.4,,,,,,,,,,,EQ,,NCC,2576.0,,13716.0,23482287.0,13.4
0.17,19.84,58.41,59.25,16-AUG-19,13-AUG-19,57.05,,,,,2576.0,,,,,-2.20,57.05,27-MAY-19,07-OCT-19,2809.88,NCC Limited,Listed,0,0,0,60.35,56.55,6005618.0,25.58,08-AUG-19,6.27,2.0,119.2,,False,INE868B01028,57.05,45.4,N,,,59.45,-3.71,59.25,No Band,51.35,62.75,DIVIDEND - RS 1.50 PER SHARE,23482287.0,,27-Nov-2019 00:00:00,13.4,,,,,,,,,,,EQ,,NCC,2576.0,,13716.0,23482287.0,13.4
0.17,19.84,58.41,59.25,16-AUG-19,13-AUG-19,57.05,,,,,2576.0,,,,,-2.20,57.05,27-MAY-19,07-OCT-19,2809.88,NCC Limited,Listed,0,0,0,60.35,56.55,6005618.0,25.58,08-AUG-19,6.27,2.0,119.2,,False,INE868B01028,57.05,45.4,N,,,59.45,-3.71,59.25,No Band,51.35,62.75,DIVIDEND - RS 1.50 PER SHARE,23482287.0,,27-Nov-2019 00:00:00,13.4,,,,,,,,,,,EQ,,NCC,2576.0,,13716.0,23482287.0,13.4
0.17,19.84,58.41,59.25,16-AUG-19,13-AUG-19,57.05,,,,,2576.0,,,,,-2.20,57.05,27-MAY-19,07-OCT-19,2809.88,NCC Limited,Listed,0,0,0,60.35,56.55,6005618.0,25.58,08-AUG-19,6.27,2.0,119.2,,False,INE868B01028,57.05,45.4,N,,,59.45,-3.71,59.25,No Band,51.35,62.75,DIVIDEND - RS 1.50 PER SHARE,23482287.0,,27-Nov-2019 00:00:00,13.4,,,,,,,,,,,EQ,,NCC,2576.0,,13716.0,23482287.0,13.4
0.17,19.84,58.41,59.25,16-AUG-19,13-AUG-19,57.05,,,,,2576.0,,,,,-2.20,57.05,27-MAY-19,07-OCT-19,2809.88,NCC Limited,Listed,0,0,0,60.35,56.55,6005618.0,25.58,08-AUG-19,6.27,2.0,119.2,,False,INE868B01028,57.05,45.4,N,,,59.45,-3.71,59.25,No Band,51.35,62.75,DIVIDEND - RS 1.50 PER SHARE,23482287.0,,27-Nov-2019 00:00:00,13.4,,,,,,,,,,,EQ,,NCC,2576.0,,13716.0,23482287.0,13.4
0.17,19.84,58.41,59.25,16-AUG-19,13-AUG-19,57.05,,,,,2576.0,,,,,-2.20,57.05,27-MAY-19,07-OCT-19,2809.88,NCC Limited,Listed,0,0,0,60.35,56.55,6005618.0,25.58,08-AUG-19,6.27,2.0,119.2,,False,INE868B01028,57.05,45.4,N,,,59.45,-3.71,59.25,No Band,51.35,62.75,DIVIDEND - RS 1.50 PER SHARE,23482287.0,,27-Nov-2019 00:00:00,13.4,,,,,,,,,,,EQ,,NCC,2576.0,,13716.0,23482287.0,13.4
0.17,19.84,57.45,57.05,16-AUG-19,13-AUG-19,57.2,57.15,57.1,57.05,57.0,3464.0,40336.0,31965.0,101830.0,58436.0,0.25,0.0,27-MAY-19,07-OCT-19,2809.88,NCC Limited,Listed,0,0,0,57.6,57.2,6005618.0,25.58,08-AUG-19,6.27,2.0,119.2,,False,INE868B01028,57.3,45.4,N,,,57.4,0.44,57.05,No Band,51.35,62.75,DIVIDEND - RS 1.50 PER SHARE,23482287.0,,27-Nov-2019 00:00:00,13.4,57.3,57.35,57.4,57.45,57.5,2607.0,18683.0,21880.0,31806.0,21443.0,EQ,,NCC,1057520.0,1307346.0,272.35,474065.0,13.4
0.17,19.84,57.59,57.05,16-AUG-19,13-AUG-19,57.9,57.85,57.8,57.75,57.7,29672.0,22432.0,32478.0,25835.0,26262.0,0.9,0.0,27-MAY-19,07-OCT-19,2809.88,NCC Limited,Listed,0,0,0,57.95,57.15,6005618.0,25.58,08-AUG-19,6.27,2.0,119.2,,False,INE868B01028,57.95,45.4,N,,,57.4,1.58,57.05,No Band,51.35,62.75,DIVIDEND - RS 1.50 PER SHARE,23482287.0,,27-Nov-2019 00:00:00,13.4,57.95,58.0,58.05,58.1,58.15,23486.0,61922.0,27915.0,48536.0,24289.0,EQ,,NCC,1411305.0,1444074.0,891.46,1547939.0,13.4
0.17,19.84,57.63,57.05,16-AUG-19,13-AUG-19,57.75,57.7,57.65,57.6,57.55,4650.0,14450.0,25792.0,32497.0,30743.0,0.7,0.0,27-MAY-19,07-OCT-19,2809.88,NCC Limited,Listed,0,0,0,57.95,57.15,6005618.0,25.58,08-AUG-19,6.27,2.0,119.2,,False,INE868B01028,57.75,45.4,N,,,57.4,1.23,57.05,No Band,51.35,62.75,DIVIDEND - RS 1.50 PER SHARE,23482287.0,,27-Nov-2019 00:00:00,13.4,57.8,57.85,57.9,57.95,58.0,12765.0,24287.0,56617.0,78678.0,55100.0,EQ,,NCC,1342525.0,1652472.0,1044.36,1812188.0,13.4
