adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,14591.44,14524.4,,,,,,,,,,,,,49.6,14562.7,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14700.0,14226.85,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14574.0,10031.65,N,,,14560.0,0.34,14524.4,No Band,13072.0,15976.8,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14562.7,,,,,30.0,,,,,EQ,,NESTLEIND,,30.0,10494.02,71919.0,7.5
,12.5,14591.44,14524.4,,,,,,,,,,,,,49.6,14562.7,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14700.0,14226.85,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14574.0,10031.65,N,,,14560.0,0.34,14524.4,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14562.7,,,,,30.0,,,,,EQ,,NESTLEIND,,30.0,10494.02,71919.0,7.5
,12.5,14591.44,14524.4,,,,,,,,,,,,,49.6,14562.7,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14700.0,14226.85,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14574.0,10031.65,N,,,14560.0,0.34,14524.4,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14562.7,,,,,30.0,,,,,EQ,,NESTLEIND,,30.0,10494.02,71919.0,7.5
,12.5,14591.44,14524.4,,,,,,,,,,,,,49.6,14562.7,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14700.0,14226.85,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14574.0,10031.65,N,,,14560.0,0.34,14524.4,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14562.7,,,,,30.0,,,,,EQ,,NESTLEIND,,30.0,10494.02,71919.0,7.5
,12.5,14591.44,14524.4,,,,,,,,,,,,,49.6,14562.7,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14700.0,14226.85,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14574.0,10031.65,N,,,14560.0,0.34,14524.4,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14562.7,,,,,30.0,,,,,EQ,,NESTLEIND,,30.0,10494.02,71919.0,7.5
,12.5,14591.44,14524.4,,,,,,,,,,,,,49.6,14562.7,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14700.0,14226.85,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14574.0,10031.65,N,,,14560.0,0.34,14524.4,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14562.7,,,,,30.0,,,,,EQ,,NESTLEIND,,30.0,10494.02,71919.0,7.5
,12.5,14591.44,14524.4,,,,,,,,,,,,,49.6,14562.7,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14700.0,14226.85,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14574.0,10031.65,N,,,14560.0,0.34,14524.4,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14562.7,,,,,30.0,,,,,EQ,,NESTLEIND,,30.0,10494.02,71919.0,7.5
,12.5,14605.01,14562.7,,,14620.85,14620.0,14618.7,14615.15,14615.0,1.0,10.0,4.0,7.0,14.0,54.8,0.0,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14650.0,14574.0,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14617.5,10031.65,N,,,14635.5,0.38,14562.7,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14624.95,14625.0,14628.0,14629.9,14630.0,2.0,29.0,1.0,5.0,1.0,EQ,,NESTLEIND,13771.0,12575.0,217.47,1489.0,7.5
,12.5,14632.33,14562.7,,,14643.4,14642.05,14642.0,14640.05,14637.1,2.0,1.0,20.0,6.0,3.0,89.7,0.0,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14669.05,14574.0,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14652.4,10031.65,N,,,14635.5,0.62,14562.7,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14652.4,14654.5,14654.55,14654.7,14654.75,1.0,1.0,8.0,7.0,4.0,EQ,,NESTLEIND,15451.0,14317.0,598.02,4087.0,7.5
,12.5,14632.85,14562.7,,,14623.05,14623.0,14622.0,14620.0,14615.0,3.0,31.0,9.0,24.0,14.0,62.3,0.0,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14669.05,14574.0,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14625.0,10031.65,N,,,14635.5,0.43,14562.7,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14633.9,14633.95,14634.2,14634.25,14634.95,1.0,8.0,2.0,7.0,8.0,EQ,,NESTLEIND,15980.0,14767.0,715.55,4890.0,7.5
,12.5,14630.27,14562.7,,,14615.0,14611.1,14611.05,14611.0,14610.0,10.0,2.0,1.0,1.0,6.0,59.15,0.0,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14669.05,14574.0,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14621.85,10031.65,N,,,14635.5,0.41,14562.7,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14621.7,14621.75,14621.85,14621.9,14622.25,3.0,2.0,3.0,7.0,8.0,EQ,,NESTLEIND,15982.0,14944.0,887.18,6064.0,7.5
,12.5,14629.06,14562.7,,,14611.0,14610.0,14609.3,14605.05,14605.0,3.0,6.0,5.0,6.0,96.0,48.3,0.0,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14669.05,14574.0,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14611.0,10031.65,N,,,14635.5,0.33,14562.7,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14614.4,14621.25,14622.5,14622.55,14622.6,1.0,2.0,3.0,10.0,7.0,EQ,,NESTLEIND,16292.0,14937.0,956.16,6536.0,7.5
,12.5,14625.33,14562.7,,,14600.0,14599.95,14596.55,14596.5,14596.45,2.0,99.0,1.0,2.0,6.0,42.25,0.0,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14669.05,14574.0,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14604.95,10031.65,N,,,14635.5,0.29,14562.7,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14605.0,14608.5,14608.9,14609.35,14609.65,15.0,12.0,2.0,6.0,10.0,EQ,,NESTLEIND,17628.0,16871.0,1097.34,7503.0,7.5
,12.5,14625.33,14562.7,,,14600.0,14599.95,14596.55,14596.5,14596.45,2.0,99.0,1.0,2.0,6.0,42.25,0.0,31-OCT-19,11-MAR-19,51950.71,Nestle India Limited,Permitted to trade,0,0,0,14669.05,14574.0,30586.0,42.53,09-AUG-19,5.0,10.0,15146.9,,False,INE239A01016,14604.95,10031.65,N,,,14635.5,0.29,14562.7,No Band,13106.45,16018.95,INTERIM DIVIDEND - RS 23 PER SHARE/ SPECIAL DIVIDEND - Rs180 PER SHARE,71919.0,13-AUG-19,27-Nov-2019 00:00:00,4.3,14605.0,14608.5,14608.9,14609.35,14609.65,15.0,12.0,2.0,6.0,10.0,EQ,,NESTLEIND,17628.0,16871.0,1097.34,7503.0,7.5
