adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,154.81,155.15,17-AUG-19,11-AUG-19,155.7,,,,,100.0,,,,,1.2,155.7,26-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.7,153.8,236568.0,47.19,08-AUG-19,5.0,10.0,207.0,,False,INE274J01014,156.35,139.65,N,,,155.5,0.77,155.15,No Band,139.65,170.65,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,,,,,,,,,,,EQ,,OIL,100.0,,776.15,501356.0,7.5
,12.5,154.81,155.15,17-AUG-19,11-AUG-19,155.7,,,,,100.0,,,,,1.2,155.7,26-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.7,153.8,236568.0,47.19,08-AUG-19,5.0,10.0,207.0,,False,INE274J01014,156.35,139.65,N,,,155.5,0.77,155.15,No Band,140.15,171.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,,,,,,,,,,,EQ,,OIL,100.0,,776.15,501356.0,7.5
,12.5,154.81,155.15,17-AUG-19,11-AUG-19,155.7,,,,,100.0,,,,,1.2,155.7,29-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.7,153.8,236568.0,47.19,08-AUG-19,5.0,10.0,204.65,,False,INE274J01014,156.35,139.65,N,,,155.5,0.77,155.15,No Band,140.15,171.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,,,,,,,,,,,EQ,,OIL,100.0,,776.15,501356.0,7.5
,12.5,154.81,155.15,17-AUG-19,11-AUG-19,155.7,,,,,100.0,,,,,1.2,155.7,29-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.7,153.8,236568.0,47.19,08-AUG-19,5.0,10.0,204.65,,False,INE274J01014,156.35,139.65,N,,,155.5,0.77,155.15,No Band,140.15,171.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,,,,,,,,,,,EQ,,OIL,100.0,,776.15,501356.0,7.5
,12.5,154.81,155.15,17-AUG-19,11-AUG-19,155.7,,,,,100.0,,,,,1.2,155.7,29-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.7,153.8,236568.0,47.19,08-AUG-19,5.0,10.0,204.65,,False,INE274J01014,156.35,139.65,N,,,155.5,0.77,155.15,No Band,140.15,171.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,,,,,,,,,,,EQ,,OIL,100.0,,776.15,501356.0,7.5
,12.5,154.81,155.15,17-AUG-19,11-AUG-19,155.7,,,,,100.0,,,,,1.2,155.7,29-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.7,153.8,236568.0,47.19,08-AUG-19,5.0,10.0,204.65,,False,INE274J01014,156.35,139.65,N,,,155.5,0.77,155.15,No Band,140.15,171.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,,,,,,,,,,,EQ,,OIL,100.0,,776.15,501356.0,7.5
,12.5,154.81,155.15,17-AUG-19,11-AUG-19,155.7,,,,,100.0,,,,,1.2,155.7,29-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.7,153.8,236568.0,47.19,08-AUG-19,5.0,10.0,204.65,,False,INE274J01014,156.35,139.65,N,,,155.5,0.77,155.15,No Band,140.15,171.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,,,,,,,,,,,EQ,,OIL,100.0,,776.15,501356.0,7.5
,12.5,154.81,155.7,17-AUG-19,11-AUG-19,155.7,,,,,100.0,,,,,0.65,155.7,29-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.7,153.8,236568.0,47.19,08-AUG-19,5.0,10.0,204.65,,False,INE274J01014,156.35,139.65,N,,,155.5,0.42,155.15,No Band,140.15,171.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,,,,,,,,,,,EQ,,OIL,100.0,,776.15,501356.0,7.5
,12.5,154.81,155.7,17-AUG-19,11-AUG-19,154.7,154.65,154.6,154.55,154.5,293.0,158.0,1680.0,858.0,1108.0,-1.00,0.0,29-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.0,154.2,236568.0,47.19,08-AUG-19,5.0,10.0,204.65,,False,INE274J01014,154.7,139.65,N,,,156.0,-0.64,155.7,No Band,140.15,171.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,154.95,155.0,155.05,155.1,155.15,547.0,707.0,405.0,744.0,4093.0,EQ,,OIL,231451.0,211972.0,16.56,10697.0,7.5
,12.5,154.83,155.7,17-AUG-19,11-AUG-19,154.8,154.75,154.7,154.65,154.6,383.0,1598.0,684.0,995.0,823.0,-0.90,0.0,29-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.0,154.2,236568.0,47.19,08-AUG-19,5.0,10.0,204.65,,False,INE274J01014,154.8,139.65,N,,,156.0,-0.58,155.7,No Band,140.15,171.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,154.9,154.95,155.0,155.05,155.1,246.0,89.0,390.0,44.0,439.0,EQ,,OIL,244066.0,213727.0,21.17,13674.0,7.5
,12.5,154.9,155.7,17-AUG-19,11-AUG-19,155.1,155.05,155.0,154.95,154.9,641.0,945.0,629.0,1025.0,1159.0,-0.60,0.0,29-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.0,154.2,236568.0,47.19,08-AUG-19,5.0,10.0,204.65,,False,INE274J01014,155.1,139.65,N,,,156.0,-0.39,155.7,No Band,140.15,171.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,155.25,155.3,155.35,155.4,155.45,79.0,646.0,618.0,1818.0,860.0,EQ,,OIL,252715.0,220344.0,29.52,19055.0,7.5
,12.5,154.9,155.7,17-AUG-19,11-AUG-19,155.1,155.05,155.0,154.95,154.9,641.0,945.0,629.0,1025.0,1159.0,-0.60,0.0,29-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.0,154.2,236568.0,47.19,08-AUG-19,5.0,10.0,204.65,,False,INE274J01014,155.1,139.65,N,,,156.0,-0.39,155.7,No Band,140.15,171.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,155.25,155.3,155.35,155.4,155.45,79.0,646.0,618.0,1818.0,860.0,EQ,,OIL,252715.0,220344.0,29.52,19055.0,7.5
,12.5,154.94,155.7,17-AUG-19,11-AUG-19,155.2,155.15,155.1,155.05,155.0,215.0,490.0,1989.0,3737.0,1051.0,-0.50,0.0,29-NOV-18,23-AUG-19,4896.41,Oil India Limited,Listed,0,0,0,156.0,154.2,236568.0,47.19,08-AUG-19,5.0,10.0,204.65,,False,INE274J01014,155.2,139.65,N,,,156.0,-0.32,155.7,No Band,140.15,171.25,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.75 PER SHARE,501356.0,,27-Nov-2019 00:00:00,6.06,155.25,155.3,155.35,155.4,155.45,209.0,88.0,564.0,1379.0,956.0,EQ,,OIL,277271.0,239633.0,33.18,21413.0,7.5
