adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.76,21546.17,21486.35,,,21857.6,,,,,79.0,,,,,365.2,21857.6,30-NOV-18,23-AUG-19,12677.44,Page Industries Limited,Listed,0,0,0,21999.45,21301.5,18047.0,51.19,21-NOV-19,5.0,10.0,27400.0,,False,INE761H01022,21851.55,17150.0,N,,,21615.0,1.7,21486.35,No Band,19337.75,23634.95,INTERIM DIVIDEND - RS 52 PER SHARE,35256.0,22-NOV-19,27-Nov-2019 00:00:00,7.76,,,,,,,,,,,EQ,,PAGEIND,79.0,,7596.32,35256.0,7.76
,12.76,21546.17,21486.35,,,21857.6,,,,,79.0,,,,,365.2,21857.6,30-NOV-18,23-AUG-19,12677.44,Page Industries Limited,Listed,0,0,0,21999.45,21301.5,18047.0,51.19,21-NOV-19,5.0,10.0,27400.0,,False,INE761H01022,21851.55,17150.0,N,,,21615.0,1.7,21486.35,No Band,19671.85,24043.35,INTERIM DIVIDEND - RS 52 PER SHARE,35256.0,22-NOV-19,27-Nov-2019 00:00:00,7.76,,,,,,,,,,,EQ,,PAGEIND,79.0,,7596.32,35256.0,7.76
,12.76,21546.17,21486.35,,,21857.6,,,,,79.0,,,,,365.2,21857.6,30-NOV-18,23-AUG-19,12677.44,Page Industries Limited,Listed,0,0,0,21999.45,21301.5,18047.0,51.19,21-NOV-19,5.0,10.0,27400.0,,False,INE761H01022,21851.55,17150.0,N,,,21615.0,1.7,21486.35,No Band,19671.85,24043.35,INTERIM DIVIDEND - RS 52 PER SHARE,35256.0,22-NOV-19,27-Nov-2019 00:00:00,7.76,,,,,,,,,,,EQ,,PAGEIND,79.0,,7596.32,35256.0,7.76
,12.76,21546.17,21486.35,,,21857.6,,,,,79.0,,,,,365.2,21857.6,30-NOV-18,23-AUG-19,12677.44,Page Industries Limited,Listed,0,0,0,21999.45,21301.5,18047.0,51.19,21-NOV-19,5.0,10.0,27400.0,,False,INE761H01022,21851.55,17150.0,N,,,21615.0,1.7,21486.35,No Band,19671.85,24043.35,INTERIM DIVIDEND - RS 52 PER SHARE,35256.0,22-NOV-19,27-Nov-2019 00:00:00,7.76,,,,,,,,,,,EQ,,PAGEIND,79.0,,7596.32,35256.0,7.76
,12.76,21546.17,21486.35,,,21857.6,,,,,79.0,,,,,365.2,21857.6,30-NOV-18,23-AUG-19,12677.44,Page Industries Limited,Listed,0,0,0,21999.45,21301.5,18047.0,51.19,21-NOV-19,5.0,10.0,27400.0,,False,INE761H01022,21851.55,17150.0,N,,,21615.0,1.7,21486.35,No Band,19671.85,24043.35,INTERIM DIVIDEND - RS 52 PER SHARE,35256.0,22-NOV-19,27-Nov-2019 00:00:00,7.76,,,,,,,,,,,EQ,,PAGEIND,79.0,,7596.32,35256.0,7.76
,12.76,21546.17,21486.35,,,21857.6,,,,,79.0,,,,,365.2,21857.6,30-NOV-18,23-AUG-19,12677.44,Page Industries Limited,Listed,0,0,0,21999.45,21301.5,18047.0,51.19,21-NOV-19,5.0,10.0,27400.0,,False,INE761H01022,21851.55,17150.0,N,,,21615.0,1.7,21486.35,No Band,19671.85,24043.35,INTERIM DIVIDEND - RS 52 PER SHARE,35256.0,22-NOV-19,27-Nov-2019 00:00:00,7.76,,,,,,,,,,,EQ,,PAGEIND,79.0,,7596.32,35256.0,7.76
,12.76,21546.17,21486.35,,,21857.6,,,,,79.0,,,,,365.2,21857.6,30-NOV-18,23-AUG-19,12677.44,Page Industries Limited,Listed,0,0,0,21999.45,21301.5,18047.0,51.19,21-NOV-19,5.0,10.0,27400.0,,False,INE761H01022,21851.55,17150.0,N,,,21615.0,1.7,21486.35,No Band,19671.85,24043.35,INTERIM DIVIDEND - RS 52 PER SHARE,35256.0,22-NOV-19,27-Nov-2019 00:00:00,7.76,,,,,,,,,,,EQ,,PAGEIND,79.0,,7596.32,35256.0,7.76
,12.76,22030.63,21857.6,,,22042.0,22041.95,22040.85,22040.0,21980.05,4.0,2.0,2.0,7.0,9.0,182.4,0.0,30-NOV-18,23-AUG-19,12677.44,Page Industries Limited,Listed,0,0,0,22123.0,21980.0,18047.0,51.19,21-NOV-19,5.0,10.0,27400.0,,False,INE761H01022,22040.0,17150.0,N,,,21980.0,0.83,21857.6,No Band,19671.85,24043.35,INTERIM DIVIDEND - RS 52 PER SHARE,35256.0,22-NOV-19,27-Nov-2019 00:00:00,7.76,22104.55,22104.6,22122.5,22122.55,22123.0,4.0,2.0,7.0,9.0,1.0,EQ,,PAGEIND,1638.0,1545.0,27.1,123.0,7.76
,12.76,21987.34,21857.6,,,21940.1,21936.0,21934.1,21929.85,21927.0,2.0,1.0,1.0,1.0,4.0,82.4,0.0,30-NOV-18,23-AUG-19,12677.44,Page Industries Limited,Listed,0,0,0,22123.0,21878.3,18047.0,51.19,21-NOV-19,5.0,10.0,27400.0,,False,INE761H01022,21940.0,17150.0,N,,,21980.0,0.38,21857.6,No Band,19671.85,24043.35,INTERIM DIVIDEND - RS 52 PER SHARE,35256.0,22-NOV-19,27-Nov-2019 00:00:00,7.76,21955.0,21956.45,21956.5,21956.55,21957.95,2.0,1.0,1.0,1.0,2.0,EQ,,PAGEIND,2862.0,2763.0,219.43,998.0,7.76
,12.76,21979.87,21857.6,,,21927.3,21927.25,21924.95,21920.1,21913.9,2.0,2.0,1.0,3.0,1.0,81.05,0.0,30-NOV-18,23-AUG-19,12677.44,Page Industries Limited,Listed,0,0,0,22123.0,21878.3,18047.0,51.19,21-NOV-19,5.0,10.0,27400.0,,False,INE761H01022,21938.65,17150.0,N,,,21980.0,0.37,21857.6,No Band,19671.85,24043.35,INTERIM DIVIDEND - RS 52 PER SHARE,35256.0,22-NOV-19,27-Nov-2019 00:00:00,7.76,21945.25,21947.3,21949.0,21949.3,21950.0,5.0,1.0,2.0,25.0,40.0,EQ,,PAGEIND,3402.0,3228.0,249.91,1137.0,7.76
