adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
2.36,18.19,1769.22,1761.5,30-JUL-19,20-JUL-19,1763.55,,,,,220.0,,,,,-0.50,1763.55,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1795.0,1750.15,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1761.0,1316.0,N,,,1761.55,-0.03,1761.5,No Band,1585.35,1937.65,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,,,,,,,,,,,EQ,,PEL,220.0,,16863.99,953188.0,10.83
2.36,18.19,1769.22,1761.5,30-JUL-19,20-JUL-19,1763.55,,,,,220.0,,,,,-0.50,1763.55,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1795.0,1750.15,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1761.0,1316.0,N,,,1761.55,-0.03,1761.5,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,,,,,,,,,,,EQ,,PEL,220.0,,16863.99,953188.0,10.83
2.36,18.19,1769.22,1761.5,30-JUL-19,20-JUL-19,1763.55,,,,,220.0,,,,,-0.50,1763.55,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1795.0,1750.15,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1761.0,1316.0,N,,,1761.55,-0.03,1761.5,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,,,,,,,,,,,EQ,,PEL,220.0,,16863.99,953188.0,10.83
2.36,18.19,1769.22,1761.5,30-JUL-19,20-JUL-19,1763.55,,,,,220.0,,,,,-0.50,1763.55,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1795.0,1750.15,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1761.0,1316.0,N,,,1761.55,-0.03,1761.5,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,,,,,,,,,,,EQ,,PEL,220.0,,16863.99,953188.0,10.83
2.36,18.19,1769.22,1761.5,30-JUL-19,20-JUL-19,1763.55,,,,,220.0,,,,,-0.50,1763.55,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1795.0,1750.15,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1761.0,1316.0,N,,,1761.55,-0.03,1761.5,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,,,,,,,,,,,EQ,,PEL,220.0,,16863.99,953188.0,10.83
2.36,18.19,1769.22,1761.5,30-JUL-19,20-JUL-19,1763.55,,,,,220.0,,,,,-0.50,1763.55,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1795.0,1750.15,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1761.0,1316.0,N,,,1761.55,-0.03,1761.5,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,,,,,,,,,,,EQ,,PEL,220.0,,16863.99,953188.0,10.83
2.36,18.19,1769.22,1761.5,30-JUL-19,20-JUL-19,1763.55,,,,,220.0,,,,,-0.50,1763.55,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1795.0,1750.15,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1761.0,1316.0,N,,,1761.55,-0.03,1761.5,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,,,,,,,,,,,EQ,,PEL,220.0,,16863.99,953188.0,10.83
2.36,18.19,1774.03,1763.55,30-JUL-19,20-JUL-19,1775.0,1774.25,1774.2,1774.0,1773.55,245.0,11.0,10.0,252.0,30.0,12.4,0.0,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1778.95,1767.2,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1775.95,1316.0,N,,,1773.8,0.7,1763.55,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,1775.85,1775.9,1776.0,1776.05,1776.15,28.0,90.0,17.0,35.0,121.0,EQ,,PEL,39247.0,52451.0,440.37,24823.0,10.83
2.36,18.19,1777.36,1763.55,30-JUL-19,20-JUL-19,1774.35,1774.25,1774.2,1774.15,1774.1,11.0,138.0,178.0,63.0,199.0,10.8,0.0,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1783.45,1767.2,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1774.35,1316.0,N,,,1773.8,0.61,1763.55,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,1775.0,1775.6,1775.65,1775.7,1775.85,500.0,8.0,35.0,40.0,80.0,EQ,,PEL,44313.0,67695.0,1022.84,57548.0,10.83
2.36,18.19,1777.19,1763.55,30-JUL-19,20-JUL-19,1770.25,1770.15,1770.1,1770.05,1770.0,45.0,62.0,32.0,10.0,1630.0,7.45,0.0,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1783.45,1767.2,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1771.0,1316.0,N,,,1773.8,0.42,1763.55,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,1771.45,1771.5,1771.65,1771.7,1771.9,35.0,43.0,8.0,302.0,43.0,EQ,,PEL,48923.0,78782.0,1365.93,76859.0,10.83
2.36,18.19,1774.51,1763.55,30-JUL-19,20-JUL-19,1765.6,1765.5,1765.4,1765.35,1765.05,13.0,45.0,2.0,2.0,5.0,2.45,0.0,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1783.45,1760.0,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1766.0,1316.0,N,,,1773.8,0.14,1763.55,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,1766.0,1766.5,1766.75,1766.8,1766.9,33.0,21.0,16.0,35.0,25.0,EQ,,PEL,55514.0,81352.0,1759.66,99163.0,10.83
2.36,18.19,1773.95,1763.55,30-JUL-19,20-JUL-19,1765.25,1765.2,1765.1,1765.05,1765.0,45.0,38.0,1.0,20.0,164.0,1.75,0.0,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1783.45,1760.0,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1765.3,1316.0,N,,,1773.8,0.1,1763.55,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,1765.3,1765.95,1766.0,1766.25,1766.85,35.0,5.0,120.0,200.0,86.0,EQ,,PEL,59687.0,84556.0,1889.54,106516.0,10.83
2.36,18.19,1773.32,1763.55,30-JUL-19,20-JUL-19,1765.45,1765.0,1764.95,1764.9,1764.8,8.0,17.0,7.0,38.0,8.0,2.45,0.0,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1783.45,1760.0,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1766.0,1316.0,N,,,1773.8,0.14,1763.55,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,1766.0,1766.05,1766.15,1766.25,1766.35,1170.0,302.0,90.0,5.0,72.0,EQ,,PEL,67959.0,91379.0,2058.35,116073.0,10.83
2.36,18.19,1773.04,1763.55,30-JUL-19,20-JUL-19,1771.25,1771.0,1770.45,1770.4,1770.35,94.0,95.0,28.0,22.0,25.0,7.7,0.0,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1783.45,1760.0,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1771.25,1316.0,N,,,1773.8,0.44,1763.55,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,1771.85,1771.95,1772.0,1772.1,1772.35,7.0,302.0,409.0,619.0,66.0,EQ,,PEL,81466.0,95279.0,2176.11,122733.0,10.83
2.36,18.19,1772.89,1763.55,30-JUL-19,20-JUL-19,1766.0,1765.55,1765.5,1765.4,1765.3,239.0,4.0,25.0,78.0,25.0,2.45,0.0,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1783.45,1760.0,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1766.0,1316.0,N,,,1773.8,0.14,1763.55,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,1767.0,1767.15,1767.2,1767.25,1767.4,28.0,35.0,50.0,45.0,350.0,EQ,,PEL,79205.0,109332.0,2326.42,131222.0,10.83
2.36,18.19,1772.81,1763.55,30-JUL-19,20-JUL-19,1766.55,1766.5,1766.45,1766.4,1766.35,30.0,45.0,42.0,60.0,13.0,3.35,0.0,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1783.45,1760.0,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1766.9,1316.0,N,,,1773.8,0.19,1763.55,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,1767.6,1767.65,1767.75,1767.8,1767.85,17.0,25.0,176.0,20.0,14.0,EQ,,PEL,83752.0,109289.0,2355.02,132841.0,10.83
2.36,18.19,1772.29,1763.55,30-JUL-19,20-JUL-19,1766.8,1766.75,1766.5,1766.45,1766.4,33.0,45.0,45.0,47.0,28.0,3.65,0.0,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1783.45,1760.0,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1767.2,1316.0,N,,,1773.8,0.21,1763.55,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,1767.6,1768.0,1768.25,1768.65,1768.7,60.0,120.0,20.0,75.0,166.0,EQ,,PEL,86465.0,111189.0,2519.98,142188.0,10.83
2.36,18.19,1772.21,1763.55,30-JUL-19,20-JUL-19,1771.0,1770.8,1770.7,1770.65,1770.6,100.0,27.0,27.0,27.0,73.0,8.45,0.0,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1783.45,1760.0,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1772.0,1316.0,N,,,1773.8,0.48,1763.55,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,1772.25,1772.3,1772.45,1772.5,1772.55,45.0,25.0,190.0,45.0,136.0,EQ,,PEL,91050.0,106669.0,2678.71,151151.0,10.83
2.36,18.19,1772.78,1763.55,30-JUL-19,20-JUL-19,1771.5,1771.05,1771.0,1770.8,1770.75,12.0,125.0,102.0,86.0,33.0,7.95,0.0,01-APR-19,10-OCT-19,18585.83,Piramal Enterprises Limited,Listed,0,0,0,1783.45,1760.0,154372.0,16.2,18-JUL-19,5.0,2.0,2787.7,,False,INE140A01024,1771.5,1316.0,N,,,1773.8,0.45,1763.55,No Band,1587.2,1939.9,ANNUAL GENERAL MEETING/ DIVIDEND - RS 28 PER SHARE,953188.0,,27-Nov-2019 00:00:00,10.83,1771.8,1772.5,1772.55,1772.75,1772.9,50.0,33.0,68.0,28.0,27.0,EQ,,PEL,91447.0,113637.0,3070.76,173217.0,10.83
