adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,272.94,267.05,,,275.25,,,,,829.0,,,,,8.2,275.25,23-SEP-19,11-DEC-18,20643.75,Petronet LNG Limited,Listed,0,0,0,276.25,268.05,1502894.0,60.08,07-NOV-19,5.0,10.0,299.0,,False,INE347G01014,275.25,203.4,N,,,268.35,3.07,267.05,No Band,240.35,293.75,INTERIM DIVIDEND - RS 5.50 PER SHARE,2501403.0,08-NOV-19,27-Nov-2019 00:00:00,5.4,,,,,,,,,,,EQ,,PETRONET,829.0,,6827.33,2501403.0,7.5
,12.5,272.94,267.05,,,275.25,,,,,829.0,,,,,8.2,275.25,23-SEP-19,11-DEC-18,20643.75,Petronet LNG Limited,Listed,0,0,0,276.25,268.05,1502894.0,60.08,07-NOV-19,5.0,10.0,299.0,,False,INE347G01014,275.25,203.4,N,,,268.35,3.07,267.05,No Band,247.75,302.75,INTERIM DIVIDEND - RS 5.50 PER SHARE,2501403.0,08-NOV-19,27-Nov-2019 00:00:00,5.4,,,,,,,,,,,EQ,,PETRONET,829.0,,6827.33,2501403.0,7.5
,12.5,272.94,267.05,,,275.25,,,,,829.0,,,,,8.2,275.25,23-SEP-19,11-DEC-18,20643.75,Petronet LNG Limited,Listed,0,0,0,276.25,268.05,1502894.0,60.08,07-NOV-19,5.0,10.0,299.0,,False,INE347G01014,275.25,203.4,N,,,268.35,3.07,267.05,No Band,247.75,302.75,INTERIM DIVIDEND - RS 5.50 PER SHARE,2501403.0,08-NOV-19,27-Nov-2019 00:00:00,5.4,,,,,,,,,,,EQ,,PETRONET,829.0,,6827.33,2501403.0,7.5
,12.5,272.94,267.05,,,275.25,,,,,829.0,,,,,8.2,275.25,23-SEP-19,11-DEC-18,20643.75,Petronet LNG Limited,Listed,0,0,0,276.25,268.05,1502894.0,60.08,07-NOV-19,5.0,10.0,299.0,,False,INE347G01014,275.25,203.4,N,,,268.35,3.07,267.05,No Band,247.75,302.75,INTERIM DIVIDEND - RS 5.50 PER SHARE,2501403.0,08-NOV-19,27-Nov-2019 00:00:00,5.4,,,,,,,,,,,EQ,,PETRONET,829.0,,6827.33,2501403.0,7.5
,12.5,272.94,267.05,,,275.25,,,,,829.0,,,,,8.2,275.25,23-SEP-19,11-DEC-18,20643.75,Petronet LNG Limited,Listed,0,0,0,276.25,268.05,1502894.0,60.08,07-NOV-19,5.0,10.0,299.0,,False,INE347G01014,275.25,203.4,N,,,268.35,3.07,267.05,No Band,247.75,302.75,INTERIM DIVIDEND - RS 5.50 PER SHARE,2501403.0,08-NOV-19,27-Nov-2019 00:00:00,5.4,,,,,,,,,,,EQ,,PETRONET,829.0,,6827.33,2501403.0,7.5
,12.5,272.94,267.05,,,275.25,,,,,829.0,,,,,8.2,275.25,23-SEP-19,11-DEC-18,20643.75,Petronet LNG Limited,Listed,0,0,0,276.25,268.05,1502894.0,60.08,07-NOV-19,5.0,10.0,299.0,,False,INE347G01014,275.25,203.4,N,,,268.35,3.07,267.05,No Band,247.75,302.75,INTERIM DIVIDEND - RS 5.50 PER SHARE,2501403.0,08-NOV-19,27-Nov-2019 00:00:00,5.4,,,,,,,,,,,EQ,,PETRONET,829.0,,6827.33,2501403.0,7.5
,12.5,272.94,267.05,,,275.25,,,,,829.0,,,,,8.2,275.25,23-SEP-19,11-DEC-18,20643.75,Petronet LNG Limited,Listed,0,0,0,276.25,268.05,1502894.0,60.08,07-NOV-19,5.0,10.0,299.0,,False,INE347G01014,275.25,203.4,N,,,268.35,3.07,267.05,No Band,247.75,302.75,INTERIM DIVIDEND - RS 5.50 PER SHARE,2501403.0,08-NOV-19,27-Nov-2019 00:00:00,5.4,,,,,,,,,,,EQ,,PETRONET,829.0,,6827.33,2501403.0,7.5
,12.5,273.88,275.25,,,273.5,273.45,273.4,273.35,273.3,859.0,10.0,259.0,92.0,228.0,-1.65,0.0,23-SEP-19,11-DEC-18,20643.75,Petronet LNG Limited,Listed,0,0,0,275.8,273.05,1502894.0,60.08,07-NOV-19,5.0,10.0,299.0,,False,INE347G01014,273.6,203.4,N,,,273.7,-0.60,275.25,No Band,247.75,302.75,INTERIM DIVIDEND - RS 5.50 PER SHARE,2501403.0,08-NOV-19,27-Nov-2019 00:00:00,5.4,273.6,273.65,273.7,273.75,273.8,296.0,554.0,740.0,717.0,1088.0,EQ,,PETRONET,230454.0,240306.0,71.11,25965.0,7.5
,12.5,273.86,275.25,,,273.75,273.7,273.6,273.55,273.5,252.0,387.0,677.0,883.0,1170.0,-1.35,0.0,23-SEP-19,11-DEC-18,20643.75,Petronet LNG Limited,Listed,0,0,0,275.8,273.05,1502894.0,60.08,07-NOV-19,5.0,10.0,299.0,,False,INE347G01014,273.9,203.4,N,,,273.7,-0.49,275.25,No Band,247.75,302.75,INTERIM DIVIDEND - RS 5.50 PER SHARE,2501403.0,08-NOV-19,27-Nov-2019 00:00:00,5.4,273.9,273.95,274.0,274.05,274.1,100.0,192.0,625.0,633.0,1022.0,EQ,,PETRONET,238705.0,243783.0,100.29,36621.0,7.5
,12.5,273.93,275.25,,,274.4,274.35,274.3,274.25,274.2,670.0,117.0,258.0,289.0,1122.0,-0.85,0.0,23-SEP-19,11-DEC-18,20643.75,Petronet LNG Limited,Listed,0,0,0,275.8,273.05,1502894.0,60.08,07-NOV-19,5.0,10.0,299.0,,False,INE347G01014,274.4,203.4,N,,,273.7,-0.31,275.25,No Band,247.75,302.75,INTERIM DIVIDEND - RS 5.50 PER SHARE,2501403.0,08-NOV-19,27-Nov-2019 00:00:00,5.4,274.5,274.55,274.6,274.65,274.7,110.0,154.0,228.0,284.0,489.0,EQ,,PETRONET,256067.0,252960.0,129.43,47249.0,7.5
