adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,63.33,63.2,12-JUL-19,08-JUL-19,63.7,,,,,522.0,,,,,0.5,63.7,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,63.9,62.85,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,63.7,55.7,N,,,63.6,0.79,63.2,No Band,56.9,69.5,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,,,,,,,,,,,EQ,,PNB,522.0,,8447.64,13339079.0,7.5
,12.5,63.33,63.2,12-JUL-19,08-JUL-19,63.7,,,,,522.0,,,,,0.5,63.7,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,63.9,62.85,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,63.7,55.7,N,,,63.6,0.79,63.2,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,,,,,,,,,,,EQ,,PNB,522.0,,8447.64,13339079.0,7.5
,12.5,63.33,63.2,12-JUL-19,08-JUL-19,63.7,,,,,522.0,,,,,0.5,63.7,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,63.9,62.85,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,63.7,55.7,N,,,63.6,0.79,63.2,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,,,,,,,,,,,EQ,,PNB,522.0,,8447.64,13339079.0,7.5
,12.5,63.33,63.2,12-JUL-19,08-JUL-19,63.7,,,,,522.0,,,,,0.5,63.7,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,63.9,62.85,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,63.7,55.7,N,,,63.6,0.79,63.2,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,,,,,,,,,,,EQ,,PNB,522.0,,8447.64,13339079.0,7.5
,12.5,63.33,63.2,12-JUL-19,08-JUL-19,63.7,,,,,522.0,,,,,0.5,63.7,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,63.9,62.85,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,63.7,55.7,N,,,63.6,0.79,63.2,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,,,,,,,,,,,EQ,,PNB,522.0,,8447.64,13339079.0,7.5
,12.5,63.33,63.2,12-JUL-19,08-JUL-19,63.7,,,,,522.0,,,,,0.5,63.7,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,63.9,62.85,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,63.7,55.7,N,,,63.6,0.79,63.2,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,,,,,,,,,,,EQ,,PNB,522.0,,8447.64,13339079.0,7.5
,12.5,63.33,63.7,12-JUL-19,08-JUL-19,63.7,,,,,522.0,,,,,,63.7,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,63.9,62.85,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,63.7,55.7,N,,,63.6,0.0,63.2,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,,,,,,,,,,,EQ,,PNB,522.0,,8447.64,13339079.0,7.5
,12.5,64.38,63.7,12-JUL-19,08-JUL-19,64.4,64.35,64.3,64.25,64.2,1518.0,40990.0,35923.0,48453.0,66188.0,0.7,0.0,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,64.6,64.05,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,64.4,55.7,N,,,64.3,1.1,63.7,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,64.45,64.5,64.55,64.6,64.65,11232.0,70705.0,30327.0,39015.0,23455.0,EQ,,PNB,1494983.0,1773287.0,1004.95,1560966.0,7.5
,12.5,64.41,63.7,12-JUL-19,08-JUL-19,64.55,64.5,64.45,64.4,64.35,35946.0,59787.0,36274.0,38258.0,27629.0,0.9,0.0,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,64.65,64.05,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,64.6,55.7,N,,,64.3,1.41,63.7,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,64.65,64.7,64.75,64.8,64.85,20992.0,56346.0,58438.0,51644.0,29823.0,EQ,,PNB,1591058.0,1759120.0,1360.56,2112342.0,7.5
,12.5,64.41,63.7,12-JUL-19,08-JUL-19,64.55,64.5,64.45,64.4,64.35,35946.0,59787.0,36274.0,38258.0,27629.0,0.9,0.0,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,64.65,64.05,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,64.6,55.7,N,,,64.3,1.41,63.7,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,64.65,64.7,64.75,64.8,64.85,20992.0,56346.0,58438.0,51644.0,29823.0,EQ,,PNB,1591058.0,1759120.0,1360.56,2112342.0,7.5
,12.5,64.42,63.7,12-JUL-19,08-JUL-19,64.4,64.35,64.3,64.25,64.2,3162.0,28647.0,62450.0,55872.0,41423.0,0.7,0.0,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,64.65,64.05,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,64.4,55.7,N,,,64.3,1.1,63.7,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,64.45,64.5,64.55,64.6,64.65,31277.0,45261.0,45219.0,56609.0,40465.0,EQ,,PNB,1564554.0,2209206.0,1577.42,2448645.0,7.5
,12.5,64.42,63.7,12-JUL-19,08-JUL-19,64.35,64.3,64.25,64.2,64.15,27639.0,96728.0,73198.0,42942.0,30846.0,0.7,0.0,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,64.65,64.05,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,64.4,55.7,N,,,64.3,1.1,63.7,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,64.4,64.45,64.5,64.55,64.6,9199.0,50938.0,56218.0,51307.0,62064.0,EQ,,PNB,1758253.0,2380915.0,1674.76,2599755.0,7.5
,12.5,64.44,63.7,12-JUL-19,08-JUL-19,64.7,64.65,64.6,64.55,64.5,18593.0,32379.0,75359.0,44558.0,65766.0,1.0,0.0,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,64.7,64.05,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,64.7,55.7,N,,,64.3,1.57,63.7,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,64.75,64.8,64.85,64.9,64.95,73022.0,48143.0,45033.0,105661.0,54686.0,EQ,,PNB,2470486.0,2677601.0,2101.51,3261189.0,7.5
,12.5,64.46,63.7,12-JUL-19,08-JUL-19,64.7,64.65,64.6,64.55,64.5,13240.0,30045.0,63601.0,51007.0,82780.0,1.05,0.0,01-APR-19,11-OCT-19,6745.39,Punjab National Bank,Listed,0,0,0,64.8,64.05,1334302.0,10.0,04-JUL-19,5.0,2.0,99.9,,False,INE160A01022,64.75,55.7,N,,,64.3,1.65,63.7,No Band,57.35,70.05,ANNUAL GENERAL MEETING,13339079.0,,27-Nov-2019 00:00:00,7.38,64.75,64.8,64.85,64.9,64.95,42637.0,63943.0,41328.0,109067.0,72778.0,EQ,,PNB,2459373.0,2770516.0,2243.49,3480436.0,7.5
