adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,195.06,194.4,27-AUG-19,21-AUG-19,,,,,,,,,,,0.85,195.1,01-AUG-19,14-FEB-19,45930.74,Power Grid Corporation of India Limited,Listed,0,0,0,196.0,194.1,5780259.0,84.54,19-AUG-19,5.0,10.0,216.25,,False,INE752E01010,195.25,172.5,N,,,194.95,0.44,194.4,No Band,175.0,213.8,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,6837583.0,,27-Nov-2019 00:00:00,4.24,195.1,,,,,309.0,,,,,EQ,,POWERGRID,,309.0,13337.39,6837583.0,7.5
,12.5,195.06,194.4,27-AUG-19,21-AUG-19,,,,,,,,,,,0.85,195.1,01-AUG-19,14-FEB-19,45930.74,Power Grid Corporation of India Limited,Listed,0,0,0,196.0,194.1,5780259.0,84.54,19-AUG-19,5.0,10.0,216.25,,False,INE752E01010,195.25,172.5,N,,,194.95,0.44,194.4,No Band,175.6,214.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,6837583.0,,27-Nov-2019 00:00:00,4.24,195.1,,,,,309.0,,,,,EQ,,POWERGRID,,309.0,13337.39,6837583.0,7.5
,12.5,195.06,194.4,27-AUG-19,21-AUG-19,,,,,,,,,,,0.85,195.1,01-AUG-19,14-FEB-19,45930.74,Power Grid Corporation of India Limited,Listed,0,0,0,196.0,194.1,5780259.0,84.54,19-AUG-19,5.0,10.0,216.25,,False,INE752E01010,195.25,172.5,N,,,194.95,0.44,194.4,No Band,175.6,214.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,6837583.0,,27-Nov-2019 00:00:00,4.24,195.1,,,,,309.0,,,,,EQ,,POWERGRID,,309.0,13337.39,6837583.0,7.5
,12.5,195.06,194.4,27-AUG-19,21-AUG-19,,,,,,,,,,,0.85,195.1,01-AUG-19,14-FEB-19,45930.74,Power Grid Corporation of India Limited,Listed,0,0,0,196.0,194.1,5780259.0,84.54,19-AUG-19,5.0,10.0,216.25,,False,INE752E01010,195.25,172.5,N,,,194.95,0.44,194.4,No Band,175.6,214.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,6837583.0,,27-Nov-2019 00:00:00,4.24,195.1,,,,,309.0,,,,,EQ,,POWERGRID,,309.0,13337.39,6837583.0,7.5
,12.5,195.06,194.4,27-AUG-19,21-AUG-19,,,,,,,,,,,0.85,195.1,01-AUG-19,14-FEB-19,45930.74,Power Grid Corporation of India Limited,Listed,0,0,0,196.0,194.1,5780259.0,84.54,19-AUG-19,5.0,10.0,216.25,,False,INE752E01010,195.25,172.5,N,,,194.95,0.44,194.4,No Band,175.6,214.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,6837583.0,,27-Nov-2019 00:00:00,4.24,195.1,,,,,309.0,,,,,EQ,,POWERGRID,,309.0,13337.39,6837583.0,7.5
,12.5,195.06,194.4,27-AUG-19,21-AUG-19,,,,,,,,,,,0.85,195.1,01-AUG-19,14-FEB-19,45930.74,Power Grid Corporation of India Limited,Listed,0,0,0,196.0,194.1,5780259.0,84.54,19-AUG-19,5.0,10.0,216.25,,False,INE752E01010,195.25,172.5,N,,,194.95,0.44,194.4,No Band,175.6,214.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,6837583.0,,27-Nov-2019 00:00:00,4.24,195.1,,,,,309.0,,,,,EQ,,POWERGRID,,309.0,13337.39,6837583.0,7.5
,12.5,195.06,195.1,27-AUG-19,21-AUG-19,,,,,,,,,,,0.15,195.1,01-AUG-19,14-FEB-19,45930.74,Power Grid Corporation of India Limited,Listed,0,0,0,196.0,194.1,5780259.0,84.54,19-AUG-19,5.0,10.0,216.25,,False,INE752E01010,195.25,172.5,N,,,194.95,0.08,194.4,No Band,175.6,214.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,6837583.0,,27-Nov-2019 00:00:00,4.24,195.1,,,,,309.0,,,,,EQ,,POWERGRID,,309.0,13337.39,6837583.0,7.5
,12.5,195.35,195.1,27-AUG-19,21-AUG-19,194.9,194.85,194.8,194.75,194.7,2080.0,911.0,3185.0,1272.0,1947.0,-0.15,0.0,01-AUG-19,14-FEB-19,45930.74,Power Grid Corporation of India Limited,Listed,0,0,0,196.2,194.8,5780259.0,84.54,19-AUG-19,5.0,10.0,216.25,,False,INE752E01010,194.95,172.5,N,,,196.2,-0.08,195.1,No Band,175.6,214.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,6837583.0,,27-Nov-2019 00:00:00,4.24,194.95,195.0,195.05,195.1,195.15,1145.0,225.0,557.0,483.0,1255.0,EQ,,POWERGRID,412107.0,375887.0,291.58,149261.0,7.5
,12.5,195.25,195.1,27-AUG-19,21-AUG-19,194.85,194.8,194.75,194.7,194.65,54.0,100.0,545.0,1909.0,451.0,-0.15,0.0,01-AUG-19,14-FEB-19,45930.74,Power Grid Corporation of India Limited,Listed,0,0,0,196.2,194.8,5780259.0,84.54,19-AUG-19,5.0,10.0,216.25,,False,INE752E01010,194.95,172.5,N,,,196.2,-0.08,195.1,No Band,175.6,214.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,6837583.0,,27-Nov-2019 00:00:00,4.24,194.95,195.0,195.05,195.1,195.15,269.0,873.0,1800.0,2302.0,1658.0,EQ,,POWERGRID,443242.0,389917.0,421.75,216004.0,7.5
,12.5,195.2,195.1,27-AUG-19,21-AUG-19,195.0,194.95,194.9,194.85,194.8,4204.0,2345.0,5009.0,4414.0,3930.0,-0.10,0.0,01-AUG-19,14-FEB-19,45930.74,Power Grid Corporation of India Limited,Listed,0,0,0,196.2,194.8,5780259.0,84.54,19-AUG-19,5.0,10.0,216.25,,False,INE752E01010,195.0,172.5,N,,,196.2,-0.05,195.1,No Band,175.6,214.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,6837583.0,,27-Nov-2019 00:00:00,4.24,195.05,195.1,195.15,195.2,195.25,26.0,88.0,733.0,4307.0,3673.0,EQ,,POWERGRID,520317.0,402527.0,508.4,260451.0,7.5
,12.5,195.17,195.1,27-AUG-19,21-AUG-19,195.05,195.0,194.95,194.9,194.85,1636.0,4548.0,3973.0,5232.0,3578.0,-0.05,0.0,01-AUG-19,14-FEB-19,45930.74,Power Grid Corporation of India Limited,Listed,0,0,0,196.2,194.8,5780259.0,84.54,19-AUG-19,5.0,10.0,216.25,,False,INE752E01010,195.05,172.5,N,,,196.2,-0.03,195.1,No Band,175.6,214.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,6837583.0,,27-Nov-2019 00:00:00,4.24,195.1,195.15,195.2,195.25,195.3,1917.0,235.0,1156.0,4450.0,3837.0,EQ,,POWERGRID,533003.0,412682.0,605.53,310257.0,7.5
,12.5,195.17,195.1,27-AUG-19,21-AUG-19,195.0,194.95,194.9,194.85,194.8,2467.0,846.0,2565.0,5210.0,4320.0,,0.0,01-AUG-19,14-FEB-19,45930.74,Power Grid Corporation of India Limited,Listed,0,0,0,196.2,194.8,5780259.0,84.54,19-AUG-19,5.0,10.0,216.25,,False,INE752E01010,195.1,172.5,N,,,196.2,0.0,195.1,No Band,175.6,214.6,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,6837583.0,,27-Nov-2019 00:00:00,4.24,195.1,195.15,195.2,195.25,195.3,271.0,2244.0,3913.0,4867.0,2794.0,EQ,,POWERGRID,570106.0,452588.0,658.54,337421.0,7.5
