adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1768.04,1755.05,25-JUL-19,18-JUL-19,1773.15,,,,,1.0,,,,,14.9,1773.15,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1776.0,1752.2,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1769.95,1345.25,N,,,1755.05,0.85,1755.05,No Band,1579.55,1930.55,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,,,,,,,,,,,EQ,,PVR,1.0,,3466.38,196058.0,7.5
,12.5,1768.04,1755.05,25-JUL-19,18-JUL-19,1773.15,,,,,1.0,,,,,14.9,1773.15,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1776.0,1752.2,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1769.95,1345.25,N,,,1755.05,0.85,1755.05,No Band,1579.55,1930.55,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,,,,,,,,,,,EQ,,PVR,1.0,,3466.38,196058.0,7.5
,12.5,1768.04,1755.05,25-JUL-19,18-JUL-19,1773.15,,,,,1.0,,,,,14.9,1773.15,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1776.0,1752.2,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1769.95,1345.25,N,,,1755.05,0.85,1755.05,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,,,,,,,,,,,EQ,,PVR,1.0,,3466.38,196058.0,7.5
,12.5,1768.04,1755.05,25-JUL-19,18-JUL-19,1773.15,,,,,1.0,,,,,14.9,1773.15,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1776.0,1752.2,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1769.95,1345.25,N,,,1755.05,0.85,1755.05,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,,,,,,,,,,,EQ,,PVR,1.0,,3466.38,196058.0,7.5
,12.5,1768.04,1755.05,25-JUL-19,18-JUL-19,1773.15,,,,,1.0,,,,,14.9,1773.15,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1776.0,1752.2,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1769.95,1345.25,N,,,1755.05,0.85,1755.05,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,,,,,,,,,,,EQ,,PVR,1.0,,3466.38,196058.0,7.5
,12.5,1768.04,1755.05,25-JUL-19,18-JUL-19,1773.15,,,,,1.0,,,,,14.9,1773.15,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1776.0,1752.2,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1769.95,1345.25,N,,,1755.05,0.85,1755.05,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,,,,,,,,,,,EQ,,PVR,1.0,,3466.38,196058.0,7.5
,12.5,1768.04,1755.05,25-JUL-19,18-JUL-19,1773.15,,,,,1.0,,,,,14.9,1773.15,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1776.0,1752.2,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1769.95,1345.25,N,,,1755.05,0.85,1755.05,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,,,,,,,,,,,EQ,,PVR,1.0,,3466.38,196058.0,7.5
,12.5,1768.04,1773.15,25-JUL-19,18-JUL-19,1773.15,,,,,1.0,,,,,-3.20,1773.15,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1776.0,1752.2,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1769.95,1345.25,N,,,1755.05,-0.18,1755.05,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,,,,,,,,,,,EQ,,PVR,1.0,,3466.38,196058.0,7.5
,12.5,1774.34,1773.15,25-JUL-19,18-JUL-19,1779.5,1779.1,1778.1,1778.05,1778.0,8.0,20.0,17.0,26.0,59.0,6.5,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1779.65,1773.05,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1779.65,1345.25,N,,,1773.05,0.37,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1779.65,1780.0,1781.1,1781.15,1782.0,26.0,47.0,28.0,27.0,1.0,EQ,,PVR,6123.0,8055.0,7.59,428.0,7.5
,12.5,1773.01,1773.15,25-JUL-19,18-JUL-19,1766.45,1766.4,1766.3,1766.1,1766.0,24.0,2.0,61.0,100.0,106.0,-7.15,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1779.65,1765.6,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1766.0,1345.25,N,,,1773.05,-0.40,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1767.95,1768.25,1768.4,1768.75,1768.8,47.0,23.0,143.0,2.0,39.0,EQ,,PVR,31012.0,37150.0,74.93,4226.0,7.5
,12.5,1771.26,1773.15,25-JUL-19,18-JUL-19,1767.0,1766.85,1766.7,1766.65,1766.5,46.0,17.0,28.0,17.0,42.0,-5.30,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1779.65,1765.0,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1767.85,1345.25,N,,,1773.05,-0.30,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1767.85,1768.0,1768.95,1769.0,1769.2,90.0,50.0,28.0,3.0,17.0,EQ,,PVR,31990.0,37274.0,104.17,5881.0,7.5
,12.5,1767.95,1773.15,25-JUL-19,18-JUL-19,1765.5,1765.35,1765.1,1765.05,1764.65,42.0,50.0,40.0,30.0,26.0,-6.00,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1779.65,1758.8,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1767.15,1345.25,N,,,1773.05,-0.34,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1767.05,1767.35,1767.65,1767.7,1767.75,53.0,50.0,20.0,60.0,66.0,EQ,,PVR,40400.0,42897.0,325.11,18389.0,7.5
,12.5,1768.25,1773.15,25-JUL-19,18-JUL-19,1772.5,1772.45,1772.1,1771.75,1771.5,2.0,1.0,24.0,17.0,44.0,0.45,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1779.65,1758.8,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1773.6,1345.25,N,,,1773.05,0.03,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1773.55,1773.6,1773.85,1773.9,1774.0,8.0,122.0,20.0,15.0,631.0,EQ,,PVR,46740.0,45809.0,371.97,21036.0,7.5
,12.5,1768.49,1773.15,25-JUL-19,18-JUL-19,1773.3,1773.05,1772.45,1772.4,1772.35,4.0,13.0,21.0,72.0,37.0,1.1,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1779.65,1758.8,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1774.25,1345.25,N,,,1773.05,0.06,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1774.25,1774.3,1774.5,1774.9,1774.95,29.0,58.0,40.0,500.0,20.0,EQ,,PVR,50479.0,46632.0,392.0,22166.0,7.5
,12.5,1768.49,1773.15,25-JUL-19,18-JUL-19,1773.3,1773.05,1772.45,1772.4,1772.35,4.0,13.0,21.0,72.0,37.0,1.1,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1779.65,1758.8,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1774.25,1345.25,N,,,1773.05,0.06,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1774.25,1774.3,1774.5,1774.9,1774.95,29.0,58.0,40.0,500.0,20.0,EQ,,PVR,50479.0,46632.0,392.0,22166.0,7.5
,12.5,1773.99,1773.15,25-JUL-19,18-JUL-19,1784.6,1784.55,1784.2,1784.15,1784.05,20.0,25.0,28.0,50.0,47.0,12.85,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1788.95,1758.8,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1786.0,1345.25,N,,,1773.05,0.72,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1785.85,1785.9,1785.95,1786.0,1786.05,20.0,8.0,80.0,122.0,60.0,EQ,,PVR,58653.0,51722.0,649.76,36627.0,7.5
,12.5,1775.34,1773.15,25-JUL-19,18-JUL-19,1784.5,1784.1,1784.05,1784.0,1783.9,80.0,13.0,35.0,146.0,97.0,11.35,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1788.95,1758.8,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1784.5,1345.25,N,,,1773.05,0.64,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1785.7,1785.75,1786.05,1786.1,1786.15,25.0,43.0,30.0,22.0,80.0,EQ,,PVR,58336.0,52244.0,737.81,41559.0,7.5
,12.5,1775.8,1773.15,25-JUL-19,18-JUL-19,1783.0,1782.6,1782.35,1782.3,1782.25,10.0,10.0,28.0,37.0,55.0,10.65,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1788.95,1758.8,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1783.8,1345.25,N,,,1773.05,0.6,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1783.8,1784.0,1784.2,1784.25,1784.4,286.0,100.0,23.0,41.0,13.0,EQ,,PVR,57763.0,56083.0,777.11,43761.0,7.5
,12.5,1776.3,1773.15,25-JUL-19,18-JUL-19,1781.35,1781.1,1781.05,1781.0,1780.9,41.0,19.0,24.0,130.0,12.0,9.8,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1788.95,1758.8,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1782.95,1345.25,N,,,1773.05,0.55,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1782.0,1782.65,1782.75,1782.8,1782.95,20.0,17.0,21.0,30.0,86.0,EQ,,PVR,59441.0,58435.0,845.73,47612.0,7.5
,12.5,1776.31,1773.15,25-JUL-19,18-JUL-19,1781.35,1781.0,1780.95,1780.9,1780.85,59.0,19.0,21.0,10.0,11.0,8.85,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1788.95,1758.8,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1782.0,1345.25,N,,,1773.05,0.5,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1782.55,1782.8,1782.9,1782.95,1783.0,21.0,30.0,28.0,87.0,228.0,EQ,,PVR,59349.0,58352.0,847.53,47713.0,7.5
,12.5,1776.58,1773.15,25-JUL-19,18-JUL-19,1779.15,1779.1,1778.75,1778.7,1778.65,47.0,5.0,33.0,30.0,17.0,7.2,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1788.95,1758.8,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1780.35,1345.25,N,,,1773.05,0.41,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1780.4,1780.8,1780.85,1780.95,1781.0,29.0,28.0,27.0,42.0,73.0,EQ,,PVR,56524.0,60023.0,910.53,51252.0,7.5
,12.5,1776.58,1773.15,25-JUL-19,18-JUL-19,1779.15,1779.1,1778.75,1778.7,1778.65,47.0,5.0,33.0,30.0,17.0,7.2,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1788.95,1758.8,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1780.35,1345.25,N,,,1773.05,0.41,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1780.4,1780.8,1780.85,1780.95,1781.0,29.0,28.0,27.0,42.0,73.0,EQ,,PVR,56524.0,60023.0,910.53,51252.0,7.5
,12.5,1776.64,1773.15,25-JUL-19,18-JUL-19,1779.4,1779.35,1779.2,1779.05,1779.0,5.0,35.0,55.0,60.0,352.0,6.8,0.0,26-SEP-19,13-AUG-19,6184.35,PVR Limited,Listed,0,0,0,1788.95,1758.8,44076.0,22.48,16-JUL-19,5.0,10.0,1898.0,,False,INE191H01014,1779.95,1345.25,N,,,1773.05,0.38,1773.15,No Band,1595.85,1950.45,ANNUAL GENERAL MEETING/ DIVIDEND - RS 2 PER SHARE,196058.0,,27-Nov-2019 00:00:00,5.16,1779.95,1780.0,1780.2,1780.5,1780.55,24.0,51.0,1.0,55.0,8.0,EQ,,PVR,57819.0,61462.0,932.45,52484.0,7.5
