adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
1.15,24.51,363.33,347.2,09-JUL-19,03-JUL-19,,,,,,,,,,,18.15,367.55,28-MAY-19,23-OCT-19,15344.6,RBL Bank Limited,Listed,0,0,0,371.2,353.25,2271434.0,9.62,01-JUL-19,6.2,10.0,716.4,,False,INE976G01028,365.35,230.55,N,,,355.5,5.23,347.2,No Band,312.5,381.9,ANNUAL GENERAL MEETING/DIVIDEND RS 2.70/-,23618238.0,,27-Nov-2019 00:00:00,17.16,367.55,,,,,77639.0,,,,,EQ,,RBLBANK,,77639.0,85812.14,23618238.0,17.16
1.15,24.51,363.33,347.2,09-JUL-19,03-JUL-19,,,,,,,,,,,18.15,367.55,28-MAY-19,23-OCT-19,15344.6,RBL Bank Limited,Listed,0,0,0,371.2,353.25,2271434.0,9.62,01-JUL-19,6.2,10.0,716.4,,False,INE976G01028,365.35,230.55,N,,,355.5,5.23,347.2,No Band,330.8,404.3,ANNUAL GENERAL MEETING/DIVIDEND RS 2.70/-,23618238.0,,27-Nov-2019 00:00:00,17.16,367.55,,,,,77639.0,,,,,EQ,,RBLBANK,,77639.0,85812.14,23618238.0,17.16
1.15,24.51,363.33,347.2,09-JUL-19,03-JUL-19,,,,,,,,,,,18.15,367.55,28-MAY-19,23-OCT-19,15344.6,RBL Bank Limited,Listed,0,0,0,371.2,353.25,2271434.0,9.62,01-JUL-19,6.2,10.0,716.4,,False,INE976G01028,365.35,230.55,N,,,355.5,5.23,347.2,No Band,330.8,404.3,ANNUAL GENERAL MEETING/DIVIDEND RS 2.70/-,23618238.0,,27-Nov-2019 00:00:00,17.16,367.55,,,,,77639.0,,,,,EQ,,RBLBANK,,77639.0,85812.14,23618238.0,17.16
1.15,24.51,363.33,347.2,09-JUL-19,03-JUL-19,,,,,,,,,,,18.15,367.55,28-MAY-19,23-OCT-19,15344.6,RBL Bank Limited,Listed,0,0,0,371.2,353.25,2271434.0,9.62,01-JUL-19,6.2,10.0,716.4,,False,INE976G01028,365.35,230.55,N,,,355.5,5.23,347.2,No Band,330.8,404.3,ANNUAL GENERAL MEETING/DIVIDEND RS 2.70/-,23618238.0,,27-Nov-2019 00:00:00,17.16,367.55,,,,,77639.0,,,,,EQ,,RBLBANK,,77639.0,85812.14,23618238.0,17.16
1.15,24.51,363.33,347.2,09-JUL-19,03-JUL-19,,,,,,,,,,,18.15,367.55,28-MAY-19,23-OCT-19,15344.6,RBL Bank Limited,Listed,0,0,0,371.2,353.25,2271434.0,9.62,01-JUL-19,6.2,10.0,716.4,,False,INE976G01028,365.35,230.55,N,,,355.5,5.23,347.2,No Band,330.8,404.3,ANNUAL GENERAL MEETING/DIVIDEND RS 2.70/-,23618238.0,,27-Nov-2019 00:00:00,17.16,367.55,,,,,77639.0,,,,,EQ,,RBLBANK,,77639.0,85812.14,23618238.0,17.16
1.15,24.51,363.33,347.2,09-JUL-19,03-JUL-19,,,,,,,,,,,18.15,367.55,28-MAY-19,23-OCT-19,15344.6,RBL Bank Limited,Listed,0,0,0,371.2,353.25,2271434.0,9.62,01-JUL-19,6.2,10.0,716.4,,False,INE976G01028,365.35,230.55,N,,,355.5,5.23,347.2,No Band,330.8,404.3,ANNUAL GENERAL MEETING/DIVIDEND RS 2.70/-,23618238.0,,27-Nov-2019 00:00:00,17.16,367.55,,,,,77639.0,,,,,EQ,,RBLBANK,,77639.0,85812.14,23618238.0,17.16
1.15,24.51,363.33,,09-JUL-19,03-JUL-19,,,,,,,,,,,18.15,367.55,28-MAY-19,23-OCT-19,15344.6,RBL Bank Limited,Listed,0,0,0,371.2,353.25,2271434.0,9.62,01-JUL-19,6.2,10.0,716.4,,False,INE976G01028,365.35,230.55,N,,,355.5,5.23,347.2,No Band,330.8,404.3,ANNUAL GENERAL MEETING/DIVIDEND RS 2.70/-,23618238.0,,27-Nov-2019 00:00:00,17.16,367.55,,,,,77639.0,,,,,EQ,,RBLBANK,,77639.0,85812.14,23618238.0,17.16
1.15,24.51,363.33,367.55,09-JUL-19,03-JUL-19,,,,,,,,,,,-2.20,367.55,28-MAY-19,23-OCT-19,15344.6,RBL Bank Limited,Listed,0,0,0,371.2,353.25,2271434.0,9.62,01-JUL-19,6.2,10.0,716.4,,False,INE976G01028,365.35,230.55,N,,,355.5,-0.60,347.2,No Band,330.8,404.3,ANNUAL GENERAL MEETING/DIVIDEND RS 2.70/-,23618238.0,,27-Nov-2019 00:00:00,17.16,367.55,,,,,77639.0,,,,,EQ,,RBLBANK,,77639.0,85812.14,23618238.0,17.16
1.15,24.51,368.12,367.55,09-JUL-19,03-JUL-19,365.45,365.4,365.35,365.3,365.25,287.0,50.0,60.0,720.0,1157.0,-2.05,0.0,28-MAY-19,23-OCT-19,15344.6,RBL Bank Limited,Listed,0,0,0,372.3,364.0,2271434.0,9.62,01-JUL-19,6.2,10.0,716.4,,False,INE976G01028,365.5,230.55,N,,,372.0,-0.56,367.55,No Band,330.8,404.3,ANNUAL GENERAL MEETING/DIVIDEND RS 2.70/-,23618238.0,,27-Nov-2019 00:00:00,17.16,365.5,365.55,365.6,365.65,365.7,1926.0,1.0,604.0,443.0,1092.0,EQ,,RBLBANK,832347.0,465999.0,3804.38,1033463.0,17.16
1.15,24.51,368.12,367.55,09-JUL-19,03-JUL-19,367.8,367.75,367.7,367.65,367.6,377.0,505.0,781.0,507.0,1343.0,0.25,0.0,28-MAY-19,23-OCT-19,15344.6,RBL Bank Limited,Listed,0,0,0,372.3,364.0,2271434.0,9.62,01-JUL-19,6.2,10.0,716.4,,False,INE976G01028,367.8,230.55,N,,,372.0,0.07,367.55,No Band,330.8,404.3,ANNUAL GENERAL MEETING/DIVIDEND RS 2.70/-,23618238.0,,27-Nov-2019 00:00:00,17.16,367.95,368.0,368.1,368.15,368.2,497.0,824.0,289.0,58.0,100.0,EQ,,RBLBANK,906149.0,501641.0,5623.72,1527687.0,17.16
