adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.99,135.46,137.95,29-AUG-19,23-AUG-19,,,,,,,,,,,-2.20,136.1,05-JUL-19,10-DEC-18,12632.96,REC Limited,Listed,0,0,0,138.4,134.25,1125852.0,30.57,21-AUG-19,5.0,10.0,169.55,,False,INE020B01018,135.75,98.75,N,,,138.1,-1.59,137.95,No Band,124.2,151.7,ANNUAL GENERAL MEETING,3682607.0,,27-Nov-2019 00:00:00,7.99,136.1,,,,,4649.0,,,,,EQ,,RECLTD,,4649.0,4988.46,3682607.0,7.99
,12.99,135.46,137.95,29-AUG-19,23-AUG-19,,,,,,,,,,,-2.20,136.1,05-JUL-19,10-DEC-18,12632.96,REC Limited,Listed,0,0,0,138.4,134.25,1125852.0,30.57,21-AUG-19,5.0,10.0,169.55,,False,INE020B01018,135.75,98.75,N,,,138.1,-1.59,137.95,No Band,124.2,151.7,ANNUAL GENERAL MEETING,3682607.0,,27-Nov-2019 00:00:00,7.99,136.1,,,,,4649.0,,,,,EQ,,RECLTD,,4649.0,4988.46,3682607.0,7.99
,12.99,135.46,137.95,29-AUG-19,23-AUG-19,,,,,,,,,,,-2.20,136.1,05-JUL-19,10-DEC-18,12632.96,REC Limited,Listed,0,0,0,138.4,134.25,1125852.0,30.57,21-AUG-19,5.0,10.0,169.55,,False,INE020B01018,135.75,98.75,N,,,138.1,-1.59,137.95,No Band,122.5,149.7,ANNUAL GENERAL MEETING,3682607.0,,27-Nov-2019 00:00:00,7.99,136.1,,,,,4649.0,,,,,EQ,,RECLTD,,4649.0,4988.46,3682607.0,7.99
,12.99,135.46,137.95,29-AUG-19,23-AUG-19,,,,,,,,,,,-2.20,136.1,05-JUL-19,10-DEC-18,12632.96,REC Limited,Listed,0,0,0,138.4,134.25,1125852.0,30.57,21-AUG-19,5.0,10.0,169.55,,False,INE020B01018,135.75,98.75,N,,,138.1,-1.59,137.95,No Band,122.5,149.7,ANNUAL GENERAL MEETING,3682607.0,,27-Nov-2019 00:00:00,7.99,136.1,,,,,4649.0,,,,,EQ,,RECLTD,,4649.0,4988.46,3682607.0,7.99
,12.99,135.46,137.95,29-AUG-19,23-AUG-19,,,,,,,,,,,-2.20,136.1,05-JUL-19,10-DEC-18,12632.96,REC Limited,Listed,0,0,0,138.4,134.25,1125852.0,30.57,21-AUG-19,5.0,10.0,169.55,,False,INE020B01018,135.75,98.75,N,,,138.1,-1.59,137.95,No Band,122.5,149.7,ANNUAL GENERAL MEETING,3682607.0,,27-Nov-2019 00:00:00,7.99,136.1,,,,,4649.0,,,,,EQ,,RECLTD,,4649.0,4988.46,3682607.0,7.99
,12.99,135.46,137.95,29-AUG-19,23-AUG-19,,,,,,,,,,,-2.20,136.1,05-JUL-19,10-DEC-18,12632.96,REC Limited,Listed,0,0,0,138.4,134.25,1125852.0,30.57,21-AUG-19,5.0,10.0,169.55,,False,INE020B01018,135.75,98.75,N,,,138.1,-1.59,137.95,No Band,122.5,149.7,ANNUAL GENERAL MEETING,3682607.0,,27-Nov-2019 00:00:00,7.99,136.1,,,,,4649.0,,,,,EQ,,RECLTD,,4649.0,4988.46,3682607.0,7.99
,12.99,135.46,137.95,29-AUG-19,23-AUG-19,,,,,,,,,,,-2.20,136.1,05-JUL-19,10-DEC-18,12632.96,REC Limited,Listed,0,0,0,138.4,134.25,1125852.0,30.57,21-AUG-19,5.0,10.0,169.55,,False,INE020B01018,135.75,98.75,N,,,138.1,-1.59,137.95,No Band,122.5,149.7,ANNUAL GENERAL MEETING,3682607.0,,27-Nov-2019 00:00:00,7.99,136.1,,,,,4649.0,,,,,EQ,,RECLTD,,4649.0,4988.46,3682607.0,7.99
,12.99,135.46,,29-AUG-19,23-AUG-19,,,,,,,,,,,-2.20,136.1,05-JUL-19,10-DEC-18,12632.96,REC Limited,Listed,0,0,0,138.4,134.25,1125852.0,30.57,21-AUG-19,5.0,10.0,169.55,,False,INE020B01018,135.75,98.75,N,,,138.1,-1.59,137.95,No Band,122.5,149.7,ANNUAL GENERAL MEETING,3682607.0,,27-Nov-2019 00:00:00,7.99,136.1,,,,,4649.0,,,,,EQ,,RECLTD,,4649.0,4988.46,3682607.0,7.99
,12.99,135.93,136.1,29-AUG-19,23-AUG-19,135.5,135.45,135.4,135.35,135.3,5360.0,1642.0,2776.0,5751.0,5953.0,-0.45,0.0,05-JUL-19,10-DEC-18,12632.96,REC Limited,Listed,0,0,0,136.4,135.3,1125852.0,30.57,21-AUG-19,5.0,10.0,169.55,,False,INE020B01018,135.65,98.75,N,,,135.9,-0.33,136.1,No Band,122.5,149.7,ANNUAL GENERAL MEETING,3682607.0,,27-Nov-2019 00:00:00,7.99,135.6,135.65,135.7,135.75,135.8,100.0,731.0,1173.0,1834.0,3223.0,EQ,,RECLTD,486226.0,445593.0,37.74,27762.0,7.99
,12.99,135.98,136.1,29-AUG-19,23-AUG-19,136.3,136.25,136.2,136.15,136.1,765.0,2235.0,1480.0,6294.0,9019.0,0.2,0.0,05-JUL-19,10-DEC-18,12632.96,REC Limited,Listed,0,0,0,136.5,135.3,1125852.0,30.57,21-AUG-19,5.0,10.0,169.55,,False,INE020B01018,136.3,98.75,N,,,135.9,0.15,136.1,No Band,122.5,149.7,ANNUAL GENERAL MEETING,3682607.0,,27-Nov-2019 00:00:00,7.99,136.45,136.5,136.55,136.6,136.65,750.0,4938.0,7507.0,4591.0,6731.0,EQ,,RECLTD,627251.0,486166.0,150.24,110487.0,7.99
