adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,14.3,338.92,335.5,28-JUN-18,19-JUN-18,343.55,,,,,119964.0,,,,,9.6,343.55,18-JUL-19,09-OCT-19,131840.16,State Bank of India,Listed,0,0,0,345.55,334.05,11930103.0,35.12,15-JUN-18,5.0,1.0,373.8,,False,INE062A01020,345.1,244.35,N,,,335.95,2.86,335.5,No Band,301.95,369.05,ANNUAL GENERAL MEETING/ CHANGE IN REGISTRAR AND TRANSFER AGENT,33971305.0,,27-Nov-2019 00:00:00,9.3,,,,,,,,,,,EQ,,SBIN,119964.0,,115135.55,33971305.0,9.3
,14.3,338.92,335.5,28-JUN-18,19-JUN-18,343.55,,,,,119964.0,,,,,9.6,343.55,18-JUL-19,09-OCT-19,131840.16,State Bank of India,Listed,0,0,0,345.55,334.05,11930103.0,35.12,15-JUN-18,5.0,1.0,373.8,,False,INE062A01020,345.1,244.35,N,,,335.95,2.86,335.5,No Band,309.2,377.9,ANNUAL GENERAL MEETING/ CHANGE IN REGISTRAR AND TRANSFER AGENT,33971305.0,,27-Nov-2019 00:00:00,9.3,,,,,,,,,,,EQ,,SBIN,119964.0,,115135.55,33971305.0,9.3
,14.3,338.92,335.5,28-JUN-18,19-JUN-18,343.55,,,,,119964.0,,,,,9.6,343.55,18-JUL-19,09-OCT-19,131840.16,State Bank of India,Listed,0,0,0,345.55,334.05,11930103.0,35.12,15-JUN-18,5.0,1.0,373.8,,False,INE062A01020,345.1,244.35,N,,,335.95,2.86,335.5,No Band,309.2,377.9,ANNUAL GENERAL MEETING/ CHANGE IN REGISTRAR AND TRANSFER AGENT,33971305.0,,27-Nov-2019 00:00:00,9.3,,,,,,,,,,,EQ,,SBIN,119964.0,,115135.55,33971305.0,9.3
,14.3,338.92,335.5,28-JUN-18,19-JUN-18,343.55,,,,,119964.0,,,,,9.6,343.55,18-JUL-19,09-OCT-19,131840.16,State Bank of India,Listed,0,0,0,345.55,334.05,11930103.0,35.12,15-JUN-18,5.0,1.0,373.8,,False,INE062A01020,345.1,244.35,N,,,335.95,2.86,335.5,No Band,309.2,377.9,ANNUAL GENERAL MEETING/ CHANGE IN REGISTRAR AND TRANSFER AGENT,33971305.0,,27-Nov-2019 00:00:00,9.3,,,,,,,,,,,EQ,,SBIN,119964.0,,115135.55,33971305.0,9.3
,14.3,338.92,335.5,28-JUN-18,19-JUN-18,343.55,,,,,119964.0,,,,,9.6,343.55,18-JUL-19,09-OCT-19,131840.16,State Bank of India,Listed,0,0,0,345.55,334.05,11930103.0,35.12,15-JUN-18,5.0,1.0,373.8,,False,INE062A01020,345.1,244.35,N,,,335.95,2.86,335.5,No Band,309.2,377.9,ANNUAL GENERAL MEETING/ CHANGE IN REGISTRAR AND TRANSFER AGENT,33971305.0,,27-Nov-2019 00:00:00,9.3,,,,,,,,,,,EQ,,SBIN,119964.0,,115135.55,33971305.0,9.3
,14.3,338.92,335.5,28-JUN-18,19-JUN-18,343.55,,,,,119964.0,,,,,9.6,343.55,18-JUL-19,09-OCT-19,131840.16,State Bank of India,Listed,0,0,0,345.55,334.05,11930103.0,35.12,15-JUN-18,5.0,1.0,373.8,,False,INE062A01020,345.1,244.35,N,,,335.95,2.86,335.5,No Band,309.2,377.9,ANNUAL GENERAL MEETING/ CHANGE IN REGISTRAR AND TRANSFER AGENT,33971305.0,,27-Nov-2019 00:00:00,9.3,,,,,,,,,,,EQ,,SBIN,119964.0,,115135.55,33971305.0,9.3
,14.3,338.92,343.55,28-JUN-18,19-JUN-18,343.55,,,,,119964.0,,,,,1.55,343.55,18-JUL-19,09-OCT-19,131840.16,State Bank of India,Listed,0,0,0,345.55,334.05,11930103.0,35.12,15-JUN-18,5.0,1.0,373.8,,False,INE062A01020,345.1,244.35,N,,,335.95,0.45,335.5,No Band,309.2,377.9,ANNUAL GENERAL MEETING/ CHANGE IN REGISTRAR AND TRANSFER AGENT,33971305.0,,27-Nov-2019 00:00:00,9.3,,,,,,,,,,,EQ,,SBIN,119964.0,,115135.55,33971305.0,9.3
,14.3,338.92,343.55,28-JUN-18,19-JUN-18,343.55,,,,,119964.0,,,,,1.55,343.55,18-JUL-19,09-OCT-19,131840.16,State Bank of India,Listed,0,0,0,345.55,334.05,11930103.0,35.12,15-JUN-18,5.0,1.0,373.8,,False,INE062A01020,345.1,244.35,N,,,335.95,0.45,335.5,No Band,309.2,377.9,ANNUAL GENERAL MEETING/ CHANGE IN REGISTRAR AND TRANSFER AGENT,33971305.0,,27-Nov-2019 00:00:00,9.3,,,,,,,,,,,EQ,,SBIN,119964.0,,115135.55,33971305.0,9.3
,14.3,346.09,343.55,28-JUN-18,19-JUN-18,345.8,345.7,345.65,345.6,345.55,5.0,1404.0,4958.0,9976.0,4639.0,2.3,0.0,18-JUL-19,09-OCT-19,131840.16,State Bank of India,Listed,0,0,0,346.85,345.2,11930103.0,35.12,15-JUN-18,5.0,1.0,373.8,,False,INE062A01020,345.85,244.35,N,,,346.85,0.67,343.55,No Band,309.2,377.9,ANNUAL GENERAL MEETING/ CHANGE IN REGISTRAR AND TRANSFER AGENT,33971305.0,,27-Nov-2019 00:00:00,9.3,345.9,345.95,346.0,346.05,346.1,1212.0,3152.0,13297.0,5134.0,5809.0,EQ,,SBIN,1001563.0,1018899.0,8067.11,2330927.0,9.3
,14.3,345.8,343.55,28-JUN-18,19-JUN-18,344.95,344.9,344.85,344.8,344.75,559.0,1889.0,1999.0,7381.0,8456.0,1.5,0.0,18-JUL-19,09-OCT-19,131840.16,State Bank of India,Listed,0,0,0,346.85,344.5,11930103.0,35.12,15-JUN-18,5.0,1.0,373.8,,False,INE062A01020,345.05,244.35,N,,,346.85,0.44,343.55,No Band,309.2,377.9,ANNUAL GENERAL MEETING/ CHANGE IN REGISTRAR AND TRANSFER AGENT,33971305.0,,27-Nov-2019 00:00:00,9.3,345.05,345.1,345.15,345.2,345.25,668.0,4661.0,3937.0,4354.0,6932.0,EQ,,SBIN,1041584.0,1216709.0,10858.73,3140175.0,9.3
,14.3,345.71,343.55,28-JUN-18,19-JUN-18,345.05,345.0,344.95,344.9,344.85,890.0,9896.0,1905.0,18361.0,11659.0,1.55,0.0,18-JUL-19,09-OCT-19,131840.16,State Bank of India,Listed,0,0,0,346.85,344.5,11930103.0,35.12,15-JUN-18,5.0,1.0,373.8,,False,INE062A01020,345.1,244.35,N,,,346.85,0.45,343.55,No Band,309.2,377.9,ANNUAL GENERAL MEETING/ CHANGE IN REGISTRAR AND TRANSFER AGENT,33971305.0,,27-Nov-2019 00:00:00,9.3,345.1,345.15,345.2,345.25,345.3,263.0,1212.0,1306.0,11361.0,8673.0,EQ,,SBIN,1152152.0,1473736.0,13436.19,3886550.0,9.3
