adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,21161.65,21039.85,09-AUG-19,02-AUG-19,21337.95,,,,,11.0,,,,,337.15,21337.95,01-JUL-19,29-JAN-19,26017.42,SHREE CEMENT LIMITED,Listed,0,0,0,21393.65,20841.95,11437.0,45.97,31-JUL-19,5.0,10.0,22399.9,,False,INE070A01015,21377.0,14855.0,N,,,21098.0,1.6,21039.85,No Band,18935.9,23143.8,DIVIDEND - RS 35 PER SHARE,24877.0,,27-Nov-2019 00:00:00,5.23,,,,,,,,,,,EQ,,SHREECEM,11.0,,5264.38,24877.0,7.5
,12.5,21161.65,21039.85,09-AUG-19,02-AUG-19,21337.95,,,,,11.0,,,,,337.15,21337.95,01-JUL-19,29-JAN-19,26017.42,SHREE CEMENT LIMITED,Listed,0,0,0,21393.65,20841.95,11437.0,45.97,31-JUL-19,5.0,10.0,22399.9,,False,INE070A01015,21377.0,14855.0,N,,,21098.0,1.6,21039.85,No Band,19204.2,23471.7,DIVIDEND - RS 35 PER SHARE,24877.0,,27-Nov-2019 00:00:00,5.23,,,,,,,,,,,EQ,,SHREECEM,11.0,,5264.38,24877.0,7.5
,12.5,21161.65,21039.85,09-AUG-19,02-AUG-19,21337.95,,,,,11.0,,,,,337.15,21337.95,01-JUL-19,29-JAN-19,26017.42,SHREE CEMENT LIMITED,Listed,0,0,0,21393.65,20841.95,11437.0,45.97,31-JUL-19,5.0,10.0,22399.9,,False,INE070A01015,21377.0,14855.0,N,,,21098.0,1.6,21039.85,No Band,19204.2,23471.7,DIVIDEND - RS 35 PER SHARE,24877.0,,27-Nov-2019 00:00:00,5.23,,,,,,,,,,,EQ,,SHREECEM,11.0,,5264.38,24877.0,7.5
,12.5,21161.65,21039.85,09-AUG-19,02-AUG-19,21337.95,,,,,11.0,,,,,337.15,21337.95,01-JUL-19,29-JAN-19,26017.42,SHREE CEMENT LIMITED,Listed,0,0,0,21393.65,20841.95,11437.0,45.97,31-JUL-19,5.0,10.0,22399.9,,False,INE070A01015,21377.0,14855.0,N,,,21098.0,1.6,21039.85,No Band,19204.2,23471.7,DIVIDEND - RS 35 PER SHARE,24877.0,,27-Nov-2019 00:00:00,5.23,,,,,,,,,,,EQ,,SHREECEM,11.0,,5264.38,24877.0,7.5
,12.5,21161.65,21039.85,09-AUG-19,02-AUG-19,21337.95,,,,,11.0,,,,,337.15,21337.95,01-JUL-19,29-JAN-19,26017.42,SHREE CEMENT LIMITED,Listed,0,0,0,21393.65,20841.95,11437.0,45.97,31-JUL-19,5.0,10.0,22399.9,,False,INE070A01015,21377.0,14855.0,N,,,21098.0,1.6,21039.85,No Band,19204.2,23471.7,DIVIDEND - RS 35 PER SHARE,24877.0,,27-Nov-2019 00:00:00,5.23,,,,,,,,,,,EQ,,SHREECEM,11.0,,5264.38,24877.0,7.5
,12.5,21161.65,21039.85,09-AUG-19,02-AUG-19,21337.95,,,,,11.0,,,,,337.15,21337.95,01-JUL-19,29-JAN-19,26017.42,SHREE CEMENT LIMITED,Listed,0,0,0,21393.65,20841.95,11437.0,45.97,31-JUL-19,5.0,10.0,22399.9,,False,INE070A01015,21377.0,14855.0,N,,,21098.0,1.6,21039.85,No Band,19204.2,23471.7,DIVIDEND - RS 35 PER SHARE,24877.0,,27-Nov-2019 00:00:00,5.23,,,,,,,,,,,EQ,,SHREECEM,11.0,,5264.38,24877.0,7.5
,12.5,21161.65,21337.95,09-AUG-19,02-AUG-19,21337.95,,,,,11.0,,,,,39.05,21337.95,01-JUL-19,29-JAN-19,26017.42,SHREE CEMENT LIMITED,Listed,0,0,0,21393.65,20841.95,11437.0,45.97,31-JUL-19,5.0,10.0,22399.9,,False,INE070A01015,21377.0,14855.0,N,,,21098.0,0.18,21039.85,No Band,19204.2,23471.7,DIVIDEND - RS 35 PER SHARE,24877.0,,27-Nov-2019 00:00:00,5.23,,,,,,,,,,,EQ,,SHREECEM,11.0,,5264.38,24877.0,7.5
,12.5,21276.63,21337.95,09-AUG-19,02-AUG-19,21274.0,21265.45,21265.4,21264.65,21260.35,1.0,1.0,2.0,2.0,1.0,-56.15,0.0,01-JUL-19,29-JAN-19,26017.42,SHREE CEMENT LIMITED,Listed,0,0,0,21438.0,21171.4,11437.0,45.97,31-JUL-19,5.0,10.0,22399.9,,False,INE070A01015,21281.8,14855.0,N,,,21237.8,-0.26,21337.95,No Band,19204.2,23471.7,DIVIDEND - RS 35 PER SHARE,24877.0,,27-Nov-2019 00:00:00,5.23,21284.9,21284.95,21287.8,21288.45,21288.55,2.0,1.0,4.0,5.0,6.0,EQ,,SHREECEM,4322.0,3844.0,95.74,450.0,7.5
,12.5,21276.63,21337.95,09-AUG-19,02-AUG-19,21274.0,21265.45,21265.4,21264.65,21260.35,1.0,1.0,2.0,2.0,1.0,-56.15,0.0,01-JUL-19,29-JAN-19,26017.42,SHREE CEMENT LIMITED,Listed,0,0,0,21438.0,21171.4,11437.0,45.97,31-JUL-19,5.0,10.0,22399.9,,False,INE070A01015,21281.8,14855.0,N,,,21237.8,-0.26,21337.95,No Band,19204.2,23471.7,DIVIDEND - RS 35 PER SHARE,24877.0,,27-Nov-2019 00:00:00,5.23,21284.9,21284.95,21287.8,21288.45,21288.55,2.0,1.0,4.0,5.0,6.0,EQ,,SHREECEM,4322.0,3844.0,95.74,450.0,7.5
,12.5,21273.17,21337.95,09-AUG-19,02-AUG-19,21220.5,21210.8,21210.75,21209.0,21202.65,2.0,3.0,1.0,5.0,7.0,-117.45,0.0,01-JUL-19,29-JAN-19,26017.42,SHREE CEMENT LIMITED,Listed,0,0,0,21438.0,21171.4,11437.0,45.97,31-JUL-19,5.0,10.0,22399.9,,False,INE070A01015,21220.5,14855.0,N,,,21237.8,-0.55,21337.95,No Band,19204.2,23471.7,DIVIDEND - RS 35 PER SHARE,24877.0,,27-Nov-2019 00:00:00,5.23,21230.0,21230.25,21248.15,21248.2,21248.75,1.0,9.0,3.0,2.0,1.0,EQ,,SHREECEM,5249.0,4663.0,113.81,535.0,7.5
