adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,12.5,1462.56,1493.9,06-FEB-19,30-JAN-19,1474.25,,,,,483.0,,,,,-15.70,1474.25,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1484.0,1448.0,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1478.2,900.1,N,,,1479.8,-1.05,1493.9,No Band,1344.55,1643.25,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,SIEMENS,483.0,,16720.78,1143254.0,7.5
,12.5,1462.56,1493.9,06-FEB-19,30-JAN-19,1474.25,,,,,483.0,,,,,-15.70,1474.25,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1484.0,1448.0,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1478.2,900.1,N,,,1479.8,-1.05,1493.9,No Band,1344.55,1643.25,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,SIEMENS,483.0,,16720.78,1143254.0,7.5
,12.5,1462.56,1493.9,06-FEB-19,30-JAN-19,1474.25,,,,,483.0,,,,,-15.70,1474.25,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1484.0,1448.0,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1478.2,900.1,N,,,1479.8,-1.05,1493.9,No Band,1326.85,1621.65,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,SIEMENS,483.0,,16720.78,1143254.0,7.5
,12.5,1462.56,1493.9,06-FEB-19,30-JAN-19,1474.25,,,,,483.0,,,,,-15.70,1474.25,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1484.0,1448.0,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1478.2,900.1,N,,,1479.8,-1.05,1493.9,No Band,1326.85,1621.65,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,SIEMENS,483.0,,16720.78,1143254.0,7.5
,12.5,1462.56,1493.9,06-FEB-19,30-JAN-19,1474.25,,,,,483.0,,,,,-15.70,1474.25,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1484.0,1448.0,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1478.2,900.1,N,,,1479.8,-1.05,1493.9,No Band,1326.85,1621.65,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,SIEMENS,483.0,,16720.78,1143254.0,7.5
,12.5,1462.56,1493.9,06-FEB-19,30-JAN-19,1474.25,,,,,483.0,,,,,-15.70,1474.25,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1484.0,1448.0,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1478.2,900.1,N,,,1479.8,-1.05,1493.9,No Band,1326.85,1621.65,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,SIEMENS,483.0,,16720.78,1143254.0,7.5
,12.5,1462.56,1493.9,06-FEB-19,30-JAN-19,1474.25,,,,,483.0,,,,,-15.70,1474.25,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1484.0,1448.0,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1478.2,900.1,N,,,1479.8,-1.05,1493.9,No Band,1326.85,1621.65,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,SIEMENS,483.0,,16720.78,1143254.0,7.5
,12.5,1462.56,1474.25,06-FEB-19,30-JAN-19,1474.25,,,,,483.0,,,,,3.95,1474.25,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1484.0,1448.0,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1478.2,900.1,N,,,1479.8,0.27,1493.9,No Band,1326.85,1621.65,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,,,,,,,,,,,EQ,,SIEMENS,483.0,,16720.78,1143254.0,7.5
,12.5,1483.6,1474.25,06-FEB-19,30-JAN-19,1485.45,1485.4,1485.15,1485.05,1485.0,3.0,13.0,1.0,165.0,217.0,12.75,0.0,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1487.0,1480.0,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1487.0,900.1,N,,,1481.0,0.86,1474.25,No Band,1326.85,1621.65,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,1487.0,1487.45,1487.5,1488.0,1488.7,553.0,33.0,60.0,50.0,300.0,EQ,,SIEMENS,23210.0,23128.0,47.03,3170.0,7.5
,12.5,1482.31,1474.25,06-FEB-19,30-JAN-19,1473.0,1472.5,1472.45,1472.4,1472.25,19.0,3.0,33.0,14.0,27.0,-1.25,0.0,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1488.7,1471.25,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1473.0,900.1,N,,,1481.0,-0.08,1474.25,No Band,1326.85,1621.65,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,1473.35,1473.5,1473.55,1473.75,1473.8,3.0,11.0,13.0,199.0,14.0,EQ,,SIEMENS,58836.0,66514.0,574.68,38769.0,7.5
,12.5,1480.83,1474.25,06-FEB-19,30-JAN-19,1469.0,1468.95,1468.75,1468.6,1468.55,22.0,8.0,33.0,2.0,29.0,-5.20,0.0,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1488.7,1468.55,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1469.05,900.1,N,,,1481.0,-0.35,1474.25,No Band,1326.85,1621.65,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,1469.95,1470.0,1470.15,1470.2,1470.25,10.0,384.0,33.0,550.0,13.0,EQ,,SIEMENS,62158.0,74088.0,676.67,45695.0,7.5
,12.5,1480.08,1474.25,06-FEB-19,30-JAN-19,1471.3,1471.25,1471.15,1471.1,1471.05,10.0,8.0,25.0,11.0,2.0,-2.05,0.0,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1488.7,1468.55,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1472.2,900.1,N,,,1481.0,-0.14,1474.25,No Band,1326.85,1621.65,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,1472.2,1472.25,1472.3,1472.35,1472.4,57.0,1.0,1.0,551.0,1.0,EQ,,SIEMENS,68678.0,75587.0,727.04,49122.0,7.5
,12.5,1478.79,1474.25,06-FEB-19,30-JAN-19,1467.65,1467.6,1467.55,1467.5,1467.45,78.0,1.0,55.0,51.0,1.0,-6.25,0.0,23-OCT-19,29-NOV-18,13125.26,Siemens Limited,Listed,0,0,0,1488.7,1467.65,445867.0,39.0,28-JAN-19,5.0,2.0,1717.45,,False,INE003A01024,1468.0,900.1,N,,,1481.0,-0.42,1474.25,No Band,1326.85,1621.65,DIVIDEND- RS 7/- PER SHARE,1143254.0,,27-Nov-2019 00:00:00,6.59,1468.0,1468.05,1468.55,1468.6,1468.65,482.0,25.0,2.0,29.0,101.0,EQ,,SIEMENS,68983.0,77203.0,841.08,56876.0,7.5
