adhocMargin,applicableMargin,averagePrice,basePrice,bcEndDate,bcStartDate,buyPrice1,buyPrice2,buyPrice3,buyPrice4,buyPrice5,buyQuantity1,buyQuantity2,buyQuantity3,buyQuantity4,buyQuantity5,change,closePrice,cm_adj_high_dt,cm_adj_low_dt,cm_ffm,companyName,css_status_desc,custom_MD_index,date1,date2,dayHigh,dayLow,deliveryQuantity,deliveryToTradedQuantity,exDate,extremeLossMargin,faceValue,high52,indexVar,isExDateFlag,isinCode,lastPrice,low52,marketType,ndEndDate,ndStartDate,open,pChange,previousClose,priceBand,pricebandlower,pricebandupper,purpose,quantityTraded,recordDate,secDate,securityVar,sellPrice1,sellPrice2,sellPrice3,sellPrice4,sellPrice5,sellQuantity1,sellQuantity2,sellQuantity3,sellQuantity4,sellQuantity5,series,surv_indicator,symbol,totalBuyQuantity,totalSellQuantity,totalTradedValue,totalTradedVolume,varMargin
,16.37,485.95,487.6,,,,,,,,,,,,,-6.60,480.35,02-APR-19,20-SEP-19,4732.46,Sun TV Network Limited,Listed,0,0,0,495.0,477.0,351648.0,25.12,21-NOV-19,5.0,5.0,650.7,,False,INE424H01027,481.0,389.35,N,,,487.9,-1.35,487.6,No Band,438.85,536.35,INTERIM DIVIDEND - RS 2.50 PER SHARE,1399766.0,22-NOV-19,27-Nov-2019 00:00:00,11.37,480.35,,,,,26.0,,,,,EQ,,SUNTV,,26.0,6802.16,1399766.0,11.37
,16.37,485.95,487.6,,,,,,,,,,,,,-6.60,480.35,02-APR-19,20-SEP-19,4732.46,Sun TV Network Limited,Listed,0,0,0,495.0,477.0,351648.0,25.12,21-NOV-19,5.0,5.0,650.7,,False,INE424H01027,481.0,389.35,N,,,487.9,-1.35,487.6,No Band,432.35,528.35,INTERIM DIVIDEND - RS 2.50 PER SHARE,1399766.0,22-NOV-19,27-Nov-2019 00:00:00,11.37,480.35,,,,,26.0,,,,,EQ,,SUNTV,,26.0,6802.16,1399766.0,11.37
,16.37,485.95,487.6,,,,,,,,,,,,,-6.60,480.35,02-APR-19,20-SEP-19,4732.46,Sun TV Network Limited,Listed,0,0,0,495.0,477.0,351648.0,25.12,21-NOV-19,5.0,5.0,650.7,,False,INE424H01027,481.0,389.35,N,,,487.9,-1.35,487.6,No Band,432.35,528.35,INTERIM DIVIDEND - RS 2.50 PER SHARE,1399766.0,22-NOV-19,27-Nov-2019 00:00:00,11.37,480.35,,,,,26.0,,,,,EQ,,SUNTV,,26.0,6802.16,1399766.0,11.37
,16.37,485.95,487.6,,,,,,,,,,,,,-6.60,480.35,02-APR-19,20-SEP-19,4732.46,Sun TV Network Limited,Listed,0,0,0,495.0,477.0,351648.0,25.12,21-NOV-19,5.0,5.0,650.7,,False,INE424H01027,481.0,389.35,N,,,487.9,-1.35,487.6,No Band,432.35,528.35,INTERIM DIVIDEND - RS 2.50 PER SHARE,1399766.0,22-NOV-19,27-Nov-2019 00:00:00,11.37,480.35,,,,,26.0,,,,,EQ,,SUNTV,,26.0,6802.16,1399766.0,11.37
,16.37,485.95,487.6,,,,,,,,,,,,,-6.60,480.35,02-APR-19,20-SEP-19,4732.46,Sun TV Network Limited,Listed,0,0,0,495.0,477.0,351648.0,25.12,21-NOV-19,5.0,5.0,650.7,,False,INE424H01027,481.0,389.35,N,,,487.9,-1.35,487.6,No Band,432.35,528.35,INTERIM DIVIDEND - RS 2.50 PER SHARE,1399766.0,22-NOV-19,27-Nov-2019 00:00:00,11.37,480.35,,,,,26.0,,,,,EQ,,SUNTV,,26.0,6802.16,1399766.0,11.37
,16.37,485.95,487.6,,,,,,,,,,,,,-6.60,480.35,02-APR-19,20-SEP-19,4732.46,Sun TV Network Limited,Listed,0,0,0,495.0,477.0,351648.0,25.12,21-NOV-19,5.0,5.0,650.7,,False,INE424H01027,481.0,389.35,N,,,487.9,-1.35,487.6,No Band,432.35,528.35,INTERIM DIVIDEND - RS 2.50 PER SHARE,1399766.0,22-NOV-19,27-Nov-2019 00:00:00,11.37,480.35,,,,,26.0,,,,,EQ,,SUNTV,,26.0,6802.16,1399766.0,11.37
,16.37,485.95,480.35,,,,,,,,,,,,,0.65,480.35,02-APR-19,20-SEP-19,4732.46,Sun TV Network Limited,Listed,0,0,0,495.0,477.0,351648.0,25.12,21-NOV-19,5.0,5.0,650.7,,False,INE424H01027,481.0,389.35,N,,,487.9,0.14,487.6,No Band,432.35,528.35,INTERIM DIVIDEND - RS 2.50 PER SHARE,1399766.0,22-NOV-19,27-Nov-2019 00:00:00,11.37,480.35,,,,,26.0,,,,,EQ,,SUNTV,,26.0,6802.16,1399766.0,11.37
,16.37,482.53,480.35,,,482.0,481.65,481.6,481.5,481.25,96.0,3.0,120.0,950.0,125.0,1.35,0.0,02-APR-19,20-SEP-19,4732.46,Sun TV Network Limited,Listed,0,0,0,483.3,481.65,351648.0,25.12,21-NOV-19,5.0,5.0,650.7,,False,INE424H01027,481.7,389.35,N,,,483.0,0.28,480.35,No Band,432.35,528.35,INTERIM DIVIDEND - RS 2.50 PER SHARE,1399766.0,22-NOV-19,27-Nov-2019 00:00:00,11.37,482.65,482.7,482.75,482.85,483.0,129.0,98.0,28.0,26.0,298.0,EQ,,SUNTV,75409.0,76565.0,22.65,4695.0,11.37
,16.37,483.49,480.35,,,483.75,483.7,483.55,483.5,483.45,32.0,111.0,127.0,1565.0,60.0,3.55,0.0,02-APR-19,20-SEP-19,4732.46,Sun TV Network Limited,Listed,0,0,0,484.7,481.5,351648.0,25.12,21-NOV-19,5.0,5.0,650.7,,False,INE424H01027,483.9,389.35,N,,,483.0,0.74,480.35,No Band,432.35,528.35,INTERIM DIVIDEND - RS 2.50 PER SHARE,1399766.0,22-NOV-19,27-Nov-2019 00:00:00,11.37,484.0,484.1,484.2,484.25,484.3,1200.0,1000.0,565.0,1332.0,156.0,EQ,,SUNTV,109059.0,122704.0,289.29,59833.0,11.37
,16.37,483.49,480.35,,,483.75,483.7,483.55,483.5,483.45,32.0,111.0,127.0,1565.0,60.0,3.55,0.0,02-APR-19,20-SEP-19,4732.46,Sun TV Network Limited,Listed,0,0,0,484.7,481.5,351648.0,25.12,21-NOV-19,5.0,5.0,650.7,,False,INE424H01027,483.9,389.35,N,,,483.0,0.74,480.35,No Band,432.35,528.35,INTERIM DIVIDEND - RS 2.50 PER SHARE,1399766.0,22-NOV-19,27-Nov-2019 00:00:00,11.37,484.0,484.1,484.2,484.25,484.3,1200.0,1000.0,565.0,1332.0,156.0,EQ,,SUNTV,109059.0,122704.0,289.29,59833.0,11.37
